iteration	mean	std_dev	min	max	median
5000	0.500	1.500	0.000	5.000	0.000
10000	0.000	0.000	0.000	0.000	0.000
15000	0.000	0.000	0.000	0.000	0.000
20000	0.000	0.000	0.000	0.000	0.000
25000	0.000	0.000	0.000	0.000	0.000
30000	0.000	0.000	0.000	0.000	0.000
35000	0.000	0.000	0.000	0.000	0.000
40000	0.000	0.000	0.000	0.000	0.000
45000	0.000	0.000	0.000	0.000	0.000
50000	0.000	0.000	0.000	0.000	0.000
55000	0.000	0.000	0.000	0.000	0.000
60000	0.000	0.000	0.000	0.000	0.000
65000	11.800	30.162	0.000	101.000	0.000
70000	7.400	15.226	0.000	45.000	0.000
75000	2.500	7.500	0.000	25.000	0.000
80000	0.000	0.000	0.000	0.000	0.000
85000	8.300	11.028	0.000	31.000	0.000
90000	0.000	0.000	0.000	0.000	0.000
95000	0.000	0.000	0.000	0.000	0.000
100000	0.000	0.000	0.000	0.000	0.000
105000	0.000	0.000	0.000	0.000	0.000
110000	26.600	77.495	0.000	259.000	0.000
115000	0.000	0.000	0.000	0.000	0.000
120000	1.900	5.700	0.000	19.000	0.000
125000	10.500	18.167	0.000	47.000	0.000
130000	0.000	0.000	0.000	0.000	0.000
135000	66.500	199.500	0.000	665.000	0.000
140000	0.000	0.000	0.000	0.000	0.000
145000	0.000	0.000	0.000	0.000	0.000
150000	1.900	5.700	0.000	19.000	0.000
155000	36.800	77.523	0.000	268.000	13.000
160000	5.500	11.111	0.000	31.000	0.000
165000	66.500	75.138	0.000	218.000	42.500
170000	62.500	116.565	0.000	334.000	0.000
175000	4.100	12.300	0.000	41.000	0.000
180000	16.000	40.361	0.000	135.000	0.000
185000	31.900	64.144	0.000	214.000	0.000
190000	83.300	68.115	0.000	215.000	71.500
195000	4.200	12.600	0.000	42.000	0.000
200000	152.900	220.464	0.000	703.000	36.000
205000	130.400	70.796	22.000	240.000	152.500
210000	66.600	47.468	30.000	184.000	39.500
215000	88.200	24.778	55.000	130.000	82.000
220000	46.400	21.722	5.000	84.000	47.500
225000	204.900	218.294	0.000	661.000	116.000
230000	137.800	146.730	0.000	371.000	71.500
235000	22.600	41.919	0.000	138.000	0.500
240000	301.700	339.182	0.000	817.000	107.500
245000	148.400	145.059	56.000	564.000	93.500
250000	91.800	64.084	0.000	188.000	92.500
255000	157.900	180.301	0.000	615.000	133.000
260000	416.300	409.201	0.000	846.000	397.500
265000	805.200	2.358	801.000	809.000	805.000
270000	152.700	235.121	0.000	584.000	0.000
275000	830.300	2.326	826.000	834.000	830.500
280000	634.100	199.758	346.000	816.000	778.000
285000	844.900	2.914	841.000	850.000	844.500
290000	846.100	12.965	825.000	860.000	850.500
295000	842.300	13.513	811.000	863.000	842.500
300000	825.000	5.848	817.000	834.000	826.500
305000	864.800	1.400	863.000	867.000	865.000
310000	256.400	207.419	76.000	773.000	174.500
315000	709.100	247.293	161.000	869.000	854.000
320000	273.200	165.772	123.000	727.000	206.000
325000	305.300	124.534	176.000	532.000	270.500
330000	581.800	261.990	91.000	868.000	613.500
335000	66.200	88.563	0.000	326.000	36.000
340000	343.800	304.110	0.000	842.000	171.500
345000	479.600	196.162	143.000	743.000	534.000
350000	741.100	238.974	25.000	845.000	820.500
355000	270.200	308.132	0.000	728.000	136.000
360000	311.400	318.106	0.000	797.000	166.000
365000	648.700	207.098	188.000	836.000	699.500
370000	464.000	311.511	0.000	784.000	582.500
375000	807.200	28.638	758.000	841.000	818.000
380000	540.900	350.447	0.000	856.000	736.000
385000	439.700	362.064	0.000	799.000	653.000
390000	774.200	38.940	710.000	846.000	774.000
395000	823.600	5.103	812.000	830.000	825.000
400000	474.000	387.908	0.000	831.000	752.500
405000	330.300	349.556	0.000	789.000	187.000
410000	819.800	2.676	815.000	824.000	820.000
415000	830.900	2.022	828.000	834.000	831.000
420000	795.700	2.002	793.000	799.000	796.000
425000	819.500	14.486	801.000	844.000	820.500
430000	806.100	3.113	802.000	814.000	806.000
435000	830.900	3.270	824.000	833.000	832.500
440000	805.100	22.354	742.000	825.000	809.500
445000	710.700	237.046	0.000	799.000	792.000
450000	734.300	4.473	728.000	742.000	733.500
455000	807.800	9.379	798.000	824.000	804.500
460000	796.100	16.712	762.000	812.000	803.000
465000	782.700	7.669	771.000	800.000	780.500
470000	817.800	12.640	785.000	832.000	820.500
475000	823.500	14.200	807.000	853.000	820.500
480000	828.000	1.000	826.000	829.000	828.000
485000	845.300	2.052	842.000	849.000	844.500
490000	845.800	3.709	838.000	850.000	847.000
495000	835.700	2.002	832.000	839.000	835.500
500000	839.200	4.285	833.000	846.000	838.000
505000	819.200	4.729	811.000	825.000	819.500
510000	824.300	3.523	818.000	829.000	824.000
515000	819.600	2.154	815.000	824.000	820.000
520000	815.300	5.496	810.000	827.000	814.000
525000	843.300	9.001	831.000	860.000	842.000
530000	866.900	24.538	822.000	900.000	878.000
535000	863.900	19.393	835.000	893.000	859.500
540000	877.700	23.260	837.000	898.000	890.500
545000	883.200	1.249	882.000	886.000	883.000
550000	873.300	8.026	863.000	886.000	871.000
