iteration	mean	std_dev	min	max	median
5000	30.900	64.657	0.000	197.000	0.000
10000	0.000	0.000	0.000	0.000	0.000
15000	4.500	9.729	0.000	32.000	0.000
20000	2.800	5.075	0.000	16.000	0.000
25000	101.000	295.700	0.000	988.000	0.000
30000	34.500	48.698	0.000	154.000	2.500
35000	0.000	0.000	0.000	0.000	0.000
40000	20.000	45.598	0.000	154.000	0.000
45000	125.100	280.692	0.000	910.000	0.000
50000	364.100	446.307	0.000	962.000	0.500
55000	239.600	366.015	0.000	807.000	0.000
60000	187.400	375.090	0.000	970.000	0.000
65000	92.800	263.237	0.000	882.000	0.000
70000	172.800	346.040	0.000	903.000	0.000
75000	0.000	0.000	0.000	0.000	0.000
80000	153.800	309.887	0.000	949.000	0.000
85000	125.600	285.188	0.000	964.000	0.000
90000	97.800	280.846	0.000	940.000	0.000
95000	103.400	275.121	0.000	924.000	0.000
100000	350.600	420.113	0.000	936.000	26.500
105000	208.100	379.783	0.000	966.000	0.000
110000	191.800	381.944	0.000	974.000	0.000
115000	219.300	377.207	0.000	984.000	0.000
120000	381.900	467.995	0.000	980.000	0.000
125000	101.700	291.049	0.000	974.000	0.000
130000	478.600	479.010	0.000	984.000	451.500
135000	95.400	286.200	0.000	954.000	0.000
140000	277.100	408.027	0.000	975.000	19.000
145000	387.600	449.632	0.000	973.000	65.500
150000	208.900	322.817	0.000	918.000	6.000
155000	513.200	464.278	0.000	984.000	610.500
160000	291.400	445.142	0.000	982.000	0.000
165000	84.800	236.013	0.000	791.000	0.000
170000	1.800	5.075	0.000	17.000	0.000
175000	100.300	289.744	0.000	969.000	0.000
180000	198.900	392.603	0.000	988.000	0.000
185000	1.600	3.904	0.000	13.000	0.000
190000	10.000	30.000	0.000	100.000	0.000
195000	58.000	167.440	0.000	560.000	0.000
200000	191.100	380.209	0.000	954.000	0.000
205000	287.400	416.533	0.000	980.000	18.500
210000	191.200	382.413	0.000	963.000	0.000
215000	283.800	431.332	0.000	972.000	0.000
220000	106.200	286.699	0.000	965.000	1.000
225000	194.200	361.291	0.000	953.000	6.500
230000	463.400	463.789	0.000	962.000	450.500
235000	105.200	272.295	0.000	916.000	0.000
240000	189.200	375.426	0.000	949.000	1.500
245000	488.200	483.857	0.000	981.000	485.500
250000	96.100	279.353	0.000	934.000	0.000
255000	200.700	388.712	0.000	986.000	9.000
260000	293.000	446.703	0.000	983.000	0.000
265000	557.800	459.331	0.000	982.000	845.000
270000	98.900	291.077	0.000	972.000	0.000
275000	85.400	256.200	0.000	854.000	0.000
280000	272.900	420.051	0.000	988.000	0.000
285000	186.200	372.596	0.000	958.000	0.000
290000	360.400	445.899	0.000	979.000	0.000
295000	0.000	0.000	0.000	0.000	0.000
300000	293.400	447.091	0.000	981.000	0.000
305000	0.000	0.000	0.000	0.000	0.000
310000	293.000	445.198	0.000	981.000	0.000
315000	287.000	438.474	0.000	969.000	0.000
320000	390.400	478.153	0.000	983.000	0.000
325000	197.000	394.000	0.000	986.000	0.000
330000	97.600	292.800	0.000	976.000	0.000
335000	292.500	446.836	0.000	985.000	0.000
340000	193.200	379.198	0.000	955.000	0.000
345000	88.900	266.700	0.000	889.000	0.000
350000	579.800	473.561	0.000	985.000	946.000
355000	285.400	426.174	0.000	980.000	0.000
360000	193.800	387.621	0.000	978.000	0.000
365000	288.700	441.069	0.000	982.000	0.000
370000	291.300	441.086	0.000	974.000	0.000
375000	190.900	381.970	0.000	980.000	0.000
380000	269.200	410.873	0.000	950.000	0.000
385000	2.600	7.800	0.000	26.000	0.000
390000	478.000	478.364	0.000	982.000	455.500
395000	99.000	290.695	0.000	971.000	0.000
400000	191.900	383.801	0.000	961.000	0.000
405000	194.900	386.887	0.000	985.000	0.000
410000	289.300	439.789	0.000	976.000	0.000
415000	190.400	380.280	0.000	980.000	0.000
420000	277.100	423.824	0.000	963.000	0.000
425000	92.600	277.800	0.000	926.000	0.000
430000	1.400	4.200	0.000	14.000	0.000
435000	93.600	280.800	0.000	936.000	0.000
440000	376.900	462.617	0.000	975.000	0.000
445000	97.100	291.300	0.000	971.000	0.000
450000	182.500	361.883	0.000	967.000	0.000
455000	0.000	0.000	0.000	0.000	0.000
460000	1.300	3.900	0.000	13.000	0.000
