iteration	mean	std_dev	min	max	median
5000	0.000	0.000	0.000	0.000	0.000
10000	0.000	0.000	0.000	0.000	0.000
15000	0.000	0.000	0.000	0.000	0.000
20000	0.000	0.000	0.000	0.000	0.000
25000	0.000	0.000	0.000	0.000	0.000
30000	0.000	0.000	0.000	0.000	0.000
35000	0.000	0.000	0.000	0.000	0.000
40000	0.000	0.000	0.000	0.000	0.000
45000	0.000	0.000	0.000	0.000	0.000
50000	0.000	0.000	0.000	0.000	0.000
55000	0.000	0.000	0.000	0.000	0.000
60000	0.000	0.000	0.000	0.000	0.000
65000	0.000	0.000	0.000	0.000	0.000
70000	0.000	0.000	0.000	0.000	0.000
75000	0.000	0.000	0.000	0.000	0.000
80000	0.000	0.000	0.000	0.000	0.000
85000	0.000	0.000	0.000	0.000	0.000
90000	0.000	0.000	0.000	0.000	0.000
95000	0.000	0.000	0.000	0.000	0.000
100000	0.000	0.000	0.000	0.000	0.000
105000	0.000	0.000	0.000	0.000	0.000
110000	0.000	0.000	0.000	0.000	0.000
115000	0.000	0.000	0.000	0.000	0.000
120000	0.000	0.000	0.000	0.000	0.000
125000	0.000	0.000	0.000	0.000	0.000
130000	0.000	0.000	0.000	0.000	0.000
135000	0.000	0.000	0.000	0.000	0.000
140000	0.000	0.000	0.000	0.000	0.000
145000	0.000	0.000	0.000	0.000	0.000
150000	0.000	0.000	0.000	0.000	0.000
155000	0.000	0.000	0.000	0.000	0.000
160000	0.000	0.000	0.000	0.000	0.000
165000	0.000	0.000	0.000	0.000	0.000
170000	0.000	0.000	0.000	0.000	0.000
175000	0.000	0.000	0.000	0.000	0.000
180000	0.000	0.000	0.000	0.000	0.000
185000	0.000	0.000	0.000	0.000	0.000
190000	0.000	0.000	0.000	0.000	0.000
195000	0.000	0.000	0.000	0.000	0.000
200000	0.000	0.000	0.000	0.000	0.000
205000	0.000	0.000	0.000	0.000	0.000
210000	0.000	0.000	0.000	0.000	0.000
215000	0.000	0.000	0.000	0.000	0.000
220000	0.000	0.000	0.000	0.000	0.000
225000	0.000	0.000	0.000	0.000	0.000
230000	0.000	0.000	0.000	0.000	0.000
235000	0.000	0.000	0.000	0.000	0.000
240000	0.000	0.000	0.000	0.000	0.000
245000	0.000	0.000	0.000	0.000	0.000
250000	0.000	0.000	0.000	0.000	0.000
255000	0.000	0.000	0.000	0.000	0.000
260000	0.000	0.000	0.000	0.000	0.000
265000	0.000	0.000	0.000	0.000	0.000
270000	0.000	0.000	0.000	0.000	0.000
275000	0.000	0.000	0.000	0.000	0.000
280000	0.000	0.000	0.000	0.000	0.000
285000	0.000	0.000	0.000	0.000	0.000
290000	0.000	0.000	0.000	0.000	0.000
295000	0.000	0.000	0.000	0.000	0.000
300000	0.000	0.000	0.000	0.000	0.000
305000	0.000	0.000	0.000	0.000	0.000
310000	0.000	0.000	0.000	0.000	0.000
315000	0.000	0.000	0.000	0.000	0.000
320000	0.000	0.000	0.000	0.000	0.000
325000	0.000	0.000	0.000	0.000	0.000
330000	0.000	0.000	0.000	0.000	0.000
335000	0.000	0.000	0.000	0.000	0.000
340000	0.000	0.000	0.000	0.000	0.000
345000	0.000	0.000	0.000	0.000	0.000
350000	0.000	0.000	0.000	0.000	0.000
355000	0.000	0.000	0.000	0.000	0.000
360000	0.000	0.000	0.000	0.000	0.000
365000	0.000	0.000	0.000	0.000	0.000
370000	0.000	0.000	0.000	0.000	0.000
375000	0.000	0.000	0.000	0.000	0.000
380000	0.000	0.000	0.000	0.000	0.000
385000	0.000	0.000	0.000	0.000	0.000
390000	0.000	0.000	0.000	0.000	0.000
395000	0.000	0.000	0.000	0.000	0.000
400000	0.000	0.000	0.000	0.000	0.000
405000	0.000	0.000	0.000	0.000	0.000
410000	0.000	0.000	0.000	0.000	0.000
415000	0.000	0.000	0.000	0.000	0.000
420000	0.000	0.000	0.000	0.000	0.000
425000	0.000	0.000	0.000	0.000	0.000
430000	0.000	0.000	0.000	0.000	0.000
435000	0.000	0.000	0.000	0.000	0.000
440000	0.000	0.000	0.000	0.000	0.000
445000	0.000	0.000	0.000	0.000	0.000
450000	0.000	0.000	0.000	0.000	0.000
455000	0.000	0.000	0.000	0.000	0.000
460000	0.000	0.000	0.000	0.000	0.000
465000	432.500	9.211	417.000	445.000	431.500
470000	624.100	8.723	608.000	636.000	626.500
475000	6.500	14.334	0.000	46.000	0.000
480000	0.000	0.000	0.000	0.000	0.000
485000	0.000	0.000	0.000	0.000	0.000
490000	2.400	7.200	0.000	24.000	0.000
495000	0.000	0.000	0.000	0.000	0.000
500000	0.000	0.000	0.000	0.000	0.000
505000	419.200	18.110	403.000	468.000	415.000
510000	437.900	9.449	425.000	452.000	438.500
515000	483.400	12.492	469.000	509.000	481.000
520000	452.900	6.833	440.000	464.000	454.000
525000	539.100	8.848	520.000	549.000	538.500
530000	651.300	7.128	639.000	662.000	652.000
535000	689.800	2.821	686.000	696.000	690.000
540000	739.700	4.920	730.000	745.000	741.000
545000	773.100	4.036	763.000	778.000	772.500
550000	810.800	25.849	780.000	846.000	793.500
555000	825.600	3.929	820.000	832.000	824.500
560000	842.800	6.337	830.000	853.000	844.000
565000	857.400	2.653	854.000	861.000	857.500
570000	837.800	12.400	816.000	853.000	841.000
575000	830.400	3.904	822.000	835.000	831.000
580000	836.500	2.837	832.000	843.000	835.500
585000	828.200	8.109	817.000	842.000	826.000
590000	830.800	7.652	822.000	842.000	828.500
595000	847.300	7.938	838.000	861.000	846.000
600000	855.200	2.750	850.000	861.000	855.000
605000	842.000	8.075	827.000	855.000	840.500
610000	841.900	1.868	839.000	844.000	841.500
615000	841.000	3.975	834.000	847.000	842.000
620000	856.300	2.759	852.000	861.000	856.500
625000	844.200	2.272	839.000	847.000	844.500
630000	834.900	4.158	829.000	844.000	834.500
635000	842.100	2.119	838.000	845.000	842.000
640000	843.400	2.154	840.000	847.000	843.000
645000	835.200	2.750	830.000	840.000	835.000
650000	840.100	3.239	835.000	844.000	840.500
655000	839.900	2.773	833.000	844.000	840.500
660000	851.000	2.720	846.000	854.000	851.000
665000	843.000	2.530	837.000	846.000	843.500
670000	841.900	3.618	837.000	847.000	841.500
675000	846.100	1.640	842.000	849.000	846.000
680000	845.300	3.689	839.000	851.000	846.000
685000	842.700	2.147	837.000	845.000	843.500
690000	846.400	2.010	843.000	850.000	846.000
695000	834.400	2.577	830.000	839.000	834.500
700000	843.600	2.154	840.000	847.000	844.000
705000	834.000	3.347	828.000	840.000	834.000
710000	821.900	8.791	809.000	832.000	821.500
715000	842.700	2.052	840.000	848.000	842.000
720000	840.500	2.579	835.000	845.000	841.000
725000	829.000	2.757	825.000	834.000	829.500
730000	836.500	1.688	833.000	839.000	836.500
735000	829.500	1.500	827.000	832.000	829.000
740000	834.800	2.040	830.000	837.000	835.500
745000	828.900	2.166	826.000	832.000	829.500
750000	831.800	3.092	825.000	836.000	832.000
755000	840.500	1.565	838.000	843.000	840.000
760000	833.000	2.966	828.000	837.000	832.500
765000	827.900	2.879	822.000	832.000	828.000
770000	828.900	2.211	826.000	834.000	828.500
775000	827.000	2.793	822.000	832.000	826.500
780000	830.500	2.617	825.000	835.000	830.500
785000	837.700	2.452	833.000	842.000	838.000
790000	822.500	2.802	818.000	827.000	822.500
795000	826.000	3.406	820.000	833.000	825.500
800000	828.000	3.521	821.000	833.000	828.500
805000	827.900	2.300	825.000	832.000	827.000
810000	840.200	1.661	837.000	843.000	840.000
815000	836.300	2.410	833.000	839.000	837.000
820000	827.800	3.156	823.000	832.000	828.000
825000	835.600	1.744	833.000	838.000	836.000
830000	828.100	2.022	825.000	832.000	828.000
835000	822.900	2.256	819.000	828.000	822.000
840000	821.300	3.132	818.000	828.000	820.000
845000	837.400	3.499	832.000	844.000	837.000
850000	824.800	3.092	820.000	831.000	825.000
855000	812.200	3.945	805.000	817.000	813.500
860000	828.500	2.907	823.000	832.000	828.500
865000	821.400	2.728	818.000	826.000	821.500
870000	819.700	4.100	814.000	828.000	820.000
875000	827.700	2.722	825.000	832.000	827.000
880000	824.000	1.844	821.000	827.000	824.500
885000	829.200	2.857	825.000	834.000	828.500
890000	818.500	3.775	813.000	826.000	818.500
895000	817.800	2.400	813.000	821.000	818.000
900000	826.500	3.695	819.000	832.000	827.500
905000	823.500	2.872	820.000	830.000	824.000
910000	825.500	4.653	819.000	834.000	824.500
915000	830.400	1.200	828.000	832.000	830.500
920000	820.900	2.809	814.000	824.000	821.500
925000	818.500	3.233	814.000	825.000	818.500
930000	823.400	3.720	818.000	831.000	823.500
935000	821.200	3.092	816.000	827.000	821.500
940000	832.200	2.821	828.000	838.000	833.000
945000	827.900	3.113	823.000	832.000	828.500
950000	827.400	2.615	824.000	832.000	826.500
955000	817.000	2.098	814.000	821.000	816.500
960000	836.100	2.468	831.000	839.000	837.000
965000	826.500	5.390	814.000	832.000	828.000
970000	824.900	3.330	821.000	830.000	824.500
975000	827.500	2.500	824.000	833.000	827.000
980000	840.600	2.871	835.000	846.000	840.500
985000	820.600	2.871	814.000	825.000	820.500
990000	825.800	3.341	821.000	832.000	826.500
995000	818.800	3.458	814.000	825.000	819.000
1000000	824.900	1.578	822.000	827.000	825.000
