iteration	mean	std_dev	min	max	median
5000	0.120	0.354	0.000	2.000	0.000
10000	0.010	0.099	0.000	1.000	0.000
15000	1.270	7.191	0.000	68.000	0.000
20000	2.250	9.887	0.000	77.000	0.000
25000	2.610	9.606	0.000	82.000	0.000
30000	2.710	8.186	0.000	30.000	0.000
35000	1.910	5.997	0.000	41.000	0.000
40000	0.970	2.809	0.000	18.000	0.000
45000	12.300	36.957	0.000	238.000	0.000
50000	14.440	33.406	0.000	188.000	0.000
55000	35.750	106.755	0.000	755.000	0.000
60000	14.450	65.558	0.000	652.000	0.000
65000	16.180	20.481	0.000	74.000	0.000
70000	19.350	39.112	0.000	188.000	0.000
75000	13.120	25.910	0.000	201.000	0.000
80000	86.140	167.555	0.000	762.000	7.000
85000	7.300	12.993	0.000	78.000	0.000
90000	5.860	14.102	0.000	49.000	0.000
95000	7.750	27.056	0.000	251.000	0.000
100000	5.820	32.236	0.000	318.000	0.000
105000	3.180	8.357	0.000	54.000	0.000
110000	8.010	30.299	0.000	261.000	0.000
115000	6.830	21.752	0.000	173.000	0.000
120000	25.100	112.646	0.000	768.000	0.000
125000	6.630	36.549	0.000	352.000	0.000
130000	1.040	4.680	0.000	31.000	0.000
135000	12.210	55.137	0.000	347.000	0.000
140000	19.510	97.972	0.000	699.000	0.000
145000	4.240	35.835	0.000	354.000	0.000
150000	13.010	67.519	0.000	523.000	0.000
155000	9.340	55.206	0.000	495.000	0.000
160000	32.570	130.367	0.000	759.000	0.000
165000	24.140	99.405	0.000	756.000	0.000
170000	33.440	129.930	0.000	736.000	0.000
175000	16.110	85.060	0.000	625.000	0.000
180000	50.870	145.769	0.000	813.000	0.000
185000	17.770	52.061	0.000	342.000	0.000
190000	28.010	102.212	0.000	813.000	0.000
195000	34.530	109.807	0.000	691.000	0.000
200000	5.840	32.378	0.000	264.000	0.000
205000	12.170	52.794	0.000	333.000	0.000
210000	42.580	130.814	0.000	579.000	0.000
215000	19.970	85.400	0.000	670.000	0.000
220000	30.190	114.868	0.000	777.000	0.000
225000	3.860	16.009	0.000	91.000	0.000
230000	53.500	145.879	0.000	570.000	0.000
235000	61.490	184.794	0.000	802.000	0.000
240000	71.680	168.227	0.000	615.000	0.000
245000	67.650	191.558	0.000	639.000	0.000
250000	3.840	25.867	0.000	255.000	0.000
255000	100.150	215.766	0.000	732.000	0.000
260000	83.730	159.250	0.000	556.000	0.000
265000	147.560	257.732	0.000	729.000	0.000
270000	81.200	172.842	0.000	621.000	0.000
275000	53.060	146.141	0.000	627.000	0.000
280000	101.900	225.840	0.000	703.000	0.000
285000	53.290	165.142	0.000	643.000	0.000
290000	31.260	93.140	0.000	560.000	0.000
295000	75.150	199.309	0.000	743.000	0.000
300000	44.530	126.620	0.000	544.000	0.000
305000	54.840	166.583	0.000	641.000	0.000
310000	23.600	113.774	0.000	617.000	0.000
315000	71.130	173.181	0.000	676.000	0.000
320000	28.700	115.074	0.000	678.000	0.000
325000	2.740	13.234	0.000	99.000	0.000
330000	0.000	0.000	0.000	0.000	0.000
