iteration	mean	std_dev	min	max	median
5000	0.000	0.000	0.000	0.000	0.000
10000	0.000	0.000	0.000	0.000	0.000
15000	192.700	385.403	0.000	967.000	0.000
20000	195.900	365.622	0.000	963.000	0.000
25000	8.200	21.766	0.000	73.000	0.000
30000	100.800	294.775	0.000	985.000	0.000
35000	101.900	259.430	0.000	874.000	0.000
40000	9.500	19.221	0.000	54.000	0.000
45000	0.000	0.000	0.000	0.000	0.000
50000	3.900	11.700	0.000	39.000	0.000
55000	103.200	287.863	0.000	966.000	0.000
60000	104.100	293.898	0.000	985.000	0.000
65000	93.500	275.208	0.000	919.000	0.000
70000	72.600	208.921	0.000	699.000	0.000
75000	96.900	287.382	0.000	959.000	0.000
80000	95.900	287.700	0.000	959.000	0.000
85000	97.700	287.150	0.000	959.000	0.000
90000	0.000	0.000	0.000	0.000	0.000
95000	95.100	285.300	0.000	951.000	0.000
100000	199.100	320.304	0.000	898.000	0.000
105000	95.100	283.306	0.000	945.000	0.000
110000	287.400	439.175	0.000	982.000	0.000
115000	278.900	419.330	0.000	927.000	6.000
120000	0.000	0.000	0.000	0.000	0.000
125000	99.100	281.029	0.000	941.000	0.000
130000	1.000	3.000	0.000	10.000	0.000
135000	105.100	294.899	0.000	988.000	0.000
140000	161.800	312.743	0.000	969.000	0.000
145000	117.400	196.438	0.000	509.000	0.000
150000	185.400	365.618	0.000	924.000	0.000
155000	64.900	194.700	0.000	649.000	0.000
160000	0.000	0.000	0.000	0.000	0.000
165000	10.500	31.500	0.000	105.000	0.000
170000	6.600	19.800	0.000	66.000	0.000
175000	191.400	382.926	0.000	979.000	0.000
180000	188.400	373.984	0.000	961.000	0.000
185000	286.500	437.772	0.000	972.000	0.000
190000	0.000	0.000	0.000	0.000	0.000
195000	0.000	0.000	0.000	0.000	0.000
200000	242.400	389.119	0.000	974.000	0.000
205000	195.700	389.652	0.000	975.000	0.000
210000	103.400	289.361	0.000	971.000	0.000
215000	293.600	448.500	0.000	987.000	0.000
220000	104.500	293.973	0.000	986.000	0.000
225000	194.200	382.629	0.000	984.000	0.000
230000	506.900	417.340	0.000	965.000	735.500
235000	274.200	410.679	0.000	917.000	7.000
240000	274.300	385.591	0.000	891.000	6.500
245000	519.300	425.981	0.000	930.000	808.500
250000	278.100	405.489	0.000	943.000	10.500
255000	386.200	473.276	0.000	985.000	0.000
260000	0.000	0.000	0.000	0.000	0.000
265000	0.000	0.000	0.000	0.000	0.000
270000	190.300	380.745	0.000	975.000	0.000
275000	95.200	285.600	0.000	952.000	0.000
280000	96.200	288.600	0.000	962.000	0.000
285000	97.100	291.300	0.000	971.000	0.000
290000	542.600	444.564	0.000	974.000	843.000
295000	0.000	0.000	0.000	0.000	0.000
300000	272.500	416.702	0.000	958.000	0.000
305000	457.900	458.263	0.000	950.000	438.000
310000	165.500	331.263	0.000	857.000	0.000
315000	424.200	418.760	0.000	946.000	379.000
320000	278.400	425.940	0.000	974.000	0.000
325000	174.600	349.203	0.000	876.000	0.000
330000	181.800	364.401	0.000	963.000	0.000
335000	443.800	444.118	0.000	912.000	425.500
340000	366.200	449.572	0.000	969.000	0.000
345000	147.200	312.580	0.000	973.000	0.000
350000	449.300	450.268	0.000	946.000	417.500
355000	193.500	383.807	0.000	973.000	0.000
360000	621.800	383.087	0.000	970.000	879.000
365000	260.000	393.734	0.000	876.000	0.000
370000	620.400	404.403	0.000	980.000	870.500
375000	288.900	441.332	0.000	974.000	0.000
380000	463.500	461.536	0.000	955.000	447.000
385000	540.700	442.438	0.000	963.000	859.000
390000	97.600	290.474	0.000	969.000	0.000
395000	474.500	470.260	0.000	978.000	446.500
400000	653.200	429.044	0.000	970.000	920.500
405000	730.000	367.605	0.000	982.000	871.000
410000	643.800	422.742	0.000	980.000	906.500
415000	562.000	459.499	0.000	982.000	899.500
420000	517.400	429.517	0.000	979.000	734.500
425000	356.800	438.533	0.000	981.000	0.000
430000	539.000	440.686	0.000	939.000	860.000
435000	643.300	422.168	0.000	978.000	898.500
440000	813.200	277.103	0.000	952.000	916.000
445000	722.800	364.733	0.000	975.000	902.500
450000	457.600	457.949	0.000	946.000	441.500
455000	644.700	422.796	0.000	970.000	901.000
460000	842.400	283.032	0.000	984.000	947.500
465000	830.000	278.482	0.000	970.000	914.000
470000	738.300	369.836	0.000	982.000	912.000
475000	852.800	129.245	563.000	976.000	902.000
480000	634.900	416.378	0.000	950.000	897.000
485000	887.700	67.940	702.000	957.000	900.000
490000	754.300	378.236	0.000	987.000	940.500
495000	842.500	254.484	83.000	977.000	920.500
500000	470.400	468.361	0.000	984.000	458.500
505000	562.700	444.770	0.000	957.000	899.000
510000	953.700	24.711	893.000	982.000	957.000
515000	750.400	376.195	0.000	971.000	935.500
520000	944.500	10.920	926.000	958.000	947.500
525000	739.500	370.364	0.000	950.000	920.500
530000	722.700	365.105	0.000	978.000	905.000
535000	770.400	364.895	0.000	985.000	947.000
540000	838.300	281.204	0.000	972.000	935.500
545000	831.000	278.689	0.000	971.000	921.500
550000	921.100	30.622	852.000	963.000	928.500
555000	829.900	278.714	0.000	961.000	920.500
560000	827.500	276.925	0.000	952.000	924.000
565000	829.500	277.380	0.000	968.000	914.000
570000	906.200	40.570	837.000	968.000	907.500
575000	749.400	375.192	0.000	969.000	922.000
580000	912.500	27.310	865.000	936.000	927.000
585000	927.700	23.018	884.000	966.000	929.500
590000	908.100	54.768	766.000	980.000	920.000
595000	935.800	20.970	899.000	971.000	938.500
600000	919.200	22.094	883.000	947.000	924.000
605000	921.500	27.354	882.000	962.000	915.500
610000	695.900	367.394	0.000	943.000	912.500
615000	887.500	38.299	807.000	933.000	887.500
620000	824.200	276.069	0.000	965.000	915.000
625000	726.700	364.493	0.000	971.000	894.000
630000	729.000	368.676	0.000	962.000	929.000
635000	821.700	276.316	0.000	959.000	914.000
640000	845.500	282.490	0.000	977.000	928.500
645000	821.200	277.418	0.000	983.000	902.500
650000	638.400	418.316	0.000	927.000	913.000
655000	919.900	20.618	892.000	959.000	925.500
660000	826.600	276.211	0.000	950.000	917.500
665000	749.300	374.880	0.000	970.000	929.500
670000	832.500	279.889	4.000	983.000	930.000
675000	654.000	428.610	0.000	978.000	921.500
680000	826.500	276.059	0.000	938.000	924.500
685000	654.400	428.959	0.000	979.000	915.500
690000	718.900	350.772	0.000	930.000	889.000
695000	744.900	373.723	0.000	986.000	932.000
700000	837.600	279.917	0.000	957.000	933.500
705000	818.400	275.546	0.000	958.000	915.500
710000	851.500	284.214	0.000	977.000	943.000
715000	739.300	370.119	0.000	953.000	919.500
720000	915.800	27.586	860.000	965.000	914.500
725000	641.700	421.291	0.000	977.000	907.500
730000	651.400	426.623	0.000	943.000	921.000
735000	829.800	278.531	0.000	985.000	919.500
740000	647.400	414.367	0.000	937.000	906.500
745000	948.600	15.344	913.000	972.000	949.500
750000	727.800	367.128	0.000	962.000	914.500
755000	817.600	274.552	0.000	966.000	901.000
760000	819.900	275.644	0.000	969.000	912.000
765000	740.600	371.157	0.000	950.000	926.500
770000	758.900	379.840	0.000	965.000	952.000
775000	836.700	279.028	0.000	949.000	926.500
780000	727.300	364.760	0.000	951.000	907.500
785000	648.200	424.999	0.000	970.000	905.000
790000	830.600	277.558	0.000	955.000	909.000
795000	939.200	26.003	893.000	980.000	942.000
800000	558.800	456.823	0.000	981.000	897.000
805000	751.100	376.149	0.000	979.000	927.500
810000	751.200	376.096	0.000	959.000	943.500
815000	467.500	467.786	0.000	958.000	452.500
820000	829.800	279.189	0.000	965.000	929.500
825000	741.100	369.027	0.000	954.000	930.000
830000	733.800	367.363	0.000	947.000	913.000
835000	642.800	421.377	0.000	954.000	900.000
840000	660.200	432.315	0.000	955.000	936.000
845000	728.900	366.037	0.000	947.000	917.500
850000	463.600	463.753	0.000	948.000	452.000
855000	837.600	279.730	0.000	954.000	930.000
860000	543.100	444.658	0.000	953.000	858.500
865000	936.700	17.805	903.000	967.000	937.500
870000	649.900	426.187	0.000	970.000	916.000
875000	753.400	377.107	0.000	969.000	943.000
880000	827.500	276.329	0.000	951.000	916.000
885000	843.100	281.541	0.000	970.000	926.000
890000	558.000	456.448	0.000	979.000	891.000
895000	740.100	370.314	0.000	941.000	923.500
900000	827.600	276.344	0.000	952.000	913.500
905000	657.600	430.901	0.000	967.000	929.500
910000	276.100	421.887	0.000	945.000	0.000
915000	635.900	417.738	0.000	945.000	913.000
920000	826.900	276.750	0.000	952.000	917.000
925000	725.600	363.647	0.000	949.000	896.000
930000	552.800	452.459	0.000	980.000	876.500
935000	465.800	466.209	0.000	961.000	447.500
940000	927.200	16.437	895.000	959.000	927.000
945000	829.000	277.456	0.000	959.000	913.000
950000	646.500	423.576	0.000	955.000	903.500
955000	733.800	368.464	0.000	964.000	917.500
960000	725.200	367.202	0.000	971.000	911.500
965000	819.700	275.277	0.000	958.000	915.000
970000	910.500	28.752	846.000	939.000	920.500
975000	704.400	367.939	0.000	933.000	920.000
980000	647.300	424.397	0.000	971.000	912.500
985000	643.500	421.292	0.000	955.000	909.000
990000	643.700	421.911	0.000	959.000	901.000
995000	543.700	444.584	0.000	966.000	876.500
1000000	644.800	422.243	0.000	936.000	917.500
1005000	727.200	363.783	0.000	937.000	901.500
1010000	642.200	420.929	0.000	961.000	904.500
1015000	537.300	440.030	0.000	945.000	842.500
1020000	544.200	445.032	0.000	932.000	872.500
1025000	708.800	355.001	0.000	914.000	885.500
1030000	749.100	374.811	0.000	965.000	931.500
1035000	738.800	369.545	0.000	942.000	922.000
1040000	717.800	361.291	0.000	961.000	874.000
1045000	904.800	33.938	809.000	936.000	916.000
1050000	642.700	421.097	0.000	961.000	905.500
1055000	632.300	416.051	0.000	962.000	859.500
1060000	732.600	367.516	0.000	979.000	896.500
1065000	560.800	458.060	0.000	952.000	917.500
1070000	638.900	419.083	0.000	958.000	891.500
1075000	813.000	272.586	0.000	939.000	903.000
1080000	646.000	423.404	0.000	953.000	911.500
1085000	639.700	420.407	0.000	962.000	911.500
1090000	649.300	425.513	0.000	967.000	908.500
1095000	649.300	425.279	0.000	951.000	919.000
1100000	836.500	279.782	0.000	976.000	934.000
1105000	737.100	370.033	0.000	979.000	912.500
1110000	753.300	376.750	0.000	956.000	936.500
1115000	472.800	473.078	0.000	971.000	455.500
1120000	941.100	14.405	917.000	965.000	943.000
1125000	814.200	275.306	0.000	964.000	923.000
1130000	823.500	275.755	0.000	959.000	905.000
1135000	891.200	33.102	818.000	939.000	891.500
1140000	729.200	365.009	0.000	940.000	904.500
1145000	912.100	27.337	861.000	945.000	917.500
1150000	724.400	363.429	0.000	936.000	901.500
1155000	552.900	451.727	0.000	953.000	897.500
1160000	709.500	357.202	0.000	953.000	882.000
1165000	816.600	273.367	0.000	964.000	898.500
1170000	842.900	281.558	0.000	965.000	938.500
1175000	730.100	368.426	0.000	987.000	917.000
1180000	733.600	367.467	0.000	954.000	904.500
1185000	929.000	22.548	872.000	948.000	937.000
1190000	804.000	272.562	0.000	953.000	903.500
1195000	914.300	25.172	851.000	939.000	924.500
1200000	735.300	369.950	0.000	980.000	918.000
1205000	624.800	410.775	0.000	942.000	876.000
1210000	792.100	272.374	0.000	972.000	896.500
1215000	713.100	358.554	0.000	967.000	881.500
1220000	896.500	43.645	790.000	944.000	904.500
1225000	895.400	67.694	715.000	954.000	921.000
1230000	835.500	279.674	0.000	965.000	935.000
1235000	925.900	16.796	891.000	956.000	926.000
1240000	898.200	40.649	821.000	952.000	918.000
1245000	725.500	363.967	0.000	945.000	916.000
1250000	727.900	364.765	0.000	945.000	897.000
1255000	459.200	459.356	0.000	945.000	436.000
1260000	923.200	17.169	889.000	947.000	920.500
1265000	887.800	65.672	694.000	923.000	909.500
1270000	886.400	93.758	611.000	938.000	920.500
1275000	843.400	282.077	0.000	976.000	939.500
1280000	928.500	29.251	856.000	957.000	931.500
1285000	654.100	428.569	0.000	973.000	917.000
1290000	743.400	371.964	0.000	958.000	918.000
1295000	838.900	280.149	0.000	955.000	928.500
1300000	835.100	279.116	0.000	956.000	927.500
1305000	562.500	459.443	0.000	962.000	921.000
1310000	547.700	447.434	0.000	933.000	887.000
1315000	727.000	364.379	0.000	962.000	898.500
1320000	925.000	24.944	892.000	979.000	919.000
1325000	645.600	423.064	0.000	950.000	914.500
1330000	456.200	456.849	0.000	961.000	436.000
1335000	710.600	356.589	0.000	953.000	872.000
1340000	530.700	437.690	0.000	967.000	779.500
1345000	371.100	454.912	0.000	956.000	0.000
1350000	280.300	428.333	0.000	963.000	0.000
1355000	556.100	454.375	0.000	966.000	903.000
1360000	729.000	365.689	0.000	961.000	894.500
1365000	736.800	368.593	0.000	952.000	914.500
1370000	656.300	430.532	0.000	981.000	910.000
1375000	626.200	409.901	0.000	941.000	871.500
1380000	834.600	278.481	0.000	951.000	926.000
1385000	733.000	367.888	0.000	960.000	899.500
1390000	638.700	420.102	0.000	975.000	886.500
1395000	610.700	406.008	0.000	976.000	870.500
1400000	557.200	455.364	0.000	963.000	900.500
1405000	716.400	361.006	0.000	955.000	876.500
1410000	722.600	362.574	0.000	957.000	894.500
1415000	898.000	49.489	791.000	950.000	913.000
1420000	614.400	403.761	0.000	940.000	852.000
1425000	745.500	373.433	0.000	969.000	918.500
1430000	727.500	364.987	0.000	946.000	893.500
1435000	824.300	274.983	0.000	937.000	915.000
1440000	703.500	353.572	0.000	947.000	860.000
1445000	824.200	276.131	0.000	954.000	912.500
1450000	842.500	282.672	0.000	987.000	932.000
1455000	633.800	416.107	0.000	949.000	889.500
1460000	620.800	410.572	0.000	947.000	886.000
1465000	367.100	450.166	0.000	975.000	0.000
1470000	636.000	419.062	0.000	954.000	904.500
1475000	538.500	440.153	0.000	949.000	873.500
1480000	569.900	462.730	0.000	982.000	918.500
1485000	624.900	411.331	0.000	955.000	862.500
1490000	914.600	54.816	765.000	967.000	928.000
1495000	453.000	453.673	0.000	967.000	433.000
1500000	365.600	447.960	0.000	935.000	0.000
1505000	831.100	277.731	0.000	957.000	922.500
1510000	914.300	78.270	691.000	979.000	932.000
1515000	281.900	430.766	0.000	958.000	0.000
1520000	547.000	447.425	0.000	963.000	868.500
1525000	819.300	276.186	0.000	965.000	904.500
1530000	721.700	362.553	0.000	954.000	896.000
1535000	925.900	20.127	880.000	954.000	925.000
1540000	878.200	60.244	780.000	945.000	900.500
1545000	792.000	267.618	0.000	932.000	865.000
1550000	716.200	359.067	0.000	935.000	877.000
1555000	799.800	271.802	0.000	948.000	897.500
1560000	906.400	42.048	810.000	949.000	918.000
1565000	785.100	265.317	0.000	948.000	871.000
1570000	886.700	35.040	810.000	939.000	884.500
1575000	881.500	58.645	784.000	955.000	896.000
1580000	716.300	360.306	0.000	951.000	892.000
1585000	732.100	367.711	0.000	962.000	908.000
1590000	470.300	470.441	0.000	968.000	461.000
1595000	624.900	411.033	0.000	952.000	875.000
1600000	544.000	446.005	0.000	970.000	846.500
1605000	422.800	428.272	0.000	972.000	368.500
1610000	448.000	451.586	0.000	969.000	372.000
1615000	456.300	457.010	0.000	978.000	435.000
1620000	544.500	446.357	0.000	972.000	841.500
1625000	257.800	401.288	0.000	985.000	0.000
1630000	774.000	267.105	0.000	947.000	865.000
1635000	641.400	420.717	0.000	964.000	886.500
1640000	802.300	268.760	0.000	932.000	878.500
1645000	707.500	355.181	0.000	938.000	880.000
1650000	712.400	363.389	0.000	984.000	914.000
1655000	913.200	31.818	869.000	967.000	906.500
1660000	618.700	405.484	0.000	931.000	871.500
1665000	524.000	430.134	0.000	933.000	797.000
1670000	762.200	262.442	0.000	979.000	823.500
1675000	459.500	460.290	0.000	956.000	424.000
1680000	736.100	368.298	0.000	946.000	918.500
1685000	246.600	377.554	0.000	868.000	0.000
1690000	548.200	447.904	0.000	938.000	888.000
1695000	700.200	356.734	0.000	962.000	874.500
1700000	542.500	443.804	0.000	975.000	873.000
1705000	805.900	273.673	0.000	958.000	900.000
1710000	895.900	39.160	838.000	967.000	892.500
1715000	696.500	349.276	0.000	907.000	856.500
1720000	648.600	425.272	0.000	976.000	917.500
1725000	471.100	471.204	0.000	965.000	463.500
1730000	516.100	427.615	0.000	946.000	763.000
1735000	720.600	361.629	0.000	948.000	887.500
1740000	600.400	396.651	0.000	942.000	802.000
1745000	819.600	275.674	0.000	979.000	905.500
1750000	329.000	405.342	0.000	911.000	0.000
1755000	540.600	442.060	0.000	940.000	861.000
1760000	797.700	272.852	0.000	962.000	886.000
1765000	515.000	425.027	0.000	968.000	778.000
1770000	718.700	361.744	0.000	956.000	880.000
1775000	697.400	350.099	0.000	930.000	863.000
1780000	665.700	342.459	0.000	944.000	832.500
1785000	742.600	263.959	0.000	950.000	831.500
1790000	840.100	32.393	791.000	897.000	830.000
1795000	615.700	405.754	0.000	968.000	852.500
1800000	279.200	426.633	0.000	949.000	0.000
1805000	690.400	348.036	0.000	945.000	846.000
1810000	861.900	50.983	792.000	976.000	850.500
1815000	793.000	266.847	0.000	928.000	876.000
1820000	433.700	435.305	0.000	940.000	401.000
1825000	919.600	31.039	876.000	974.000	912.500
1830000	798.600	267.893	0.000	929.000	885.000
1835000	89.400	268.200	0.000	894.000	0.000
1840000	638.900	420.054	0.000	965.000	883.000
1845000	719.800	362.382	0.000	948.000	903.000
1850000	629.500	413.803	0.000	944.000	872.000
1855000	702.000	352.160	0.000	939.000	857.500
1860000	716.500	360.885	0.000	955.000	864.500
1865000	790.900	266.113	0.000	938.000	862.500
1870000	676.900	343.769	0.000	944.000	826.000
1875000	515.400	423.053	0.000	934.000	788.500
1880000	684.700	345.461	0.000	955.000	804.000
1885000	876.900	46.055	792.000	953.000	875.000
1890000	895.600	52.363	786.000	962.000	904.500
1895000	920.300	23.039	884.000	944.000	929.500
1900000	718.600	360.185	0.000	944.000	885.000
1905000	806.500	271.166	0.000	946.000	889.500
1910000	620.000	407.591	0.000	950.000	852.500
1915000	629.000	413.407	0.000	983.000	867.000
1920000	800.400	275.746	0.000	962.000	910.000
1925000	447.800	450.031	0.000	978.000	405.000
1930000	527.400	431.707	0.000	937.000	835.500
1935000	341.000	417.841	0.000	879.000	0.000
1940000	356.900	437.469	0.000	932.000	0.000
1945000	707.700	355.443	0.000	935.000	858.000
1950000	820.900	277.505	0.000	977.000	908.000
1955000	898.200	47.199	813.000	955.000	897.500
1960000	742.000	372.846	0.000	981.000	907.000
1965000	816.000	274.916	0.000	954.000	904.500
1970000	725.600	364.414	0.000	953.000	874.000
1975000	719.300	360.831	0.000	952.000	898.000
1980000	607.600	400.114	0.000	956.000	842.000
1985000	787.900	265.462	0.000	963.000	858.500
1990000	815.800	274.240	0.000	946.000	913.500
1995000	513.600	421.041	0.000	904.000	791.000
2000000	915.500	33.110	866.000	968.000	919.000
2005000	910.700	40.898	838.000	977.000	918.000
2010000	799.800	269.267	0.000	955.000	883.000
2015000	898.600	49.884	808.000	981.000	902.000
2020000	767.000	261.329	0.000	931.000	871.000
2025000	782.500	264.472	0.000	930.000	871.500
2030000	817.900	271.665	11.000	970.000	889.500
2035000	612.600	397.622	0.000	951.000	833.000
2040000	727.500	366.373	0.000	957.000	902.500
2045000	711.800	358.426	0.000	943.000	886.500
2050000	607.900	400.129	0.000	938.000	827.000
2055000	727.100	366.398	0.000	963.000	907.000
2060000	526.000	432.759	0.000	939.000	793.000
2065000	716.200	359.853	0.000	957.000	875.000
2070000	883.100	49.316	778.000	969.000	883.500
