iteration	mean	std_dev	min	max	median
5000	0.000	0.000	0.000	0.000	0.000
10000	0.000	0.000	0.000	0.000	0.000
15000	261.100	306.935	0.000	928.000	162.000
20000	519.000	305.256	0.000	925.000	600.000
25000	66.500	104.342	0.000	339.000	0.000
30000	156.100	279.343	0.000	929.000	0.000
35000	120.700	157.258	0.000	417.000	0.000
40000	300.300	410.381	0.000	936.000	6.500
45000	195.600	369.510	0.000	939.000	0.000
50000	311.200	325.142	0.000	870.000	214.500
55000	546.500	389.484	0.000	944.000	621.500
60000	371.200	342.333	0.000	930.000	313.000
65000	66.100	150.964	0.000	494.000	0.000
70000	83.700	94.801	0.000	292.000	63.000
75000	120.800	159.261	0.000	454.000	29.500
80000	290.000	336.368	0.000	925.000	123.000
85000	51.300	97.452	0.000	248.000	0.000
90000	79.500	186.673	0.000	617.000	0.000
95000	274.800	369.413	0.000	915.000	34.500
100000	118.900	178.659	0.000	535.000	0.000
105000	2.600	7.800	0.000	26.000	0.000
110000	0.000	0.000	0.000	0.000	0.000
115000	35.800	100.480	0.000	337.000	0.000
120000	198.400	329.835	0.000	871.000	0.000
125000	150.800	282.283	0.000	943.000	0.000
130000	163.100	201.041	0.000	598.000	74.500
135000	168.800	253.980	0.000	903.000	107.500
140000	149.700	274.438	0.000	941.000	30.500
145000	130.900	164.282	0.000	471.000	32.000
150000	231.000	265.545	0.000	787.000	133.000
155000	282.400	349.509	0.000	930.000	94.000
160000	341.500	332.450	0.000	908.000	192.000
165000	377.800	339.306	0.000	937.000	405.500
170000	35.200	57.405	0.000	156.000	0.000
175000	366.900	235.052	0.000	662.000	394.000
180000	246.600	276.348	0.000	855.000	173.000
185000	106.300	164.775	0.000	463.000	0.000
190000	149.800	240.606	0.000	817.000	58.500
195000	221.800	318.208	0.000	903.000	61.000
200000	116.700	203.221	0.000	647.000	20.500
205000	168.400	284.495	0.000	931.000	0.000
210000	153.300	264.822	0.000	755.000	0.000
215000	217.600	310.686	0.000	765.000	0.000
220000	182.600	274.707	0.000	897.000	54.500
225000	283.100	278.627	0.000	746.000	188.500
230000	217.700	333.106	0.000	770.000	0.000
235000	91.400	160.870	0.000	488.000	0.000
240000	88.100	264.300	0.000	881.000	0.000
245000	25.000	50.575	0.000	142.000	0.000
250000	25.700	77.100	0.000	257.000	0.000
255000	0.000	0.000	0.000	0.000	0.000
260000	58.800	176.400	0.000	588.000	0.000
265000	33.400	51.839	0.000	134.000	0.000
270000	4.100	12.300	0.000	41.000	0.000
275000	5.500	16.500	0.000	55.000	0.000
280000	206.900	330.055	0.000	880.000	0.000
285000	214.200	366.219	0.000	939.000	0.000
290000	176.200	212.514	0.000	611.000	42.000
295000	389.400	404.424	0.000	935.000	227.500
300000	449.100	409.170	0.000	943.000	418.000
305000	423.800	348.975	0.000	911.000	531.000
310000	411.200	340.285	0.000	939.000	372.000
315000	526.100	385.622	0.000	949.000	567.500
320000	140.900	159.776	0.000	527.000	84.500
325000	454.400	393.397	0.000	939.000	349.000
330000	365.700	306.164	0.000	926.000	316.500
335000	125.300	187.386	0.000	622.000	51.000
340000	65.000	126.051	0.000	422.000	0.000
345000	222.500	352.916	0.000	941.000	0.000
350000	276.700	356.991	0.000	928.000	70.000
355000	5.500	16.500	0.000	55.000	0.000
360000	57.400	124.032	0.000	392.000	0.000
365000	38.400	63.509	0.000	190.000	0.000
370000	145.400	284.440	0.000	947.000	0.000
375000	245.000	267.295	0.000	779.000	134.500
380000	435.000	343.168	0.000	911.000	473.500
385000	544.400	413.916	0.000	926.000	794.500
390000	373.300	435.222	0.000	934.000	58.000
395000	475.300	112.896	305.000	655.000	443.000
400000	544.700	353.976	0.000	948.000	566.500
405000	593.500	307.376	0.000	945.000	709.000
410000	528.900	374.793	0.000	945.000	682.500
415000	255.300	355.716	0.000	922.000	0.000
420000	338.200	365.532	0.000	915.000	161.000
425000	149.200	265.884	0.000	862.000	0.000
430000	495.200	444.359	0.000	953.000	593.500
435000	665.600	405.119	0.000	948.000	925.500
440000	522.600	307.409	154.000	940.000	412.500
445000	564.200	460.684	0.000	947.000	935.000
450000	472.400	472.407	0.000	950.000	469.500
455000	618.500	410.935	0.000	950.000	836.500
460000	469.200	469.218	0.000	946.000	464.000
465000	198.100	376.022	0.000	950.000	0.000
470000	537.600	447.480	0.000	949.000	794.500
475000	188.200	376.427	0.000	951.000	0.000
480000	370.700	454.082	0.000	940.000	0.000
485000	563.300	459.937	0.000	944.000	936.000
490000	567.400	463.290	0.000	950.000	941.000
495000	566.200	462.305	0.000	947.000	940.500
500000	652.600	427.446	0.000	947.000	927.500
505000	846.900	282.340	0.000	948.000	942.000
510000	753.300	376.690	0.000	950.000	937.000
515000	671.900	387.986	0.000	946.000	911.500
520000	562.500	459.320	0.000	945.000	927.000
525000	832.500	280.802	0.000	951.000	940.000
530000	931.200	19.052	881.000	951.000	937.500
535000	752.700	376.390	0.000	953.000	937.500
540000	843.300	281.325	0.000	949.000	937.500
545000	660.700	432.565	0.000	951.000	942.000
550000	660.700	432.613	0.000	955.000	941.000
555000	850.100	283.426	0.000	956.000	943.000
560000	663.200	434.378	0.000	957.000	952.000
565000	739.000	372.222	0.000	952.000	945.000
570000	933.100	33.195	846.000	954.000	948.500
575000	948.400	9.080	931.000	958.000	951.500
580000	947.900	6.503	933.000	957.000	949.000
585000	948.100	7.648	931.000	958.000	949.500
590000	854.800	285.016	0.000	961.000	949.000
595000	934.600	36.579	855.000	958.000	952.000
600000	827.400	236.492	146.000	962.000	918.500
605000	886.500	123.610	541.000	957.000	941.500
610000	901.300	108.476	581.000	956.000	945.000
615000	900.800	63.264	755.000	952.000	940.000
620000	819.700	256.224	60.000	949.000	907.500
625000	936.400	18.832	899.000	956.000	942.000
630000	882.500	75.007	695.000	957.000	896.500
635000	917.100	44.295	832.000	957.000	936.000
640000	915.300	64.425	733.000	957.000	943.000
645000	950.500	6.946	930.000	955.000	952.500
650000	949.900	7.943	934.000	956.000	952.500
655000	940.100	22.937	873.000	957.000	948.000
660000	946.000	13.282	909.000	956.000	951.500
665000	948.800	6.867	930.000	957.000	950.500
670000	909.200	108.269	590.000	961.000	951.000
675000	940.900	17.541	892.000	953.000	947.500
680000	947.000	10.383	921.000	956.000	952.000
685000	943.200	15.955	908.000	958.000	948.500
690000	951.600	8.800	928.000	960.000	953.500
695000	936.100	34.844	857.000	961.000	956.000
700000	900.300	106.901	595.000	958.000	946.000
705000	943.900	24.894	872.000	959.000	952.500
710000	890.800	53.706	782.000	949.000	903.000
715000	887.300	120.638	583.000	961.000	954.000
720000	934.900	26.002	886.000	960.000	947.000
725000	846.800	122.203	555.000	946.000	890.000
730000	905.800	30.449	852.000	950.000	906.000
735000	916.100	24.460	866.000	947.000	920.500
740000	915.200	23.798	867.000	939.000	926.500
745000	880.000	128.093	499.000	944.000	926.000
750000	933.600	19.278	889.000	958.000	932.000
755000	945.100	10.709	925.000	957.000	949.500
760000	952.400	7.017	942.000	962.000	954.000
765000	947.100	13.338	912.000	957.000	954.500
770000	950.000	12.853	918.000	960.000	956.500
775000	955.000	4.405	949.000	963.000	954.500
780000	948.700	13.871	915.000	964.000	955.500
785000	952.300	10.517	923.000	960.000	956.000
790000	951.600	18.683	896.000	962.000	957.000
795000	951.700	6.373	938.000	959.000	953.000
800000	949.700	12.570	920.000	961.000	955.500
805000	948.800	14.979	919.000	961.000	956.500
810000	929.700	36.691	853.000	961.000	952.500
815000	940.700	27.141	875.000	960.000	956.000
820000	920.000	35.738	872.000	959.000	925.000
825000	851.200	95.826	648.000	961.000	886.500
830000	750.200	245.621	175.000	956.000	840.500
835000	540.300	334.258	0.000	903.000	710.500
840000	708.500	208.269	253.000	954.000	761.500
845000	864.500	91.077	630.000	944.000	909.000
850000	939.500	25.590	872.000	962.000	948.500
855000	926.400	38.299	830.000	954.000	940.000
860000	934.100	14.342	908.000	947.000	938.500
865000	944.700	19.042	892.000	961.000	950.000
870000	872.100	160.128	406.000	955.000	937.500
875000	943.200	12.552	915.000	957.000	945.500
880000	902.100	155.618	436.000	963.000	955.500
885000	946.300	14.072	912.000	961.000	953.000
890000	939.700	35.629	840.000	962.000	954.500
895000	951.900	11.229	921.000	962.000	954.500
900000	955.700	5.021	948.000	964.000	956.500
905000	956.100	2.948	951.000	960.000	956.500
910000	953.000	5.292	946.000	960.000	953.000
915000	954.700	5.984	945.000	964.000	955.000
920000	951.200	12.600	914.000	958.000	954.500
925000	952.700	8.186	938.000	963.000	955.500
930000	955.300	3.437	949.000	962.000	956.000
935000	955.200	4.238	944.000	961.000	955.500
940000	953.900	7.674	933.000	962.000	955.500
945000	955.000	3.406	949.000	961.000	955.500
950000	955.600	3.441	950.000	960.000	955.500
955000	955.500	4.924	947.000	963.000	956.000
960000	956.100	2.982	950.000	961.000	955.500
965000	954.800	4.512	945.000	961.000	956.500
970000	953.300	5.604	941.000	962.000	955.000
975000	954.000	4.960	943.000	961.000	954.500
980000	955.200	3.487	949.000	959.000	956.000
985000	956.000	4.099	946.000	962.000	957.000
990000	956.500	2.907	951.000	961.000	956.500
995000	956.200	4.069	948.000	961.000	957.000
1000000	956.100	3.673	949.000	963.000	956.000
