iteration	mean	std_dev	min	max	median
5000	0.000	0.000	0.000	0.000	0.000
10000	1.100	0.539	0.000	2.000	1.000
15000	38.800	8.483	31.000	57.000	36.000
20000	40.400	0.917	39.000	42.000	40.500
25000	7.600	1.800	5.000	11.000	7.500
30000	42.900	59.334	0.000	177.000	11.000
35000	15.100	1.446	13.000	17.000	14.500
40000	8.400	0.490	8.000	9.000	8.000
45000	59.900	0.539	59.000	61.000	60.000
50000	31.600	4.409	27.000	43.000	30.000
55000	90.100	66.635	0.000	216.000	106.500
60000	22.600	45.308	0.000	120.000	0.000
65000	7.500	5.296	0.000	16.000	8.500
70000	12.800	31.489	0.000	105.000	0.000
75000	19.700	33.215	0.000	92.000	2.000
80000	31.100	4.061	28.000	43.000	30.000
85000	0.000	0.000	0.000	0.000	0.000
90000	21.500	21.992	0.000	50.000	16.500
95000	179.000	19.168	150.000	225.000	178.500
100000	117.200	2.600	113.000	122.000	116.500
105000	268.600	55.247	123.000	334.000	274.500
110000	229.800	29.825	187.000	301.000	221.000
115000	298.800	21.577	244.000	314.000	309.000
120000	74.100	5.822	66.000	84.000	73.000
125000	223.200	7.054	211.000	234.000	224.500
130000	89.900	182.391	0.000	518.000	0.000
135000	308.400	20.641	272.000	342.000	317.000
140000	242.700	17.424	220.000	268.000	244.000
145000	114.600	66.260	38.000	207.000	118.500
150000	172.700	4.518	162.000	179.000	173.500
155000	180.700	1.269	178.000	182.000	181.000
160000	180.500	3.074	172.000	183.000	181.000
165000	144.900	13.538	130.000	176.000	141.000
170000	293.300	96.872	176.000	386.000	345.000
175000	205.800	5.618	200.000	219.000	204.000
180000	99.500	16.256	67.000	108.000	107.500
185000	237.200	10.274	216.000	249.000	236.500
190000	252.200	0.872	250.000	253.000	252.000
195000	364.800	39.610	330.000	473.000	357.000
200000	346.800	40.442	292.000	439.000	341.500
205000	97.200	33.621	84.000	198.000	86.000
210000	232.400	2.691	229.000	236.000	231.500
215000	503.000	72.842	453.000	695.000	466.000
220000	249.600	12.060	238.000	278.000	246.000
225000	331.200	9.978	313.000	347.000	330.500
230000	246.000	43.311	218.000	353.000	225.500
235000	204.100	8.479	195.000	218.000	200.500
240000	139.000	78.703	77.000	267.000	80.500
245000	182.900	14.639	165.000	196.000	193.500
250000	212.600	8.188	197.000	230.000	214.000
255000	246.700	5.021	239.000	254.000	247.500
260000	229.000	3.000	222.000	232.000	229.500
265000	521.300	222.299	306.000	897.000	388.000
270000	269.500	23.938	221.000	312.000	266.000
275000	234.900	11.597	221.000	260.000	234.000
280000	263.000	14.886	241.000	284.000	261.000
285000	259.500	30.270	224.000	314.000	257.500
290000	253.900	4.763	245.000	260.000	255.000
295000	231.900	24.708	187.000	260.000	241.000
300000	236.400	35.089	161.000	316.000	233.500
305000	156.900	29.710	132.000	212.000	140.000
310000	209.200	10.381	204.000	240.000	205.500
315000	262.000	39.174	220.000	316.000	250.000
320000	185.400	3.200	180.000	190.000	185.000
325000	182.700	5.780	169.000	191.000	183.000
330000	218.500	20.685	190.000	253.000	225.000
335000	88.100	1.221	87.000	91.000	88.000
340000	288.000	27.452	234.000	331.000	285.500
345000	188.400	127.628	86.000	396.000	88.000
350000	214.300	18.847	184.000	246.000	212.500
355000	128.200	73.629	74.000	283.000	77.000
360000	375.400	69.609	290.000	491.000	371.000
365000	480.800	91.334	383.000	632.000	454.500
370000	238.300	17.112	213.000	268.000	234.500
375000	219.200	22.004	179.000	253.000	225.000
380000	235.200	7.264	225.000	248.000	235.500
