iteration	mean	std_dev	min	max	median
5000	0.000	0.000	0.000	0.000	0.000
10000	0.000	0.000	0.000	0.000	0.000
15000	0.000	0.000	0.000	0.000	0.000
20000	0.000	0.000	0.000	0.000	0.000
25000	0.000	0.000	0.000	0.000	0.000
30000	0.000	0.000	0.000	0.000	0.000
35000	0.000	0.000	0.000	0.000	0.000
40000	0.000	0.000	0.000	0.000	0.000
45000	2.000	4.754	0.000	16.000	0.000
50000	10.100	9.170	0.000	35.000	9.500
55000	0.000	0.000	0.000	0.000	0.000
60000	0.800	1.536	0.000	5.000	0.000
65000	4.800	0.872	4.000	7.000	5.000
70000	5.400	2.010	0.000	8.000	6.000
75000	0.000	0.000	0.000	0.000	0.000
80000	0.000	0.000	0.000	0.000	0.000
85000	0.200	0.600	0.000	2.000	0.000
90000	12.300	10.159	0.000	24.000	18.500
95000	44.500	3.294	41.000	52.000	43.000
100000	16.600	8.285	4.000	31.000	16.000
105000	0.000	0.000	0.000	0.000	0.000
110000	1.100	3.300	0.000	11.000	0.000
115000	26.900	18.485	0.000	49.000	33.000
120000	0.300	0.900	0.000	3.000	0.000
125000	23.400	12.619	0.000	37.000	27.500
130000	48.100	60.171	0.000	202.000	29.500
135000	9.300	12.362	0.000	33.000	0.000
140000	10.500	18.822	0.000	56.000	0.000
145000	0.000	0.000	0.000	0.000	0.000
150000	0.200	0.600	0.000	2.000	0.000
155000	2.500	7.500	0.000	25.000	0.000
160000	16.500	10.317	0.000	35.000	18.000
165000	9.600	21.574	0.000	70.000	0.000
170000	22.300	54.878	0.000	183.000	0.000
175000	7.800	17.192	0.000	58.000	0.000
180000	0.000	0.000	0.000	0.000	0.000
185000	2.000	3.661	0.000	11.000	0.000
190000	1.800	3.124	0.000	8.000	0.000
195000	19.000	17.872	0.000	57.000	13.500
200000	38.100	9.038	21.000	58.000	38.000
205000	43.900	23.283	24.000	109.000	37.500
210000	18.700	20.100	0.000	54.000	15.000
215000	43.600	41.872	0.000	142.000	35.000
220000	31.000	33.523	0.000	87.000	18.500
225000	58.000	23.987	0.000	102.000	60.000
230000	35.900	27.057	4.000	96.000	22.500
235000	8.200	9.119	0.000	24.000	5.500
240000	9.600	20.426	0.000	66.000	0.000
245000	11.800	12.384	0.000	34.000	10.000
250000	29.500	25.932	0.000	68.000	36.500
255000	7.700	23.100	0.000	77.000	0.000
260000	6.400	9.594	0.000	28.000	0.000
265000	12.300	12.861	0.000	35.000	6.000
270000	0.000	0.000	0.000	0.000	0.000
275000	8.700	13.755	0.000	38.000	0.000
280000	20.900	19.967	0.000	59.000	15.000
285000	37.300	10.743	20.000	49.000	41.000
290000	13.500	13.071	0.000	33.000	12.500
295000	0.300	0.640	0.000	2.000	0.000
300000	40.200	24.306	0.000	90.000	34.500
305000	19.000	20.995	0.000	56.000	7.500
310000	42.100	36.501	0.000	98.000	43.000
315000	79.000	45.396	23.000	168.000	85.000
320000	13.900	32.700	0.000	108.000	0.000
325000	70.500	52.667	2.000	174.000	59.500
330000	62.100	31.599	0.000	93.000	77.000
335000	32.300	32.561	0.000	89.000	18.500
340000	55.100	37.279	0.000	110.000	38.500
345000	85.300	21.790	23.000	104.000	89.000
350000	55.800	31.051	18.000	100.000	45.000
355000	36.000	25.369	4.000	67.000	38.500
360000	90.400	6.437	76.000	98.000	92.000
365000	81.300	10.335	52.000	89.000	84.500
370000	36.500	38.192	0.000	113.000	31.000
375000	29.400	40.379	0.000	93.000	3.500
380000	78.000	39.090	0.000	103.000	96.000
385000	74.000	26.061	38.000	109.000	79.500
390000	106.400	18.375	84.000	145.000	99.000
395000	70.100	35.700	16.000	117.000	81.500
400000	47.300	31.667	25.000	113.000	30.000
405000	99.000	13.979	83.000	124.000	94.500
410000	79.000	6.812	72.000	92.000	77.000
415000	60.200	25.155	29.000	107.000	60.000
420000	113.200	5.528	101.000	120.000	114.500
425000	50.200	11.294	35.000	68.000	51.000
430000	102.900	7.661	92.000	116.000	104.500
435000	132.700	51.579	67.000	260.000	114.500
440000	18.100	36.206	0.000	92.000	0.000
445000	132.600	32.169	65.000	172.000	136.000
450000	129.900	11.458	108.000	149.000	130.000
455000	65.900	5.890	57.000	75.000	66.500
460000	166.400	72.201	49.000	283.000	179.000
465000	45.100	27.991	0.000	76.000	54.000
470000	5.400	16.200	0.000	54.000	0.000
475000	208.500	48.864	120.000	261.000	218.500
480000	121.000	72.900	30.000	242.000	115.000
485000	155.400	77.590	17.000	278.000	149.500
490000	272.000	44.648	173.000	337.000	265.500
495000	96.200	263.694	0.000	886.000	0.000
500000	233.800	46.447	172.000	337.000	233.500
505000	438.700	296.348	151.000	894.000	325.500
510000	322.700	187.420	199.000	869.000	257.500
515000	124.500	38.567	54.000	215.000	119.000
520000	244.800	71.373	69.000	381.000	249.000
525000	552.800	148.988	303.000	808.000	537.500
530000	194.500	47.932	151.000	290.000	163.000
535000	396.100	322.174	158.000	890.000	197.000
540000	385.300	315.467	82.000	897.000	326.000
545000	145.400	251.446	0.000	888.000	59.000
550000	92.900	78.568	36.000	287.000	50.000
555000	168.900	24.160	137.000	198.000	170.500
560000	198.600	99.542	94.000	343.000	169.000
565000	290.800	159.344	150.000	715.000	236.000
570000	476.100	155.471	224.000	737.000	503.500
575000	306.600	183.745	76.000	710.000	306.000
580000	497.600	251.094	128.000	896.000	457.000
585000	306.000	225.748	128.000	909.000	241.000
590000	160.100	42.364	113.000	246.000	148.000
595000	427.900	230.755	156.000	902.000	351.000
600000	502.800	309.554	159.000	921.000	392.500
605000	533.300	317.667	113.000	917.000	526.500
610000	451.400	381.157	34.000	915.000	235.000
615000	692.900	221.622	238.000	873.000	807.500
620000	870.600	6.960	853.000	875.000	873.500
625000	780.600	257.058	12.000	886.000	871.000
630000	782.900	261.601	0.000	888.000	874.500
635000	807.600	218.874	151.000	884.000	880.000
640000	756.300	252.152	0.000	846.000	841.000
645000	858.300	1.418	856.000	861.000	858.000
650000	709.500	199.568	384.000	871.000	858.500
655000	783.600	117.506	437.000	864.000	811.500
660000	755.600	197.620	322.000	858.000	853.500
665000	0.000	0.000	0.000	0.000	0.000
670000	728.800	245.152	235.000	914.000	896.500
675000	459.500	262.054	217.000	897.000	329.000
680000	524.200	344.776	1.000	915.000	457.500
685000	366.300	247.310	0.000	832.000	306.000
690000	650.900	274.942	160.000	862.000	830.500
695000	626.700	222.136	256.000	837.000	765.500
700000	0.000	0.000	0.000	0.000	0.000
705000	629.200	291.575	58.000	845.000	829.500
710000	746.200	239.443	310.000	924.000	913.500
715000	611.300	197.109	277.000	914.000	552.000
720000	168.700	314.685	0.000	797.000	0.000
725000	70.000	140.599	0.000	379.000	0.000
730000	755.500	251.905	0.000	850.000	840.000
735000	448.900	344.117	40.000	867.000	269.000
740000	707.700	193.942	147.000	851.000	773.500
745000	855.600	2.871	851.000	860.000	855.500
750000	780.600	153.462	434.000	880.000	875.000
755000	756.300	211.749	199.000	872.000	853.500
760000	704.000	305.493	2.000	911.000	890.000
765000	620.800	175.407	359.000	836.000	654.500
770000	774.900	111.966	509.000	877.000	828.000
775000	701.400	240.912	242.000	884.000	840.500
780000	755.800	213.850	239.000	886.000	871.000
785000	783.300	175.133	426.000	890.000	870.000
790000	692.200	150.878	485.000	843.000	767.000
795000	668.100	254.725	0.000	834.000	801.000
800000	620.100	307.489	0.000	857.000	797.000
805000	762.300	133.249	386.000	844.000	822.000
810000	542.200	249.172	260.000	830.000	540.000
815000	825.500	82.258	664.000	922.000	848.500
820000	751.200	183.650	317.000	889.000	872.500
825000	825.200	201.180	222.000	905.000	891.000
830000	773.800	177.858	304.000	902.000	851.500
835000	761.100	131.479	381.000	872.000	787.000
840000	618.800	282.178	218.000	926.000	779.000
845000	925.900	4.323	917.000	931.000	927.000
850000	422.900	287.524	123.000	909.000	310.000
855000	638.700	219.359	268.000	869.000	710.500
860000	562.000	428.284	0.000	912.000	908.500
865000	528.800	408.510	0.000	919.000	800.500
870000	880.300	78.275	646.000	912.000	905.500
875000	566.200	387.784	0.000	910.000	780.500
880000	399.600	358.564	0.000	837.000	423.000
885000	845.100	233.399	145.000	926.000	924.500
890000	583.200	407.199	0.000	912.000	894.500
895000	686.600	368.925	0.000	922.000	916.000
900000	633.000	334.358	0.000	911.000	831.000
905000	896.700	58.306	722.000	923.000	915.000
910000	872.600	78.920	636.000	903.000	896.500
915000	838.900	84.709	611.000	885.000	876.000
920000	901.300	3.132	897.000	906.000	900.500
925000	802.200	240.445	102.000	914.000	901.000
930000	829.900	130.767	492.000	903.000	889.500
935000	878.300	106.535	559.000	921.000	913.000
940000	751.900	307.368	0.000	906.000	901.500
945000	778.400	245.027	262.000	913.000	909.000
950000	908.500	2.110	905.000	912.000	909.000
955000	808.200	269.463	0.000	910.000	894.500
960000	919.500	2.247	915.000	923.000	920.000
965000	804.700	183.680	387.000	900.000	895.500
970000	814.300	272.824	0.000	921.000	914.000
975000	897.000	21.109	872.000	925.000	896.000
980000	921.100	3.859	917.000	931.000	920.500
985000	907.100	6.848	890.000	913.000	909.500
990000	906.700	1.345	905.000	909.000	907.000
995000	856.500	13.079	832.000	874.000	857.500
1000000	900.700	3.743	895.000	906.000	901.000
