iteration	mean	std_dev	min	max	median
250000	288.127	134.347	50.000	1050.000	250.000
500000	459.483	186.900	50.000	1300.000	400.000
750000	467.012	181.599	200.000	1350.000	400.000
1000000	867.246	346.326	250.000	1800.000	900.000
1250000	1060.801	607.320	250.000	3400.000	1000.000
1500000	1634.123	590.182	350.000	3000.000	1600.000
1750000	2459.355	493.826	200.000	3400.000	2600.000
2000000	2428.344	567.800	400.000	3600.000	2600.000
2250000	1891.500	731.131	600.000	3600.000	1750.000
2500000	2482.704	639.477	650.000	4000.000	2600.000
2750000	2601.299	571.110	600.000	3700.000	2700.000
3000000	2302.727	753.100	350.000	4100.000	2500.000
3250000	2243.931	969.748	600.000	3900.000	2700.000
3500000	2631.847	681.889	600.000	3800.000	2800.000
3750000	2661.783	694.614	350.000	3800.000	2900.000
4000000	2765.909	746.392	250.000	4100.000	3000.000
4250000	2599.057	856.192	600.000	4400.000	2900.000
4500000	2763.548	688.695	400.000	4000.000	2900.000
4750000	3081.250	330.187	1900.000	4500.000	3000.000
5000000	2095.026	920.172	350.000	4000.000	2250.000
5250000	3063.014	420.211	1150.000	4000.000	3100.000
5500000	2617.188	812.443	300.000	4100.000	2900.000
5750000	2820.470	657.073	350.000	3900.000	3000.000
6000000	2703.145	942.893	300.000	4700.000	3000.000
6250000	2952.318	795.066	350.000	4400.000	3100.000
6500000	2813.087	720.770	350.000	3900.000	3000.000
6750000	2951.361	666.546	350.000	4400.000	3100.000
7000000	2808.117	880.645	400.000	4100.000	3000.000
7250000	2988.000	800.889	300.000	4400.000	3100.000
7500000	3128.082	625.102	600.000	4300.000	3200.000
7750000	3235.417	541.983	1550.000	4900.000	3200.000
8000000	2666.038	886.877	650.000	4400.000	3000.000
8250000	3222.917	764.668	650.000	5300.000	3250.000
8500000	3081.072	707.422	1300.000	4800.000	3150.000
8750000	2909.667	838.942	350.000	5200.000	3000.000
9000000	2948.621	643.614	1300.000	4300.000	3100.000
9250000	3160.616	577.554	950.000	4600.000	3200.000
9500000	3367.014	820.678	300.000	4900.000	3500.000
9750000	2727.358	886.405	450.000	5200.000	3000.000
10000000	3025.850	880.657	800.000	4900.000	3200.000
