iteration	mean	std_dev	min	max	median
250000	0.103	0.756	0.000	15.000	0.000
500000	16.511	7.682	6.000	46.000	14.000
750000	27.376	28.222	9.000	363.000	23.000
1000000	58.598	77.881	10.000	401.000	40.000
1250000	66.800	68.205	17.000	414.000	49.000
1500000	103.938	90.384	22.000	394.000	75.000
1750000	124.065	101.402	20.000	391.000	79.500
2000000	157.483	127.469	16.000	395.000	92.000
2250000	151.763	126.018	9.000	393.000	87.000
2500000	1.844	2.851	0.000	11.000	1.000
2750000	200.627	120.028	41.000	398.000	170.000
3000000	150.348	106.421	13.000	371.000	103.000
3250000	187.481	112.479	26.000	420.000	143.000
3500000	180.776	123.529	21.000	408.000	145.000
3750000	239.808	120.435	24.000	427.000	251.500
4000000	151.808	144.686	9.000	417.000	66.500
4250000	263.158	120.753	38.000	411.000	313.000
4500000	58.535	99.524	5.000	405.000	22.000
4750000	192.847	139.961	14.000	431.000	136.000
5000000	272.870	118.308	29.000	413.000	320.000
5250000	210.875	138.027	11.000	420.000	196.000
5500000	301.239	110.844	70.000	428.000	338.000
5750000	20.259	17.234	0.000	115.000	19.000
6000000	295.119	111.840	50.000	430.000	327.000
6250000	313.441	114.675	43.000	433.000	372.000
6500000	283.029	126.299	17.000	428.000	336.000
6750000	284.133	110.725	100.000	419.000	311.000
7000000	253.797	131.349	23.000	407.000	305.500
7250000	290.397	127.824	56.000	429.000	344.500
7500000	287.943	124.246	30.000	433.000	345.500
7750000	381.659	68.416	67.000	465.000	399.000
8000000	326.667	122.550	23.000	426.000	383.500
8250000	289.806	128.648	19.000	428.000	356.000
8500000	349.333	96.088	51.000	440.000	382.000
8750000	287.209	131.866	19.000	427.000	353.000
9000000	315.559	115.246	33.000	430.000	368.500
9250000	235.625	134.572	18.000	421.000	257.000
9500000	336.553	103.329	41.000	428.000	368.500
9750000	267.736	146.895	11.000	424.000	360.000
10000000	302.538	126.716	24.000	424.000	354.000
10250000	327.455	96.361	169.000	419.000	399.000
10500000	341.048	102.160	65.000	430.000	382.500
10750000	337.086	92.373	17.000	427.000	369.000
11000000	276.781	132.072	25.000	427.000	343.000
11250000	351.643	91.847	59.000	427.000	369.500
11500000	283.080	113.615	47.000	409.000	336.000
11750000	264.815	141.613	31.000	428.000	325.000
12000000	372.176	70.149	182.000	430.000	405.000
12250000	333.800	105.562	49.000	418.000	374.000
12500000	309.400	112.401	56.000	424.000	367.000
12750000	308.742	105.144	75.000	420.000	352.500
13000000	307.000	123.449	22.000	427.000	360.000
13250000	283.290	143.294	19.000	433.000	358.000
13500000	298.754	129.264	28.000	428.000	364.000
13750000	289.090	147.752	5.000	430.000	375.000
14000000	323.458	119.423	16.000	427.000	372.000
14250000	332.596	112.976	25.000	465.000	381.000
14500000	371.182	38.635	300.000	432.000	361.000
14750000	349.214	99.280	52.000	431.000	396.000
15000000	358.412	96.473	61.000	431.000	399.000
15250000	383.941	91.994	19.000	428.000	409.000
15500000	284.743	145.092	38.000	426.000	376.000
15750000	326.220	131.056	8.000	431.000	385.000
16000000	194.531	175.195	4.000	426.000	89.000
16250000	369.265	71.535	64.000	429.000	395.000
16500000	359.744	95.516	41.000	431.000	395.000
16750000	185.684	163.107	5.000	430.000	87.000
17000000	367.830	82.761	49.000	437.000	397.000
17250000	345.136	111.114	13.000	430.000	398.000
17500000	315.000	136.345	22.000	425.000	358.000
17750000	382.340	93.050	41.000	608.000	406.000
18000000	319.909	119.391	27.000	423.000	382.000
18250000	371.846	34.447	285.000	427.000	372.000
18500000	327.081	126.640	18.000	430.000	393.500
18750000	371.486	54.708	117.000	423.000	389.000
19000000	346.810	86.991	48.000	443.000	373.000
19250000	342.380	110.949	25.000	431.000	388.000
19500000	320.393	118.975	39.000	428.000	383.000
19750000	358.074	107.392	29.000	443.000	411.000
20000000	326.550	117.270	20.000	440.000	375.000
20250000	400.083	19.116	356.000	426.000	405.000
20500000	246.823	149.239	15.000	440.000	318.000
20750000	379.566	79.198	49.000	429.000	412.000
21000000	369.615	81.276	178.000	462.000	397.000
21250000	341.885	110.874	55.000	431.000	386.500
21500000	367.152	90.975	13.000	463.000	401.500
21750000	386.564	100.092	44.000	842.000	404.000
22000000	397.818	38.877	285.000	430.000	405.000
22250000	368.630	94.915	19.000	434.000	401.000
22500000	340.619	119.801	52.000	445.000	399.000
22750000	315.968	125.219	20.000	434.000	373.000
23000000	308.500	136.829	15.000	428.000	377.500
23250000	362.615	105.572	61.000	430.000	403.500
23500000	338.971	129.436	34.000	518.000	392.000
23750000	376.842	74.139	59.000	443.000	398.000
24000000	306.677	144.034	11.000	431.000	385.000
24250000	392.309	72.204	96.000	615.000	406.000
24500000	299.214	155.799	40.000	426.000	376.000
24750000	401.896	88.921	64.000	855.000	412.500
25000000	415.261	114.586	111.000	849.000	421.000
25250000	345.259	115.809	26.000	430.000	403.000
25500000	314.790	139.244	25.000	497.000	396.000
25750000	352.609	117.260	34.000	432.000	402.000
26000000	395.094	62.219	108.000	471.000	412.000
26250000	393.634	46.990	134.000	436.000	403.000
26500000	368.022	90.633	17.000	429.000	406.000
26750000	351.612	102.932	55.000	432.000	388.000
27000000	383.018	73.001	30.000	431.000	402.500
27250000	379.109	77.366	119.000	451.000	406.000
27500000	365.803	87.126	53.000	456.000	389.000
