iteration	mean	std_dev	min	max	median
250000	-20.440	0.686	-21.000	-17.000	-21.000
500000	-20.547	0.701	-21.000	-17.000	-21.000
750000	-20.216	0.891	-21.000	-17.000	-20.000
1000000	-19.939	1.297	-21.000	-12.000	-20.000
1250000	-19.337	2.630	-21.000	-9.000	-20.000
1500000	-18.592	3.589	-21.000	-5.000	-20.000
1750000	-16.639	9.487	-21.000	20.000	-20.000
2000000	-16.194	10.549	-21.000	20.000	-21.000
2250000	-16.671	9.015	-21.000	21.000	-20.000
2500000	-13.485	14.608	-21.000	20.000	-20.000
2750000	-14.268	13.592	-21.000	20.000	-20.000
3000000	-14.247	14.147	-21.000	21.000	-21.000
3250000	-13.138	14.870	-21.000	21.000	-20.000
3500000	-13.422	14.715	-21.000	21.000	-20.000
3750000	-17.334	10.044	-21.000	20.000	-21.000
4000000	-13.831	14.146	-21.000	20.000	-20.000
4250000	-13.922	14.103	-21.000	21.000	-20.000
4500000	-13.298	14.691	-21.000	21.000	-20.000
4750000	-14.294	13.410	-21.000	21.000	-20.000
5000000	-13.621	14.279	-21.000	21.000	-20.000
5250000	-13.718	14.280	-21.000	21.000	-20.000
5500000	-13.702	14.252	-21.000	21.000	-20.000
5750000	-13.548	14.629	-21.000	21.000	-20.000
6000000	-13.802	14.249	-21.000	21.000	-20.000
6250000	-13.769	14.232	-21.000	21.000	-20.000
6500000	-13.970	14.086	-21.000	21.000	-20.000
6750000	-14.133	14.331	-21.000	21.000	-21.000
7000000	-13.491	14.620	-21.000	21.000	-20.000
7250000	-14.101	13.747	-21.000	20.000	-20.000
7500000	-13.216	14.892	-21.000	21.000	-20.000
7750000	-14.711	13.180	-21.000	21.000	-20.000
8000000	-14.738	12.755	-21.000	20.000	-20.000
8250000	-13.741	14.186	-21.000	20.000	-20.000
8500000	-13.864	14.270	-21.000	21.000	-20.000
8750000	-13.698	14.375	-21.000	21.000	-20.000
9000000	-13.245	14.835	-21.000	21.000	-20.000
9250000	-13.542	14.371	-21.000	21.000	-20.000
9500000	-14.037	14.047	-21.000	21.000	-20.000
9750000	-13.178	14.954	-21.000	21.000	-20.000
10000000	-14.076	14.011	-21.000	21.000	-20.000
10250000	-13.841	14.411	-21.000	21.000	-20.000
10500000	-13.784	14.314	-21.000	21.000	-20.000
10750000	-13.841	14.456	-21.000	21.000	-20.000
11000000	-13.924	14.611	-21.000	21.000	-21.000
11250000	-14.164	13.889	-21.000	21.000	-20.000
11500000	-13.746	14.156	-21.000	21.000	-20.000
11750000	-13.904	14.362	-21.000	21.000	-20.000
12000000	-14.146	13.922	-21.000	21.000	-20.000
12250000	-14.028	14.090	-21.000	21.000	-20.000
12500000	-13.981	14.324	-21.000	21.000	-20.000
12750000	-19.757	1.750	-21.000	-10.000	-20.000
13000000	-13.563	14.829	-21.000	21.000	-20.000
13250000	-13.791	14.591	-21.000	21.000	-20.000
13500000	-13.670	14.709	-21.000	21.000	-20.000
13750000	-16.665	9.628	-21.000	20.000	-20.000
14000000	-13.532	14.876	-21.000	21.000	-20.000
14250000	-13.775	14.607	-21.000	21.000	-20.000
14500000	-13.629	14.625	-21.000	21.000	-20.000
14750000	-14.314	13.759	-21.000	21.000	-20.000
15000000	-13.346	15.145	-21.000	21.000	-20.000
15250000	-13.746	14.588	-21.000	21.000	-20.000
15500000	-13.618	14.736	-21.000	21.000	-20.000
15750000	-19.034	5.072	-21.000	20.000	-20.000
16000000	-18.320	4.756	-21.000	5.000	-20.000
16250000	-13.863	14.276	-21.000	21.000	-20.000
16500000	-14.181	14.069	-21.000	21.000	-20.000
16750000	-20.402	0.777	-21.000	-17.000	-21.000
17000000	-13.205	15.093	-21.000	21.000	-20.000
17250000	-13.560	14.859	-21.000	21.000	-20.000
17500000	-13.393	14.980	-21.000	21.000	-20.000
17750000	-13.769	14.562	-21.000	21.000	-20.000
18000000	-13.242	15.116	-21.000	21.000	-20.000
18250000	-13.622	14.743	-21.000	21.000	-20.000
18500000	-13.568	14.587	-21.000	21.000	-20.000
18750000	-13.733	14.677	-21.000	21.000	-20.000
19000000	-14.043	14.150	-21.000	21.000	-20.000
19250000	-13.919	14.139	-21.000	21.000	-20.000
19500000	-13.193	15.107	-21.000	21.000	-20.000
19750000	-20.283	0.880	-21.000	-17.000	-21.000
20000000	-13.683	14.574	-21.000	21.000	-20.000
20250000	-13.743	14.529	-21.000	21.000	-20.000
20500000	-13.962	14.056	-21.000	21.000	-20.000
20750000	-13.475	14.807	-21.000	21.000	-20.000
21000000	-13.870	14.317	-21.000	21.000	-20.000
21250000	-13.716	14.578	-21.000	21.000	-20.000
21500000	-13.448	14.926	-21.000	21.000	-20.000
21750000	-13.261	15.019	-21.000	21.000	-20.000
22000000	-13.333	14.940	-21.000	21.000	-20.000
22250000	-13.807	14.698	-21.000	21.000	-20.000
22500000	-13.267	15.159	-21.000	21.000	-20.000
22750000	-13.693	14.787	-21.000	21.000	-20.000
23000000	-12.723	15.573	-21.000	21.000	-20.000
23250000	-11.558	15.675	-21.000	21.000	-19.000
23500000	-10.874	15.695	-21.000	21.000	-20.000
23750000	-8.017	16.073	-21.000	21.000	-18.000
24000000	-6.561	16.581	-21.000	21.000	-18.000
24250000	-3.500	16.403	-21.000	21.000	-8.500
24500000	-2.673	15.065	-21.000	21.000	-7.000
24750000	-1.509	14.795	-21.000	21.000	-5.000
25000000	2.987	14.104	-21.000	21.000	3.500
25250000	-8.504	16.022	-21.000	21.000	-20.000
25500000	5.520	11.976	-12.000	21.000	0.000
25750000	7.035	11.066	-12.000	21.000	3.000
26000000	6.706	9.725	-11.000	21.000	6.000
26250000	8.355	9.856	-12.000	21.000	6.000
26500000	9.291	9.150	-7.000	21.000	7.000
26750000	14.167	6.172	-4.000	21.000	15.000
27000000	14.943	5.947	-3.000	21.000	17.000
27250000	16.282	5.177	2.000	21.000	19.000
27500000	12.023	11.455	-12.000	21.000	18.000
27750000	15.778	5.552	-1.000	21.000	18.000
28000000	8.438	14.942	-21.000	21.000	17.000
28250000	-3.502	17.972	-21.000	21.000	-18.000
28500000	8.753	12.091	-17.000	21.000	13.000
28750000	17.304	4.156	2.000	21.000	19.000
29000000	-5.454	18.686	-21.000	21.000	-21.000
29250000	16.964	4.258	3.000	21.000	19.000
29500000	16.642	5.172	-1.000	21.000	19.000
29750000	15.964	5.592	-2.000	21.000	18.000
30000000	17.103	4.177	4.000	21.000	19.000
30250000	17.575	3.859	3.000	21.000	20.000
30500000	17.488	3.395	7.000	21.000	19.000
30750000	17.268	3.621	4.000	21.000	18.000
31000000	17.139	4.120	4.000	21.000	19.000
31250000	17.548	3.452	5.000	21.000	19.000
31500000	18.160	3.138	6.000	21.000	20.000
31750000	17.983	2.860	8.000	21.000	19.000
32000000	18.425	2.997	1.000	21.000	20.000
32250000	17.527	3.325	4.000	21.000	19.000
32500000	15.769	7.585	-7.000	21.000	20.000
32750000	18.368	3.021	7.000	21.000	19.500
33000000	9.150	15.172	-18.000	21.000	19.000
33250000	17.101	4.639	-5.000	21.000	19.000
33500000	18.766	2.594	9.000	21.000	20.000
33750000	17.729	2.857	9.000	21.000	19.000
34000000	18.349	2.481	11.000	21.000	19.000
34250000	18.384	2.686	9.000	21.000	19.000
34500000	18.920	2.329	9.000	21.000	20.000
34750000	18.568	2.406	8.000	21.000	19.000
35000000	-1.487	19.270	-21.000	21.000	-18.000
35250000	18.382	2.302	11.000	21.000	19.000
35500000	19.286	2.090	9.000	21.000	20.000
35750000	19.597	1.418	13.000	21.000	20.000
36000000	19.136	1.816	12.000	21.000	20.000
36250000	19.228	2.003	11.000	21.000	20.000
36500000	19.695	1.791	8.000	21.000	20.000
36750000	9.085	15.560	-21.000	21.000	19.000
37000000	19.530	1.844	6.000	21.000	20.000
37250000	19.470	1.692	12.000	21.000	20.000
37500000	19.226	1.953	7.000	21.000	20.000
37750000	18.990	2.126	9.000	21.000	20.000
38000000	19.623	1.645	10.000	21.000	20.000
38250000	19.670	1.568	12.000	21.000	20.000
38500000	18.933	2.454	6.000	21.000	20.000
38750000	19.770	1.522	12.000	21.000	20.000
39000000	19.639	1.429	15.000	21.000	20.000
39250000	20.044	1.194	14.000	21.000	20.000
39500000	19.807	1.327	15.000	21.000	20.000
39750000	19.780	1.323	15.000	21.000	20.000
40000000	19.786	1.564	13.000	21.000	20.000
40250000	19.648	1.612	12.000	21.000	20.000
40500000	0.262	19.946	-21.000	21.000	-10.000
40750000	20.078	1.374	13.000	21.000	20.500
41000000	20.211	1.260	11.000	21.000	21.000
41250000	20.118	1.189	15.000	21.000	20.000
41500000	20.146	1.335	13.000	21.000	21.000
41750000	19.936	1.335	12.000	21.000	20.000
42000000	20.136	1.326	11.000	21.000	20.000
42250000	19.941	1.468	9.000	21.000	20.000
42500000	20.000	1.218	15.000	21.000	20.000
42750000	19.869	1.760	5.000	21.000	20.000
43000000	19.626	1.495	12.000	21.000	20.000
43250000	19.931	1.398	14.000	21.000	20.000
43500000	19.855	1.454	14.000	21.000	20.000
43750000	19.842	1.806	9.000	21.000	20.500
44000000	19.947	1.380	13.000	21.000	20.000
44250000	20.085	1.586	10.000	21.000	21.000
44500000	19.951	1.267	13.000	21.000	20.000
44750000	19.527	2.363	5.000	21.000	20.000
45000000	20.054	1.566	10.000	21.000	21.000
45250000	19.586	1.851	12.000	21.000	20.000
45500000	19.899	1.439	11.000	21.000	20.000
45750000	19.950	1.613	12.000	21.000	21.000
46000000	19.810	1.601	12.000	21.000	20.000
46250000	20.227	1.041	16.000	21.000	21.000
46500000	20.123	1.295	11.000	21.000	20.500
46750000	20.182	1.137	16.000	21.000	21.000
47000000	19.910	1.488	9.000	21.000	20.000
47250000	20.158	1.097	16.000	21.000	21.000
47500000	20.050	1.236	14.000	21.000	20.000
47750000	20.335	1.110	14.000	21.000	21.000
48000000	19.687	1.857	8.000	21.000	20.000
48250000	19.941	1.742	8.000	21.000	21.000
48500000	20.134	1.458	12.000	21.000	21.000
48750000	20.163	1.320	12.000	21.000	21.000
49000000	19.905	1.511	14.000	21.000	20.000
49250000	20.316	1.107	15.000	21.000	21.000
49500000	20.288	1.087	16.000	21.000	21.000
49750000	20.059	1.371	13.000	21.000	21.000
50000000	19.901	1.386	14.000	21.000	20.000
