iteration	mean	std_dev	min	max	median
250000	325.959	104.070	125.000	975.000	325.000
500000	354.035	104.590	200.000	925.000	350.000
750000	506.273	267.401	275.000	3750.000	425.000
1000000	699.795	404.445	175.000	4650.000	725.000
1250000	788.470	614.743	275.000	4725.000	725.000
1500000	1330.172	1353.407	225.000	5500.000	800.000
1750000	1051.869	1029.956	150.000	4900.000	775.000
2000000	1114.304	1017.323	325.000	4700.000	800.000
2250000	1093.243	1211.268	350.000	5025.000	550.000
2500000	1447.486	1455.912	25.000	4900.000	775.000
2750000	1075.758	1204.940	75.000	4700.000	550.000
3000000	1833.016	1636.417	350.000	5025.000	800.000
3250000	2491.667	1696.912	425.000	4775.000	3750.000
3500000	2147.543	1725.779	275.000	5075.000	1025.000
3750000	2337.428	1689.201	425.000	5025.000	3700.000
4000000	1450.974	1488.756	250.000	4825.000	575.000
4250000	2844.475	1612.834	425.000	5400.000	3825.000
4500000	2585.756	1805.195	400.000	7500.000	3750.000
4750000	3862.993	1703.325	325.000	11400.000	4125.000
5000000	3501.760	1588.367	400.000	8025.000	4125.000
5250000	2696.907	1758.496	225.000	5075.000	4025.000
5500000	2406.847	1857.314	225.000	7700.000	1075.000
5750000	571.569	691.156	150.000	4700.000	425.000
6000000	1467.018	1725.186	300.000	8150.000	575.000
6250000	4017.675	2237.483	400.000	8325.000	4200.000
6500000	2776.689	2459.030	350.000	8700.000	1125.000
6750000	3804.412	2838.207	175.000	11625.000	4175.000
7000000	3384.704	2670.770	275.000	11100.000	4150.000
7250000	5535.081	2853.411	500.000	11775.000	4212.500
7500000	4745.068	2792.001	325.000	11450.000	4200.000
7750000	5275.181	2194.364	425.000	12725.000	4212.500
8000000	2079.950	2227.799	325.000	7950.000	537.500
8250000	5674.612	3480.772	375.000	14975.000	4275.000
8500000	4575.767	2611.477	500.000	11575.000	4100.000
8750000	2322.585	2284.509	400.000	12200.000	850.000
9000000	7223.542	2648.874	475.000	14675.000	7712.500
9250000	5516.667	2708.471	500.000	14575.000	4150.000
9500000	6634.108	3734.225	525.000	15000.000	4200.000
9750000	6459.790	2650.821	400.000	14625.000	7650.000
10000000	5233.170	4381.791	400.000	14600.000	7400.000
10250000	8028.419	3393.192	450.000	15500.000	7775.000
10500000	3161.444	1717.250	475.000	7850.000	3925.000
10750000	7688.386	2195.665	525.000	14625.000	7800.000
11000000	1331.973	2483.573	450.000	12050.000	575.000
11250000	9952.351	2837.885	325.000	14925.000	11350.000
11500000	2794.430	2466.121	0.000	8200.000	3775.000
11750000	6683.029	3406.975	0.000	14600.000	7775.000
12000000	8799.423	2199.000	500.000	15050.000	7800.000
12250000	8244.814	1868.890	550.000	15275.000	7775.000
12500000	10040.888	3161.861	4200.000	15050.000	8250.000
12750000	5763.519	4659.155	500.000	14900.000	4100.000
13000000	384.442	210.351	50.000	1075.000	275.000
13250000	3905.862	4519.079	225.000	15000.000	550.000
13500000	3946.366	3519.393	225.000	14650.000	4000.000
13750000	9309.033	4134.458	3975.000	18575.000	11025.000
14000000	6384.019	3551.975	575.000	15950.000	4000.000
14250000	9227.655	3664.555	550.000	15050.000	7925.000
14500000	7427.000	4696.548	400.000	15725.000	7775.000
14750000	6722.951	5160.725	425.000	15125.000	7675.000
15000000	10050.247	3704.579	525.000	15050.000	11350.000
15250000	6454.107	4100.896	350.000	15400.000	7825.000
15500000	8457.265	4308.178	500.000	15475.000	7900.000
15750000	6689.748	3699.750	500.000	15275.000	7825.000
16000000	7314.258	4045.935	550.000	18200.000	4575.000
16250000	7299.060	2976.274	3950.000	15475.000	7775.000
16500000	5563.287	2573.338	375.000	14875.000	4275.000
16750000	9322.321	4489.373	4050.000	18700.000	7825.000
17000000	3205.294	2109.884	250.000	8225.000	4050.000
17250000	603.889	180.413	275.000	1250.000	550.000
17500000	9534.292	3319.554	4275.000	15700.000	11400.000
17750000	8583.763	6390.342	550.000	18325.000	11500.000
18000000	5557.593	5305.318	50.000	16125.000	4025.000
18250000	9814.048	2660.534	3950.000	14800.000	11400.000
18500000	10275.463	4408.292	575.000	15550.000	11450.000
18750000	10047.959	5021.598	550.000	18550.000	11500.000
19000000	9793.687	3924.293	3975.000	14725.000	11550.000
19250000	2400.354	1963.183	425.000	7575.000	675.000
19500000	6825.417	3751.677	500.000	14750.000	7725.000
19750000	12425.521	3791.618	4050.000	18250.000	14650.000
20000000	9178.535	4414.382	475.000	15525.000	11400.000
20250000	8150.431	5288.758	400.000	15475.000	7925.000
20500000	7335.194	4592.481	550.000	15275.000	7750.000
20750000	5101.600	5252.836	500.000	16675.000	3950.000
21000000	11639.674	4660.350	400.000	15750.000	14600.000
21250000	13886.177	2642.045	4075.000	22200.000	14700.000
21500000	13464.535	3466.556	4175.000	19050.000	14887.500
21750000	13813.953	1833.247	4725.000	16225.000	14625.000
22000000	8952.083	4189.283	3875.000	18375.000	7600.000
22250000	12377.718	4275.536	575.000	19100.000	14612.500
22500000	5279.008	4705.417	475.000	18350.000	4100.000
22750000	7841.500	4916.383	550.000	15800.000	7700.000
23000000	1274.080	1818.101	0.000	7925.000	575.000
23250000	10600.000	5594.408	500.000	18750.000	14575.000
23500000	2230.357	2328.375	400.000	8150.000	525.000
23750000	11166.436	3989.222	300.000	15325.000	14575.000
24000000	13405.460	2834.411	475.000	18375.000	14575.000
24250000	13985.439	2466.880	4200.000	15800.000	14775.000
24500000	8846.847	5273.935	550.000	15950.000	11475.000
24750000	14685.976	1884.032	4225.000	18400.000	14875.000
25000000	13286.904	3004.608	525.000	15650.000	14650.000
25250000	14529.688	1821.388	675.000	16150.000	14762.500
25500000	12600.843	3646.479	325.000	15775.000	14600.000
25750000	13547.059	2669.601	4100.000	18500.000	14775.000
26000000	8524.167	4585.915	4125.000	15975.000	7600.000
26250000	7503.600	3089.224	3800.000	15725.000	7800.000
26500000	14526.149	1083.854	7650.000	15625.000	14775.000
26750000	11312.245	2954.239	400.000	15650.000	11400.000
27000000	12809.195	4607.629	325.000	18400.000	14800.000
27250000	9179.311	4751.147	400.000	15550.000	11275.000
27500000	12689.204	3880.428	475.000	15875.000	14750.000
27750000	11587.635	4485.263	250.000	15750.000	14725.000
28000000	12878.651	4194.580	325.000	18900.000	14825.000
28250000	8415.625	5717.127	50.000	15750.000	11400.000
28500000	11215.776	5734.396	525.000	16050.000	14775.000
