iteration	mean	std_dev	min	max	median
250000	322.000	94.530	140.000	700.000	300.000
500000	433.191	117.439	160.000	760.000	440.000
750000	418.039	114.772	180.000	760.000	400.000
1000000	521.205	137.143	200.000	840.000	500.000
1250000	749.667	95.603	400.000	860.000	780.000
1500000	743.871	103.290	440.000	900.000	760.000
1750000	810.000	78.718	500.000	880.000	840.000
2000000	808.276	89.291	480.000	900.000	850.000
2250000	827.018	76.364	620.000	900.000	860.000
2500000	840.000	65.427	620.000	900.000	860.000
2750000	840.351	68.824	600.000	920.000	860.000
3000000	862.909	44.382	680.000	900.000	880.000
3250000	825.965	76.774	500.000	920.000	860.000
3500000	842.456	73.611	600.000	920.000	880.000
3750000	821.356	86.582	600.000	940.000	860.000
4000000	840.690	64.323	640.000	920.000	870.000
4250000	770.794	122.401	360.000	940.000	780.000
4500000	797.377	99.340	340.000	920.000	800.000
4750000	862.105	54.636	680.000	920.000	880.000
5000000	831.864	89.679	480.000	920.000	880.000
5250000	766.250	118.579	360.000	920.000	770.000
5500000	844.138	78.236	560.000	940.000	860.000
5750000	800.656	94.433	520.000	940.000	800.000
6000000	861.724	64.784	660.000	1080.000	880.000
6250000	826.885	115.482	580.000	1160.000	820.000
6500000	850.169	67.233	640.000	960.000	860.000
6750000	859.322	71.018	520.000	980.000	880.000
7000000	882.903	83.770	680.000	1040.000	900.000
7250000	1035.385	266.620	480.000	1540.000	1020.000
7500000	1088.800	261.732	580.000	1680.000	1080.000
7750000	1366.562	237.856	680.000	1700.000	1400.000
8000000	1227.353	232.377	620.000	1620.000	1280.000
8250000	1311.343	243.046	820.000	1720.000	1340.000
8500000	1472.787	220.700	900.000	1740.000	1460.000
8750000	1477.667	216.182	760.000	1720.000	1540.000
9000000	1479.344	195.455	940.000	1760.000	1480.000
9250000	1543.051	190.692	920.000	1760.000	1600.000
9500000	1495.000	242.532	580.000	1780.000	1600.000
9750000	1630.175	152.459	1100.000	1760.000	1700.000
10000000	1557.288	196.907	1100.000	1780.000	1660.000
10250000	1651.228	146.731	1180.000	1780.000	1720.000
10500000	1583.051	217.219	800.000	1760.000	1680.000
10750000	1606.207	163.589	1220.000	1780.000	1680.000
11000000	1478.644	197.230	960.000	1740.000	1580.000
11250000	1642.105	134.904	1060.000	1780.000	1680.000
11500000	1645.965	133.244	1260.000	1780.000	1700.000
11750000	1645.714	163.825	860.000	1780.000	1700.000
12000000	1677.857	93.936	1400.000	1800.000	1710.000
12250000	1549.667	214.118	640.000	1760.000	1590.000
12500000	1591.724	186.881	840.000	1780.000	1640.000
12750000	1645.965	144.803	1220.000	1760.000	1720.000
13000000	1639.298	160.568	1140.000	1780.000	1720.000
13250000	1666.071	132.715	1260.000	1780.000	1720.000
13500000	1717.818	98.547	1340.000	1820.000	1760.000
13750000	1585.172	166.901	1100.000	1780.000	1650.000
14000000	1611.930	175.793	1100.000	1780.000	1660.000
14250000	1560.000	213.415	860.000	1760.000	1640.000
14500000	1602.759	187.560	900.000	1820.000	1680.000
14750000	1685.357	162.370	960.000	1800.000	1740.000
15000000	1704.643	103.025	1340.000	1780.000	1750.000
15250000	1688.571	164.875	920.000	1840.000	1750.000
15500000	1630.345	176.645	940.000	1780.000	1720.000
15750000	1665.000	133.804	1300.000	1780.000	1720.000
16000000	1651.429	137.833	1300.000	1780.000	1720.000
16250000	1684.286	115.802	1260.000	1800.000	1740.000
16500000	1655.439	150.881	1020.000	1800.000	1720.000
16750000	1687.018	159.626	1000.000	1820.000	1760.000
17000000	1608.070	142.453	1220.000	1780.000	1660.000
17250000	1598.621	177.176	1160.000	1800.000	1680.000
17500000	1712.143	94.315	1340.000	1780.000	1740.000
17750000	1631.786	149.321	1140.000	1780.000	1680.000
18000000	1657.895	196.699	920.000	1800.000	1740.000
18250000	1680.714	147.598	1240.000	1800.000	1740.000
18500000	1723.636	81.092	1500.000	1800.000	1760.000
18750000	1698.929	104.363	1320.000	1820.000	1740.000
19000000	1702.545	99.017	1260.000	1820.000	1720.000
19250000	1682.500	117.234	1340.000	1820.000	1720.000
19500000	1642.857	119.668	1280.000	1780.000	1680.000
19750000	1688.214	105.138	1320.000	1800.000	1740.000
20000000	1737.818	78.594	1400.000	1820.000	1760.000
