iteration	mean	std_dev	min	max	median
250000	595.553	360.005	80.000	1610.000	530.000
500000	513.903	184.766	210.000	1180.000	480.000
750000	573.442	265.549	80.000	1320.000	530.000
1000000	670.717	332.938	130.000	1980.000	580.000
1250000	671.299	265.221	210.000	1780.000	630.000
1500000	311.986	179.453	80.000	880.000	310.000
1750000	802.643	453.504	180.000	2800.000	710.000
2000000	559.689	335.479	110.000	1690.000	480.000
2250000	716.132	494.119	130.000	3220.000	530.000
2500000	604.423	455.933	80.000	2330.000	460.000
2750000	1073.420	488.450	180.000	3260.000	1080.000
3000000	736.868	540.814	110.000	3310.000	480.000
3250000	509.315	398.769	110.000	2080.000	360.000
3500000	985.512	551.983	260.000	3480.000	855.000
3750000	775.119	331.367	140.000	2080.000	730.000
4000000	871.245	545.624	180.000	3220.000	630.000
4250000	621.566	312.638	160.000	1710.000	530.000
4500000	620.188	326.540	80.000	2600.000	545.000
4750000	974.062	461.283	210.000	3220.000	880.000
5000000	416.102	335.552	80.000	2100.000	280.000
5250000	930.000	298.933	310.000	1780.000	880.000
5500000	584.894	339.459	140.000	1850.000	480.000
5750000	718.487	234.589	210.000	2050.000	730.000
6000000	894.322	319.234	230.000	1700.000	930.000
6250000	936.359	376.399	280.000	2500.000	880.000
6500000	622.016	449.872	110.000	2050.000	530.000
6750000	890.649	390.540	210.000	3220.000	830.000
7000000	978.817	430.652	160.000	2600.000	980.000
7250000	597.984	303.629	110.000	1730.000	530.000
7500000	837.182	360.870	210.000	1950.000	810.000
7750000	713.505	368.605	130.000	2050.000	630.000
8000000	788.249	308.650	260.000	2050.000	730.000
8250000	677.801	312.413	180.000	1860.000	580.000
8500000	778.006	325.571	210.000	2450.000	680.000
8750000	775.642	245.075	230.000	1380.000	780.000
9000000	756.537	486.902	160.000	2900.000	680.000
9250000	873.574	297.137	280.000	2350.000	830.000
9500000	827.547	306.927	280.000	2300.000	780.000
9750000	824.432	286.834	280.000	2030.000	830.000
10000000	487.107	307.373	160.000	2550.000	410.000
10250000	709.706	327.291	130.000	1680.000	680.000
10500000	491.969	352.290	110.000	1490.000	360.000
10750000	690.188	275.139	230.000	2280.000	680.000
11000000	493.006	329.677	110.000	2150.000	360.000
11250000	541.833	229.892	180.000	1180.000	530.000
11500000	715.746	417.240	80.000	2200.000	680.000
11750000	635.263	286.938	130.000	1420.000	580.000
12000000	549.830	257.847	160.000	1320.000	530.000
12250000	622.668	391.645	130.000	2700.000	580.000
12500000	546.444	309.094	130.000	1560.000	480.000
12750000	441.389	215.384	110.000	1370.000	390.000
13000000	535.785	383.197	80.000	1610.000	430.000
13250000	699.017	337.128	110.000	2080.000	730.000
13500000	577.232	431.456	130.000	1800.000	360.000
13750000	532.854	330.131	160.000	1710.000	360.000
14000000	820.627	284.249	280.000	1780.000	780.000
14250000	503.239	272.139	130.000	1340.000	510.000
14500000	617.623	313.757	130.000	1530.000	580.000
14750000	786.369	319.467	110.000	1580.000	780.000
15000000	648.369	287.360	160.000	1730.000	630.000
15250000	633.565	235.618	260.000	1760.000	580.000
15500000	501.881	186.412	130.000	1370.000	480.000
15750000	632.678	365.241	130.000	1420.000	530.000
16000000	545.740	214.385	210.000	2380.000	530.000
16250000	824.949	311.858	280.000	1850.000	780.000
16500000	890.822	324.713	210.000	2300.000	880.000
16750000	692.607	304.312	210.000	1680.000	680.000
17000000	713.915	394.849	110.000	2250.000	630.000
17250000	926.531	301.752	230.000	1390.000	1030.000
17500000	516.253	299.859	130.000	1300.000	340.000
17750000	557.762	308.095	130.000	1370.000	460.000
18000000	622.652	336.876	160.000	2900.000	530.000
18250000	694.324	354.760	180.000	1760.000	580.000
18500000	789.122	350.463	160.000	1900.000	730.000
18750000	828.024	295.016	210.000	1590.000	830.000
19000000	652.969	362.353	130.000	2900.000	560.000
19250000	642.007	324.047	130.000	2030.000	560.000
19500000	809.509	333.773	260.000	2350.000	780.000
19750000	466.214	294.356	130.000	1580.000	345.000
20000000	881.442	285.519	160.000	1370.000	930.000
20250000	347.959	169.923	130.000	1280.000	290.000
20500000	851.939	339.682	280.000	2300.000	830.000
20750000	519.341	320.269	130.000	1470.000	380.000
21000000	739.333	248.122	180.000	1400.000	730.000
21250000	583.037	252.248	210.000	1660.000	530.000
21500000	399.884	197.626	110.000	980.000	330.000
21750000	481.739	349.548	130.000	2250.000	380.000
22000000	473.262	351.568	110.000	1470.000	280.000
22250000	840.118	253.966	230.000	1630.000	855.000
22500000	686.344	215.512	180.000	1320.000	680.000
22750000	335.160	207.312	130.000	1280.000	260.000
23000000	825.957	299.674	160.000	1450.000	830.000
23250000	846.299	251.701	180.000	1510.000	830.000
23500000	880.439	272.032	230.000	1560.000	880.000
23750000	615.174	322.871	130.000	2550.000	510.000
24000000	527.131	307.835	160.000	1520.000	430.000
24250000	601.481	261.759	130.000	1520.000	530.000
24500000	601.190	241.122	110.000	1390.000	610.000
24750000	588.284	276.145	160.000	1370.000	530.000
25000000	522.931	303.297	130.000	1560.000	480.000
25250000	672.671	276.082	180.000	1440.000	580.000
25500000	596.787	397.627	110.000	1980.000	430.000
25750000	638.452	298.575	160.000	1590.000	605.000
26000000	425.236	283.249	80.000	1280.000	360.000
26250000	634.597	293.740	230.000	2050.000	530.000
26500000	472.112	324.612	130.000	1860.000	380.000
26750000	598.829	247.864	180.000	1370.000	580.000
27000000	768.192	305.395	160.000	1490.000	680.000
27250000	653.423	236.133	190.000	1280.000	630.000
27500000	685.280	306.854	180.000	1560.000	630.000
27750000	583.406	343.608	110.000	1900.000	530.000
28000000	619.182	195.832	160.000	1280.000	630.000
28250000	653.129	335.451	130.000	1560.000	580.000
28500000	687.107	253.736	110.000	1440.000	680.000
28750000	881.412	256.851	380.000	1950.000	880.000
29000000	943.734	307.492	310.000	1540.000	980.000
29250000	770.602	239.612	360.000	1760.000	730.000
29500000	536.845	286.842	110.000	2650.000	480.000
29750000	528.289	265.696	160.000	1590.000	530.000
30000000	357.302	185.690	130.000	1080.000	310.000
30250000	619.330	234.893	180.000	1620.000	580.000
30500000	706.358	270.230	230.000	1470.000	680.000
30750000	719.260	259.962	290.000	1680.000	680.000
31000000	545.000	211.431	130.000	980.000	580.000
31250000	724.678	296.580	260.000	1460.000	680.000
31500000	647.744	225.657	160.000	1530.000	580.000
