iteration	mean	std_dev	min	max	median
250000	8.750	6.678	0.000	70.000	10.000
500000	0.664	3.225	0.000	20.000	0.000
750000	4.945	5.911	0.000	40.000	0.000
1000000	10.536	6.793	0.000	20.000	10.000
1250000	1.019	6.518	0.000	60.000	0.000
1500000	18.680	13.033	0.000	60.000	20.000
1750000	55.220	30.654	0.000	140.000	50.000
2000000	54.137	17.953	10.000	130.000	50.000
2250000	217.013	246.439	10.000	800.000	110.000
2500000	213.750	292.811	20.000	920.000	110.000
2750000	413.640	293.285	30.000	980.000	320.000
3000000	273.690	294.814	70.000	1140.000	150.000
3250000	643.255	315.837	260.000	1190.000	640.000
3500000	846.606	235.220	320.000	1230.000	810.000
3750000	1059.077	127.867	530.000	1240.000	1090.000
4000000	920.258	293.522	270.000	1250.000	1030.000
4250000	1149.895	72.096	890.000	1260.000	1170.000
4500000	1180.481	55.676	900.000	1250.000	1200.000
4750000	1126.667	86.689	670.000	1230.000	1155.000
5000000	1198.663	72.443	980.000	1310.000	1210.000
5250000	1166.842	62.201	870.000	1270.000	1180.000
5500000	1203.262	75.016	620.000	1330.000	1210.000
5750000	1185.450	83.972	770.000	1310.000	1210.000
6000000	1225.615	75.140	970.000	1350.000	1220.000
6250000	1199.474	113.808	840.000	1340.000	1220.000
6500000	1222.043	102.207	640.000	1350.000	1240.000
6750000	1211.070	62.368	950.000	1300.000	1230.000
7000000	1212.618	83.888	900.000	1340.000	1240.000
7250000	1237.196	85.851	890.000	1350.000	1240.000
7500000	1239.734	66.031	920.000	1340.000	1250.000
7750000	1213.073	73.509	950.000	1330.000	1230.000
8000000	1248.191	70.371	1000.000	1350.000	1270.000
8250000	1204.513	106.671	880.000	1350.000	1240.000
8500000	1273.710	58.251	1060.000	1360.000	1285.000
8750000	1234.767	108.976	280.000	1380.000	1250.000
9000000	1181.658	135.527	740.000	1350.000	1230.000
9250000	1113.208	218.280	480.000	1340.000	1240.000
9500000	1129.710	155.252	760.000	1340.000	1170.000
9750000	1174.680	136.653	770.000	1360.000	1250.000
10000000	1153.073	137.727	820.000	1330.000	1180.000
10250000	1149.517	125.985	860.000	1330.000	1180.000
10500000	1113.714	146.897	640.000	1300.000	1150.000
10750000	1152.136	173.581	680.000	1370.000	1250.000
11000000	1167.794	167.140	610.000	1360.000	1260.000
11250000	1141.202	139.532	820.000	1360.000	1125.000
11500000	1158.732	158.177	700.000	1330.000	1260.000
11750000	1175.980	158.416	830.000	1350.000	1285.000
12000000	1135.355	164.724	710.000	1360.000	1160.000
12250000	1161.505	138.172	860.000	1350.000	1170.000
12500000	1143.397	137.129	860.000	1360.000	1130.000
12750000	1115.164	178.737	760.000	1350.000	1190.000
13000000	1118.972	126.502	720.000	1310.000	1130.000
13250000	1104.791	135.420	850.000	1360.000	1050.000
13500000	1166.293	148.596	860.000	1360.000	1260.000
13750000	1142.857	190.151	630.000	1350.000	1245.000
14000000	1106.854	195.969	610.000	1350.000	1180.000
14250000	1188.768	138.869	810.000	1360.000	1250.000
14500000	1129.286	173.400	720.000	1340.000	1185.000
14750000	1133.839	183.339	740.000	1340.000	1220.000
15000000	1101.659	196.745	700.000	1360.000	1160.000
15250000	1105.139	193.716	730.000	1340.000	1190.000
15500000	1091.187	174.533	730.000	1330.000	1150.000
15750000	1041.600	175.302	630.000	1330.000	1070.000
16000000	1074.909	237.704	600.000	1350.000	1200.000
16250000	1019.657	145.324	610.000	1350.000	1030.000
16500000	1092.909	222.567	650.000	1360.000	1215.000
16750000	1059.422	204.879	660.000	1360.000	1150.000
17000000	1145.163	179.694	750.000	1360.000	1240.000
17250000	1172.619	129.572	820.000	1340.000	1210.000
17500000	1138.073	146.463	740.000	1350.000	1170.000
17750000	1147.512	124.609	840.000	1340.000	1150.000
18000000	1100.556	191.948	220.000	1350.000	1150.000
18250000	1205.577	92.776	840.000	1350.000	1230.000
18500000	1093.946	111.579	790.000	1290.000	1120.000
18750000	1209.567	97.287	720.000	1350.000	1230.000
19000000	1206.571	123.051	680.000	1350.000	1240.000
19250000	1197.129	86.993	850.000	1310.000	1200.000
19500000	1258.788	82.073	960.000	1360.000	1280.000
19750000	1208.798	91.720	870.000	1350.000	1240.000
20000000	1172.548	120.841	770.000	1330.000	1210.000
20250000	1230.097	92.793	830.000	1360.000	1250.000
20500000	1227.053	80.850	960.000	1370.000	1240.000
20750000	1150.276	130.051	780.000	1340.000	1150.000
21000000	1218.406	102.301	850.000	1350.000	1250.000
