iteration	mean	std_dev	min	max	median
250000	-43.238	8.970	-79.000	-21.000	-41.000
500000	-45.338	14.938	-79.000	-17.000	-54.000
750000	-57.024	38.972	-100.000	-7.000	-25.000
1000000	-32.438	5.938	-53.000	-10.000	-33.000
1250000	-57.919	33.368	-100.000	-9.000	-43.000
1500000	-29.590	21.413	-89.000	4.000	-26.000
1750000	-11.157	10.344	-34.000	1.000	-11.000
2000000	1.595	6.937	-20.000	26.000	1.000
2250000	-0.686	3.693	-17.000	16.000	-1.000
2500000	11.124	14.724	-19.000	37.000	15.000
2750000	32.965	25.663	-3.000	83.000	22.000
3000000	18.519	15.213	-9.000	58.000	17.000
3250000	28.383	17.625	-4.000	71.000	26.000
3500000	41.521	17.164	-4.000	77.000	44.000
3750000	50.220	12.533	2.000	74.000	50.000
4000000	57.945	14.226	2.000	91.000	58.500
4250000	60.373	13.863	19.000	92.000	60.000
4500000	70.852	11.126	35.000	92.000	70.000
4750000	74.405	11.793	-7.000	95.000	77.000
5000000	71.399	14.641	-6.000	97.000	75.000
5250000	75.967	9.591	48.000	98.000	77.000
5500000	75.221	13.555	-4.000	98.000	75.000
5750000	75.657	15.107	-2.000	98.000	79.000
6000000	78.740	10.832	21.000	99.000	79.000
6250000	80.413	11.239	41.000	97.000	83.000
6500000	77.538	12.824	21.000	99.000	79.000
6750000	81.748	14.156	0.000	100.000	84.000
7000000	78.623	17.587	-3.000	99.000	83.000
7250000	80.455	10.196	43.000	100.000	82.000
7500000	78.757	10.320	49.000	98.000	81.000
7750000	83.653	9.966	48.000	100.000	86.000
8000000	83.156	12.263	31.000	100.000	85.000
8250000	79.534	13.521	15.000	100.000	83.000
8500000	81.221	9.913	25.000	100.000	83.000
8750000	75.932	17.349	5.000	100.000	79.000
9000000	83.365	13.150	27.000	100.000	84.500
9250000	81.841	12.534	-1.000	100.000	84.000
9500000	85.902	10.436	48.000	100.000	89.000
9750000	84.602	11.994	-2.000	100.000	87.000
10000000	81.420	12.283	51.000	100.000	81.000
10250000	83.456	14.416	7.000	100.000	87.000
10500000	85.185	12.763	-6.000	100.000	86.000
10750000	83.813	12.872	40.000	100.000	86.000
11000000	92.021	7.429	30.000	100.000	93.000
11250000	88.963	11.556	16.000	100.000	92.000
11500000	90.236	11.226	36.000	100.000	95.000
11750000	89.925	11.841	-5.000	100.000	96.000
12000000	88.753	10.255	19.000	100.000	90.000
12250000	88.236	12.190	0.000	100.000	91.000
12500000	86.695	14.817	-11.000	100.000	93.000
12750000	91.328	8.842	36.000	100.000	93.000
13000000	82.160	22.486	-10.000	100.000	89.000
13250000	90.749	12.274	-5.000	100.000	94.000
13500000	90.534	8.957	45.000	100.000	93.000
13750000	89.601	10.882	-26.000	100.000	92.000
14000000	89.848	16.157	15.000	100.000	96.000
14250000	92.009	8.674	31.000	100.000	95.000
14500000	85.291	12.676	31.000	100.000	89.000
14750000	94.090	7.435	45.000	100.000	97.000
15000000	93.150	7.720	43.000	100.000	95.000
15250000	89.884	14.444	-9.000	100.000	93.000
15500000	92.070	13.193	15.000	100.000	98.000
15750000	89.854	11.850	37.000	100.000	96.000
16000000	87.185	13.062	31.000	100.000	90.000
16250000	90.895	13.916	-9.000	100.000	91.000
16500000	94.379	7.805	42.000	100.000	97.000
16750000	92.597	6.922	56.000	100.000	94.000
17000000	94.232	8.726	24.000	100.000	99.000
17250000	96.042	5.577	66.000	100.000	98.000
17500000	93.429	7.433	52.000	100.000	94.000
17750000	93.648	9.594	-4.000	100.000	100.000
18000000	92.620	11.256	19.000	100.000	96.000
18250000	94.633	7.465	-25.000	100.000	97.000
18500000	93.500	11.163	1.000	100.000	98.000
18750000	92.182	13.535	-6.000	100.000	96.000
19000000	93.751	5.816	65.000	100.000	94.000
19250000	93.256	7.977	12.000	100.000	96.000
19500000	97.683	6.000	39.000	100.000	100.000
19750000	92.981	9.038	-2.000	100.000	96.000
20000000	92.029	9.348	40.000	100.000	96.000
20250000	90.985	12.323	-25.000	100.000	94.000
20500000	95.601	7.871	-25.000	100.000	100.000
20750000	95.395	6.251	36.000	100.000	98.000
21000000	91.083	11.449	20.000	100.000	96.000
21250000	92.799	13.357	-2.000	100.000	100.000
21500000	94.648	17.858	-92.000	100.000	100.000
21750000	95.965	7.071	56.000	100.000	100.000
22000000	96.319	8.135	20.000	100.000	100.000
22250000	89.445	20.296	-16.000	100.000	98.000
22500000	94.409	14.018	-5.000	100.000	100.000
22750000	96.223	5.619	69.000	100.000	99.000
23000000	92.404	13.672	32.000	100.000	98.000
23250000	91.897	10.881	32.000	100.000	97.000
23500000	96.135	6.547	60.000	100.000	100.000
23750000	95.779	6.747	64.000	100.000	100.000
24000000	88.256	29.300	-29.000	100.000	97.000
24250000	96.221	6.762	56.000	100.000	100.000
24500000	95.513	6.752	50.000	100.000	98.000
24750000	93.396	10.849	44.000	100.000	99.000
25000000	92.123	11.794	-3.000	100.000	97.000
25250000	95.530	7.968	1.000	100.000	99.000
25500000	94.753	8.868	54.000	100.000	99.000
25750000	96.542	5.891	41.000	100.000	99.000
26000000	94.209	8.685	48.000	100.000	100.000
26250000	94.148	10.195	-41.000	100.000	98.000
26500000	93.260	8.849	-3.000	100.000	96.000
26750000	96.104	9.333	43.000	100.000	100.000
27000000	96.523	8.911	-3.000	100.000	100.000
27250000	96.963	10.754	-2.000	100.000	100.000
27500000	96.296	7.564	0.000	100.000	100.000
27750000	95.864	8.084	40.000	100.000	100.000
28000000	98.738	5.477	44.000	100.000	100.000
28250000	97.721	5.557	37.000	100.000	100.000
28500000	95.025	7.981	36.000	100.000	100.000
28750000	94.618	12.357	-19.000	100.000	100.000
29000000	97.585	7.021	43.000	100.000	100.000
29250000	96.208	9.596	-29.000	100.000	100.000
29500000	94.777	8.079	54.000	100.000	99.000
29750000	96.795	6.320	60.000	100.000	100.000
30000000	96.125	7.613	9.000	100.000	100.000
30250000	95.748	7.561	44.000	100.000	100.000
30500000	95.536	12.847	-16.000	100.000	100.000
30750000	98.387	4.275	44.000	100.000	100.000
31000000	97.645	6.899	9.000	100.000	100.000
31250000	95.063	6.557	58.000	100.000	97.000
31500000	97.640	5.868	58.000	100.000	100.000
31750000	98.001	4.563	70.000	100.000	100.000
32000000	93.853	12.616	-6.000	100.000	100.000
32250000	96.950	7.344	41.000	100.000	100.000
32500000	97.321	5.505	44.000	100.000	100.000
32750000	96.358	6.482	55.000	100.000	100.000
33000000	98.460	5.566	-9.000	100.000	100.000
33250000	96.137	8.746	26.000	100.000	100.000
33500000	97.790	8.001	-20.000	100.000	100.000
33750000	97.986	4.019	74.000	100.000	100.000
34000000	98.547	4.289	35.000	100.000	100.000
34250000	98.814	6.153	26.000	100.000	100.000
34500000	98.457	4.303	34.000	100.000	100.000
34750000	98.440	5.082	42.000	100.000	100.000
35000000	97.617	5.579	-7.000	100.000	100.000
35250000	96.057	7.867	51.000	100.000	100.000
35500000	98.448	6.179	-38.000	100.000	100.000
