iteration	mean	std_dev	min	max	median
50000	4.400	5.389	0.000	11.000	0.000
100000	0.400	0.663	0.000	2.000	0.000
150000	2.000	1.095	1.000	5.000	2.000
200000	2.300	1.952	0.000	5.000	2.000
250000	5.400	2.289	2.000	10.000	5.000
300000	2.100	1.044	1.000	4.000	2.000
350000	3.800	1.833	2.000	6.000	3.500
400000	6.200	1.077	5.000	8.000	6.500
450000	13.400	5.783	7.000	25.000	12.500
500000	18.300	7.086	10.000	28.000	19.000
550000	20.600	8.224	12.000	37.000	18.000
600000	24.200	8.010	18.000	42.000	20.500
650000	30.500	10.132	10.000	45.000	33.500
700000	31.000	7.823	21.000	48.000	33.000
750000	30.500	5.696	23.000	44.000	30.000
800000	59.800	14.041	42.000	95.000	57.000
850000	32.100	5.504	24.000	41.000	31.000
900000	63.100	26.535	26.000	117.000	60.000
950000	50.800	10.591	31.000	75.000	51.000
1000000	74.600	15.207	47.000	106.000	75.500
1050000	79.100	15.109	62.000	117.000	77.500
1100000	87.800	31.993	54.000	151.000	71.500
1150000	70.800	25.775	40.000	108.000	61.500
1200000	60.400	22.001	27.000	100.000	61.000
1250000	82.200	16.999	57.000	116.000	84.000
1300000	87.700	62.890	28.000	252.000	76.500
1350000	78.200	16.467	43.000	103.000	79.000
1400000	43.300	32.274	10.000	107.000	27.000
1450000	87.800	40.912	43.000	201.000	84.500
1500000	90.500	25.586	62.000	150.000	88.500
1550000	94.700	45.629	21.000	194.000	103.500
1600000	123.000	71.855	16.000	236.000	113.500
1650000	102.400	53.672	35.000	240.000	90.000
1700000	113.600	47.571	39.000	228.000	103.000
1750000	124.300	88.434	39.000	298.000	98.500
1800000	153.900	49.979	83.000	259.000	151.500
1850000	215.500	115.105	41.000	413.000	204.000
1900000	223.700	83.440	114.000	391.000	222.000
1950000	234.400	108.285	60.000	362.000	270.000
2000000	167.400	95.514	44.000	325.000	146.000
2050000	159.300	98.368	55.000	344.000	142.000
2100000	53.600	31.620	13.000	116.000	51.000
2150000	178.500	94.799	56.000	352.000	162.000
2200000	245.100	114.271	35.000	399.000	278.000
2250000	102.100	112.011	4.000	374.000	68.500
2300000	139.200	89.315	17.000	294.000	138.000
2350000	136.200	92.309	43.000	320.000	108.000
2400000	204.600	114.229	66.000	375.000	159.500
2450000	166.800	101.404	23.000	324.000	144.500
2500000	249.200	98.025	89.000	367.000	268.000
2550000	196.100	117.756	57.000	413.000	186.500
2600000	162.500	67.274	47.000	250.000	179.500
2650000	3.300	5.041	0.000	11.000	0.000
2700000	252.900	80.612	116.000	337.000	302.000
2750000	232.400	93.737	102.000	390.000	195.000
2800000	243.900	91.487	111.000	378.000	233.500
2850000	188.600	104.319	34.000	353.000	157.500
2900000	209.500	107.151	86.000	415.000	221.500
2950000	248.600	116.536	103.000	400.000	260.500
3000000	66.800	75.041	0.000	256.000	41.000
3050000	283.500	114.114	58.000	432.000	329.000
3100000	234.400	106.974	51.000	376.000	237.500
3150000	178.100	122.922	15.000	384.000	190.000
3200000	291.700	125.727	74.000	421.000	355.000
3250000	243.900	68.566	155.000	391.000	216.500
3300000	321.600	91.062	116.000	423.000	340.500
3350000	256.500	113.234	86.000	410.000	278.500
3400000	311.500	114.135	96.000	421.000	361.500
3450000	304.000	93.778	158.000	414.000	319.500
3500000	274.900	94.835	74.000	398.000	282.500
3550000	80.000	118.295	4.000	370.000	17.000
3600000	258.400	122.382	28.000	396.000	309.500
3650000	218.500	133.539	19.000	402.000	259.500
3700000	255.800	131.290	49.000	421.000	297.500
3750000	216.300	123.483	59.000	394.000	195.500
3800000	350.900	60.611	211.000	413.000	364.500
3850000	337.000	82.601	167.000	420.000	371.500
3900000	381.200	50.592	263.000	428.000	401.500
3950000	267.800	135.725	17.000	424.000	310.000
4000000	223.500	125.098	73.000	375.000	192.500
4050000	239.300	150.447	35.000	416.000	285.000
4100000	346.800	48.511	269.000	418.000	349.000
4150000	123.800	150.802	8.000	368.000	31.000
4200000	215.800	126.115	57.000	427.000	180.500
4250000	188.800	117.778	43.000	402.000	198.500
4300000	204.800	113.004	93.000	416.000	160.000
4350000	332.700	46.581	249.000	395.000	348.500
4400000	170.200	113.646	43.000	359.000	124.500
4450000	314.300	93.007	127.000	420.000	316.500
4500000	271.200	144.449	16.000	417.000	347.500
4550000	194.900	161.931	27.000	428.000	118.000
4600000	304.700	120.973	94.000	426.000	347.000
4650000	357.200	91.960	231.000	598.000	339.500
4700000	307.700	87.044	115.000	424.000	318.000
4750000	231.800	126.130	38.000	401.000	277.000
4800000	247.200	126.808	62.000	395.000	308.500
4850000	265.900	139.099	8.000	417.000	296.500
4900000	290.300	106.203	162.000	420.000	308.000
4950000	401.600	143.623	181.000	789.000	380.000
5000000	266.600	107.806	72.000	373.000	317.000
5050000	245.900	157.939	16.000	418.000	281.500
5100000	383.300	62.674	237.000	449.000	404.500
5150000	322.900	90.127	161.000	420.000	371.500
5200000	394.800	28.861	333.000	434.000	400.500
5250000	265.800	135.836	65.000	452.000	260.000
5300000	263.400	137.336	24.000	430.000	260.500
5350000	203.400	124.425	7.000	426.000	206.000
5400000	398.300	11.585	372.000	417.000	401.000
5450000	303.700	135.943	72.000	444.000	368.000
5500000	104.800	47.835	40.000	207.000	100.500
5550000	256.500	153.288	9.000	391.000	342.500
5600000	323.300	72.746	166.000	417.000	330.000
5650000	327.300	103.395	57.000	411.000	356.500
5700000	220.400	143.508	57.000	428.000	230.000
5750000	334.400	101.045	114.000	421.000	394.000
5800000	358.800	55.101	210.000	426.000	365.000
5850000	149.300	163.649	6.000	413.000	63.500
5900000	264.500	115.821	20.000	404.000	281.500
5950000	343.200	99.899	93.000	416.000	382.500
6000000	270.000	113.027	83.000	408.000	279.500
6050000	289.700	101.539	44.000	401.000	315.500
6100000	305.300	101.952	49.000	399.000	330.000
6150000	311.200	89.684	159.000	410.000	353.000
6200000	345.900	67.053	210.000	419.000	357.500
6250000	302.700	130.057	90.000	432.000	366.500
6300000	62.900	81.315	7.000	297.000	31.500
6350000	316.200	125.204	106.000	419.000	382.500
6400000	343.600	110.783	135.000	559.000	338.000
6450000	209.900	126.149	48.000	390.000	179.000
6500000	31.600	16.360	15.000	66.000	26.500
6550000	315.500	80.889	180.000	405.000	343.000
6600000	350.600	86.538	159.000	428.000	374.500
6650000	390.400	23.031	356.000	428.000	390.000
6700000	349.000	52.000	255.000	409.000	364.500
6750000	221.400	134.228	18.000	407.000	221.000
6800000	177.100	176.284	20.000	405.000	56.000
6850000	208.100	138.427	12.000	381.000	228.500
6900000	204.100	120.370	69.000	414.000	197.000
6950000	261.200	104.124	119.000	411.000	257.000
7000000	346.600	43.683	275.000	415.000	337.500
7050000	328.400	95.423	108.000	427.000	353.500
7100000	235.800	145.027	17.000	416.000	281.500
7150000	388.900	29.303	336.000	428.000	399.000
7200000	266.900	115.859	106.000	398.000	311.500
7250000	349.100	70.557	204.000	417.000	374.000
7300000	321.600	130.222	61.000	417.000	382.500
7350000	287.000	104.851	113.000	406.000	292.000
7400000	339.600	87.610	168.000	425.000	378.500
7450000	328.500	96.029	136.000	420.000	374.000
7500000	279.300	113.340	51.000	442.000	321.000
7550000	287.900	141.382	81.000	439.000	376.500
7600000	332.100	108.814	152.000	428.000	384.500
7650000	102.700	177.024	8.000	523.000	17.500
7700000	308.400	126.200	9.000	411.000	357.500
7750000	339.000	100.612	73.000	412.000	388.500
7800000	392.700	33.112	331.000	428.000	396.500
7850000	401.000	37.776	315.000	448.000	418.500
7900000	346.600	100.410	129.000	437.000	374.500
7950000	348.600	86.344	118.000	431.000	368.000
8000000	347.700	90.623	174.000	430.000	390.500
8050000	286.600	168.655	50.000	516.000	347.000
8100000	321.400	95.851	106.000	406.000	367.500
8150000	373.000	94.582	95.000	437.000	399.000
8200000	342.000	119.997	67.000	428.000	395.500
8250000	327.600	100.473	133.000	428.000	355.000
8300000	308.000	91.477	139.000	412.000	330.000
8350000	378.600	42.455	300.000	427.000	381.000
8400000	240.500	154.560	56.000	419.000	295.000
8450000	292.000	147.073	10.000	410.000	374.500
8500000	368.500	164.414	105.000	746.000	394.000
8550000	420.700	120.749	335.000	768.000	384.500
8600000	336.300	104.644	89.000	425.000	381.500
8650000	275.700	151.615	54.000	424.000	367.000
8700000	342.500	112.357	61.000	437.000	388.000
8750000	442.700	107.731	372.000	760.000	424.000
8800000	335.700	113.105	130.000	431.000	388.000
8850000	362.300	74.781	181.000	419.000	400.000
8900000	368.100	60.214	257.000	435.000	389.500
8950000	407.800	30.430	337.000	451.000	411.500
9000000	384.500	38.045	294.000	428.000	399.000
9050000	401.400	46.102	265.000	425.000	414.500
9100000	305.700	140.665	34.000	425.000	371.500
9150000	408.000	26.442	360.000	460.000	405.500
9200000	177.000	142.192	8.000	399.000	206.500
9250000	327.300	101.925	80.000	424.000	360.000
9300000	105.600	133.741	25.000	378.000	32.000
9350000	334.000	95.962	120.000	434.000	374.000
9400000	487.800	161.072	343.000	838.000	423.000
9450000	334.900	128.948	72.000	427.000	405.500
9500000	450.500	75.751	371.000	602.000	427.000
9550000	396.500	29.703	352.000	439.000	406.000
9600000	459.500	116.412	341.000	741.000	414.500
9650000	398.900	158.744	229.000	812.000	387.000
9700000	348.700	144.534	8.000	513.000	398.500
9750000	316.000	122.963	79.000	438.000	356.500
9800000	416.900	12.136	387.000	428.000	421.000
9850000	320.500	124.209	69.000	428.000	387.500
9900000	428.500	151.867	189.000	837.000	414.000
9950000	369.900	76.946	145.000	427.000	388.500
10000000	246.300	233.208	34.000	838.000	184.000
10050000	409.600	121.647	212.000	699.000	410.000
10100000	321.000	116.444	96.000	418.000	374.000
10150000	384.500	25.441	339.000	427.000	381.500
10200000	313.600	143.057	21.000	427.000	385.500
10250000	308.900	130.968	66.000	427.000	374.000
10300000	170.200	170.875	3.000	420.000	97.000
10350000	361.400	63.341	200.000	424.000	381.500
10400000	371.400	47.942	244.000	427.000	389.500
10450000	376.700	31.938	310.000	419.000	381.000
10500000	290.900	164.302	5.000	426.000	399.500
10550000	422.500	30.077	384.000	503.000	420.500
10600000	336.500	213.615	31.000	812.000	368.000
10650000	244.400	172.456	11.000	404.000	358.500
10700000	412.000	15.388	371.000	427.000	416.000
10750000	357.200	110.072	101.000	467.000	402.000
10800000	367.100	71.516	200.000	421.000	409.000
10850000	295.400	137.562	79.000	440.000	373.000
10900000	273.700	138.474	38.000	420.000	334.000
10950000	224.200	150.024	43.000	418.000	212.500
11000000	314.300	97.884	127.000	417.000	363.000
11050000	254.300	163.794	11.000	427.000	356.500
11100000	319.900	114.866	5.000	415.000	357.000
11150000	312.000	156.132	12.000	428.000	403.500
11200000	346.300	100.193	92.000	428.000	390.500
11250000	397.900	30.382	357.000	466.000	403.500
11300000	410.600	43.214	331.000	507.000	412.500
11350000	344.400	98.687	170.000	441.000	401.500
11400000	382.400	159.857	130.000	795.000	371.500
11450000	369.700	103.994	65.000	439.000	398.500
11500000	387.700	55.064	255.000	432.000	415.500
11550000	374.200	80.481	147.000	430.000	399.000
11600000	376.000	135.531	18.000	573.000	402.000
11650000	405.500	63.227	289.000	551.000	397.000
11700000	335.600	147.302	14.000	447.000	398.500
11750000	480.500	127.723	406.000	837.000	426.000
11800000	423.800	116.218	195.000	710.000	417.000
11850000	392.600	45.215	272.000	427.000	410.500
11900000	397.700	31.537	334.000	421.000	412.500
11950000	330.000	104.099	134.000	420.000	380.500
12000000	327.200	123.566	114.000	416.000	408.000
12050000	355.800	82.349	149.000	427.000	390.500
12100000	359.200	86.791	130.000	421.000	400.500
12150000	344.900	81.441	173.000	424.000	381.000
12200000	10.400	4.903	3.000	17.000	13.000
12250000	286.100	101.090	130.000	417.000	278.500
12300000	306.200	148.275	14.000	420.000	367.500
