iteration	mean	std_dev	min	max	median
250000	1.717	1.877	0.000	7.000	1.000
500000	7.955	4.474	3.000	23.000	7.000
750000	19.856	6.875	10.000	47.000	19.000
1000000	45.923	15.793	18.000	92.000	41.000
1250000	68.407	15.850	37.000	89.000	73.000
1500000	96.513	38.773	47.000	294.000	92.000
1750000	180.395	55.414	85.000	283.000	169.000
2000000	286.133	60.392	144.000	373.000	296.500
2250000	202.229	115.022	73.000	427.000	175.000
2500000	331.778	59.636	247.000	418.000	310.000
2750000	304.357	113.609	102.000	403.000	357.000
3000000	325.500	103.147	150.000	407.000	382.500
3250000	284.000	87.613	173.000	364.000	345.000
3500000	383.250	57.582	284.000	424.000	412.500
3750000	328.000	65.133	194.000	383.000	348.000
4000000	254.143	225.528	5.000	821.000	332.000
4250000	332.556	123.178	67.000	429.000	397.000
4500000	239.231	145.004	7.000	414.000	239.000
4750000	370.800	101.012	183.000	478.000	403.000
5000000	359.125	80.546	154.000	420.000	389.000
5250000	353.250	65.786	224.000	419.000	366.500
5500000	399.750	16.084	372.000	423.000	400.000
5750000	368.400	39.722	320.000	413.000	385.000
6000000	265.125	130.014	24.000	398.000	304.500
6250000	341.833	40.745	259.000	384.000	351.000
6500000	334.429	136.265	6.000	420.000	380.000
6750000	349.455	54.567	246.000	420.000	359.000
7000000	357.667	58.430	201.000	417.000	380.500
7250000	309.800	147.534	21.000	427.000	362.000
7500000	269.000	144.541	35.000	427.000	313.000
7750000	383.500	45.346	309.000	422.000	401.500
8000000	331.100	122.208	89.000	413.000	392.000
8250000	359.250	68.159	248.000	426.000	381.500
8500000	207.308	129.339	4.000	354.000	291.000
8750000	381.429	44.022	298.000	431.000	379.000
9000000	397.250	18.965	378.000	427.000	392.000
9250000	407.250	25.024	364.000	423.000	421.000
9500000	279.500	205.489	74.000	793.000	217.000
9750000	342.125	49.209	242.000	417.000	343.000
10000000	333.500	131.677	41.000	424.000	384.500
10250000	410.875	170.059	200.000	829.000	378.500
10500000	361.818	51.987	215.000	425.000	369.000
10750000	339.667	105.339	155.000	421.000	407.000
11000000	345.125	53.541	216.000	409.000	349.000
11250000	383.000	44.892	294.000	423.000	396.500
11500000	323.333	98.067	154.000	422.000	339.500
11750000	298.571	150.745	24.000	428.000	394.000
12000000	403.500	21.772	351.000	433.000	406.000
12250000	395.333	28.394	333.000	411.000	410.500
12500000	399.000	13.248	385.000	420.000	395.500
12750000	363.167	72.662	208.000	415.000	389.500
13000000	354.857	112.040	83.000	421.000	398.000
