iteration	mean	std_dev	min	max	median
250000	1.022	0.731	0.000	4.000	1.000
500000	13.078	4.513	7.000	22.000	12.500
750000	23.013	5.583	12.000	32.000	22.000
1000000	39.656	11.536	18.000	66.000	35.000
1250000	66.375	12.893	50.000	83.000	63.000
1500000	63.000	16.000	47.000	79.000	63.000
1750000	93.500	8.139	85.000	104.000	91.500
2000000	241.955	47.422	144.000	300.000	233.000
2250000	400.667	18.625	387.000	427.000	388.000
2500000	409.000	12.728	391.000	418.000	418.000
2750000	270.778	129.741	102.000	403.000	273.000
3000000	258.750	110.475	150.000	395.000	245.000
3250000	357.000	0.000	357.000	357.000	357.000
3500000	284.000	0.000	284.000	284.000	284.000
3750000	347.750	26.985	315.000	380.000	348.000
4000000	220.500	153.975	70.000	417.000	197.500
4250000	351.667	32.056	329.000	397.000	329.000
4500000	179.250	177.829	7.000	414.000	148.000
4750000	363.000	0.000	363.000	363.000	363.000
5000000	318.333	116.259	154.000	405.000	396.000
5250000	401.667	24.513	367.000	419.000	419.000
5500000	420.000	3.000	417.000	423.000	420.000
5750000	402.000	0.000	402.000	402.000	402.000
6000000	397.000	0.000	397.000	397.000	397.000
6250000	384.000	0.000	384.000	384.000	384.000
6500000	359.000	0.000	359.000	359.000	359.000
6750000	367.333	29.273	326.000	390.000	386.000
7000000	339.333	74.783	201.000	417.000	346.000
7250000	369.000	28.925	329.000	417.000	362.000
7500000	313.000	0.000	313.000	313.000	313.000
7750000	422.000	0.000	422.000	422.000	422.000
8000000	407.500	4.500	403.000	412.000	407.500
8250000	401.000	0.000	401.000	401.000	401.000
8500000	103.400	129.864	4.000	354.000	63.000
8750000	376.500	28.500	348.000	405.000	376.500
9000000	400.000	0.000	400.000	400.000	400.000
9250000	364.000	0.000	364.000	364.000	364.000
9500000	169.875	112.946	74.000	412.000	145.500
9750000	392.000	0.000	392.000	392.000	392.000
10000000	389.000	0.000	389.000	389.000	389.000
10250000	514.500	314.500	200.000	829.000	514.500
10500000	215.000	0.000	215.000	215.000	215.000
10750000	421.000	0.000	421.000	421.000	421.000
11000000	359.000	22.361	349.000	409.000	349.000
11250000	376.000	58.034	294.000	420.000	414.000
11500000	276.000	87.730	154.000	402.000	274.000
11750000	215.750	153.841	24.000	428.000	205.500
12000000	422.500	10.500	412.000	433.000	422.500
12250000	396.000	0.000	396.000	396.000	396.000
12500000	400.000	0.000	400.000	400.000	400.000
12750000	309.000	101.000	208.000	410.000	309.000
13000000	421.000	0.000	421.000	421.000	421.000
13250000	420.000	0.000	420.000	420.000	420.000
13500000	402.400	120.643	320.000	631.000	321.000
13750000	303.667	163.928	72.000	427.000	412.000
14000000	418.000	1.000	417.000	419.000	418.000
14250000	385.000	0.000	385.000	385.000	385.000
14500000	414.000	0.000	414.000	414.000	414.000
14750000	394.000	0.000	394.000	394.000	394.000
15000000	419.333	4.643	413.000	424.000	421.000
15250000	399.250	26.032	357.000	428.000	406.000
15500000	343.333	354.605	48.000	842.000	140.000
15750000	373.500	23.500	350.000	397.000	373.500
16000000	436.000	46.000	390.000	482.000	436.000
16250000	405.000	0.000	405.000	405.000	405.000
16500000	407.500	1.500	406.000	409.000	407.500
16750000	422.000	9.000	413.000	431.000	422.000
17000000	408.000	0.000	408.000	408.000	408.000
17250000	147.615	155.794	18.000	345.000	30.000
17500000	335.000	75.000	260.000	410.000	335.000
17750000	409.500	9.314	396.000	420.000	411.000
18000000	405.333	13.912	389.000	423.000	404.000
18250000	345.000	18.000	327.000	363.000	345.000
18500000	152.667	172.809	26.000	397.000	35.000
18750000	368.667	100.933	228.000	460.000	418.000
19000000	155.455	141.028	17.000	349.000	41.000
19250000	427.500	2.500	425.000	430.000	427.500
19500000	404.000	16.000	388.000	420.000	404.000
19750000	424.000	0.000	424.000	424.000	424.000
20000000	336.000	0.000	336.000	336.000	336.000
20250000	403.667	11.557	395.000	420.000	396.000
20500000	346.000	4.000	342.000	350.000	346.000
20750000	351.000	72.717	214.000	419.000	378.000
21000000	398.000	0.000	398.000	398.000	398.000
21250000	384.000	0.000	384.000	384.000	384.000
21500000	333.000	0.000	333.000	333.000	333.000
21750000	294.429	153.955	26.000	393.000	391.000
22000000	415.000	0.000	415.000	415.000	415.000
22250000	412.000	24.779	377.000	431.000	428.000
22500000	393.500	12.500	381.000	406.000	393.500
22750000	395.000	0.000	395.000	395.000	395.000
23000000	326.333	85.371	206.000	395.000	378.000
23250000	394.000	39.000	355.000	433.000	394.000
23500000	413.000	0.000	413.000	413.000	413.000
23750000	283.000	82.377	202.000	413.000	275.000
24000000	393.500	0.500	393.000	394.000	393.500
24250000	420.000	0.000	420.000	420.000	420.000
24500000	458.500	62.500	396.000	521.000	458.500
24750000	495.000	131.598	326.000	647.000	512.000
25000000	404.000	0.000	404.000	404.000	404.000
25250000	389.000	0.000	389.000	389.000	389.000
25500000	383.000	0.000	383.000	383.000	383.000
25750000	521.333	156.142	392.000	741.000	431.000
26000000	367.500	17.500	350.000	385.000	367.500
26250000	386.000	0.000	386.000	386.000	386.000
26500000	310.000	68.000	242.000	378.000	310.000
26750000	381.400	33.061	342.000	419.000	395.000
27000000	450.000	102.000	348.000	552.000	450.000
27250000	415.000	0.000	415.000	415.000	415.000
27500000	396.500	4.500	392.000	401.000	396.500
27750000	396.400	37.033	327.000	428.000	403.000
28000000	368.667	52.232	297.000	420.000	389.000
28250000	410.750	17.398	391.000	430.000	411.000
28500000	580.000	170.000	410.000	750.000	580.000
28750000	412.000	0.000	412.000	412.000	412.000
29000000	420.500	63.453	331.000	510.000	420.500
29250000	166.500	129.500	37.000	296.000	166.500
29500000	426.500	1.500	425.000	428.000	426.500
29750000	284.500	90.182	129.000	349.000	330.000
