iteration	mean	std_dev	min	max	median
250000	0.000	0.000	0.000	0.000	0.000
500000	0.000	0.000	0.000	0.000	0.000
750000	0.000	0.000	0.000	0.000	0.000
1000000	3.557	1.563	2.000	7.000	3.000
1250000	0.000	0.000	0.000	0.000	0.000
1500000	0.525	0.499	0.000	1.000	1.000
1750000	0.000	0.000	0.000	0.000	0.000
2000000	19.918	1.485	16.000	23.000	20.000
2250000	21.541	1.338	19.000	24.000	22.000
2500000	23.459	1.001	22.000	25.000	23.000
2750000	24.459	0.530	23.000	25.000	24.000
3000000	29.311	1.409	27.000	32.000	30.000
3250000	30.262	0.904	28.000	32.000	31.000
3500000	31.738	0.808	30.000	33.000	32.000
3750000	31.410	0.524	31.000	33.000	31.000
4000000	31.918	0.609	31.000	33.000	32.000
4250000	32.082	0.274	32.000	33.000	32.000
4500000	31.803	0.437	30.000	32.000	32.000
4750000	32.082	0.417	31.000	33.000	32.000
5000000	31.885	0.603	31.000	33.000	32.000
5250000	32.311	0.463	32.000	33.000	32.000
5500000	32.754	0.431	32.000	33.000	33.000
5750000	32.082	0.329	31.000	33.000	32.000
6000000	32.410	0.554	31.000	33.000	32.000
6250000	32.934	0.698	32.000	34.000	33.000
6500000	32.852	0.355	32.000	33.000	33.000
6750000	32.754	0.563	31.000	34.000	33.000
7000000	32.820	0.384	32.000	33.000	33.000
7250000	32.689	0.463	32.000	33.000	33.000
7500000	33.361	0.544	32.000	34.000	33.000
7750000	32.262	0.808	30.000	34.000	32.000
8000000	33.082	0.753	31.000	34.000	33.000
8250000	32.770	0.421	32.000	33.000	33.000
8500000	32.393	0.489	32.000	33.000	32.000
8750000	32.885	0.851	31.000	34.000	33.000
9000000	33.098	0.783	31.000	34.000	33.000
9250000	32.787	0.448	32.000	34.000	33.000
9500000	33.426	0.495	33.000	34.000	33.000
9750000	33.098	0.393	32.000	34.000	33.000
10000000	33.426	0.586	32.000	34.000	33.000
10250000	33.475	0.590	32.000	34.000	34.000
10500000	33.918	0.274	33.000	34.000	34.000
10750000	33.852	0.355	33.000	34.000	34.000
