iteration	mean	std_dev	min	max	median
250000	11.591	16.982	0.000	140.000	20.000
500000	120.000	44.626	80.000	320.000	110.000
750000	13.504	14.281	0.000	80.000	20.000
1000000	350.435	397.963	20.000	1340.000	320.000
1250000	781.207	237.040	220.000	1900.000	740.000
1500000	1625.287	393.235	540.000	3260.000	1480.000
1750000	1924.444	847.451	440.000	4040.000	1500.000
2000000	2532.500	664.425	1480.000	4740.000	2580.000
2250000	1959.036	713.112	700.000	4200.000	1780.000
2500000	2135.949	1021.393	320.000	4700.000	2340.000
2750000	836.154	697.398	200.000	3400.000	860.000
3000000	1918.974	783.116	880.000	3820.000	1800.000
3250000	2960.580	823.221	580.000	6320.000	2700.000
3500000	2370.345	893.966	1360.000	4260.000	2220.000
3750000	3431.940	1089.154	1240.000	7160.000	3240.000
4000000	4787.333	1911.666	1460.000	10300.000	4320.000
4250000	3540.800	2018.254	960.000	8720.000	3160.000
4500000	5819.643	1909.878	3300.000	9940.000	5840.000
4750000	5296.667	2074.975	2280.000	10320.000	4600.000
5000000	7513.023	2486.731	2800.000	13420.000	7140.000
5250000	8612.500	2920.249	1860.000	14640.000	8140.000
5500000	6836.327	2434.610	1540.000	11760.000	6980.000
5750000	8839.024	3083.198	3520.000	16120.000	7760.000
6000000	8582.791	3254.108	2520.000	18120.000	7180.000
6250000	7120.816	2271.258	3100.000	12280.000	7060.000
6500000	7040.000	3606.179	1960.000	16680.000	6470.000
6750000	4811.111	2786.028	1960.000	13160.000	4360.000
7000000	7989.545	2873.207	4560.000	15140.000	8280.000
7250000	9171.500	4015.438	3200.000	18620.000	9490.000
7500000	8250.000	3138.096	3820.000	15340.000	8090.000
7750000	6283.019	3200.088	940.000	15420.000	5540.000
8000000	9945.128	5838.967	3480.000	26760.000	8500.000
8250000	9369.303	3969.489	3300.000	23260.000	8000.000
8500000	8820.454	4375.686	3500.000	21260.000	8250.000
8750000	10800.556	4241.435	3440.000	20500.000	11680.000
9000000	8644.546	4761.229	2940.000	19380.000	8580.000
9250000	10986.857	3416.969	4380.000	16780.000	11300.000
9500000	10801.579	5382.422	4340.000	25860.000	10080.000
9750000	10467.027	4283.674	3880.000	22720.000	10300.000
10000000	8149.091	3193.438	4640.000	18560.000	7420.000
10250000	8942.000	3776.492	3600.000	20960.000	7580.000
10500000	9839.487	5209.198	4220.000	23060.000	9180.000
10750000	12252.353	4498.664	4620.000	25820.000	11850.000
11000000	7495.417	3428.159	3380.000	19520.000	7160.000
11250000	7706.531	4818.858	2360.000	25360.000	6640.000
11500000	8524.444	4337.210	2180.000	22840.000	7040.000
11750000	8346.521	4225.951	3260.000	21820.000	7380.000
12000000	10137.368	5519.447	3120.000	28360.000	9580.000
12250000	11269.729	6579.858	4880.000	39340.000	10640.000
12500000	13500.000	6387.621	4220.000	32040.000	11240.000
12750000	9135.556	3737.091	3560.000	20440.000	8610.000
13000000	7788.182	3772.875	2920.000	21480.000	6170.000
13250000	14914.482	5289.299	4900.000	23880.000	14360.000
13500000	9072.857	5014.374	2840.000	23240.000	8830.000
13750000	11533.913	4526.830	5980.000	24960.000	10100.000
14000000	12958.750	6144.713	3620.000	30460.000	11310.000
