iteration	mean	std_dev	min	max	median
250000	167.580	253.917	0.000	1000.000	0.000
500000	83.488	131.872	0.000	500.000	0.000
750000	7.317	26.042	0.000	100.000	0.000
1000000	6.400	24.475	0.000	100.000	0.000
1250000	15.000	42.785	0.000	200.000	0.000
1500000	40.849	88.996	0.000	350.000	0.000
1750000	147.628	199.144	0.000	850.000	0.000
2000000	7.859	30.453	0.000	250.000	0.000
2250000	50.857	96.729	0.000	350.000	0.000
2500000	38.148	77.270	0.000	250.000	0.000
2750000	65.057	122.882	0.000	500.000	0.000
3000000	129.762	115.114	0.000	500.000	100.000
3250000	114.211	111.488	0.000	600.000	100.000
3500000	46.875	100.589	0.000	350.000	0.000
3750000	121.491	166.157	0.000	600.000	0.000
4000000	169.062	189.726	0.000	750.000	250.000
4250000	123.016	139.536	0.000	700.000	50.000
4500000	54.448	104.557	0.000	600.000	0.000
4750000	166.770	169.301	0.000	750.000	100.000
5000000	362.349	223.771	0.000	850.000	250.000
5250000	283.333	233.214	0.000	800.000	250.000
5500000	67.949	130.329	0.000	700.000	0.000
5750000	117.610	144.950	0.000	500.000	0.000
6000000	239.005	236.764	0.000	1000.000	250.000
6250000	328.030	192.103	0.000	700.000	350.000
6500000	351.256	244.612	0.000	2100.000	350.000
6750000	413.333	189.620	100.000	1050.000	350.000
7000000	189.031	179.979	0.000	800.000	200.000
7250000	329.706	173.077	0.000	600.000	350.000
7500000	334.024	197.871	0.000	850.000	250.000
7750000	175.586	179.081	0.000	700.000	250.000
8000000	487.188	277.221	0.000	950.000	500.000
8250000	296.178	200.679	0.000	800.000	250.000
8500000	301.316	218.755	0.000	950.000	250.000
8750000	219.964	181.982	0.000	750.000	250.000
9000000	343.636	224.429	0.000	850.000	350.000
9250000	345.028	222.499	0.000	850.000	350.000
9500000	150.870	154.284	0.000	600.000	100.000
9750000	306.548	291.525	0.000	1050.000	250.000
10000000	277.113	207.400	0.000	600.000	250.000
10250000	338.740	231.608	0.000	900.000	350.000
10500000	260.730	288.277	0.000	1000.000	250.000
10750000	115.944	156.048	0.000	500.000	0.000
11000000	317.209	231.188	0.000	850.000	250.000
11250000	327.152	189.347	0.000	850.000	250.000
11500000	142.188	199.417	0.000	1000.000	50.000
11750000	369.822	243.630	0.000	1000.000	350.000
12000000	248.043	196.509	0.000	600.000	250.000
12250000	136.301	168.344	0.000	600.000	0.000
12500000	316.667	203.589	0.000	1000.000	250.000
12750000	146.450	206.447	0.000	850.000	0.000
13000000	318.023	247.477	0.000	850.000	350.000
13250000	286.992	205.942	0.000	850.000	250.000
13500000	306.442	234.792	0.000	850.000	250.000
13750000	356.612	176.448	0.000	850.000	350.000
14000000	259.702	240.683	0.000	900.000	250.000
14250000	320.652	236.902	0.000	950.000	350.000
14500000	80.912	154.271	0.000	500.000	0.000
14750000	217.529	172.774	0.000	600.000	250.000
15000000	369.964	189.012	0.000	850.000	350.000
15250000	548.286	250.935	0.000	950.000	600.000
15500000	214.583	175.285	0.000	500.000	100.000
15750000	314.957	253.713	0.000	950.000	350.000
16000000	277.451	186.114	0.000	850.000	250.000
16250000	158.621	208.662	0.000	600.000	0.000
16500000	450.237	153.513	0.000	800.000	500.000
16750000	224.498	207.350	0.000	1200.000	250.000
17000000	114.096	134.088	0.000	500.000	0.000
17250000	210.217	170.151	0.000	600.000	250.000
17500000	169.753	158.181	0.000	500.000	100.000
17750000	450.318	249.106	0.000	950.000	450.000
18000000	219.774	229.046	0.000	950.000	250.000
18250000	280.457	230.011	0.000	950.000	250.000
18500000	217.143	211.573	0.000	750.000	250.000
18750000	343.456	197.820	0.000	950.000	350.000
19000000	149.319	149.771	0.000	600.000	250.000
19250000	334.259	273.719	0.000	1100.000	300.000
19500000	650.962	188.743	250.000	1050.000	600.000
19750000	386.709	221.932	0.000	1050.000	500.000
20000000	133.481	159.113	0.000	600.000	0.000
20250000	454.348	147.787	0.000	1150.000	500.000
20500000	435.099	217.815	0.000	850.000	500.000
20750000	231.667	225.957	0.000	850.000	250.000
21000000	250.461	189.469	0.000	850.000	250.000
21250000	438.040	156.072	0.000	750.000	500.000
21500000	217.353	255.024	0.000	850.000	100.000
21750000	520.207	214.575	0.000	1050.000	500.000
22000000	395.897	250.862	0.000	1200.000	450.000
22250000	233.624	223.813	0.000	700.000	250.000
22500000	405.714	194.191	0.000	900.000	450.000
22750000	571.914	164.893	250.000	950.000	500.000
23000000	338.205	275.196	0.000	950.000	250.000
23250000	277.346	158.588	0.000	600.000	250.000
23500000	436.010	211.180	0.000	850.000	500.000
23750000	314.530	144.568	0.000	1050.000	250.000
24000000	295.755	236.934	0.000	850.000	250.000
24250000	416.761	249.352	0.000	950.000	500.000
24500000	439.429	236.316	0.000	1200.000	450.000
24750000	375.568	145.675	250.000	1100.000	350.000
25000000	459.467	240.867	0.000	1050.000	500.000
25250000	478.931	215.178	0.000	950.000	500.000
25500000	448.174	229.892	0.000	950.000	500.000
25750000	272.691	227.429	0.000	800.000	250.000
26000000	346.037	282.302	0.000	1050.000	350.000
26250000	546.626	98.162	250.000	850.000	500.000
26500000	391.912	178.696	0.000	850.000	400.000
26750000	255.280	206.201	0.000	850.000	250.000
27000000	386.216	275.753	0.000	2100.000	350.000
27250000	353.005	194.119	0.000	850.000	450.000
27500000	445.202	167.014	250.000	950.000	500.000
27750000	530.183	133.163	0.000	950.000	500.000
28000000	377.064	181.928	0.000	850.000	350.000
28250000	338.281	172.921	0.000	750.000	250.000
28500000	143.869	125.753	0.000	500.000	250.000
28750000	561.465	164.324	250.000	1050.000	500.000
29000000	643.252	306.450	250.000	2100.000	700.000
29250000	523.425	181.725	0.000	2100.000	550.000
29500000	453.468	138.904	250.000	950.000	500.000
29750000	526.271	177.002	250.000	950.000	500.000
30000000	428.520	151.284	0.000	700.000	500.000
30250000	575.641	213.959	100.000	1200.000	500.000
30500000	496.328	210.999	0.000	950.000	500.000
30750000	267.010	246.928	0.000	1100.000	250.000
31000000	272.384	272.865	0.000	850.000	350.000
31250000	542.927	142.234	250.000	850.000	500.000
31500000	365.385	142.052	250.000	950.000	250.000
31750000	443.429	176.148	250.000	950.000	350.000
32000000	580.163	374.275	0.000	2100.000	600.000
32250000	437.313	277.338	0.000	1050.000	500.000
32500000	435.135	189.261	0.000	850.000	350.000
32750000	296.802	225.494	0.000	2000.000	250.000
33000000	511.446	206.495	250.000	2000.000	500.000
33250000	515.613	146.831	250.000	950.000	500.000
33500000	390.230	239.892	0.000	1050.000	475.000
33750000	551.804	323.654	0.000	2200.000	550.000
34000000	360.526	155.128	0.000	1150.000	350.000
34250000	478.995	243.015	0.000	1050.000	500.000
34500000	462.931	309.694	0.000	1050.000	450.000
34750000	550.852	191.619	100.000	1000.000	550.000
35000000	550.552	228.796	0.000	950.000	500.000
35250000	403.191	247.789	0.000	1100.000	500.000
35500000	302.926	172.295	0.000	700.000	250.000
35750000	271.471	225.690	0.000	850.000	250.000
36000000	771.040	405.580	250.000	2100.000	750.000
36250000	616.358	184.326	0.000	1050.000	600.000
36500000	418.810	248.598	0.000	1000.000	350.000
36750000	473.052	186.921	100.000	1050.000	450.000
37000000	692.614	165.237	250.000	1100.000	750.000
37250000	373.203	234.662	0.000	1000.000	350.000
37500000	365.033	245.820	0.000	950.000	350.000
37750000	419.061	284.806	0.000	950.000	500.000
38000000	316.878	263.476	0.000	1100.000	250.000
38250000	661.326	169.648	0.000	850.000	600.000
38500000	623.592	184.113	250.000	1100.000	600.000
38750000	429.167	294.141	0.000	1050.000	500.000
39000000	328.099	191.654	0.000	750.000	350.000
39250000	395.513	256.353	0.000	1200.000	350.000
39500000	389.560	309.822	0.000	1050.000	475.000
39750000	716.761	405.733	250.000	2300.000	500.000
40000000	391.710	336.484	0.000	2200.000	350.000
40250000	545.370	190.338	250.000	950.000	500.000
40500000	577.225	105.811	250.000	950.000	600.000
40750000	527.665	187.445	100.000	1100.000	500.000
41000000	448.370	123.898	250.000	950.000	500.000
41250000	373.563	121.376	250.000	700.000	450.000
41500000	422.603	170.824	0.000	950.000	500.000
41750000	468.208	132.454	0.000	950.000	450.000
42000000	682.880	197.175	250.000	1100.000	600.000
42250000	512.921	272.270	0.000	1150.000	500.000
42500000	536.464	237.265	0.000	1100.000	550.000
42750000	537.719	433.193	0.000	2000.000	500.000
43000000	325.668	205.497	0.000	950.000	350.000
43250000	620.506	279.322	0.000	1300.000	600.000
43500000	356.629	196.039	0.000	850.000	350.000
43750000	338.019	178.989	0.000	750.000	250.000
44000000	385.539	287.312	0.000	1100.000	500.000
44250000	533.784	158.393	0.000	950.000	500.000
44500000	521.429	144.190	250.000	850.000	500.000
44750000	444.330	211.265	0.000	1050.000	500.000
45000000	435.526	203.718	0.000	1100.000	500.000
45250000	626.368	139.299	250.000	1200.000	600.000
45500000	532.917	181.429	250.000	2000.000	500.000
45750000	462.449	191.392	250.000	1100.000	350.000
46000000	581.000	218.836	0.000	1100.000	600.000
46250000	612.022	194.438	250.000	1050.000	600.000
46500000	507.604	138.040	250.000	850.000	500.000
46750000	317.005	143.657	0.000	850.000	250.000
47000000	597.847	184.008	0.000	950.000	600.000
47250000	512.778	218.907	0.000	950.000	500.000
47500000	434.507	209.615	0.000	950.000	500.000
47750000	471.106	288.135	0.000	1100.000	450.000
48000000	477.178	275.255	0.000	1000.000	450.000
48250000	525.444	217.511	0.000	1050.000	600.000
48500000	551.445	203.966	0.000	950.000	600.000
48750000	449.282	233.728	0.000	1050.000	500.000
49000000	366.667	155.776	250.000	950.000	250.000
49250000	477.833	169.471	250.000	850.000	500.000
49500000	505.734	181.550	0.000	1000.000	500.000
49750000	538.551	196.100	0.000	1050.000	500.000
50000000	335.814	242.556	0.000	1050.000	350.000
