iteration	mean	std_dev	min	max	median
250000	-14.806	4.390	-24.000	-8.000	-13.000
500000	-2.200	3.223	-9.000	6.000	-3.000
750000	-11.147	3.828	-22.000	-5.000	-11.000
1000000	-16.639	4.276	-23.000	-10.000	-18.000
1250000	-19.143	3.072	-26.000	-14.000	-18.000
1500000	-13.703	3.979	-23.000	-6.000	-13.000
1750000	-9.556	2.743	-14.000	-3.000	-10.000
2000000	-7.293	2.559	-13.000	-2.000	-7.000
2250000	-23.441	3.874	-30.000	-17.000	-22.500
2500000	-13.842	4.368	-20.000	-7.000	-15.000
2750000	-19.429	3.643	-27.000	-13.000	-20.000
3000000	-5.714	3.518	-13.000	0.000	-6.000
3250000	-22.091	3.147	-28.000	-13.000	-22.000
3500000	-10.051	2.287	-17.000	-6.000	-10.000
3750000	-11.526	2.788	-17.000	-6.000	-11.500
4000000	-12.722	2.376	-17.000	-7.000	-13.000
4250000	-9.605	3.890	-18.000	1.000	-10.000
4500000	-3.657	3.295	-11.000	2.000	-4.000
4750000	-13.222	2.926	-21.000	-8.000	-13.500
5000000	-11.485	3.993	-20.000	-1.000	-12.000
5250000	-14.861	4.522	-23.000	-5.000	-15.000
5500000	-8.667	2.411	-13.000	-2.000	-9.000
5750000	-14.351	3.543	-26.000	-8.000	-14.000
6000000	-9.658	3.080	-16.000	-5.000	-9.000
6250000	-7.053	2.819	-13.000	-2.000	-7.000
6500000	-9.051	2.601	-16.000	-4.000	-9.000
6750000	-7.306	2.654	-14.000	-2.000	-7.000
7000000	-4.211	3.908	-11.000	2.000	-4.500
7250000	-10.229	2.859	-17.000	-6.000	-9.000
7500000	-13.432	2.991	-18.000	-6.000	-14.000
7750000	-4.842	2.230	-10.000	0.000	-5.000
8000000	-9.324	2.394	-14.000	-5.000	-9.000
8250000	-6.462	2.590	-13.000	-1.000	-6.000
8500000	-11.553	2.291	-17.000	-4.000	-11.000
8750000	-12.278	3.517	-20.000	-5.000	-12.000
9000000	-7.103	3.045	-13.000	-1.000	-7.000
9250000	-7.205	2.729	-13.000	0.000	-8.000
9500000	-3.459	2.343	-8.000	1.000	-3.000
9750000	-3.243	2.487	-8.000	4.000	-4.000
10000000	-4.314	2.527	-11.000	1.000	-4.000
10250000	-8.735	3.837	-17.000	-2.000	-8.000
10500000	-4.973	3.209	-12.000	3.000	-4.000
10750000	-8.629	3.993	-16.000	1.000	-9.000
11000000	-5.083	2.510	-12.000	0.000	-5.500
11250000	-5.639	2.605	-10.000	0.000	-5.500
11500000	-6.861	3.066	-15.000	0.000	-7.000
11750000	-4.417	2.650	-9.000	0.000	-4.000
12000000	-5.778	2.907	-12.000	-1.000	-5.000
12250000	-3.216	2.315	-9.000	3.000	-3.000
12500000	-6.778	2.770	-13.000	0.000	-6.500
12750000	-2.162	2.236	-6.000	4.000	-2.000
13000000	-5.257	3.147	-11.000	0.000	-5.000
13250000	-3.865	2.303	-9.000	0.000	-4.000
13500000	-5.829	3.715	-15.000	1.000	-5.000
13750000	-4.111	2.144	-9.000	0.000	-4.000
14000000	-6.771	3.712	-14.000	0.000	-8.000
