iteration	mean	std_dev	min	max	median
250000	0.000	0.000	0.000	0.000	0.000
500000	57.225	90.390	0.000	200.000	0.000
750000	0.000	0.000	0.000	0.000	0.000
1000000	0.000	0.000	0.000	0.000	0.000
1250000	1.156	15.162	0.000	200.000	0.000
1500000	598.230	18.731	400.000	600.000	600.000
1750000	732.867	184.647	200.000	1000.000	600.000
2000000	185.294	192.199	0.000	700.000	200.000
2250000	842.222	164.640	600.000	1200.000	800.000
2500000	610.945	416.189	200.000	1400.000	800.000
2750000	732.240	459.269	200.000	2000.000	600.000
3000000	870.909	221.706	0.000	1800.000	800.000
3250000	6700.000	1526.958	3600.000	9000.000	7000.000
3500000	2044.715	1311.748	600.000	5000.000	1200.000
3750000	1311.656	314.163	600.000	1800.000	1200.000
4000000	1769.118	706.120	800.000	6000.000	1600.000
4250000	8737.500	3835.396	4800.000	15000.000	8500.000
4500000	9070.213	2682.878	4200.000	14800.000	9800.000
4750000	3703.030	1720.081	1600.000	9200.000	2600.000
5000000	6970.000	2042.490	2000.000	13600.000	7200.000
5250000	6080.952	1776.286	1600.000	13300.000	5200.000
5500000	13472.223	2403.771	4400.000	16600.000	13400.000
5750000	12058.536	1739.775	6400.000	16400.000	11600.000
6000000	10687.180	2713.988	4600.000	14400.000	11400.000
6250000	8271.429	1965.208	3800.000	12200.000	8400.000
6500000	5833.333	2474.088	1000.000	11600.000	6400.000
6750000	5072.727	1882.361	1000.000	10100.000	5600.000
7000000	8261.111	2509.494	5400.000	14400.000	6400.000
7250000	7469.492	2343.997	4600.000	15300.000	6000.000
7500000	5347.369	3938.657	1000.000	11000.000	5800.000
7750000	9692.000	3162.583	1600.000	16800.000	7900.000
8000000	6141.791	2007.088	2000.000	14400.000	6000.000
8250000	9342.857	4125.332	1400.000	16200.000	10800.000
8500000	9751.063	3510.766	4400.000	16200.000	10600.000
8750000	4189.474	1549.837	1000.000	8000.000	3600.000
9000000	9764.000	4155.708	6000.000	16600.000	8400.000
9250000	9205.883	2248.783	3600.000	11400.000	9000.000
9500000	8660.377	2431.502	5000.000	11200.000	10600.000
9750000	13844.444	2800.838	5900.000	16600.000	15700.000
10000000	6269.014	2152.797	3200.000	14100.000	6300.000
10250000	7875.862	3377.783	3000.000	17000.000	6200.000
10500000	10018.367	2413.539	4900.000	16100.000	11200.000
10750000	12397.500	2681.556	5000.000	16000.000	11800.000
11000000	8651.923	2686.039	5600.000	15900.000	10050.000
11250000	5256.962	1646.299	800.000	11500.000	4600.000
11500000	10345.238	3605.961	4600.000	15300.000	10500.000
11750000	14091.667	2471.884	11100.000	17000.000	14300.000
12000000	9048.077	2751.258	3000.000	13600.000	9850.000
12250000	12275.000	2948.198	5700.000	16800.000	11950.000
12500000	7867.308	2693.348	4600.000	14600.000	7250.000
12750000	12112.195	3144.891	6800.000	16700.000	11600.000
13000000	12056.410	3856.915	6000.000	16000.000	11000.000
13250000	13084.615	2693.824	5700.000	16800.000	12600.000
13500000	14728.571	3183.580	5400.000	16900.000	16500.000
13750000	15572.728	2012.879	10500.000	16700.000	16500.000
14000000	13416.216	2471.843	8600.000	16400.000	12900.000
14250000	11246.512	4329.743	5800.000	16700.000	11000.000
14500000	12426.315	2406.317	6100.000	16500.000	13100.000
14750000	13859.459	2464.719	9000.000	16800.000	14900.000
15000000	13028.947	2680.918	9200.000	16600.000	13700.000
15250000	13123.685	2716.948	8300.000	16800.000	11500.000
15500000	13835.135	2626.602	11000.000	16900.000	11600.000
15750000	13156.410	2457.307	7200.000	16600.000	11700.000
16000000	13705.556	3052.043	8000.000	16400.000	15500.000
16250000	13221.622	2880.328	5800.000	16300.000	14300.000
16500000	9360.784	3571.021	3800.000	13100.000	10000.000
16750000	4886.667	3796.431	1200.000	11400.000	5600.000
17000000	1526.389	269.512	1000.000	2800.000	1600.000
17250000	10677.777	3145.712	6200.000	16800.000	10600.000
17500000	10582.608	4114.571	4600.000	16600.000	11700.000
17750000	14923.529	2022.820	9700.000	16300.000	16000.000
18000000	11909.756	3515.527	3800.000	16700.000	11500.000
18250000	15254.546	2570.944	6400.000	16900.000	16300.000
18500000	9961.702	2659.112	5700.000	16400.000	9900.000
18750000	14308.108	3516.861	8600.000	16900.000	16900.000
19000000	10008.163	3628.113	5400.000	16200.000	10900.000
19250000	13994.444	2705.852	6400.000	17000.000	16150.000
19500000	11113.637	2739.906	6700.000	16300.000	9900.000
19750000	13548.648	2615.093	8600.000	16100.000	14900.000
20000000	11604.762	2473.666	5800.000	16600.000	11400.000
20250000	11113.637	2537.948	5600.000	16600.000	11100.000
20500000	13464.865	2431.129	6300.000	16900.000	13800.000
20750000	13932.433	2618.959	10700.000	16700.000	14100.000
21000000	10643.479	5091.453	2900.000	16400.000	10900.000
21250000	1550.303	173.947	1200.000	2000.000	1600.000
21500000	8085.455	3192.059	2900.000	14100.000	8200.000
21750000	11530.952	2807.090	5100.000	16200.000	10800.000
22000000	10517.777	2968.373	6000.000	15900.000	10600.000
22250000	16606.250	474.300	14900.000	16900.000	16900.000
22500000	14972.728	1807.773	8600.000	16400.000	15300.000
22750000	12920.513	2851.826	7300.000	16600.000	12700.000
23000000	12083.333	1918.446	7500.000	16700.000	11600.000
23250000	9867.347	4424.532	400.000	16600.000	10700.000
23500000	2109.091	2023.825	800.000	15600.000	1400.000
23750000	7894.643	2307.783	2300.000	12300.000	7500.000
24000000	9943.479	2835.540	2900.000	13000.000	11600.000
24250000	10577.777	2744.683	6700.000	15700.000	10500.000
24500000	10508.889	2448.748	3300.000	14000.000	11200.000
24750000	13543.243	1704.928	9800.000	16100.000	12800.000
25000000	10757.447	3928.388	3800.000	16800.000	12100.000
25250000	12566.667	3304.258	3500.000	16600.000	12400.000
25500000	14000.000	2815.593	1600.000	16900.000	14300.000
25750000	13505.556	2142.551	9000.000	16300.000	13400.000
26000000	13143.590	2049.365	8700.000	16900.000	12700.000
26250000	11257.777	3725.318	4200.000	16600.000	9500.000
26500000	11130.232	1719.861	6200.000	15300.000	11300.000
26750000	12479.487	3008.806	6300.000	16500.000	14300.000
27000000	9541.305	3429.893	3600.000	15200.000	10300.000
27250000	12576.315	3218.486	6900.000	16100.000	12900.000
27500000	14744.117	1683.343	10400.000	16600.000	14950.000
