iteration	mean	std_dev	min	max	median
250000	28.372	35.062	0.000	137.000	20.000
500000	1294.693	473.405	531.000	3074.000	1273.500
750000	2875.465	370.117	1899.000	3933.000	2889.000
1000000	4567.708	693.445	2592.000	6120.000	4680.000
1250000	4014.809	514.826	2664.000	4977.000	4023.000
1500000	5973.067	903.764	2565.000	7479.000	6228.000
1750000	6674.966	887.058	5193.000	9387.000	6885.000
2000000	7183.855	1823.526	2916.000	9234.000	7686.000
2250000	7361.554	1508.830	4464.000	9504.000	7092.000
2500000	7414.769	1565.228	4230.000	9648.000	7758.000
2750000	7525.312	1648.264	2007.000	9810.000	8118.000
3000000	7942.309	1608.285	3681.000	9837.000	8658.000
3250000	7172.820	1799.386	2403.000	9759.000	7110.000
3500000	7262.802	980.033	4116.000	9701.000	7083.000
3750000	8075.473	1272.774	4647.000	9804.000	8445.000
4000000	7773.495	1396.972	4509.000	10242.000	7209.000
4250000	6727.441	1266.099	4071.000	9333.000	6402.000
4500000	8332.438	641.493	5823.000	9312.000	8463.000
4750000	8810.318	1083.557	4347.000	10278.000	8842.500
5000000	8160.174	1262.680	5796.000	10530.000	8496.000
5250000	9003.546	1017.972	5079.000	10272.000	9211.500
5500000	8855.566	1211.645	4140.000	10470.000	9225.000
5750000	8881.483	856.269	6975.000	10296.000	9288.000
6000000	8205.517	1301.506	5634.000	9567.000	8712.000
6250000	7564.188	1182.713	5502.000	9723.000	7167.000
6500000	8172.479	1396.449	5724.000	10044.000	8694.000
6750000	7057.762	1941.559	2930.000	9816.000	6351.000
7000000	7764.495	1546.631	3600.000	9981.000	8181.000
7250000	7909.135	1745.393	1700.000	9984.000	8636.000
7500000	7550.636	1881.516	2433.000	10125.000	7875.000
7750000	9003.579	1016.623	6309.000	10449.000	9283.500
8000000	8995.719	985.678	5598.000	10197.000	9174.000
8250000	8697.843	960.665	6174.000	10323.000	8946.000
8500000	7005.876	1883.589	0.000	10098.000	6222.000
8750000	8441.608	1230.846	4818.000	10485.000	8676.000
9000000	8212.188	1761.978	4194.000	10287.000	8911.500
9250000	9142.091	948.639	6177.000	10359.000	9091.500
9500000	8358.610	1591.185	2883.000	10650.000	8883.000
9750000	8537.250	1308.691	5223.000	10190.000	9117.000
10000000	9159.472	927.572	5814.000	10224.000	9405.000
10250000	8082.406	1859.718	3915.000	10485.000	9207.000
10500000	8768.300	1078.831	5348.000	10010.000	9262.000
10750000	8291.378	1034.952	5214.000	9761.000	8424.500
11000000	8489.674	1173.996	5265.000	10191.000	8661.000
11250000	7257.343	2467.937	3105.000	10208.000	8756.000
11500000	7701.060	2556.858	30.000	10227.000	8917.500
11750000	8057.893	1896.544	2598.000	10278.000	8874.000
12000000	7239.265	2739.618	2286.000	10233.000	8851.500
12250000	7159.695	1852.585	2724.000	10011.000	6966.000
12500000	6747.605	1658.033	4680.000	10026.000	6336.000
12750000	7335.490	2343.704	50.000	10467.000	7021.000
13000000	8561.322	1390.754	4302.000	10359.000	9225.000
13250000	8901.256	1395.574	4727.000	10289.000	9564.000
13500000	8306.312	1391.473	5098.000	10091.000	8806.000
13750000	8795.300	1043.406	4869.000	10467.000	9000.000
14000000	8487.646	1494.719	2775.000	10530.000	8982.000
14250000	9014.113	862.092	5411.000	10002.000	9281.000
14500000	6984.075	2586.690	2880.000	10380.000	6804.000
