iteration	mean	std_dev	min	max	median
250000	331.915	228.907	80.000	2160.000	300.000
500000	344.598	224.217	140.000	1890.000	280.000
750000	563.492	474.494	0.000	2740.000	440.000
1000000	61.694	482.394	0.000	5410.000	20.000
1250000	5500.000	649.061	4990.000	6770.000	5280.000
1500000	5575.000	2110.592	4410.000	11030.000	4750.000
1750000	3369.286	1941.467	200.000	5460.000	4445.000
2000000	285.479	655.516	40.000	5280.000	120.000
2250000	9600.370	5707.493	2220.000	22780.000	11460.000
2500000	3126.667	2111.908	140.000	4630.000	4610.000
2750000	3972.000	1185.536	2110.000	5120.000	4430.000
3000000	1665.714	1981.899	40.000	5370.000	470.000
3250000	4407.778	635.134	2860.000	5180.000	4550.000
3500000	8328.824	4142.726	3020.000	18250.000	6950.000
3750000	6731.111	2984.048	3270.000	11280.000	5300.000
4000000	5895.000	3249.931	1450.000	16840.000	4655.000
4250000	4311.702	2155.056	160.000	10060.000	4810.000
4500000	5430.000	1593.026	4350.000	8950.000	4840.000
4750000	8492.941	5442.912	160.000	21050.000	9090.000
5000000	7620.893	4208.872	1290.000	17170.000	6910.000
5250000	7705.625	3181.915	4050.000	14850.000	6995.000
5500000	8384.286	3600.908	4520.000	17140.000	7645.000
5750000	9816.316	4363.596	3540.000	23170.000	10515.000
6000000	11829.091	5941.895	260.000	18980.000	12550.000
6250000	5709.211	6240.392	80.000	24880.000	2810.000
6500000	13671.613	8301.093	4590.000	40780.000	11880.000
6750000	4153.000	2020.149	540.000	10710.000	4225.000
7000000	12428.800	3976.004	4530.000	20660.000	12810.000
7250000	7684.267	5120.928	1250.000	32040.000	5230.000
7500000	7166.667	3757.511	2800.000	15670.000	5940.000
7750000	7692.222	4942.561	4230.000	20230.000	4845.000
8000000	12668.421	5892.545	3960.000	23660.000	11230.000
8250000	7303.684	3238.134	3130.000	17750.000	5340.000
8500000	8217.971	3299.316	2250.000	17160.000	7880.000
8750000	5065.000	408.116	4530.000	5700.000	5025.000
9000000	11025.349	6195.379	400.000	23180.000	11720.000
9250000	6127.368	2814.741	2230.000	15250.000	5255.000
9500000	13634.483	6877.323	4570.000	27610.000	13460.000
9750000	17733.333	6593.490	5410.000	28960.000	18960.000
10000000	10723.684	4801.273	4400.000	24260.000	10780.000
10250000	12061.304	4109.342	4840.000	18360.000	11850.000
10500000	9973.148	6406.335	260.000	26210.000	11000.000
10750000	11601.481	4503.723	4430.000	19810.000	11340.000
11000000	8557.333	4800.805	1860.000	21420.000	9390.000
11250000	7305.000	2573.932	3960.000	11580.000	7355.000
11500000	8688.148	3169.142	4740.000	17590.000	8720.000
11750000	12532.857	8062.512	400.000	22880.000	16610.000
12000000	7592.632	4350.437	2090.000	22120.000	5040.000
12250000	11026.061	5181.215	4720.000	23860.000	10350.000
12500000	12712.632	6885.610	5110.000	38200.000	11200.000
12750000	10807.164	4157.075	3550.000	20640.000	10850.000
