iteration	mean	std_dev	min	max	median
250000	363.768	304.501	100.000	2160.000	340.000
500000	272.297	192.643	140.000	1890.000	240.000
750000	708.281	542.185	140.000	2740.000	560.000
1000000	100.000	0.000	100.000	100.000	100.000
1250000	5370.000	0.000	5370.000	5370.000	5370.000
1500000	11030.000	0.000	11030.000	11030.000	11030.000
1750000	5225.000	235.000	4990.000	5460.000	5225.000
2000000	120.000	0.000	120.000	120.000	120.000
2250000	3273.333	1034.902	2220.000	4680.000	2920.000
2500000	140.000	0.000	140.000	140.000	140.000
2750000	3443.333	1252.580	2110.000	5120.000	3100.000
3000000	302.222	170.345	40.000	620.000	240.000
3250000	4300.000	681.406	2860.000	5180.000	4470.000
3500000	5310.000	0.000	5310.000	5310.000	5310.000
3750000	7295.714	3163.140	3270.000	11280.000	5420.000
4000000	4533.333	839.656	2910.000	5660.000	4645.000
4250000	3516.522	1761.871	160.000	6260.000	3360.000
4500000	4890.000	180.000	4710.000	5070.000	4890.000
4750000	3028.947	1849.048	160.000	5670.000	3600.000
5000000	3940.000	1580.970	1720.000	5280.000	4820.000
5250000	5900.000	1002.231	4930.000	7280.000	5490.000
5500000	4960.000	0.000	4960.000	4960.000	4960.000
5750000	9442.500	4120.967	4850.000	15070.000	8925.000
6000000	3966.667	1784.093	260.000	5520.000	4865.000
6250000	1865.217	1452.392	80.000	5130.000	1950.000
6500000	5420.000	150.000	5270.000	5570.000	5420.000
6750000	4930.000	0.000	4930.000	4930.000	4930.000
7000000	4530.000	0.000	4530.000	4530.000	4530.000
7250000	11009.523	6390.759	4810.000	32040.000	11260.000
7500000	4275.000	375.000	3900.000	4650.000	4275.000
7750000	8300.000	3600.000	4700.000	11900.000	8300.000
8000000	10415.000	575.000	9840.000	10990.000	10415.000
8250000	7429.167	3281.578	3130.000	17750.000	5435.000
8500000	7431.923	3083.781	2250.000	17160.000	7325.000
8750000	5250.000	345.543	4860.000	5700.000	5190.000
9000000	14881.111	3972.363	6400.000	23180.000	15530.000
9250000	6750.000	1670.000	5080.000	8420.000	6750.000
9500000	6545.000	2770.181	4570.000	12260.000	5365.000
9750000	5690.000	0.000	5690.000	5690.000	5690.000
10000000	13733.333	6428.602	5480.000	24260.000	12090.000
10250000	12026.363	4315.316	4840.000	18360.000	11340.000
