iteration	mean	std_dev	min	max	median
250000	-287.250	169.098	-507.000	-57.000	-299.000
500000	-4.613	10.477	-48.000	0.000	0.000
750000	-22.941	27.473	-94.000	0.000	-16.000
1000000	0.000	0.000	0.000	0.000	0.000
1250000	-18.200	15.406	-39.000	0.000	-17.000
1500000	-175.900	299.704	-1142.000	0.000	-53.500
1750000	-28.000	9.933	-42.000	-20.000	-22.000
2000000	-12.065	15.314	-48.000	0.000	0.000
2250000	0.000	0.000	0.000	0.000	0.000
2500000	0.000	0.000	0.000	0.000	0.000
2750000	-7.863	10.464	-22.000	0.000	0.000
3000000	-6.533	11.209	-37.000	0.000	0.000
3250000	0.000	0.000	0.000	0.000	0.000
3500000	0.000	0.000	0.000	0.000	0.000
3750000	0.000	0.000	0.000	0.000	0.000
4000000	0.000	0.000	0.000	0.000	0.000
4250000	0.000	0.000	0.000	0.000	0.000
4500000	0.000	0.000	0.000	0.000	0.000
4750000	-14.426	23.473	-122.000	0.000	0.000
5000000	-46.205	45.476	-240.000	0.000	-34.500
5250000	0.000	0.000	0.000	0.000	0.000
5500000	-2.000	0.000	-2.000	-2.000	-2.000
5750000	-11.725	26.368	-139.000	0.000	0.000
6000000	0.000	0.000	0.000	0.000	0.000
6250000	0.000	0.000	0.000	0.000	0.000
6500000	-27.200	35.991	-116.000	0.000	-14.000
6750000	0.000	0.000	0.000	0.000	0.000
7000000	-10.000	15.636	-37.000	0.000	-1.500
7250000	0.000	0.000	0.000	0.000	0.000
7500000	-20.917	20.870	-65.000	0.000	-24.000
7750000	0.000	0.000	0.000	0.000	0.000
8000000	-15.000	0.000	-15.000	-15.000	-15.000
8250000	-100.000	0.000	-100.000	-100.000	-100.000
8500000	0.000	0.000	0.000	0.000	0.000
8750000	-5.667	5.706	-16.000	0.000	-4.000
9000000	-0.500	0.500	-1.000	0.000	-0.500
9250000	-11.591	21.116	-80.000	0.000	0.000
9500000	0.000	0.000	0.000	0.000	0.000
9750000	-14.326	19.431	-81.000	0.000	-8.000
10000000	-4.500	13.500	-45.000	0.000	0.000
10250000	-6.333	8.957	-19.000	0.000	0.000
10500000	0.000	0.000	0.000	0.000	0.000
10750000	0.000	0.000	0.000	0.000	0.000
11000000	0.000	0.000	0.000	0.000	0.000
11250000	-100.000	0.000	-100.000	-100.000	-100.000
11500000	0.000	0.000	0.000	0.000	0.000
11750000	0.000	0.000	0.000	0.000	0.000
12000000	0.000	0.000	0.000	0.000	0.000
12250000	-100.000	0.000	-100.000	-100.000	-100.000
12500000	-3.333	4.714	-10.000	0.000	0.000
12750000	-8.171	10.777	-37.000	0.000	0.000
13000000	0.000	0.000	0.000	0.000	0.000
13250000	0.000	0.000	0.000	0.000	0.000
13500000	0.000	0.000	0.000	0.000	0.000
13750000	-100.000	0.000	-100.000	-100.000	-100.000
14000000	0.000	0.000	0.000	0.000	0.000
14250000	0.000	0.000	0.000	0.000	0.000
14500000	0.000	0.000	0.000	0.000	0.000
14750000	-118.000	0.000	-118.000	-118.000	-118.000
15000000	0.000	0.000	0.000	0.000	0.000
15250000	0.000	0.000	0.000	0.000	0.000
15500000	-13.000	0.000	-13.000	-13.000	-13.000
15750000	0.000	0.000	0.000	0.000	0.000
16000000	0.000	0.000	0.000	0.000	0.000
16250000	-6.333	8.957	-19.000	0.000	0.000
16500000	0.000	0.000	0.000	0.000	0.000
16750000	0.000	0.000	0.000	0.000	0.000
17000000	0.000	0.000	0.000	0.000	0.000
17250000	-16.750	18.047	-43.000	0.000	-12.000
17500000	-26.500	26.500	-53.000	0.000	-26.500
17750000	0.000	0.000	0.000	0.000	0.000
18000000	-100.000	0.000	-100.000	-100.000	-100.000
18250000	-1.050	4.577	-21.000	0.000	0.000
18500000	0.000	0.000	0.000	0.000	0.000
18750000	-16.500	16.500	-33.000	0.000	-16.500
19000000	0.000	0.000	0.000	0.000	0.000
19250000	-22.000	0.000	-22.000	-22.000	-22.000
19500000	0.000	0.000	0.000	0.000	0.000
19750000	-10.000	0.000	-10.000	-10.000	-10.000
20000000	0.000	0.000	0.000	0.000	0.000
20250000	-29.000	0.000	-29.000	-29.000	-29.000
20500000	0.000	0.000	0.000	0.000	0.000
20750000	0.000	0.000	0.000	0.000	0.000
21000000	-43.857	56.344	-220.000	-1.000	-26.000
21250000	-1.333	1.886	-4.000	0.000	0.000
21500000	0.000	0.000	0.000	0.000	0.000
21750000	-10.000	10.000	-20.000	0.000	-10.000
22000000	-12.000	0.000	-12.000	-12.000	-12.000
22250000	-50.000	50.000	-100.000	0.000	-50.000
22500000	-22.333	18.803	-46.000	0.000	-21.000
22750000	-20.000	20.000	-40.000	0.000	-20.000
23000000	-23.522	28.238	-130.000	0.000	-12.000
23250000	0.000	0.000	0.000	0.000	0.000
23500000	0.000	0.000	0.000	0.000	0.000
23750000	-13.923	15.415	-50.000	0.000	-12.000
24000000	-27.000	36.510	-100.000	0.000	-8.000
24250000	-100.000	0.000	-100.000	-100.000	-100.000
24500000	0.000	0.000	0.000	0.000	0.000
24750000	-16.667	12.684	-32.000	0.000	-21.000
25000000	-11.530	14.037	-77.000	0.000	-6.000
25250000	-107.000	0.000	-107.000	-107.000	-107.000
25500000	0.000	0.000	0.000	0.000	0.000
25750000	-113.000	0.000	-113.000	-113.000	-113.000
26000000	-15.465	15.942	-55.000	0.000	-15.000
26250000	0.000	0.000	0.000	0.000	0.000
26500000	0.000	0.000	0.000	0.000	0.000
26750000	-16.000	0.000	-16.000	-16.000	-16.000
27000000	-34.000	0.000	-34.000	-34.000	-34.000
27250000	-7.738	18.141	-72.000	0.000	0.000
27500000	0.000	0.000	0.000	0.000	0.000
27750000	0.000	0.000	0.000	0.000	0.000
28000000	-7.333	10.371	-22.000	0.000	0.000
28250000	-13.132	22.268	-86.000	0.000	0.000
28500000	0.000	0.000	0.000	0.000	0.000
28750000	-102.818	97.067	-326.000	0.000	-81.000
29000000	-100.000	0.000	-100.000	-100.000	-100.000
29250000	-14.720	22.522	-96.000	0.000	0.000
29500000	0.000	0.000	0.000	0.000	0.000
29750000	0.000	0.000	0.000	0.000	0.000
30000000	-3.000	7.537	-37.000	0.000	0.000
30250000	-70.000	0.000	-70.000	-70.000	-70.000
30500000	-40.643	69.645	-291.000	0.000	-9.000
30750000	0.000	0.000	0.000	0.000	0.000
31000000	-100.000	0.000	-100.000	-100.000	-100.000
31250000	-13.667	21.539	-72.000	0.000	-2.000
31500000	-14.125	15.231	-53.000	0.000	-10.000
31750000	-3.800	5.154	-13.000	0.000	0.000
32000000	-17.809	29.320	-125.000	0.000	-5.000
32250000	0.000	0.000	0.000	0.000	0.000
32500000	-119.000	0.000	-119.000	-119.000	-119.000
32750000	0.000	0.000	0.000	0.000	0.000
33000000	-6.400	7.838	-16.000	0.000	0.000
33250000	0.000	0.000	0.000	0.000	0.000
33500000	-25.000	0.000	-25.000	-25.000	-25.000
33750000	0.000	0.000	0.000	0.000	0.000
34000000	-12.667	13.275	-31.000	0.000	-7.000
34250000	-3.500	3.500	-7.000	0.000	-3.500
34500000	-65.000	60.969	-216.000	0.000	-46.000
34750000	-36.500	36.500	-73.000	0.000	-36.500
35000000	-30.000	0.000	-30.000	-30.000	-30.000
35250000	0.000	0.000	0.000	0.000	0.000
35500000	-18.385	20.113	-76.000	0.000	-16.000
35750000	-200.000	0.000	-200.000	-200.000	-200.000
36000000	-3.500	3.500	-7.000	0.000	-3.500
36250000	0.000	0.000	0.000	0.000	0.000
36500000	-19.667	23.135	-68.000	0.000	-14.000
36750000	0.000	0.000	0.000	0.000	0.000
37000000	0.000	0.000	0.000	0.000	0.000
37250000	-28.105	22.967	-76.000	0.000	-27.000
37500000	-6.366	10.068	-28.000	0.000	0.000
37750000	0.000	0.000	0.000	0.000	0.000
38000000	-40.500	40.500	-81.000	0.000	-40.500
