iteration	mean	std_dev	min	max	median
250000	152.987	58.638	75.000	650.000	150.000
500000	168.713	10.847	150.000	175.000	175.000
750000	309.173	72.603	150.000	425.000	300.000
1000000	521.309	103.357	300.000	700.000	450.000
1250000	585.742	125.222	400.000	775.000	650.000
1500000	709.075	213.096	325.000	975.000	850.000
1750000	1172.243	369.639	450.000	4675.000	1275.000
2000000	2688.461	1862.773	450.000	4875.000	1825.000
2250000	1813.722	1483.216	375.000	4450.000	1325.000
2500000	3389.074	1243.165	1350.000	4625.000	3875.000
2750000	4239.000	496.227	1000.000	5300.000	4100.000
3000000	4169.728	356.967	3850.000	5975.000	3900.000
3250000	3519.715	1689.807	500.000	5225.000	4250.000
3500000	4548.913	264.906	3800.000	5000.000	4575.000
3750000	4304.722	432.658	4075.000	7825.000	4150.000
4000000	6889.286	1670.688	4175.000	9250.000	7525.000
4250000	4592.021	638.172	3925.000	8525.000	4450.000
4500000	7864.935	2419.729	4150.000	11525.000	8400.000
4750000	7721.605	5684.248	625.000	16750.000	8550.000
5000000	8739.942	3042.195	1400.000	16275.000	8550.000
5250000	8137.778	3403.540	200.000	13250.000	8112.500
5500000	12215.845	2293.746	8275.000	16125.000	11625.000
5750000	12012.692	3255.336	8075.000	20900.000	11875.000
6000000	13504.167	3017.899	4400.000	17050.000	12850.000
6250000	12908.468	2449.247	975.000	16025.000	12525.000
6500000	15750.454	2073.702	4450.000	16900.000	16825.000
6750000	15603.125	1117.567	7925.000	17350.000	15650.000
7000000	14584.523	3328.045	7900.000	16750.000	15825.000
7250000	15771.610	555.299	12775.000	16750.000	16000.000
7500000	13740.068	1962.232	7900.000	15750.000	15175.000
7750000	15177.232	1686.854	4475.000	16475.000	15500.000
8000000	13066.288	3285.541	8425.000	16650.000	15575.000
8250000	15664.394	1411.292	8375.000	16825.000	15775.000
8500000	14857.589	1946.281	7875.000	18550.000	15375.000
8750000	15806.854	931.280	11700.000	19375.000	15900.000
9000000	15113.710	1811.604	11800.000	16650.000	16125.000
9250000	16017.788	758.673	12300.000	19350.000	16025.000
9500000	13372.458	4807.010	450.000	16500.000	15675.000
9750000	16552.084	1048.024	11925.000	20675.000	16750.000
10000000	15230.804	6022.332	4500.000	19750.000	17175.000
10250000	15430.263	2336.442	450.000	16950.000	15775.000
10500000	15475.714	416.211	14975.000	16875.000	15675.000
10750000	15910.204	1777.279	7950.000	20600.000	15775.000
11000000	14990.454	3423.025	7975.000	20425.000	16325.000
11250000	17494.000	2868.264	3975.000	20350.000	16700.000
11500000	16969.271	1936.413	14875.000	20575.000	16325.000
11750000	16902.551	1604.126	15400.000	20100.000	16000.000
12000000	15902.777	693.383	12200.000	19200.000	16000.000
12250000	10777.531	6989.282	850.000	19200.000	15125.000
12500000	17146.078	3949.883	0.000	20025.000	19475.000
12750000	18620.000	1293.033	15275.000	20550.000	19175.000
13000000	18661.734	1917.848	15575.000	20950.000	17050.000
13250000	18846.760	1799.994	11625.000	19950.000	19650.000
13500000	17798.611	1365.933	15250.000	19200.000	18475.000
13750000	18477.777	2980.237	4450.000	20575.000	20375.000
14000000	19243.086	1599.881	11800.000	20200.000	19425.000
14250000	13400.316	2021.125	8025.000	19250.000	12650.000
14500000	17284.092	1916.432	12350.000	20075.000	16450.000
14750000	17242.129	1948.544	15275.000	20225.000	16062.500
15000000	15742.857	2839.575	8550.000	20200.000	15975.000
15250000	18550.568	1435.196	16150.000	20450.000	18912.500
15500000	12996.687	2192.734	12325.000	21825.000	12325.000
15750000	16196.818	4332.108	11875.000	24525.000	15900.000
16000000	18553.646	2662.387	4275.000	20250.000	19725.000
16250000	19405.555	1738.166	15500.000	21000.000	20500.000
16500000	16686.475	3080.929	500.000	21225.000	16000.000
16750000	19820.834	1917.959	8050.000	23400.000	20025.000
17000000	14840.333	2570.405	725.000	21325.000	15700.000
17250000	20152.717	1300.452	16350.000	23850.000	20100.000
17500000	19948.469	1213.712	14975.000	21100.000	20025.000
17750000	17848.637	2178.012	13025.000	23200.000	19575.000
18000000	18941.000	1001.383	15225.000	20025.000	19025.000
18250000	18215.000	3621.716	11750.000	24100.000	19925.000
18500000	18397.223	2070.330	14975.000	24575.000	18187.500
18750000	19093.000	4234.672	7925.000	25900.000	20525.000
19000000	22657.387	5835.390	16150.000	29525.000	20987.500
19250000	24819.078	3327.099	16025.000	28500.000	25075.000
19500000	18035.594	4538.142	8125.000	25000.000	15900.000
19750000	24248.170	3358.777	19375.000	28175.000	23425.000
20000000	20382.223	3324.746	7625.000	27025.000	20725.000
20250000	17281.355	2928.985	11650.000	24750.000	16350.000
20500000	24151.281	2035.352	19200.000	30275.000	24800.000
20750000	22437.195	2843.221	14925.000	28425.000	23650.000
21000000	19993.500	3131.536	15225.000	24075.000	19900.000
21250000	15694.853	1185.300	15350.000	20300.000	15350.000
21500000	20786.734	7855.449	7725.000	28450.000	20575.000
21750000	19101.340	1209.038	11875.000	20225.000	19287.500
22000000	20604.246	4926.471	15425.000	29275.000	16850.000
22250000	22532.928	5714.198	12525.000	27475.000	24825.000
22500000	22944.643	3842.159	11675.000	29825.000	24650.000
22750000	20798.912	2607.524	15125.000	24600.000	20400.000
23000000	21114.361	2519.281	11650.000	25200.000	20150.000
23250000	25887.500	4084.585	11525.000	28200.000	27425.000
23500000	26094.230	4341.649	7925.000	28500.000	27975.000
23750000	26730.000	4574.970	4150.000	29175.000	27900.000
24000000	20215.566	3980.247	15375.000	27650.000	23375.000
24250000	22555.729	4154.583	15300.000	28450.000	23075.000
24500000	26821.250	2831.561	15175.000	27800.000	27800.000
24750000	19790.686	3836.541	14925.000	29375.000	19075.000
25000000	22597.023	3247.156	7875.000	27875.000	23550.000
25250000	27650.676	2014.236	19625.000	28925.000	27750.000
25500000	18577.678	3960.510	15575.000	28100.000	15700.000
25750000	23791.875	4768.131	14750.000	28325.000	27225.000
26000000	21255.500	4833.741	11650.000	28525.000	23225.000
26250000	21450.568	3625.445	15300.000	27925.000	19675.000
26500000	25885.000	2143.389	23350.000	28800.000	27300.000
26750000	26104.762	2586.205	15300.000	28100.000	26675.000
27000000	19287.500	7396.613	11800.000	27700.000	17787.500
27250000	22325.000	4184.933	15825.000	28525.000	23650.000
27500000	23965.697	2270.456	19050.000	28100.000	23600.000
27750000	27818.750	1064.490	23525.000	28675.000	28125.000
28000000	24998.125	3924.878	8050.000	28425.000	27150.000
28250000	28206.098	1302.692	21325.000	28825.000	28750.000
28500000	19067.273	3961.330	11350.000	27725.000	19550.000
28750000	23508.334	5107.381	15275.000	29650.000	19375.000
29000000	27865.441	1613.238	23250.000	29550.000	27087.500
29250000	21023.000	5490.698	11700.000	27875.000	17850.000
29500000	22304.762	2251.436	16050.000	27375.000	23675.000
29750000	24808.139	2630.958	14900.000	28275.000	24000.000
30000000	23359.783	4556.745	7850.000	28375.000	25950.000
30250000	25261.586	2643.319	15050.000	28800.000	25000.000
30500000	24894.736	1655.555	19150.000	28575.000	24875.000
30750000	16273.246	12428.071	475.000	28700.000	24675.000
31000000	21761.000	2671.503	12175.000	26150.000	23412.500
31250000	22809.658	3028.694	15450.000	29175.000	24450.000
31500000	25863.461	1745.864	19500.000	27425.000	26925.000
31750000	26048.781	4091.793	250.000	27300.000	26450.000
32000000	24807.051	2740.040	15500.000	27700.000	24750.000
32250000	21661.459	4841.417	8075.000	27275.000	22800.000
32500000	19519.092	3864.404	15950.000	27225.000	16050.000
32750000	26609.459	3095.149	16000.000	27975.000	27650.000
33000000	15482.377	4946.829	8425.000	26925.000	15600.000
33250000	23456.818	4094.149	19050.000	28400.000	23800.000
33500000	22952.273	3014.627	8025.000	27075.000	23325.000
33750000	21083.824	5325.724	12650.000	27775.000	16600.000
34000000	23755.555	3372.655	18975.000	27475.000	23225.000
34250000	22332.316	3299.849	15100.000	27525.000	21075.000
34500000	25491.447	3650.348	7825.000	27050.000	26350.000
34750000	22527.660	3255.295	15700.000	26825.000	23600.000
35000000	23453.805	3099.149	15525.000	27700.000	22862.500
35250000	24954.762	2718.506	19750.000	27900.000	26825.000
35500000	21621.428	4050.643	15275.000	29225.000	23025.000
35750000	21175.000	2431.558	11600.000	24225.000	20400.000
36000000	26654.486	879.264	23100.000	27750.000	26400.000
36250000	25546.154	1362.978	23750.000	28450.000	25100.000
36500000	25414.881	1808.956	19550.000	27875.000	26437.500
36750000	23314.881	4417.188	16350.000	27325.000	23887.500
37000000	23635.715	3902.507	16600.000	27775.000	25812.500
37250000	26400.000	2575.698	16100.000	28650.000	27950.000
37500000	26863.514	1711.523	20175.000	27925.000	26975.000
37750000	23713.953	4244.152	11650.000	27900.000	22775.000
38000000	23837.500	3742.493	15850.000	28350.000	24650.000
38250000	27079.486	937.346	23925.000	27975.000	27375.000
38500000	21496.939	5014.043	15925.000	29025.000	23625.000
38750000	26558.125	1694.618	19500.000	27800.000	27100.000
39000000	23625.000	3755.589	16025.000	28125.000	23900.000
39250000	18529.660	2760.767	15525.000	25900.000	19925.000
39500000	24353.805	2457.127	15050.000	27225.000	25925.000
39750000	21566.848	8879.396	8150.000	28075.000	26925.000
40000000	25098.781	1531.379	19075.000	27350.000	24225.000
40250000	26736.875	2109.006	15375.000	27775.000	27275.000
40500000	26959.615	983.935	23700.000	28375.000	27350.000
40750000	27656.756	1626.716	20075.000	28725.000	27775.000
41000000	27742.857	929.546	22400.000	28100.000	27900.000
41250000	26383.553	3579.245	15250.000	29150.000	27450.000
41500000	25790.625	2334.167	15300.000	28100.000	26425.000
41750000	25704.486	1793.845	23400.000	28625.000	26575.000
42000000	26559.375	1676.741	19600.000	27875.000	26525.000
42250000	26656.578	2346.916	15400.000	27925.000	27300.000
42500000	22136.666	4345.680	8075.000	27825.000	19975.000
42750000	26934.146	1111.906	23250.000	27800.000	27500.000
43000000	26872.857	2376.960	15500.000	28600.000	27400.000
43250000	16103.929	2952.791	8025.000	30075.000	15675.000
43500000	22710.639	1949.139	19500.000	28875.000	23225.000
43750000	27047.916	1985.463	19450.000	28275.000	27287.500
44000000	24371.342	2049.774	16125.000	28075.000	23975.000
44250000	26225.658	1741.110	19300.000	28550.000	26600.000
44500000	26767.500	1535.855	22600.000	27725.000	27525.000
44750000	22517.045	3743.535	15150.000	28750.000	20500.000
45000000	22973.838	6017.499	11675.000	28375.000	27525.000
45250000	26535.416	1921.420	22975.000	28325.000	27450.000
45500000	23348.334	5027.647	15750.000	28075.000	24775.000
45750000	23663.299	3836.502	15200.000	27250.000	23600.000
46000000	25856.875	3411.749	11725.000	28200.000	27600.000
46250000	19689.475	3947.812	15500.000	27375.000	22600.000
46500000	26289.285	2675.719	16400.000	28650.000	27225.000
46750000	27605.922	1403.748	19175.000	27925.000	27925.000
47000000	25512.162	2532.849	19575.000	28150.000	26450.000
47250000	25472.973	2118.869	15900.000	28000.000	26450.000
47500000	26455.715	2466.679	19650.000	28250.000	27450.000
47750000	26174.375	2347.741	15925.000	27600.000	26775.000
48000000	25323.215	2432.967	15825.000	26725.000	26275.000
48250000	25892.143	3679.280	19350.000	28875.000	28050.000
48500000	21077.000	5683.344	14825.000	27950.000	21237.500
48750000	23051.785	3487.663	11575.000	27400.000	23587.500
49000000	23088.043	5359.923	15400.000	27350.000	26750.000
49250000	14550.000	8403.835	3950.000	27300.000	15625.000
49500000	24244.318	2502.038	15300.000	27050.000	23587.500
49750000	24551.250	2198.671	15400.000	28950.000	24625.000
50000000	23163.334	3358.023	19275.000	27800.000	22550.000
