iteration	mean	std_dev	min	max	median
250000	400.000	40.787	280.000	520.000	440.000
500000	507.573	159.845	280.000	1240.000	550.000
750000	1216.516	64.612	1080.000	1360.000	1220.000
1000000	2710.698	308.129	2090.000	3090.000	2830.000
1250000	2279.389	222.978	1950.000	3000.000	2180.000
1500000	2360.137	187.438	2090.000	2680.000	2350.000
1750000	2390.662	93.742	1920.000	2560.000	2410.000
2000000	2376.940	77.259	2060.000	2590.000	2380.000
2250000	2605.612	242.404	1950.000	3720.000	2600.000
2500000	3059.850	615.306	2240.000	4260.000	2860.000
2750000	2575.890	398.126	2150.000	4830.000	2590.000
3000000	3686.357	586.517	2150.000	5150.000	3580.000
3250000	4109.193	678.137	2540.000	5760.000	4540.000
3500000	4895.965	357.675	2630.000	5640.000	4840.000
3750000	5307.679	572.640	2820.000	6850.000	5330.000
4000000	5568.812	343.270	4420.000	6430.000	5630.000
4250000	5396.667	722.090	3440.000	6770.000	5530.000
4500000	5888.571	982.067	3660.000	7640.000	5940.000
4750000	6573.396	852.787	5290.000	8570.000	6155.000
5000000	7698.877	1345.443	4900.000	9560.000	8250.000
5250000	7900.190	641.736	7020.000	9120.000	7640.000
5500000	8636.702	703.744	7390.000	10470.000	8430.000
5750000	8277.917	779.008	6680.000	10630.000	8200.000
6000000	7848.224	571.711	4520.000	9180.000	7720.000
6250000	9018.214	776.295	3390.000	9950.000	9060.000
6500000	8688.404	739.393	6870.000	10510.000	8750.000
6750000	9006.631	1136.541	4230.000	10810.000	9150.000
7000000	7795.047	1336.129	5060.000	9600.000	8460.000
7250000	8727.954	779.958	4200.000	10850.000	8750.000
7500000	9018.427	518.080	8050.000	10340.000	9220.000
7750000	8808.788	698.907	3470.000	9950.000	8960.000
8000000	9309.556	930.052	5350.000	11140.000	9225.000
8250000	10373.500	1456.692	7170.000	13320.000	10520.000
8500000	10253.815	2362.234	5930.000	14540.000	9895.000
8750000	12682.031	1817.769	7810.000	15950.000	12635.000
9000000	12580.781	1982.783	6740.000	15950.000	12605.000
9250000	12147.077	2073.037	8030.000	15000.000	12280.000
9500000	10563.647	2317.521	6740.000	15930.000	10930.000
9750000	11278.734	2485.804	7450.000	15510.000	11360.000
10000000	11453.135	2291.183	8350.000	16000.000	12460.000
10250000	12710.758	2301.646	8830.000	15830.000	13105.000
10500000	12864.546	2401.878	7750.000	16010.000	13380.000
10750000	13744.500	1942.267	7940.000	17820.000	14080.000
11000000	13177.385	2379.217	7050.000	17950.000	13910.000
11250000	13405.224	2596.856	6650.000	17380.000	14280.000
11500000	11236.901	3469.765	7240.000	17620.000	9870.000
11750000	10780.952	2242.363	7040.000	16990.000	9840.000
12000000	15708.909	1501.294	8900.000	18960.000	15570.000
12250000	11824.203	3539.262	6880.000	17810.000	11150.000
12500000	14429.375	2213.473	8540.000	18230.000	14760.000
12750000	15164.821	2227.929	8210.000	19870.000	15545.000
13000000	10620.588	3865.883	4880.000	17450.000	12090.000
13250000	15292.456	1884.187	9360.000	18900.000	15670.000
13500000	14528.448	2073.216	8400.000	18030.000	15170.000
13750000	15380.909	2208.448	4200.000	18920.000	15150.000
14000000	14725.965	2392.483	6810.000	19740.000	14970.000
14250000	14940.159	2596.767	8710.000	18800.000	15810.000
14500000	13635.167	2507.185	8140.000	18330.000	14215.000
14750000	13947.288	2076.390	7220.000	17620.000	14910.000
15000000	13764.833	3142.027	7210.000	18360.000	14090.000
15250000	14088.750	3319.391	6450.000	19040.000	15060.000
15500000	16610.834	3042.825	4100.000	20930.000	17605.000
15750000	14114.067	2728.873	7590.000	18070.000	15600.000
16000000	16108.813	2835.574	8810.000	20580.000	16190.000
16250000	14956.722	3184.542	6530.000	20890.000	15360.000
16500000	15525.893	2731.792	7780.000	21030.000	15595.000
16750000	15306.129	3770.561	8420.000	20910.000	15945.000
17000000	16221.034	3049.760	7210.000	21380.000	16965.000
17250000	16253.637	2726.641	11610.000	20850.000	17180.000
17500000	18222.592	2338.557	12380.000	22120.000	18295.000
17750000	15551.091	2623.094	8860.000	21640.000	15440.000
18000000	15180.161	3151.368	6640.000	20420.000	15690.000
18250000	16311.667	3905.043	8150.000	21510.000	16495.000
18500000	15542.728	2918.846	9110.000	22660.000	15400.000
18750000	16562.457	1992.529	12430.000	20440.000	16680.000
19000000	16501.578	3079.853	8790.000	22500.000	17100.000
19250000	15099.333	3465.630	8560.000	23380.000	16080.000
19500000	13429.000	3520.501	7310.000	17020.000	15020.000
19750000	14700.377	2151.407	8260.000	19170.000	15010.000
20000000	14548.688	3734.446	8140.000	20960.000	15230.000
20250000	16668.422	2581.324	7930.000	21130.000	16450.000
20500000	12323.421	3537.865	7660.000	20080.000	10030.000
20750000	17210.363	2806.919	9180.000	21920.000	17680.000
21000000	17010.701	4009.531	8950.000	23150.000	18090.000
21250000	16923.584	2880.533	8320.000	23250.000	16680.000
21500000	15683.710	4825.316	3620.000	21570.000	17855.000
21750000	17952.264	2700.823	11420.000	23240.000	18500.000
22000000	15118.196	3606.923	3670.000	22250.000	15460.000
22250000	14660.462	3041.953	8210.000	22020.000	15020.000
22500000	15661.187	4107.589	8660.000	23880.000	16530.000
22750000	18350.377	2431.069	11660.000	23290.000	18160.000
23000000	16184.032	4276.805	4230.000	24450.000	16640.000
23250000	17723.148	2957.006	9260.000	23520.000	17370.000
23500000	17443.273	3219.136	8810.000	23290.000	17530.000
23750000	17152.453	2471.397	8720.000	22640.000	17400.000
24000000	18958.703	2653.382	8010.000	23700.000	18905.000
24250000	17023.703	3453.549	8650.000	21690.000	16775.000
24500000	16685.473	3073.675	7130.000	22900.000	16490.000
24750000	18014.510	3061.740	9610.000	24680.000	17620.000
25000000	16741.754	3149.612	11710.000	21610.000	17010.000
25250000	19135.600	2672.987	7760.000	23290.000	19970.000
25500000	14204.333	3661.593	4750.000	22850.000	15190.000
25750000	16848.035	2922.200	9540.000	20950.000	17095.000
26000000	18552.449	2946.842	12120.000	23760.000	18610.000
26250000	17974.814	4745.000	6580.000	24180.000	20445.000
26500000	17587.777	2062.220	12290.000	22010.000	17440.000
26750000	16660.357	3546.596	8580.000	24270.000	16280.000
27000000	18301.482	3381.426	9150.000	24710.000	18040.000
27250000	19329.389	3472.637	8590.000	24680.000	19340.000
27500000	17561.320	2672.260	11730.000	22000.000	17690.000
