iteration	mean	std_dev	min	max	median
250000	107.257	82.476	0.000	340.000	80.000
500000	282.510	124.975	80.000	640.000	240.000
750000	195.901	102.518	20.000	360.000	200.000
1000000	172.540	58.485	0.000	300.000	160.000
1250000	131.568	45.576	80.000	360.000	140.000
1500000	144.728	57.958	80.000	540.000	120.000
1750000	428.069	144.508	220.000	800.000	380.000
2000000	573.143	169.314	140.000	820.000	600.000
2250000	545.571	152.073	280.000	980.000	500.000
2500000	737.778	80.302	460.000	1040.000	720.000
2750000	503.590	137.986	160.000	880.000	520.000
3000000	605.205	260.148	160.000	940.000	640.000
3250000	878.095	73.783	580.000	1180.000	880.000
3500000	961.373	195.223	740.000	2180.000	900.000
3750000	942.314	239.961	840.000	2360.000	880.000
4000000	1127.536	434.613	520.000	2560.000	930.000
4250000	1620.699	955.266	700.000	4060.000	1080.000
4500000	1554.259	987.440	560.000	4180.000	900.000
4750000	1747.170	1453.833	380.000	4960.000	1000.000
5000000	2382.683	1595.508	720.000	5100.000	1360.000
5250000	2268.795	1235.251	800.000	5340.000	1780.000
5500000	3131.186	2127.391	660.000	8320.000	2280.000
5750000	2551.064	1897.276	800.000	11680.000	2020.000
6000000	3672.903	805.410	1500.000	5040.000	3820.000
6250000	4101.231	2013.853	1700.000	12540.000	3660.000
6500000	3880.964	2811.009	1660.000	23140.000	3220.000
6750000	3738.333	1731.589	1580.000	11840.000	3460.000
7000000	5382.833	4655.602	1840.000	26160.000	4200.000
7250000	4208.684	1741.383	1400.000	9660.000	4290.000
7500000	4467.222	2943.341	1900.000	17780.000	3670.000
7750000	4977.612	5924.814	1580.000	37740.000	3740.000
8000000	5632.308	1704.998	2380.000	13400.000	5490.000
8250000	5506.197	4173.473	1940.000	34060.000	4660.000
8500000	4914.872	1372.445	2040.000	8640.000	4880.000
8750000	5404.444	3939.319	1740.000	26920.000	5050.000
9000000	5156.154	4088.435	880.000	29180.000	4480.000
9250000	5896.290	4957.945	1140.000	25780.000	5180.000
9500000	5474.699	2360.590	1680.000	15740.000	5280.000
9750000	6205.270	1957.098	3200.000	14840.000	5860.000
10000000	6829.365	4709.042	1860.000	33200.000	5760.000
10250000	6779.265	3907.870	1540.000	26540.000	6190.000
10500000	6309.740	2861.642	3080.000	21970.000	5520.000
10750000	6672.237	2287.025	2740.000	13270.000	6240.000
11000000	7167.436	3202.660	1940.000	18620.000	6340.000
