iteration	mean	std_dev	min	max	median
250000	64.676	50.548	0.000	180.000	70.000
500000	238.992	79.741	100.000	540.000	240.000
750000	105.548	43.197	60.000	280.000	80.000
1000000	151.884	51.394	80.000	260.000	140.000
1250000	80.063	1.123	80.000	100.000	80.000
1500000	305.920	94.692	180.000	620.000	360.000
1750000	509.508	128.935	340.000	960.000	480.000
2000000	521.408	126.639	300.000	980.000	500.000
2250000	604.516	84.733	400.000	720.000	660.000
2500000	667.576	140.249	440.000	960.000	650.000
2750000	860.833	162.119	480.000	1200.000	830.000
3000000	730.000	122.254	460.000	960.000	760.000
3250000	363.214	115.126	160.000	680.000	380.000
3500000	810.857	76.992	620.000	1100.000	840.000
3750000	815.833	188.147	500.000	1320.000	820.000
4000000	1292.903	235.196	1020.000	1860.000	1240.000
4250000	1798.000	279.349	1480.000	2400.000	1730.000
4500000	1109.130	466.135	520.000	2280.000	1020.000
4750000	1509.032	381.570	860.000	2260.000	1460.000
5000000	1373.621	324.466	780.000	2830.000	1280.000
5250000	1136.429	416.689	720.000	2460.000	970.000
5500000	1993.158	631.215	1160.000	4470.000	1890.000
5750000	2854.815	979.306	1220.000	4500.000	3020.000
6000000	4284.000	1357.565	2140.000	8520.000	3860.000
6250000	4993.714	1741.940	2040.000	8830.000	4660.000
6500000	5067.941	1367.427	2200.000	7760.000	4970.000
6750000	6446.667	1204.289	4740.000	9780.000	6630.000
7000000	8482.105	3204.652	4380.000	15050.000	7230.000
7250000	8773.667	3524.542	3780.000	18420.000	7670.000
7500000	6593.077	2654.340	2760.000	16080.000	6460.000
7750000	8141.765	3999.203	3420.000	20250.000	6770.000
8000000	19349.131	8670.637	5320.000	37870.000	16670.000
8250000	15090.689	7688.822	3840.000	35150.000	15500.000
8500000	16488.076	6077.375	8080.000	37250.000	15610.000
8750000	21159.047	10900.555	7800.000	49350.000	18380.000
9000000	25673.500	9460.615	6560.000	40950.000	24500.000
9250000	32775.500	15012.032	8580.000	62050.000	30770.000
9500000	38535.000	22356.475	13020.000	118500.000	35335.000
9750000	39215.293	12420.635	19850.000	59860.000	39880.000
10000000	41075.000	22988.115	5820.000	111650.000	35410.000
10250000	43132.352	22094.512	14580.000	102330.000	38350.000
10500000	48886.000	29974.037	12420.000	115740.000	36370.000
10750000	40650.000	24155.943	8760.000	87080.000	45920.000
11000000	38926.469	24335.711	5660.000	88930.000	37100.000
11250000	30608.500	14605.594	9370.000	59690.000	27000.000
11500000	42546.469	25000.289	8230.000	88500.000	45870.000
11750000	63260.000	47557.727	9640.000	153100.000	46055.000
12000000	45330.625	31370.240	13930.000	146790.000	34985.000
12250000	61927.332	30507.197	13690.000	109120.000	56540.000
12500000	67610.711	43192.617	18250.000	138490.000	47935.000
12750000	40732.777	23388.695	8940.000	85380.000	40300.000
13000000	49304.117	26942.344	7370.000	97470.000	46320.000
13250000	50816.109	29093.766	15440.000	126350.000	47635.000
13500000	46147.059	34885.449	16080.000	139070.000	31870.000
13750000	51363.332	31552.547	16210.000	162890.000	50635.000
14000000	87114.164	48378.324	19540.000	162120.000	75305.000
14250000	94230.836	63555.477	25230.000	207940.000	61165.000
14500000	78686.156	37850.992	16990.000	137830.000	74560.000
14750000	55503.332	23215.717	15720.000	96030.000	49800.000
15000000	73270.000	28223.244	47510.000	148340.000	61000.000
15250000	88136.367	55597.949	25530.000	215320.000	76750.000
15500000	73590.000	50475.773	4900.000	158710.000	69460.000
15750000	56980.000	32046.809	8840.000	156060.000	53060.000
16000000	80723.336	54814.684	27860.000	199160.000	56455.000
16250000	119848.000	77759.805	17920.000	232170.000	106370.000
16500000	108769.094	54556.016	39810.000	230660.000	97320.000
16750000	144862.500	88593.234	18940.000	281520.000	153965.000
17000000	175088.578	19074.850	154210.000	209060.000	165880.000
17250000	92167.000	58452.246	29950.000	211190.000	83050.000
17500000	124346.000	65792.758	34760.000	259900.000	109080.000
17750000	120933.336	60258.020	49190.000	223370.000	121720.000
18000000	125978.750	83007.695	34900.000	259550.000	117395.000
18250000	115267.781	83307.125	18450.000	247930.000	68600.000
18500000	144848.750	72256.648	34600.000	225370.000	170660.000
18750000	107547.000	76260.688	26730.000	219090.000	81700.000
19000000	116993.336	59302.602	9160.000	196380.000	119260.000
19250000	130046.000	103703.438	17260.000	261750.000	126080.000
19500000	112246.367	65011.645	24680.000	223430.000	87650.000
19750000	68006.664	58221.336	12940.000	236080.000	47700.000
20000000	69465.711	53360.961	1700.000	166580.000	48470.000
20250000	75016.156	44573.316	22900.000	148210.000	58250.000
20500000	96046.000	54330.965	36090.000	206530.000	80230.000
20750000	110403.336	38530.602	49580.000	158590.000	119900.000
21000000	180834.281	103350.102	64360.000	324480.000	166950.000
21250000	111398.000	64785.344	28010.000	196450.000	91405.000
21500000	113110.000	69037.648	34340.000	209010.000	109490.000
21750000	82485.000	54405.535	5340.000	189590.000	79940.000
22000000	119923.000	75087.578	9600.000	249480.000	138210.000
22250000	135068.891	77174.047	28050.000	279830.000	129670.000
22500000	190816.672	117608.445	33310.000	335490.000	196515.000
22750000	62493.078	61040.602	6930.000	196810.000	35300.000
23000000	84977.273	48304.234	25170.000	188870.000	76060.000
23250000	202785.719	111598.234	45580.000	339820.000	226960.000
23500000	182311.422	104880.688	24320.000	349140.000	179210.000
23750000	157081.422	86427.773	57550.000	342970.000	137730.000
24000000	116797.000	129205.742	17870.000	406540.000	44520.000
24250000	132262.219	86889.625	25040.000	278130.000	109580.000
24500000	150983.750	80413.570	48070.000	299970.000	144020.000
24750000	231741.672	79968.648	156140.000	378960.000	186170.000
25000000	61389.168	55163.961	12370.000	169980.000	36960.000
25250000	98709.000	79322.516	22800.000	249000.000	62880.000
25500000	122202.000	101064.516	8410.000	344000.000	81865.000
25750000	110431.000	72517.008	9460.000	255210.000	103435.000
26000000	109710.000	72964.688	32950.000	246060.000	72370.000
26250000	191668.328	140455.266	14570.000	393310.000	182385.000
26500000	131578.891	105878.805	16960.000	387690.000	115530.000
26750000	145473.750	141018.484	16270.000	404190.000	57375.000
27000000	311880.000	106772.477	168950.000	495000.000	318430.000
27250000	213111.672	94524.828	37880.000	337860.000	235375.000
27500000	58830.625	40889.367	22080.000	158820.000	39615.000
27750000	86737.500	85433.516	24700.000	324600.000	55355.000
28000000	169162.500	72684.133	86540.000	275130.000	153705.000
28250000	105684.445	74203.156	15950.000	259400.000	108580.000
28500000	159655.000	119783.984	14950.000	348040.000	154320.000
28750000	105534.000	75731.883	37190.000	267610.000	78040.000
29000000	204368.328	159302.062	27910.000	508780.000	161885.000
29250000	277182.000	148908.172	49930.000	435420.000	337610.000
29500000	273690.000	197789.500	19550.000	509430.000	375250.000
29750000	137926.672	116421.164	8650.000	352250.000	139980.000
30000000	148862.500	111479.578	12930.000	320670.000	142405.000
30250000	121781.250	129496.266	14250.000	433590.000	71355.000
30500000	139184.281	75827.195	36770.000	228640.000	169680.000
30750000	247801.672	147672.797	36740.000	384660.000	332155.000
31000000	193222.859	134565.547	13500.000	444920.000	172670.000
31250000	292297.500	109188.828	113340.000	409390.000	323230.000
31500000	172545.000	143811.547	29440.000	409820.000	125790.000
31750000	246095.000	186568.016	48870.000	523600.000	217785.000
32000000	369687.500	156381.156	128570.000	536320.000	406930.000
32250000	120894.547	139667.281	25900.000	457510.000	41480.000
32500000	244738.328	157415.969	36570.000	455160.000	288410.000
32750000	100745.453	115361.000	23190.000	448750.000	68690.000
33000000	152558.891	163320.156	25070.000	479720.000	39150.000
33250000	213881.672	227265.500	38700.000	698980.000	148770.000
33500000	189398.328	147000.547	18670.000	407110.000	166680.000
33750000	131290.000	126342.539	15860.000	417260.000	97430.000
34000000	106602.000	75136.562	16750.000	279160.000	85810.000
34250000	312150.000	48268.590	258330.000	398410.000	292760.000
34500000	300350.000	213011.750	77210.000	683970.000	255720.000
34750000	280240.000	178984.531	45130.000	504950.000	248870.000
35000000	294928.000	214684.156	36440.000	591400.000	279340.000
35250000	96373.633	149171.875	15480.000	556690.000	32950.000
35500000	212810.000	218051.422	38560.000	636030.000	115870.000
35750000	252013.328	313568.344	14060.000	915990.000	117315.000
36000000	396715.000	191740.375	108200.000	625280.000	426690.000
36250000	211726.672	276657.031	27290.000	819900.000	112515.000
36500000	190678.578	185177.219	9240.000	589110.000	116830.000
36750000	312505.000	244210.156	38880.000	666200.000	272470.000
37000000	109703.000	71843.609	23260.000	264870.000	116345.000
37250000	174777.141	121184.328	65220.000	446920.000	118330.000
37500000	72625.711	58924.676	8360.000	248790.000	47965.000
37750000	312670.000	98269.648	148080.000	457820.000	319310.000
38000000	163277.500	100034.695	19170.000	324850.000	169515.000
38250000	113966.250	90199.273	16160.000	258040.000	77165.000
38500000	168292.859	126865.516	27050.000	395770.000	138110.000
38750000	134182.219	117833.484	18560.000	342070.000	77940.000
