iteration	mean	std_dev	min	max	median
250000	111.802	89.399	5.000	695.000	110.000
500000	122.602	94.769	5.000	475.000	80.000
750000	302.035	126.099	105.000	645.000	270.000
1000000	361.440	115.964	90.000	800.000	350.000
1250000	394.208	150.683	210.000	1160.000	330.000
1500000	565.113	205.800	290.000	1600.000	540.000
1750000	633.263	202.106	375.000	1480.000	550.000
2000000	643.094	158.000	320.000	1605.000	600.000
2250000	686.075	237.761	310.000	1700.000	600.000
2500000	716.333	309.533	470.000	2940.000	570.000
2750000	697.407	251.766	350.000	1605.000	600.000
3000000	795.650	360.017	445.000	2235.000	600.000
3250000	842.345	317.906	415.000	2065.000	755.000
3500000	835.031	396.019	375.000	2720.000	600.000
3750000	832.047	325.943	470.000	2060.000	742.500
4000000	795.758	341.255	455.000	2490.000	600.000
4250000	1034.091	508.678	315.000	2490.000	1125.000
4500000	967.797	442.984	515.000	2430.000	800.000
4750000	943.822	442.865	520.000	2690.000	605.000
5000000	1080.612	493.952	540.000	2735.000	1150.000
5250000	1049.291	489.136	485.000	3030.000	1150.000
5500000	1084.876	500.048	515.000	2665.000	1155.000
5750000	1196.923	560.647	465.000	3440.000	1185.000
6000000	1233.980	579.064	515.000	3050.000	1200.000
6250000	1289.980	535.704	515.000	3080.000	1235.000
6500000	1371.777	503.509	545.000	3030.000	1235.000
6750000	1159.670	548.063	540.000	3110.000	1200.000
7000000	1519.483	715.803	515.000	3120.000	1230.000
7250000	1378.052	650.436	545.000	2915.000	1230.000
7500000	1544.053	756.272	540.000	3380.000	1350.000
7750000	1216.184	697.956	515.000	3325.000	800.000
8000000	1508.636	763.703	515.000	3925.000	1205.000
8250000	1492.591	815.683	540.000	3750.000	1317.500
8500000	1328.930	641.468	515.000	3345.000	1205.000
8750000	1701.623	679.545	515.000	3355.000	1405.000
9000000	1479.232	788.975	515.000	4290.000	1175.000
9250000	1877.514	719.326	515.000	4580.000	1645.000
9500000	1780.185	691.018	545.000	3115.000	1575.000
9750000	1738.668	832.322	545.000	4390.000	1405.000
10000000	1833.449	869.350	545.000	4625.000	1450.000
10250000	1894.945	810.917	525.000	3715.000	1830.000
10500000	1822.308	810.209	545.000	3975.000	1475.000
