iteration	mean	std_dev	min	max	median
250000	1719.580	1625.937	400.000	4800.000	700.000
500000	1322.939	1407.447	400.000	4600.000	600.000
750000	529.210	57.488	300.000	700.000	500.000
1000000	420.482	211.284	200.000	3800.000	400.000
1250000	1644.092	1573.919	400.000	4400.000	700.000
1500000	454.438	289.554	200.000	3800.000	400.000
1750000	405.618	30.573	300.000	600.000	400.000
2000000	546.472	76.135	400.000	800.000	500.000
2250000	1159.459	1493.153	300.000	4600.000	400.000
2500000	483.521	189.889	300.000	1100.000	400.000
2750000	982.275	950.064	400.000	4200.000	700.000
3000000	685.591	285.520	400.000	3800.000	700.000
3250000	653.728	91.925	400.000	1000.000	700.000
3500000	1096.392	1106.046	500.000	4400.000	600.000
3750000	1550.805	1492.007	500.000	4400.000	800.000
4000000	587.879	298.703	300.000	4000.000	600.000
4250000	1266.894	1252.995	300.000	4300.000	800.000
4500000	2137.407	1696.371	500.000	4600.000	900.000
4750000	1008.358	1102.367	300.000	4100.000	600.000
5000000	2174.238	1608.987	400.000	4400.000	900.000
5250000	1457.522	1644.449	300.000	4700.000	600.000
5500000	2584.498	1682.153	600.000	4600.000	3900.000
5750000	3399.315	1351.356	500.000	4600.000	4000.000
6000000	3258.442	1588.338	500.000	7600.000	4100.000
6250000	1701.024	1596.701	400.000	4700.000	800.000
6500000	1819.242	1621.083	400.000	4400.000	700.000
6750000	2336.552	1653.056	600.000	8000.000	1200.000
7000000	3081.271	1553.112	600.000	5000.000	3900.000
7250000	2369.211	1660.128	500.000	4800.000	1000.000
7500000	3308.732	1516.355	700.000	7900.000	4100.000
7750000	3484.013	1355.528	400.000	7700.000	4100.000
8000000	3101.676	1517.495	500.000	8000.000	3900.000
8250000	2467.733	1657.551	400.000	4700.000	3800.000
8500000	3788.462	940.776	500.000	7800.000	4000.000
8750000	3110.490	1757.231	600.000	8300.000	4050.000
9000000	4225.589	718.644	800.000	8300.000	4200.000
9250000	3786.916	1173.467	600.000	7900.000	4100.000
9500000	3429.492	1907.322	600.000	7900.000	4100.000
9750000	3091.714	1736.405	600.000	8000.000	4000.000
10000000	3717.197	1508.096	800.000	7600.000	4000.000
10250000	3793.878	1587.932	700.000	8900.000	4200.000
10500000	4342.041	712.160	700.000	8200.000	4300.000
10750000	3473.510	1416.165	800.000	7900.000	4100.000
11000000	4391.873	671.298	800.000	8100.000	4400.000
11250000	4328.938	1424.152	900.000	11800.000	4300.000
11500000	4239.630	593.127	800.000	7800.000	4300.000
11750000	4365.779	381.073	3900.000	7800.000	4300.000
12000000	4413.755	1330.985	800.000	8300.000	4300.000
12250000	4124.373	719.454	700.000	8400.000	4100.000
12500000	2853.481	2076.607	600.000	8300.000	4000.000
12750000	3890.204	1689.821	700.000	8300.000	4200.000
13000000	4302.239	473.864	700.000	7900.000	4300.000
13250000	3749.315	1880.351	700.000	8400.000	4200.000
13500000	4274.733	1343.961	900.000	8500.000	4000.000
13750000	4454.035	1492.963	1100.000	7900.000	4400.000
14000000	4790.602	1281.896	800.000	12200.000	4300.000
14250000	5001.993	1531.831	900.000	8000.000	4300.000
14500000	5052.536	1441.879	3800.000	8100.000	4400.000
14750000	4743.561	1277.558	700.000	8100.000	4400.000
15000000	3771.233	1339.058	500.000	8100.000	4200.000
15250000	4760.777	1319.780	1100.000	8300.000	4300.000
15500000	5172.727	1514.806	1100.000	8200.000	4400.000
15750000	5004.348	1337.577	3900.000	8400.000	4500.000
16000000	4668.679	1745.647	900.000	7900.000	4500.000
16250000	4449.817	1443.493	800.000	8600.000	4400.000
16500000	4563.066	1020.058	3900.000	8300.000	4200.000
16750000	4425.448	799.079	900.000	8000.000	4400.000
17000000	4485.455	1144.349	600.000	8000.000	4200.000
17250000	6159.149	1819.712	3900.000	8500.000	4900.000
17500000	4296.591	1674.256	700.000	8700.000	4500.000
17750000	4619.672	1083.319	1300.000	8200.000	4300.000
18000000	4454.861	691.650	3900.000	8500.000	4300.000
18250000	4671.956	916.730	4000.000	8100.000	4300.000
18500000	4800.000	1136.847	900.000	8600.000	4500.000
18750000	4722.526	1023.164	1800.000	8100.000	4400.000
19000000	5158.209	1957.832	1000.000	9100.000	4600.000
19250000	5336.397	1478.087	4000.000	8400.000	4600.000
19500000	4698.872	1104.621	1300.000	8100.000	4200.000
19750000	6099.561	1801.303	1400.000	8500.000	4900.000
