iteration(key)	values
250000 (returns)	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
500000 (returns)	1.000	1.000	2.000	2.000	1.000	2.000	2.000	2.000
750000 (returns)	93.000	117.000	152.000	91.000	115.000	95.000	117.000	99.000	120.000	116.000	117.000	91.000	93.000	118.000	98.000	115.000	93.000	93.000	119.000	115.000	118.000	119.000	118.000	117.000	116.000	115.000	135.000	118.000	121.000	119.000	117.000	118.000	119.000	119.000	118.000	122.000	118.000	88.000	86.000	117.000	93.000	121.000	121.000	91.000	93.000	113.000	117.000	119.000	119.000	119.000	117.000	89.000	118.000	118.000	117.000	100.000	117.000	93.000	93.000	119.000
1000000 (returns)	102.000	115.000	100.000	99.000	107.000	111.000	121.000	116.000	96.000	100.000	91.000	100.000	100.000	103.000	101.000	106.000	111.000	100.000	116.000	98.000	100.000
1250000 (returns)	146.000	128.000	125.000	116.000	127.000	127.000	149.000	118.000	119.000	149.000	120.000	127.000	120.000	120.000	118.000	117.000	149.000	152.000
1500000 (returns)	120.000	120.000	121.000	118.000
1750000 (returns)	117.000
2000000 (returns)	214.000
2250000 (returns)	175.000
2500000 (returns)	27.000	6.000
2750000 (returns)	5.000	89.000	23.000	62.000
3000000 (returns)	16.000	186.000
3250000 (returns)	166.000	195.000	194.000	194.000	154.000	161.000	164.000
3500000 (returns)	144.000	180.000
3750000 (returns)	30.000
4000000 (returns)	192.000	174.000
4250000 (returns)	209.000
4500000 (returns)	155.000
4750000 (returns)	162.000
5000000 (returns)	165.000
5250000 (returns)	147.000	112.000	232.000	144.000	143.000
5500000 (returns)	116.000	64.000
5750000 (returns)	161.000	92.000	97.000	195.000
6000000 (returns)	221.000	215.000
6250000 (returns)	213.000
6500000 (returns)	216.000	189.000
6750000 (returns)	179.000	179.000	186.000	195.000	207.000	211.000	192.000
7000000 (returns)	194.000
7250000 (returns)	176.000
7500000 (returns)	217.000
7750000 (returns)	107.000
8000000 (returns)	215.000
8250000 (returns)	150.000
8500000 (returns)	200.000
8750000 (returns)	212.000
9000000 (returns)	190.000
9250000 (returns)	149.000
9500000 (returns)	249.000
9750000 (returns)	220.000
10000000 (returns)	205.000	213.000	143.000
10250000 (returns)	176.000	228.000	211.000
10500000 (returns)	221.000
10750000 (returns)	155.000
11000000 (returns)	146.000
11250000 (returns)	215.000	236.000	215.000	185.000
11500000 (returns)	168.000
11750000 (returns)	211.000
12000000 (returns)	227.000
12250000 (returns)	166.000
12500000 (returns)	209.000
12750000 (returns)	141.000
13000000 (returns)	242.000
13250000 (returns)	194.000
13500000 (returns)	197.000
13750000 (returns)	248.000
14000000 (returns)	114.000	214.000	126.000	114.000	215.000
14250000 (returns)	188.000	197.000
14500000 (returns)	231.000
14750000 (returns)	248.000
15000000 (returns)	257.000
15250000 (returns)	241.000
15500000 (returns)	239.000
15750000 (returns)	239.000
16000000 (returns)	90.000	158.000	158.000	181.000	170.000
16250000 (returns)	238.000
16500000 (returns)	252.000
16750000 (returns)	192.000
17000000 (returns)	221.000	256.000
17250000 (returns)	245.000
17500000 (returns)	233.000
17750000 (returns)	181.000	249.000
18000000 (returns)	201.000
18250000 (returns)	242.000	242.000
18500000 (returns)	182.000
18750000 (returns)	92.000
19000000 (returns)	232.000
19250000 (returns)	252.000
19500000 (returns)	207.000
19750000 (returns)	90.000	247.000	88.000
20000000 (returns)	220.000
20250000 (returns)	218.000
20500000 (returns)	99.000	92.000	82.000
20750000 (returns)	214.000	232.000
21000000 (returns)	187.000
21250000 (returns)	187.000	249.000
21500000 (returns)	246.000
21750000 (returns)	257.000
22000000 (returns)	208.000
22250000 (returns)	273.000	213.000	196.000
22500000 (returns)	213.000
22750000 (returns)	262.000	139.000
23000000 (returns)	266.000
23250000 (returns)	242.000
23500000 (returns)	233.000
23750000 (returns)	236.000
24000000 (returns)	251.000	222.000
24250000 (returns)	272.000	272.000
24500000 (returns)	247.000
24750000 (returns)	244.000
25000000 (returns)	224.000	235.000	186.000
25250000 (returns)	256.000
25500000 (returns)	239.000	285.000	244.000	219.000	306.000	244.000	200.000	285.000	205.000
25750000 (returns)	270.000	245.000
26000000 (returns)	251.000
26250000 (returns)	261.000
26500000 (returns)	240.000
26750000 (returns)	229.000
27000000 (returns)	233.000
27250000 (returns)	97.000	158.000	250.000
