iteration	mean	std_dev	min	max	median
250000	0.167	0.373	0.000	1.000	0.000
500000	1.625	0.484	1.000	2.000	2.000
750000	111.200	13.148	86.000	152.000	117.000
1000000	104.429	7.588	91.000	121.000	101.000
1250000	129.278	12.788	116.000	152.000	126.000
1500000	119.750	1.090	118.000	121.000	120.000
1750000	117.000	0.000	117.000	117.000	117.000
2000000	214.000	0.000	214.000	214.000	214.000
2250000	175.000	0.000	175.000	175.000	175.000
2500000	16.500	10.500	6.000	27.000	16.500
2750000	44.750	32.821	5.000	89.000	42.500
3000000	101.000	85.000	16.000	186.000	101.000
3250000	175.429	16.732	154.000	195.000	166.000
3500000	162.000	18.000	144.000	180.000	162.000
3750000	30.000	0.000	30.000	30.000	30.000
4000000	183.000	9.000	174.000	192.000	183.000
4250000	209.000	0.000	209.000	209.000	209.000
4500000	155.000	0.000	155.000	155.000	155.000
4750000	162.000	0.000	162.000	162.000	162.000
5000000	165.000	0.000	165.000	165.000	165.000
5250000	155.600	40.262	112.000	232.000	144.000
5500000	90.000	26.000	64.000	116.000	90.000
5750000	136.250	43.482	92.000	195.000	129.000
6000000	218.000	3.000	215.000	221.000	218.000
6250000	213.000	0.000	213.000	213.000	213.000
6500000	202.500	13.500	189.000	216.000	202.500
6750000	192.714	11.744	179.000	211.000	192.000
7000000	194.000	0.000	194.000	194.000	194.000
7250000	176.000	0.000	176.000	176.000	176.000
7500000	217.000	0.000	217.000	217.000	217.000
7750000	107.000	0.000	107.000	107.000	107.000
8000000	215.000	0.000	215.000	215.000	215.000
8250000	150.000	0.000	150.000	150.000	150.000
8500000	200.000	0.000	200.000	200.000	200.000
8750000	212.000	0.000	212.000	212.000	212.000
9000000	190.000	0.000	190.000	190.000	190.000
9250000	149.000	0.000	149.000	149.000	149.000
9500000	249.000	0.000	249.000	249.000	249.000
9750000	220.000	0.000	220.000	220.000	220.000
10000000	187.000	31.284	143.000	213.000	205.000
10250000	205.000	21.649	176.000	228.000	211.000
10500000	221.000	0.000	221.000	221.000	221.000
10750000	155.000	0.000	155.000	155.000	155.000
11000000	146.000	0.000	146.000	146.000	146.000
11250000	212.750	18.171	185.000	236.000	215.000
11500000	168.000	0.000	168.000	168.000	168.000
11750000	211.000	0.000	211.000	211.000	211.000
12000000	227.000	0.000	227.000	227.000	227.000
12250000	166.000	0.000	166.000	166.000	166.000
12500000	209.000	0.000	209.000	209.000	209.000
12750000	141.000	0.000	141.000	141.000	141.000
13000000	242.000	0.000	242.000	242.000	242.000
13250000	194.000	0.000	194.000	194.000	194.000
13500000	197.000	0.000	197.000	197.000	197.000
13750000	248.000	0.000	248.000	248.000	248.000
14000000	156.600	47.479	114.000	215.000	126.000
14250000	192.500	4.500	188.000	197.000	192.500
14500000	231.000	0.000	231.000	231.000	231.000
14750000	248.000	0.000	248.000	248.000	248.000
15000000	257.000	0.000	257.000	257.000	257.000
15250000	241.000	0.000	241.000	241.000	241.000
15500000	239.000	0.000	239.000	239.000	239.000
15750000	239.000	0.000	239.000	239.000	239.000
16000000	151.400	31.872	90.000	181.000	158.000
16250000	238.000	0.000	238.000	238.000	238.000
16500000	252.000	0.000	252.000	252.000	252.000
16750000	192.000	0.000	192.000	192.000	192.000
17000000	238.500	17.500	221.000	256.000	238.500
17250000	245.000	0.000	245.000	245.000	245.000
17500000	233.000	0.000	233.000	233.000	233.000
17750000	215.000	34.000	181.000	249.000	215.000
18000000	201.000	0.000	201.000	201.000	201.000
18250000	242.000	0.000	242.000	242.000	242.000
18500000	182.000	0.000	182.000	182.000	182.000
18750000	92.000	0.000	92.000	92.000	92.000
19000000	232.000	0.000	232.000	232.000	232.000
19250000	252.000	0.000	252.000	252.000	252.000
19500000	207.000	0.000	207.000	207.000	207.000
19750000	141.667	74.486	88.000	247.000	90.000
20000000	220.000	0.000	220.000	220.000	220.000
20250000	218.000	0.000	218.000	218.000	218.000
20500000	91.000	6.976	82.000	99.000	92.000
20750000	223.000	9.000	214.000	232.000	223.000
21000000	187.000	0.000	187.000	187.000	187.000
21250000	218.000	31.000	187.000	249.000	218.000
21500000	246.000	0.000	246.000	246.000	246.000
21750000	257.000	0.000	257.000	257.000	257.000
22000000	208.000	0.000	208.000	208.000	208.000
22250000	227.333	33.029	196.000	273.000	213.000
22500000	213.000	0.000	213.000	213.000	213.000
22750000	200.500	61.500	139.000	262.000	200.500
23000000	266.000	0.000	266.000	266.000	266.000
23250000	242.000	0.000	242.000	242.000	242.000
23500000	233.000	0.000	233.000	233.000	233.000
23750000	236.000	0.000	236.000	236.000	236.000
24000000	236.500	14.500	222.000	251.000	236.500
24250000	272.000	0.000	272.000	272.000	272.000
