iteration	mean	std_dev	min	max	median
250000	254.824	180.588	30.000	1750.000	230.000
500000	349.681	221.406	40.000	2000.000	290.000
750000	366.795	136.507	170.000	1060.000	340.000
1000000	455.032	222.817	120.000	2080.000	400.000
1250000	533.347	273.391	210.000	2680.000	480.000
1500000	601.571	255.408	330.000	2140.000	500.000
1750000	679.817	333.923	340.000	4070.000	570.000
2000000	837.056	468.984	380.000	2860.000	630.000
2250000	848.986	420.463	380.000	4290.000	665.000
2500000	837.171	346.690	420.000	2600.000	690.000
2750000	847.557	366.359	370.000	2370.000	710.000
3000000	1041.441	518.852	450.000	3770.000	795.000
3250000	986.276	457.344	290.000	2830.000	760.000
3500000	935.519	550.794	220.000	3350.000	790.000
3750000	1009.246	529.134	410.000	3390.000	760.000
4000000	1194.466	569.856	440.000	4350.000	1220.000
4250000	1172.166	526.795	590.000	4820.000	940.000
4500000	1215.749	584.956	490.000	3960.000	1170.000
4750000	1171.280	492.004	470.000	2930.000	1180.000
5000000	1151.374	488.138	490.000	3920.000	980.000
5250000	1160.480	545.302	330.000	3390.000	1100.000
5500000	1311.667	505.101	600.000	3000.000	1320.000
5750000	1115.740	561.722	340.000	4370.000	885.000
6000000	1349.954	600.298	560.000	3980.000	1340.000
6250000	1263.788	456.081	540.000	3000.000	1300.000
6500000	1140.795	480.922	550.000	2980.000	905.000
6750000	1137.404	499.261	300.000	4420.000	920.000
7000000	1215.118	456.446	500.000	5450.000	1270.000
7250000	1208.404	423.622	650.000	3000.000	1190.000
7500000	1487.906	565.394	510.000	3500.000	1440.000
7750000	1258.087	465.436	610.000	2950.000	1180.000
8000000	1039.391	555.324	300.000	3010.000	950.000
8250000	1269.950	455.352	570.000	2970.000	1280.000
8500000	1363.351	522.202	430.000	3460.000	1380.000
8750000	1302.456	525.195	500.000	4450.000	1300.000
9000000	1212.544	609.108	260.000	6010.000	1060.000
9250000	1315.282	596.475	480.000	6420.000	1270.000
9500000	1263.077	456.152	210.000	3430.000	1210.000
9750000	1391.176	473.548	410.000	3480.000	1440.000
10000000	1209.139	470.295	440.000	3480.000	1020.000
10250000	1293.740	507.992	480.000	5430.000	1330.000
10500000	1436.730	550.889	520.000	3480.000	1440.000
10750000	1452.386	490.329	610.000	3080.000	1450.000
11000000	1394.365	575.013	470.000	4490.000	1410.000
11250000	1448.886	466.948	710.000	3050.000	1470.000
11500000	1403.939	560.955	480.000	4480.000	1410.000
11750000	1349.079	486.884	350.000	3440.000	1410.000
12000000	1417.251	519.941	500.000	4950.000	1430.000
12250000	1310.552	412.383	570.000	2930.000	1390.000
12500000	1293.556	406.898	630.000	3360.000	1340.000
12750000	1388.249	513.399	530.000	3490.000	1420.000
13000000	1354.946	501.404	430.000	3010.000	1355.000
13250000	1453.231	477.086	540.000	3050.000	1480.000
13500000	1349.420	451.803	570.000	3060.000	1400.000
13750000	1434.957	482.921	480.000	3020.000	1460.000
14000000	1382.121	509.564	510.000	3510.000	1380.000
14250000	1383.370	472.632	650.000	3050.000	1440.000
14500000	1340.356	510.174	400.000	4060.000	1370.000
14750000	1388.338	495.649	490.000	3560.000	1450.000
15000000	1418.282	454.378	550.000	3040.000	1460.000
15250000	1304.728	488.900	400.000	3570.000	1315.000
15500000	1441.485	505.519	610.000	4440.000	1470.000
15750000	1462.342	516.391	670.000	4560.000	1460.000
16000000	1382.337	552.398	450.000	5030.000	1395.000
16250000	1445.470	522.053	610.000	3490.000	1450.000
16500000	1410.253	496.283	570.000	4060.000	1440.000
16750000	1267.571	516.635	480.000	3050.000	1060.000
17000000	1368.898	508.586	670.000	4030.000	1400.000
17250000	1478.524	589.528	570.000	4370.000	1460.000
17500000	1370.769	485.101	640.000	3530.000	1405.000
17750000	1427.423	563.999	620.000	5050.000	1440.000
18000000	1289.135	432.521	630.000	3010.000	1050.000
18250000	1464.408	572.270	540.000	4370.000	1470.000
18500000	1341.789	494.400	580.000	4550.000	1070.000
18750000	1502.389	583.831	690.000	5050.000	1500.000
19000000	1449.563	509.001	660.000	5020.000	1460.000
19250000	1374.211	474.868	490.000	3560.000	1450.000
19500000	1604.613	557.532	370.000	3480.000	1520.000
19750000	1420.535	476.789	360.000	3060.000	1460.000
20000000	1397.775	491.974	620.000	3070.000	1420.000
20250000	1426.712	642.780	110.000	4020.000	1460.000
20500000	1429.542	495.350	630.000	5020.000	1490.000
20750000	1539.861	532.781	650.000	5060.000	1520.000
21000000	1373.539	497.564	520.000	3450.000	1410.000
21250000	1445.889	494.488	680.000	3070.000	1455.000
21500000	1487.863	587.940	510.000	6070.000	1490.000
21750000	1397.005	492.886	550.000	3480.000	1415.000
22000000	1462.722	574.178	490.000	5520.000	1500.000
22250000	1298.427	443.169	500.000	4550.000	1190.000
22500000	1301.228	517.107	290.000	3060.000	1090.000
22750000	1400.978	473.627	610.000	3550.000	1445.000
23000000	1426.185	510.011	690.000	3520.000	1430.000
23250000	1544.855	551.662	750.000	4550.000	1540.000
23500000	1515.162	533.043	450.000	3970.000	1510.000
23750000	1402.742	468.423	650.000	3900.000	1465.000
24000000	1551.028	580.471	380.000	5080.000	1510.000
24250000	1521.471	534.481	550.000	4520.000	1530.000
24500000	1399.916	474.289	440.000	3570.000	1470.000
24750000	1442.080	503.425	580.000	3570.000	1470.000
25000000	1564.709	598.927	860.000	5050.000	1520.000
25250000	1499.672	459.970	770.000	3070.000	1530.000
25500000	1519.593	523.570	740.000	3530.000	1540.000
25750000	1533.589	485.807	670.000	3480.000	1530.000
26000000	1597.554	660.014	520.000	4570.000	1540.000
26250000	1467.287	498.675	440.000	5490.000	1510.000
26500000	1549.122	559.083	660.000	4510.000	1530.000
26750000	1418.179	437.931	580.000	3060.000	1510.000
27000000	1509.389	539.160	570.000	3570.000	1530.000
27250000	1521.230	586.076	530.000	3770.000	1490.000
27500000	1599.030	596.883	620.000	4520.000	1540.000
27750000	1506.595	523.391	550.000	3550.000	1530.000
28000000	1539.205	560.055	550.000	4510.000	1540.000
28250000	1414.717	437.938	530.000	4560.000	1510.000
28500000	1592.473	622.944	650.000	6250.000	1540.000
28750000	1491.040	516.660	620.000	3560.000	1520.000
29000000	1487.273	518.776	690.000	4570.000	1520.000
29250000	1409.497	427.914	540.000	3040.000	1510.000
29500000	1504.895	513.838	690.000	3900.000	1520.000
29750000	1415.654	515.800	420.000	3570.000	1440.000
30000000	1495.567	590.721	450.000	3890.000	1460.000
30250000	1538.005	560.229	550.000	3970.000	1525.000
30500000	1454.882	558.103	560.000	3880.000	1490.000
30750000	1581.945	654.769	630.000	5050.000	1520.000
31000000	1450.217	497.423	790.000	3580.000	1480.000
31250000	1664.011	646.599	550.000	4680.000	1550.000
31500000	1491.699	529.763	680.000	4390.000	1520.000
31750000	1540.081	627.942	670.000	5070.000	1520.000
32000000	1624.758	559.004	600.000	4000.000	1550.000
32250000	1549.492	541.086	650.000	3660.000	1530.000
32500000	1445.405	480.528	260.000	4570.000	1520.000
32750000	1656.205	610.868	430.000	5060.000	1560.000
33000000	1605.822	641.525	570.000	4490.000	1540.000
33250000	1704.416	720.063	790.000	5600.000	1550.000
33500000	1500.784	584.769	560.000	4550.000	1510.000
33750000	1504.862	534.637	580.000	4070.000	1510.000
34000000	1758.457	735.937	840.000	5310.000	1560.000
34250000	1585.083	576.018	690.000	3530.000	1550.000
34500000	1609.749	569.253	320.000	4070.000	1560.000
34750000	1494.728	536.354	790.000	3860.000	1520.000
35000000	1532.869	523.528	770.000	4490.000	1540.000
35250000	1536.137	501.216	480.000	3540.000	1540.000
35500000	1642.193	663.304	610.000	5070.000	1550.000
35750000	1596.694	600.933	550.000	4560.000	1550.000
36000000	1504.611	661.583	320.000	5460.000	1470.000
36250000	1720.171	730.679	770.000	5070.000	1560.000
36500000	1551.762	594.704	540.000	4470.000	1520.000
36750000	1707.014	613.955	630.000	4530.000	1560.000
37000000	1526.066	513.055	570.000	4020.000	1530.000
37250000	1596.201	531.171	890.000	4550.000	1560.000
37500000	1618.227	531.372	810.000	4310.000	1560.000
37750000	1575.306	585.880	770.000	4950.000	1535.000
38000000	1664.405	575.800	730.000	4550.000	1560.000
38250000	1643.234	551.757	740.000	3570.000	1530.000
38500000	1704.294	689.129	810.000	5000.000	1560.000
38750000	1617.370	708.237	790.000	5060.000	1530.000
39000000	1484.986	586.389	400.000	4580.000	1490.000
39250000	1521.350	546.690	700.000	4050.000	1520.000
39500000	1670.728	646.238	610.000	5050.000	1540.000
39750000	1696.802	634.963	820.000	5000.000	1560.000
40000000	1751.311	785.388	710.000	5570.000	1560.000
40250000	1545.768	569.984	800.000	5000.000	1530.000
40500000	1671.566	582.380	640.000	4580.000	1560.000
40750000	1555.895	608.535	430.000	5420.000	1520.000
41000000	1669.946	634.734	560.000	5030.000	1540.000
41250000	1758.568	849.200	410.000	7010.000	1540.000
41500000	1769.249	635.802	760.000	4120.000	1570.000
41750000	1699.066	707.796	670.000	5550.000	1550.000
42000000	1790.310	821.459	660.000	6700.000	1560.000
42250000	1581.356	570.123	550.000	4550.000	1550.000
42500000	1668.904	608.618	700.000	5000.000	1550.000
