iteration	mean	std_dev	min	max	median
250000	3550.000	3943.031	0.000	18000.000	2000.000
500000	3555.556	3803.832	0.000	14000.000	2000.000
750000	2973.684	2690.009	0.000	10000.000	3000.000
1000000	1460.784	2176.846	0.000	11000.000	1000.000
1250000	3323.232	3530.039	0.000	16000.000	2000.000
1500000	3821.053	3390.324	0.000	20000.000	3000.000
1750000	3720.430	3538.925	0.000	18000.000	3000.000
2000000	4157.143	3192.114	0.000	16000.000	4000.000
2250000	3723.404	3343.473	0.000	13000.000	3000.000
2500000	8263.158	5427.436	1000.000	20000.000	7000.000
2750000	13253.333	4869.205	3000.000	26000.000	13000.000
3000000	13512.195	5273.597	4000.000	27000.000	14000.000
3250000	13865.385	5533.217	2000.000	31000.000	13000.000
3500000	16837.500	4445.345	5000.000	29000.000	17000.000
3750000	23216.217	7756.898	10000.000	40000.000	23000.000
4000000	18279.412	5005.425	9000.000	34000.000	18000.000
4250000	12597.561	4908.578	4000.000	30000.000	12000.000
4500000	20447.369	6319.133	4000.000	34000.000	21000.000
4750000	15971.429	4407.693	3000.000	24000.000	16000.000
5000000	19222.223	7931.809	5000.000	36000.000	18000.000
5250000	20400.000	7425.631	11000.000	62000.000	20000.000
5500000	12827.160	4993.305	4000.000	27000.000	13000.000
5750000	22414.285	6359.454	13000.000	44000.000	22000.000
6000000	18294.117	4321.828	13000.000	26000.000	18000.000
6250000	16640.000	5335.766	8000.000	31000.000	16000.000
6500000	21130.436	6243.636	7000.000	34000.000	22000.000
6750000	12523.256	3896.113	3000.000	23000.000	13000.000
7000000	13566.667	4772.723	3000.000	28000.000	14000.000
7250000	9786.517	4577.601	1000.000	20000.000	9000.000
7500000	10985.507	3880.433	4000.000	23000.000	11000.000
7750000	3835.165	3319.154	0.000	15000.000	3000.000
8000000	25375.000	7857.123	6000.000	38000.000	27500.000
8250000	15104.478	4738.330	4000.000	28000.000	15000.000
8500000	27238.096	6376.331	14000.000	45000.000	26000.000
8750000	19925.373	5172.584	6000.000	35000.000	20000.000
9000000	11459.459	4526.765	3000.000	24000.000	11000.000
9250000	20854.545	5334.001	11000.000	31000.000	21000.000
9500000	11525.641	5093.295	3000.000	29000.000	12000.000
9750000	11437.500	4595.769	4000.000	19000.000	10000.000
10000000	20420.289	4973.570	12000.000	38000.000	20000.000
10250000	16700.000	6050.620	6000.000	30000.000	15000.000
10500000	17235.295	5230.334	6000.000	26000.000	18000.000
10750000	10893.617	4585.982	3000.000	20000.000	11000.000
11000000	28111.111	10213.765	18000.000	53000.000	25000.000
11250000	17395.834	6600.946	3000.000	30000.000	18500.000
11500000	19430.555	4383.766	11000.000	38000.000	19000.000
11750000	21785.715	8564.978	6000.000	48000.000	21000.000
12000000	5518.987	4536.381	0.000	20000.000	4000.000
12250000	17197.184	6640.932	5000.000	37000.000	17000.000
12500000	15773.333	4886.917	7000.000	27000.000	16000.000
12750000	12681.818	6647.303	2000.000	29000.000	12000.000
13000000	23333.334	4938.511	15000.000	30000.000	24000.000
13250000	29918.918	8184.951	15000.000	54000.000	29000.000
13500000	12527.777	5228.055	2000.000	29000.000	12000.000
13750000	16305.556	6512.038	4000.000	37000.000	16000.000
14000000	15821.918	6073.392	3000.000	30000.000	16000.000
14250000	15162.162	5884.076	4000.000	28000.000	15000.000
14500000	15795.918	5827.379	5000.000	30000.000	15000.000
14750000	11184.211	4564.481	4000.000	21000.000	11000.000
15000000	20000.000	5808.540	8000.000	37000.000	20000.000
15250000	14659.091	6197.298	6000.000	38000.000	14000.000
15500000	18925.926	6682.902	8000.000	35000.000	19000.000
15750000	12450.000	4180.012	5000.000	24000.000	12000.000
16000000	6250.000	3418.698	2000.000	13000.000	6000.000
16250000	12180.000	5335.504	1000.000	24000.000	12500.000
16500000	20968.750	5376.362	8000.000	32000.000	20500.000
16750000	13767.441	4869.636	5000.000	27000.000	13000.000
17000000	18480.000	6128.316	5000.000	35000.000	18000.000
17250000	15118.421	5203.661	4000.000	27000.000	15000.000
17500000	11826.923	4897.885	4000.000	24000.000	12000.000
17750000	20886.793	4916.896	9000.000	33000.000	21000.000
18000000	24121.213	5307.271	10000.000	39000.000	23000.000
18250000	19750.000	4274.439	8000.000	27000.000	20000.000
18500000	21500.000	8490.190	4000.000	32000.000	25500.000
18750000	7097.561	5169.351	0.000	21000.000	6000.000
19000000	9000.000	5306.401	0.000	22000.000	8000.000
19250000	12368.421	6408.962	2000.000	24000.000	14000.000
19500000	7333.333	3758.588	2000.000	16000.000	7000.000
19750000	19928.572	5885.385	10000.000	29000.000	20000.000
20000000	19615.385	5851.212	9000.000	30000.000	20000.000
20250000	8463.415	4737.487	1000.000	18000.000	8000.000
20500000	29435.896	5518.244	15000.000	45000.000	29000.000
20750000	17861.111	6115.339	3000.000	31000.000	18000.000
21000000	19014.492	5265.399	7000.000	31000.000	19000.000
21250000	15950.000	3891.979	11000.000	25000.000	14500.000
21500000	11967.742	6549.975	2000.000	28000.000	11500.000
