iteration	mean	std_dev	min	max	median
250000	401.864	165.312	132.000	900.000	352.000
500000	469.562	161.302	132.000	660.000	484.000
750000	269.831	130.984	44.000	616.000	264.000
1000000	546.783	170.716	88.000	948.000	572.000
1250000	720.258	227.949	220.000	1380.000	660.000
1500000	2198.323	913.622	572.000	3720.000	2108.000
1750000	2891.167	1328.560	996.000	6254.000	2552.000
2000000	4479.727	1996.603	1380.000	9180.000	4613.000
2250000	3642.960	1833.805	948.000	7290.000	2944.000
2500000	4640.759	1883.274	1092.000	9450.000	4350.000
2750000	2446.545	1149.763	660.000	4796.000	2440.000
3000000	4340.414	2067.181	996.000	7578.000	4732.000
3250000	3241.548	1536.185	1380.000	7338.000	2888.000
3500000	4744.148	1355.541	2160.000	7770.000	4796.000
3750000	5123.111	1569.523	1332.000	8022.000	5508.000
4000000	3171.526	1577.309	948.000	7574.000	2608.000
4250000	5605.846	1982.165	1692.000	9870.000	5462.000
4500000	5294.074	1847.557	1900.000	8816.000	5088.000
4750000	2528.839	1359.050	528.000	6100.000	2108.000
5000000	4109.543	2086.169	1284.000	10710.000	3720.000
5250000	5296.889	1557.387	1744.000	8118.000	5280.000
5500000	5774.889	1848.798	2216.000	9560.000	5348.000
5750000	4591.375	2040.045	1332.000	8764.000	4623.000
6000000	4897.375	2151.810	1536.000	10074.000	4577.000
6250000	4832.214	1842.595	1380.000	8002.000	4796.000
6500000	4615.706	2603.481	996.000	11358.000	4429.000
6750000	5159.097	2259.915	1796.000	8928.000	5730.000
7000000	3437.793	1462.749	1284.000	6322.000	3180.000
7250000	5504.965	2276.588	1952.000	11470.000	5026.000
7500000	4499.291	2088.946	1332.000	8808.000	5024.000
7750000	5015.419	1851.174	1380.000	8042.000	5310.000
8000000	5262.933	1682.304	2108.000	8690.000	5248.000
8250000	5063.613	2226.897	660.000	9744.000	5216.000
8500000	4182.424	1655.929	1380.000	8224.000	4478.000
8750000	5911.714	2293.019	1952.000	11520.000	5463.000
9000000	4914.129	1619.000	2328.000	8502.000	4770.000
9250000	4413.032	1837.453	1380.000	9060.000	4320.000
9500000	5220.000	1765.866	2056.000	10446.000	4990.000
9750000	4924.064	2291.011	1380.000	10790.000	4448.000
10000000	5349.548	2160.398	1236.000	10650.000	4860.000
10250000	6124.741	2258.413	2004.000	10970.000	5958.000
10500000	6439.461	1866.649	1536.000	9418.000	6066.000
10750000	5887.286	2811.812	852.000	14504.000	5632.000
11000000	6057.357	2548.440	2108.000	12972.000	5714.000
11250000	4821.667	2083.098	1484.000	9420.000	4910.000
11500000	5438.222	1987.526	1380.000	9012.000	5640.000
