iteration	mean	std_dev	min	max	median
250000	-90.142	5.587	-100.000	-68.000	-91.000
500000	-9.957	9.412	-45.000	4.000	-9.000
750000	-24.886	11.189	-56.000	-1.000	-23.000
1000000	-9.057	8.199	-29.000	7.000	-7.000
1250000	-43.214	10.394	-64.000	-16.000	-44.000
1500000	0.900	6.461	-19.000	17.000	1.000
1750000	-15.329	6.790	-31.000	-1.000	-14.000
2000000	-19.386	11.592	-46.000	0.000	-18.000
2250000	11.361	18.089	-9.000	68.000	5.000
2500000	-13.557	6.855	-37.000	-2.000	-13.000
2750000	6.057	7.010	-8.000	28.000	5.000
3000000	7.028	10.959	-19.000	38.000	4.000
3250000	51.543	15.847	0.000	84.000	53.000
3500000	29.476	20.860	-9.000	76.000	28.500
3750000	29.211	28.507	-40.000	80.000	33.500
4000000	49.948	22.028	-7.000	85.000	55.000
4250000	55.280	10.682	30.000	77.000	56.000
4500000	58.267	14.677	19.000	86.000	58.000
4750000	68.811	9.565	42.000	88.000	69.000
5000000	66.346	10.182	43.000	87.000	67.000
5250000	78.409	8.679	54.000	97.000	79.000
5500000	74.366	9.252	51.000	91.000	75.000
5750000	68.769	9.272	41.000	88.000	69.000
6000000	77.876	7.446	56.000	93.000	78.000
6250000	74.018	7.339	55.000	89.000	74.000
6500000	61.750	13.830	27.000	95.000	63.000
6750000	54.798	15.798	1.000	81.000	58.000
7000000	73.451	9.459	51.000	95.000	74.000
7250000	77.110	11.101	16.000	95.000	79.000
7500000	77.913	9.086	46.000	95.000	79.000
7750000	74.896	8.818	45.000	92.000	76.000
8000000	78.918	9.047	48.000	98.000	80.000
8250000	74.844	12.638	-6.000	93.000	76.000
8500000	75.125	9.939	48.000	95.000	75.000
8750000	72.154	8.325	36.000	89.000	73.000
9000000	69.669	10.921	28.000	90.000	72.000
9250000	77.864	8.512	54.000	96.000	78.000
9500000	83.047	7.057	63.000	98.000	83.500
9750000	83.188	7.630	64.000	99.000	83.000
10000000	73.231	7.822	45.000	92.000	73.000
10250000	79.339	8.356	43.000	94.000	81.000
10500000	78.642	14.238	-13.000	95.000	81.000
10750000	73.331	10.957	32.000	95.000	74.500
11000000	69.787	11.995	38.000	90.000	69.000
11250000	77.593	7.888	53.000	94.000	78.000
11500000	84.038	7.507	56.000	98.000	85.000
11750000	77.410	8.656	49.000	96.000	78.000
12000000	82.230	8.267	55.000	98.000	83.000
12250000	76.430	8.856	53.000	92.000	78.000
12500000	82.616	6.219	62.000	98.000	83.000
12750000	80.167	8.709	58.000	98.000	81.000
13000000	81.112	7.934	51.000	99.000	82.000
13250000	75.369	8.657	40.000	91.000	76.500
13500000	83.541	6.068	67.000	97.000	83.500
13750000	81.923	7.362	54.000	97.000	83.000
14000000	78.511	8.251	54.000	94.000	80.000
14250000	80.727	7.266	56.000	98.000	82.000
14500000	83.166	9.639	49.000	100.000	85.000
14750000	63.766	15.457	1.000	89.000	67.000
15000000	79.241	7.747	61.000	98.000	80.000
15250000	82.703	7.420	60.000	99.000	83.000
15500000	82.755	9.232	12.000	97.000	84.000
15750000	76.986	8.947	48.000	93.000	78.500
16000000	77.826	7.777	57.000	93.000	79.000
16250000	83.421	7.160	62.000	96.000	84.000
16500000	74.243	9.229	34.000	93.000	74.000
16750000	83.231	7.224	63.000	96.000	85.000
17000000	76.558	8.439	52.000	92.000	77.000
17250000	67.196	12.268	24.000	93.000	69.000
17500000	74.589	11.380	-3.000	92.000	76.000
17750000	79.829	9.151	52.000	98.000	81.000
18000000	76.426	8.146	46.000	92.000	77.000
18250000	71.341	21.537	-23.000	98.000	77.000
18500000	78.654	10.231	45.000	99.000	79.000
18750000	68.567	11.532	38.000	96.000	70.000
19000000	71.047	9.872	43.000	93.000	73.000
19250000	86.834	5.990	72.000	97.000	88.000
19500000	82.888	8.062	58.000	97.000	85.000
19750000	76.486	9.239	39.000	97.000	77.500
20000000	79.728	8.678	53.000	95.000	81.000
20250000	65.919	14.215	-9.000	90.000	68.500
20500000	66.075	10.174	32.000	86.000	66.000
20750000	78.780	11.406	15.000	99.000	81.000
21000000	82.561	6.998	63.000	100.000	83.000
21250000	72.267	10.790	41.000	93.000	74.000
21500000	80.871	7.372	59.000	98.000	81.000
21750000	80.828	8.089	52.000	98.000	81.000
22000000	68.976	9.351	47.000	87.000	70.000
22250000	79.282	8.620	46.000	96.000	80.000
22500000	77.484	9.428	47.000	96.000	79.000
22750000	76.562	7.859	55.000	93.000	77.000
23000000	50.213	19.969	-13.000	93.000	51.500
23250000	81.890	8.456	56.000	99.000	83.000
23500000	67.962	11.880	33.000	97.000	68.000
23750000	76.154	8.648	52.000	95.000	76.500
24000000	72.750	11.054	40.000	97.000	74.000
24250000	80.032	7.989	61.000	97.000	81.000
24500000	81.726	7.437	57.000	95.000	82.000
24750000	82.656	7.600	56.000	97.000	83.000
25000000	84.784	6.594	62.000	99.000	86.000
25250000	76.563	13.870	-1.000	92.000	79.000
25500000	79.577	9.068	52.000	96.000	80.000
25750000	84.043	7.003	66.000	98.000	85.000
26000000	78.007	8.876	36.000	95.000	79.000
26250000	79.783	8.762	52.000	97.000	82.000
26500000	77.366	16.136	-4.000	97.000	80.000
26750000	70.931	10.632	15.000	94.000	72.000
27000000	82.272	7.809	54.000	97.000	83.000
