iteration	mean	std_dev	min	max	median
250000	1728.586	1009.478	220.000	6159.000	1516.000
500000	1540.850	776.750	356.000	5612.000	1343.000
750000	2000.538	1042.337	415.000	6248.000	1745.000
1000000	2922.505	1477.303	706.000	8341.000	2617.000
1250000	2242.394	1312.083	349.000	6376.000	2058.000
1500000	5341.531	2618.144	1140.000	13944.000	4873.000
1750000	2536.166	1267.144	565.000	6599.000	2268.000
2000000	4166.412	2299.648	276.000	15731.000	3895.000
2250000	4752.034	2122.930	1420.000	11041.000	4758.000
2500000	2973.860	1580.870	446.000	8154.000	2699.000
2750000	3575.115	1869.977	499.000	9027.000	3253.500
3000000	2888.705	1651.734	375.000	9045.000	2699.500
3250000	3462.704	1718.061	277.000	9001.000	3308.500
3500000	2809.470	1493.614	426.000	9265.000	2689.500
3750000	3745.693	2204.700	231.000	16225.000	3504.000
4000000	3875.504	1861.974	504.000	8608.000	3760.000
4250000	4462.119	2485.880	406.000	19052.000	4341.000
4500000	3009.560	1633.545	524.000	9113.000	2855.000
4750000	3328.842	1930.607	435.000	15842.000	3023.000
5000000	4117.601	2371.430	485.000	12345.000	3610.500
5250000	3426.277	1887.737	280.000	13785.000	3111.000
5500000	3502.005	1885.611	573.000	9105.000	3107.000
5750000	3847.057	1668.886	403.000	9377.000	3658.500
6000000	4074.974	2132.844	200.000	11423.000	3917.000
6250000	2689.941	1529.104	292.000	8496.000	2426.000
6500000	3703.085	1920.857	750.000	9810.000	3395.000
6750000	3087.710	1573.013	246.000	7660.000	3004.500
7000000	2801.027	1638.790	354.000	7720.000	2469.000
7250000	3745.534	2044.248	504.000	11862.000	3328.000
7500000	3375.698	1794.871	500.000	8562.000	3175.000
7750000	3298.795	1691.514	694.000	11909.000	2989.000
8000000	2807.584	1553.436	212.000	7697.000	2585.500
8250000	2898.972	1326.263	362.000	7770.000	2742.000
8500000	3119.545	1659.996	227.000	8824.000	3070.000
8750000	2030.875	1194.527	230.000	5539.000	1870.500
9000000	4495.377	2214.143	552.000	12989.000	4338.500
9250000	3597.329	2184.368	535.000	14307.000	3112.000
9500000	2183.449	1214.429	394.000	7054.000	1917.000
9750000	3057.252	1415.528	568.000	9030.000	2996.000
10000000	3955.758	2212.032	458.000	14515.000	3598.000
10250000	2980.015	1222.372	338.000	6525.000	2761.000
10500000	1180.764	923.102	180.000	4790.000	969.000
10750000	2542.140	1285.531	392.000	6660.000	2386.500
11000000	3897.807	1995.467	558.000	11795.000	3572.000
11250000	3007.727	1801.743	226.000	9831.000	2671.000
11500000	1641.257	872.136	323.000	5554.000	1516.000
11750000	3788.644	2668.624	399.000	13502.000	3166.000
12000000	1856.570	837.409	200.000	4928.000	1781.000
12250000	3327.235	1920.007	223.000	10544.000	3020.000
12500000	1017.152	813.424	188.000	4463.000	835.000
12750000	2733.032	1359.875	439.000	8678.000	2592.500
13000000	3260.912	1782.864	815.000	13029.000	3028.000
13250000	2307.455	1270.616	199.000	6432.000	2182.000
13500000	1467.396	997.334	211.000	5690.000	1354.500
13750000	3640.540	1694.881	538.000	8453.000	3351.500
14000000	2799.182	1390.339	423.000	6886.000	2644.500
14250000	1519.194	810.166	285.000	4132.000	1439.000
14500000	3122.791	1549.410	638.000	7568.000	2912.500
14750000	2114.602	1194.339	447.000	7111.000	1882.000
15000000	1671.943	1219.019	235.000	7463.000	1320.000
15250000	1704.340	985.445	265.000	5876.000	1484.000
15500000	1755.591	1105.992	327.000	6960.000	1451.000
15750000	1345.534	817.441	192.000	5441.000	1095.000
16000000	1577.849	1091.108	213.000	5942.000	1347.000
16250000	2289.468	1635.641	200.000	9913.000	1949.000
16500000	2761.698	1507.565	220.000	8456.000	2398.000
16750000	2365.217	1488.412	183.000	8554.000	1983.000
17000000	2729.791	1626.773	201.000	7457.000	2377.000
17250000	853.308	652.444	153.000	3246.000	720.000
17500000	1294.396	780.703	193.000	4836.000	1142.000
17750000	2855.913	2014.915	233.000	8922.000	2307.000
18000000	1806.744	1129.721	200.000	5087.000	1591.000
18250000	2808.439	1939.776	565.000	9846.000	2303.000
18500000	1859.021	1055.458	274.000	7146.000	1670.000
18750000	1802.876	1083.555	273.000	6111.000	1559.000
19000000	2181.115	1264.918	347.000	12126.000	2082.000
19250000	2215.239	1190.452	336.000	6131.000	2101.000
19500000	2904.781	1433.779	780.000	9403.000	2458.000
19750000	2303.043	1098.489	562.000	9428.000	2080.000
20000000	1613.804	1014.882	229.000	5052.000	1355.000
20250000	2422.702	1741.096	357.000	10454.000	2072.000
20500000	1498.139	934.345	210.000	4415.000	1235.500
20750000	2570.041	1176.485	351.000	5203.000	2531.500
21000000	1109.321	1015.194	135.000	5523.000	760.500
