iteration	mean	std_dev	min	max	median
250000	-20.866	2.298	-24.000	-14.000	-22.000
500000	-20.264	2.364	-24.000	-16.000	-20.000
750000	-21.278	2.142	-24.000	-16.000	-22.000
1000000	-20.694	1.961	-24.000	-16.000	-22.000
1250000	-21.292	2.466	-24.000	-16.000	-22.000
1500000	-21.388	2.029	-24.000	-16.000	-22.000
1750000	-21.362	2.108	-24.000	-16.000	-22.000
2000000	-18.043	3.134	-24.000	-12.000	-18.000
2250000	-19.149	2.790	-24.000	-12.000	-20.000
2500000	-18.636	2.621	-24.000	-12.000	-20.000
2750000	-17.636	3.549	-24.000	-8.000	-18.000
3000000	-18.864	2.936	-24.000	-12.000	-18.000
3250000	-18.157	3.691	-24.000	-10.000	-18.000
3500000	-22.643	1.777	-24.000	-16.000	-24.000
3750000	-19.125	2.643	-24.000	-12.000	-20.000
4000000	-20.000	2.659	-24.000	-12.000	-20.000
4250000	-21.000	2.330	-24.000	-16.000	-20.000
4500000	-18.957	3.250	-24.000	-10.000	-19.000
4750000	-21.615	1.883	-24.000	-16.000	-22.000
5000000	-18.400	2.909	-24.000	-12.000	-18.000
5250000	-19.887	2.589	-24.000	-12.000	-20.000
5500000	-19.368	2.600	-24.000	-12.000	-19.000
5750000	-19.630	2.467	-24.000	-14.000	-20.000
6000000	-19.569	2.637	-24.000	-14.000	-20.000
6250000	-18.314	3.153	-24.000	-12.000	-20.000
6500000	-19.256	3.557	-24.000	-6.000	-20.000
6750000	-18.480	3.869	-24.000	-8.000	-20.000
7000000	-18.083	2.943	-24.000	-10.000	-18.000
7250000	-18.625	3.370	-24.000	-10.000	-18.000
7500000	-16.417	3.390	-22.000	-6.000	-16.000
7750000	-20.536	2.283	-24.000	-14.000	-20.000
8000000	-18.696	3.154	-24.000	-12.000	-20.000
8250000	-17.378	3.150	-24.000	-10.000	-18.000
8500000	-19.593	2.759	-24.000	-14.000	-20.000
8750000	-18.326	3.138	-24.000	-8.000	-20.000
9000000	-15.961	3.395	-22.000	-8.000	-16.000
9250000	-18.830	3.143	-24.000	-10.000	-18.000
9500000	-15.040	3.304	-24.000	-8.000	-16.000
9750000	-18.511	2.988	-24.000	-10.000	-20.000
10000000	-17.773	3.225	-24.000	-12.000	-18.000
10250000	-17.564	2.897	-24.000	-10.000	-18.000
10500000	-16.898	3.333	-24.000	-10.000	-16.000
10750000	-17.778	3.236	-24.000	-10.000	-18.000
11000000	-20.000	2.700	-24.000	-12.000	-20.000
11250000	-19.417	2.707	-24.000	-10.000	-20.000
11500000	-14.760	3.978	-24.000	-8.000	-14.000
11750000	-19.583	2.379	-24.000	-14.000	-20.000
12000000	-19.391	2.730	-24.000	-12.000	-20.000
12250000	-18.857	3.077	-24.000	-12.000	-20.000
12500000	-17.571	3.310	-24.000	-12.000	-18.000
12750000	-18.044	3.464	-24.000	-10.000	-18.000
13000000	-19.872	2.160	-24.000	-14.000	-20.000
13250000	-19.911	2.763	-24.000	-12.000	-20.000
13500000	-16.280	3.688	-24.000	-4.000	-16.000
13750000	-13.608	3.407	-24.000	-6.000	-14.000
14000000	-19.644	2.358	-24.000	-14.000	-20.000
14250000	-15.149	3.865	-22.000	-6.000	-16.000
14500000	-17.608	3.144	-22.000	-8.000	-18.000
14750000	-18.269	3.375	-24.000	-6.000	-18.000
15000000	-16.190	3.825	-24.000	-6.000	-16.000
15250000	-18.612	2.146	-22.000	-12.000	-18.000
15500000	-15.952	4.035	-22.000	-6.000	-16.000
15750000	-18.766	2.962	-24.000	-12.000	-20.000
16000000	-15.792	3.494	-24.000	-6.000	-16.000
16250000	-16.050	4.037	-22.000	-4.000	-16.000
16500000	-14.735	3.697	-22.000	-4.000	-16.000
16750000	-18.468	3.010	-24.000	-10.000	-18.000
17000000	-18.000	3.314	-24.000	-8.000	-18.000
17250000	-16.318	3.836	-24.000	-8.000	-16.000
17500000	-12.520	5.135	-22.000	6.000	-14.000
17750000	-14.039	3.441	-22.000	-8.000	-14.000
18000000	-16.375	3.127	-22.000	-10.000	-16.000
18250000	-15.958	4.153	-24.000	-6.000	-16.000
18500000	-14.885	3.268	-22.000	-8.000	-15.000
18750000	-17.409	3.531	-24.000	-8.000	-18.000
19000000	-19.837	2.852	-24.000	-14.000	-20.000
19250000	-19.404	2.703	-24.000	-14.000	-20.000
19500000	-13.952	4.174	-24.000	-4.000	-14.000
19750000	-13.545	4.610	-22.000	2.000	-14.000
20000000	-19.321	2.860	-24.000	-10.000	-20.000
20250000	-15.364	3.832	-22.000	-6.000	-16.000
20500000	-14.792	3.285	-22.000	-6.000	-16.000
20750000	-15.867	3.222	-24.000	-8.000	-16.000
21000000	-17.184	3.305	-24.000	-10.000	-18.000
21250000	-12.571	4.389	-22.000	-4.000	-12.000
21500000	-16.458	3.421	-22.000	-8.000	-16.000
21750000	-13.600	4.138	-22.000	-4.000	-14.000
22000000	-13.927	3.832	-20.000	-6.000	-14.000
22250000	-17.261	3.075	-22.000	-10.000	-18.000
22500000	-17.615	3.187	-24.000	-10.000	-18.000
22750000	-12.694	3.649	-20.000	-6.000	-12.000
23000000	-18.179	2.733	-24.000	-12.000	-18.000
23250000	-17.400	3.305	-24.000	-6.000	-18.000
23500000	-12.625	3.632	-20.000	-6.000	-12.000
23750000	-20.471	2.585	-24.000	-14.000	-20.000
24000000	-13.074	3.522	-20.000	-4.000	-13.000
24250000	-15.617	3.612	-22.000	-6.000	-16.000
24500000	-15.160	3.349	-22.000	-8.000	-16.000
24750000	-16.979	2.884	-22.000	-10.000	-18.000
25000000	-16.204	3.774	-24.000	-8.000	-16.000
25250000	-10.353	4.387	-20.000	-2.000	-10.000
25500000	-14.520	3.596	-22.000	-6.000	-14.000
25750000	-14.100	4.288	-24.000	-6.000	-14.000
26000000	-15.741	3.945	-22.000	-6.000	-16.000
26250000	-12.936	4.102	-20.000	-2.000	-14.000
26500000	-15.532	3.066	-22.000	-6.000	-16.000
26750000	-11.667	3.965	-22.000	-4.000	-12.000
27000000	-13.731	4.077	-24.000	-2.000	-14.000
27250000	-15.960	3.521	-24.000	-6.000	-16.000
27500000	-17.083	3.108	-24.000	-12.000	-18.000
27750000	-17.116	3.817	-24.000	-10.000	-18.000
28000000	-16.957	3.329	-24.000	-8.000	-18.000
28250000	-15.849	3.621	-24.000	-10.000	-16.000
28500000	-14.250	4.576	-22.000	2.000	-16.000
28750000	-16.049	3.520	-24.000	-6.000	-16.000
29000000	-19.200	2.040	-24.000	-14.000	-20.000
29250000	-13.591	3.875	-20.000	-4.000	-14.000
29500000	-11.643	3.232	-20.000	-4.000	-12.000
29750000	-12.043	4.010	-22.000	-2.000	-12.000
30000000	-14.596	3.433	-22.000	-6.000	-14.000
30250000	-17.040	3.649	-24.000	-10.000	-18.000
30500000	-12.625	4.166	-20.000	-4.000	-12.000
30750000	-16.048	3.450	-22.000	-8.000	-16.000
31000000	-17.119	3.109	-24.000	-10.000	-18.000
31250000	-18.089	3.097	-24.000	-10.000	-18.000
31500000	-15.042	3.316	-20.000	-2.000	-16.000
31750000	-11.294	3.038	-18.000	-4.000	-12.000
32000000	-14.745	3.360	-24.000	-6.000	-14.000
32250000	-12.706	3.561	-20.000	-4.000	-14.000
32500000	-15.480	2.766	-22.000	-10.000	-14.000
32750000	-11.647	3.645	-22.000	-2.000	-12.000
33000000	-14.391	3.166	-22.000	-8.000	-14.000
33250000	-15.098	3.637	-22.000	-8.000	-14.000
33500000	-13.000	4.477	-22.000	-2.000	-14.000
33750000	-15.116	3.565	-22.000	-8.000	-16.000
34000000	-14.588	3.200	-20.000	-6.000	-16.000
34250000	-15.920	3.509	-22.000	-8.000	-16.000
34500000	-17.018	3.430	-22.000	-10.000	-18.000
34750000	-13.000	3.033	-20.000	-4.000	-14.000
35000000	-17.833	2.511	-22.000	-14.000	-18.000
35250000	-11.837	3.872	-18.000	-2.000	-12.000
35500000	-15.818	3.270	-22.000	-10.000	-16.000
35750000	-14.250	3.136	-22.000	-8.000	-14.000
36000000	-12.873	4.573	-24.000	-2.000	-14.000
36250000	-16.894	3.347	-22.000	-12.000	-16.000
36500000	-15.136	3.847	-22.000	-4.000	-16.000
36750000	-11.306	3.802	-18.000	2.000	-10.000
37000000	-11.778	3.105	-18.000	-6.000	-12.000
37250000	-11.318	4.044	-20.000	-2.000	-12.000
37500000	-12.727	3.060	-20.000	-6.000	-12.000
37750000	-13.846	5.071	-22.000	2.000	-14.000
38000000	-14.367	3.348	-22.000	-8.000	-14.000
38250000	-16.627	3.970	-24.000	-8.000	-16.000
38500000	-17.019	3.356	-24.000	-10.000	-18.000
38750000	-16.723	3.880	-24.000	-10.000	-16.000
39000000	-16.792	3.234	-24.000	-12.000	-16.000
39250000	-16.154	3.906	-22.000	-8.000	-16.000
39500000	-11.535	3.830	-20.000	-2.000	-12.000
39750000	-12.047	3.846	-18.000	-2.000	-12.000
40000000	-13.581	5.240	-24.000	8.000	-14.000
40250000	-12.240	3.932	-20.000	-4.000	-12.000
40500000	-14.750	3.886	-24.000	-6.000	-15.000
40750000	-15.769	3.630	-24.000	-6.000	-16.000
41000000	-16.000	2.949	-22.000	-10.000	-16.000
41250000	-14.093	3.422	-22.000	-6.000	-14.000
