iteration	mean	std_dev	min	max	median
250000	0.000	0.000	0.000	0.000	0.000
500000	0.054	0.226	0.000	1.000	0.000
750000	0.027	0.162	0.000	1.000	0.000
1000000	0.000	0.000	0.000	0.000	0.000
1250000	0.459	1.286	0.000	5.000	0.000
1500000	0.757	1.601	0.000	7.000	0.000
1750000	37.216	23.974	1.000	94.000	27.000
2000000	120.892	32.113	48.000	187.000	125.000
2250000	371.950	85.917	179.000	475.000	384.000
2500000	341.000	92.823	177.000	457.000	367.000
2750000	497.176	116.038	387.000	768.000	455.000
3000000	231.269	98.789	53.000	402.000	194.500
3250000	394.789	86.855	178.000	492.000	416.000
3500000	727.417	185.393	366.000	1013.000	753.000
3750000	490.176	95.011	399.000	799.000	473.000
4000000	174.515	90.570	75.000	467.000	147.000
4250000	505.625	113.658	368.000	742.000	457.500
4500000	408.579	104.930	176.000	704.000	405.000
4750000	687.000	210.065	451.000	1052.000	709.000
5000000	413.526	159.688	169.000	788.000	420.000
5250000	107.108	34.070	39.000	184.000	111.000
5500000	556.286	196.574	195.000	891.000	480.500
5750000	173.848	58.190	116.000	355.000	154.000
6000000	496.938	126.951	354.000	736.000	445.000
6250000	581.200	130.202	391.000	783.000	495.000
6500000	446.111	60.743	375.000	660.000	437.000
6750000	485.000	84.989	364.000	668.000	467.000
7000000	430.167	127.590	177.000	680.000	442.500
7250000	180.000	58.294	89.000	342.000	172.000
7500000	533.600	129.018	370.000	813.000	486.000
7750000	506.312	93.242	379.000	708.000	478.500
8000000	148.486	52.622	54.000	333.000	141.000
8250000	365.842	67.799	198.000	468.000	382.000
8500000	219.217	50.290	146.000	318.000	232.000
8750000	450.529	45.879	386.000	599.000	451.000
9000000	354.389	40.548	260.000	416.000	360.000
9250000	404.389	39.061	352.000	480.000	395.500
9500000	416.444	34.382	327.000	489.000	417.500
9750000	387.611	35.412	330.000	459.000	386.000
10000000	370.900	137.590	163.000	633.000	410.500
10250000	513.000	120.908	405.000	775.000	463.000
10500000	622.429	154.855	456.000	939.000	580.500
10750000	404.200	177.297	158.000	743.000	418.000
11000000	374.368	82.701	146.000	488.000	406.000
11250000	440.333	98.646	179.000	741.000	442.500
11500000	512.562	97.759	404.000	695.000	472.000
11750000	517.353	146.273	193.000	773.000	482.000
12000000	366.048	228.221	136.000	856.000	193.000
12250000	292.360	172.257	123.000	738.000	186.000
12500000	154.571	53.831	31.000	347.000	148.000
12750000	310.524	90.316	136.000	467.000	339.000
13000000	549.133	159.045	182.000	794.000	485.000
13250000	313.455	116.552	138.000	458.000	359.000
13500000	438.294	118.485	190.000	693.000	431.000
13750000	480.938	126.493	161.000	689.000	476.000
14000000	261.522	68.838	162.000	377.000	291.000
14250000	509.867	198.002	161.000	840.000	464.000
14500000	321.333	90.220	147.000	446.000	356.000
14750000	212.897	91.675	121.000	450.000	173.000
15000000	383.500	203.087	180.000	753.000	368.500
15250000	534.533	138.753	404.000	825.000	464.000
15500000	452.471	105.028	190.000	669.000	432.000
15750000	400.600	218.035	158.000	764.000	426.500
16000000	621.357	181.361	155.000	775.000	704.500
16250000	499.625	121.240	382.000	762.000	466.000
16500000	157.062	65.882	81.000	334.000	133.000
16750000	469.706	118.125	196.000	725.000	446.000
17000000	383.056	49.443	286.000	492.000	392.500
17250000	448.778	28.953	388.000	496.000	456.000
17500000	439.500	28.690	391.000	490.000	435.500
17750000	282.292	123.932	115.000	479.000	268.500
18000000	390.368	85.094	193.000	596.000	398.000
18250000	322.524	80.625	173.000	450.000	348.000
18500000	344.476	102.390	143.000	490.000	391.000
18750000	296.150	65.603	144.000	415.000	305.000
19000000	410.667	34.790	327.000	477.000	414.500
19250000	495.529	133.039	191.000	763.000	462.000
19500000	352.286	120.983	131.000	490.000	402.000
19750000	540.125	131.797	395.000	769.000	475.500
20000000	454.389	110.945	174.000	737.000	442.500
20250000	77.757	39.529	1.000	150.000	94.000
20500000	589.933	137.416	379.000	788.000	499.000
20750000	415.889	105.613	194.000	770.000	408.500
21000000	430.833	78.964	192.000	638.000	433.000
21250000	470.824	93.363	363.000	745.000	459.000
21500000	409.333	83.404	290.000	685.000	389.000
21750000	515.812	102.001	413.000	738.000	473.000
22000000	465.882	84.345	381.000	691.000	442.000
22250000	176.935	46.304	114.000	290.000	163.000
22500000	457.647	87.233	336.000	696.000	437.000
22750000	241.417	75.054	128.000	415.000	253.500
23000000	439.667	78.947	317.000	704.000	443.500
23250000	168.800	53.971	93.000	281.000	155.500
23500000	554.000	111.131	437.000	749.000	480.000
23750000	595.500	202.273	393.000	1036.000	476.500
24000000	124.243	31.603	49.000	186.000	119.000
24250000	440.889	121.456	169.000	710.000	442.500
24500000	166.794	68.501	96.000	379.000	146.500
24750000	338.053	70.464	158.000	459.000	347.000
25000000	679.769	122.405	473.000	882.000	732.000
25250000	213.233	80.795	117.000	411.000	182.500
25500000	410.667	42.612	331.000	462.000	409.000
25750000	450.611	67.090	325.000	691.000	442.500
26000000	400.263	118.449	185.000	724.000	406.000
26250000	629.929	151.801	423.000	915.000	662.000
26500000	447.167	36.503	383.000	496.000	455.500
26750000	148.583	53.037	49.000	391.000	139.500
27000000	692.667	167.606	374.000	930.000	734.000
27250000	663.462	203.892	381.000	1012.000	707.000
27500000	213.077	72.269	113.000	349.000	184.000
27750000	149.417	55.796	104.000	450.000	141.000
28000000	437.278	259.921	111.000	804.000	433.000
28250000	375.684	60.692	159.000	470.000	379.000
28500000	430.000	129.351	187.000	664.000	458.500
28750000	453.588	79.032	381.000	666.000	424.000
29000000	748.083	177.243	480.000	1019.000	767.000
29250000	491.125	111.591	326.000	733.000	464.500
29500000	521.062	153.132	388.000	915.000	452.000
29750000	219.200	141.076	110.000	679.000	165.500
30000000	481.824	95.629	340.000	703.000	450.000
30250000	359.950	120.297	118.000	664.000	396.500
30500000	231.107	96.110	126.000	410.000	185.000
30750000	720.667	179.167	457.000	1029.000	738.000
31000000	583.714	181.491	346.000	981.000	488.500
31250000	461.824	140.325	192.000	878.000	439.000
31500000	197.607	91.593	29.000	386.000	172.500
31750000	274.667	70.171	151.000	355.000	300.000
32000000	556.067	193.717	190.000	931.000	461.000
32250000	392.263	64.761	177.000	474.000	418.000
32500000	423.211	65.073	187.000	492.000	421.000
32750000	326.762	89.041	160.000	455.000	361.000
33000000	457.111	70.581	364.000	714.000	455.500
33250000	440.722	95.109	196.000	747.000	442.500
33500000	464.412	106.295	317.000	724.000	445.000
33750000	272.080	140.665	100.000	601.000	190.000
34000000	493.562	103.070	368.000	728.000	459.000
34250000	498.812	156.259	313.000	876.000	434.000
34500000	550.933	108.710	433.000	724.000	484.000
34750000	419.778	70.271	321.000	637.000	412.000
35000000	401.824	104.371	323.000	697.000	368.000
35250000	440.842	178.893	172.000	758.000	458.000
35500000	538.875	140.693	415.000	788.000	467.000
35750000	324.571	102.514	152.000	442.000	365.000
36000000	228.000	86.671	129.000	385.000	183.000
36250000	561.133	132.554	449.000	790.000	476.000
36500000	449.882	80.819	347.000	656.000	439.000
36750000	385.556	29.747	336.000	443.000	386.500
37000000	422.526	146.048	189.000	775.000	438.000
37250000	102.200	44.868	20.000	227.000	102.000
37500000	377.526	76.624	193.000	468.000	391.000
37750000	417.789	66.612	178.000	493.000	439.000
38000000	454.889	55.894	394.000	655.000	442.000
38250000	486.000	84.140	385.000	738.000	472.000
38500000	340.474	68.092	183.000	444.000	341.000
38750000	546.400	122.871	392.000	739.000	489.000
39000000	400.389	61.289	273.000	480.000	406.500
39250000	316.550	71.257	184.000	408.000	321.000
39500000	213.367	104.446	74.000	457.000	176.000
39750000	572.533	125.948	437.000	816.000	490.000
40000000	492.500	140.894	278.000	779.000	444.500
40250000	445.056	100.929	159.000	685.000	438.500
40500000	440.056	69.203	388.000	712.000	426.000
40750000	382.895	113.292	148.000	641.000	401.000
41000000	472.353	132.115	329.000	777.000	413.000
41250000	515.812	178.516	199.000	958.000	463.000
41500000	341.667	128.044	158.000	722.000	360.000
41750000	346.150	83.695	175.000	431.000	375.500
42000000	450.556	129.907	187.000	725.000	462.000
