iteration	mean	std_dev	min	max	median
250000	111.887	31.659	30.000	190.000	100.000
500000	214.710	108.320	70.000	1830.000	210.000
750000	221.175	17.868	150.000	300.000	220.000
1000000	269.348	173.193	160.000	1960.000	250.000
1250000	247.447	42.526	150.000	1100.000	250.000
1500000	254.908	15.834	200.000	310.000	260.000
1750000	396.272	401.148	160.000	2560.000	260.000
2000000	302.934	247.317	140.000	1910.000	260.000
2250000	252.852	22.931	180.000	300.000	260.000
2500000	330.096	300.179	190.000	3230.000	260.000
2750000	282.526	254.880	40.000	2160.000	260.000
3000000	252.834	79.241	130.000	1330.000	250.000
3250000	239.798	71.175	0.000	1220.000	250.000
3500000	343.719	239.268	140.000	1020.000	260.000
3750000	217.483	70.275	70.000	770.000	220.000
4000000	201.943	144.131	90.000	1070.000	160.000
4250000	176.662	76.481	90.000	1820.000	160.000
4500000	188.567	141.568	40.000	1420.000	165.000
4750000	186.799	78.128	70.000	1750.000	180.000
5000000	218.158	104.292	120.000	1500.000	210.000
5250000	230.147	109.332	120.000	960.000	210.000
5500000	216.808	90.321	130.000	1170.000	210.000
5750000	200.158	168.963	100.000	3160.000	180.000
6000000	341.155	287.034	100.000	1340.000	210.000
6250000	193.677	48.673	60.000	930.000	190.000
6500000	246.487	160.884	140.000	1670.000	220.000
6750000	207.901	32.270	60.000	280.000	210.000
7000000	297.796	246.535	130.000	1730.000	230.000
7250000	227.325	68.215	130.000	1140.000	220.000
7500000	250.653	161.218	120.000	1190.000	210.000
7750000	232.969	110.262	60.000	890.000	220.000
8000000	236.523	169.740	130.000	1830.000	200.000
8250000	292.863	235.325	140.000	2090.000	230.000
8500000	316.536	233.787	120.000	1630.000	220.000
8750000	257.089	154.485	120.000	1240.000	230.000
9000000	233.739	81.884	110.000	850.000	230.000
9250000	229.599	97.323	80.000	1250.000	220.000
9500000	242.266	141.240	140.000	1740.000	220.000
9750000	293.501	213.301	120.000	1660.000	230.000
10000000	272.857	168.374	140.000	1430.000	230.000
10250000	243.073	116.570	70.000	1600.000	230.000
10500000	314.770	202.201	110.000	1180.000	240.000
10750000	320.023	203.049	160.000	1040.000	250.000
11000000	220.311	46.089	110.000	970.000	220.000
11250000	274.222	145.876	90.000	870.000	240.000
11500000	275.143	215.272	50.000	1680.000	220.000
11750000	310.784	211.336	150.000	1260.000	260.000
12000000	228.678	91.661	130.000	1170.000	220.000
12250000	307.319	238.540	170.000	1670.000	250.000
12500000	238.427	67.456	20.000	840.000	240.000
12750000	355.000	371.942	70.000	2250.000	240.000
13000000	246.036	23.598	130.000	300.000	250.000
13250000	223.553	44.977	140.000	760.000	220.000
13500000	283.649	228.854	30.000	1310.000	210.000
13750000	351.622	239.665	160.000	1230.000	250.000
14000000	287.792	202.045	40.000	1450.000	220.000
14250000	287.807	174.787	160.000	1500.000	250.000
14500000	239.429	157.301	40.000	1850.000	230.000
14750000	378.224	333.315	140.000	1670.000	240.000
15000000	235.491	42.018	90.000	890.000	240.000
15250000	278.439	177.119	140.000	1910.000	250.000
15500000	466.495	466.038	140.000	2860.000	260.000
15750000	501.303	370.479	170.000	1530.000	260.000
16000000	237.862	46.302	20.000	870.000	240.000
16250000	234.091	45.727	120.000	780.000	240.000
16500000	278.446	185.555	160.000	1340.000	250.000
16750000	242.005	30.799	120.000	290.000	250.000
17000000	263.321	169.853	140.000	1010.000	210.000
17250000	229.949	39.502	110.000	760.000	230.000
17500000	502.248	390.350	130.000	1560.000	260.000
17750000	242.219	62.240	140.000	810.000	240.000
18000000	467.366	485.025	150.000	2520.000	250.000
18250000	234.022	32.042	150.000	300.000	240.000
18500000	335.577	312.051	130.000	2110.000	240.000
18750000	226.163	27.657	130.000	300.000	220.000
19000000	228.276	33.140	140.000	290.000	230.000
19250000	249.208	124.079	130.000	1220.000	230.000
19500000	217.972	46.133	60.000	310.000	230.000
19750000	264.024	196.173	130.000	2240.000	240.000
20000000	295.720	246.835	130.000	1990.000	230.000
20250000	286.188	230.019	60.000	2670.000	240.000
20500000	383.790	331.478	0.000	1630.000	260.000
20750000	384.253	325.315	130.000	1730.000	260.000
21000000	268.444	195.578	150.000	1360.000	220.000
21250000	358.005	260.673	150.000	1500.000	250.000
21500000	246.540	27.407	150.000	280.000	250.000
21750000	360.489	281.907	110.000	1360.000	240.000
22000000	413.265	326.418	70.000	1370.000	240.000
22250000	250.706	102.246	100.000	1480.000	250.000
22500000	265.137	111.180	140.000	1160.000	250.000
22750000	241.839	28.619	60.000	300.000	250.000
23000000	274.859	216.395	110.000	2880.000	250.000
23250000	442.932	333.511	120.000	1390.000	270.000
23500000	360.032	426.038	130.000	2620.000	240.000
23750000	252.115	37.102	180.000	820.000	250.000
24000000	292.764	199.893	40.000	1250.000	240.000
24250000	325.370	230.222	130.000	1700.000	260.000
24500000	407.469	417.211	120.000	2970.000	260.000
24750000	271.700	146.471	150.000	1520.000	260.000
25000000	390.864	399.529	100.000	2160.000	240.000
25250000	430.627	360.295	130.000	1950.000	270.000
25500000	235.292	99.961	90.000	1560.000	230.000
25750000	270.247	189.969	150.000	2990.000	240.000
26000000	241.789	103.438	60.000	1390.000	240.000
26250000	258.849	115.174	100.000	1090.000	240.000
26500000	237.321	34.292	110.000	340.000	240.000
26750000	234.580	100.384	120.000	1540.000	220.000
27000000	247.798	156.447	120.000	1690.000	230.000
27250000	294.083	196.636	110.000	910.000	240.000
27500000	250.591	72.229	90.000	1300.000	250.000
27750000	260.169	132.933	130.000	1350.000	250.000
28000000	239.897	70.633	130.000	1040.000	240.000
28250000	265.724	183.490	10.000	1550.000	240.000
28500000	337.821	300.734	130.000	2100.000	230.000
28750000	359.192	306.947	140.000	1770.000	260.000
29000000	246.591	42.557	140.000	380.000	240.000
29250000	231.844	56.404	130.000	980.000	230.000
29500000	258.362	102.919	130.000	880.000	240.000
29750000	353.667	315.366	100.000	2200.000	240.000
30000000	237.014	55.119	70.000	940.000	240.000
30250000	254.438	77.931	120.000	1010.000	260.000
30500000	378.280	326.809	130.000	2280.000	250.000
30750000	246.222	95.049	130.000	1390.000	240.000
31000000	381.579	490.015	100.000	3210.000	250.000
31250000	231.606	36.928	70.000	370.000	230.000
31500000	245.391	138.250	100.000	1510.000	230.000
31750000	226.184	92.402	30.000	1120.000	240.000
32000000	446.389	389.055	80.000	1790.000	225.000
32250000	430.307	529.560	70.000	2630.000	230.000
32500000	346.166	315.563	90.000	1540.000	220.000
32750000	259.748	202.203	80.000	1610.000	220.000
33000000	344.464	410.854	80.000	2520.000	220.000
33250000	236.768	194.286	50.000	1190.000	200.000
33500000	356.779	348.505	120.000	2420.000	220.000
33750000	245.990	105.164	110.000	970.000	230.000
34000000	232.566	69.922	100.000	1060.000	230.000
34250000	226.981	39.371	150.000	400.000	230.000
34500000	426.581	329.430	50.000	1490.000	230.000
34750000	256.857	214.464	50.000	1430.000	210.000
35000000	242.081	47.665	100.000	580.000	240.000
35250000	344.979	329.289	130.000	1690.000	220.000
35500000	231.121	104.558	70.000	1420.000	220.000
35750000	242.475	93.492	130.000	1580.000	230.000
36000000	264.278	167.853	90.000	1090.000	220.000
36250000	226.377	54.457	80.000	360.000	240.000
36500000	286.787	226.910	100.000	1350.000	220.000
36750000	237.618	157.973	0.000	1370.000	250.000
37000000	259.515	70.529	120.000	1190.000	270.000
37250000	249.065	71.045	160.000	850.000	240.000
37500000	224.956	86.318	130.000	860.000	230.000
37750000	216.685	43.815	90.000	330.000	220.000
38000000	185.957	77.750	40.000	310.000	210.000
38250000	212.867	51.813	0.000	350.000	210.000
38500000	227.708	49.613	110.000	380.000	250.000
38750000	481.261	540.201	110.000	2600.000	230.000
39000000	238.280	46.181	90.000	330.000	260.000
39250000	308.155	270.954	130.000	2580.000	250.000
39500000	246.542	94.239	100.000	1410.000	240.000
39750000	261.377	153.985	150.000	1160.000	230.000
40000000	284.401	201.004	70.000	880.000	210.000
40250000	293.944	165.913	140.000	910.000	250.000
40500000	293.178	259.300	80.000	1760.000	215.000
40750000	249.495	123.445	70.000	1100.000	230.000
41000000	318.832	240.213	110.000	1330.000	230.000
41250000	328.463	284.417	20.000	1610.000	240.000
41500000	265.768	180.015	90.000	1480.000	220.000
41750000	227.248	67.833	20.000	820.000	230.000
42000000	289.366	200.246	50.000	1800.000	240.000
42250000	241.699	104.280	110.000	1470.000	240.000
42500000	279.043	142.379	140.000	1080.000	240.000
42750000	265.393	174.693	60.000	1420.000	240.000
43000000	302.556	225.508	50.000	1640.000	230.000
43250000	288.022	188.763	90.000	1500.000	240.000
43500000	260.976	218.574	40.000	1350.000	200.000
43750000	243.072	100.091	70.000	1410.000	240.000
44000000	259.976	134.341	60.000	1600.000	240.000
44250000	468.261	390.837	90.000	2420.000	250.000
44500000	271.075	114.495	150.000	1150.000	260.000
44750000	228.625	128.492	80.000	1730.000	220.000
45000000	212.537	209.019	0.000	2070.000	190.000
45250000	424.670	337.164	160.000	1620.000	260.000
45500000	287.485	242.048	60.000	1910.000	230.000
45750000	169.847	83.015	10.000	350.000	200.000
46000000	525.464	482.123	90.000	2610.000	250.000
46250000	151.256	190.087	20.000	2010.000	110.000
46500000	417.591	533.356	50.000	3490.000	210.000
46750000	225.587	54.676	60.000	840.000	230.000
47000000	245.830	138.705	120.000	1500.000	215.000
47250000	209.266	44.934	40.000	330.000	210.000
47500000	261.728	107.572	100.000	840.000	250.000
47750000	298.469	226.207	110.000	1490.000	230.000
48000000	273.971	177.838	120.000	1910.000	230.000
48250000	269.676	320.800	50.000	1840.000	170.000
48500000	220.049	79.166	90.000	1540.000	210.000
48750000	148.283	109.248	20.000	840.000	130.000
49000000	167.282	108.753	40.000	890.000	150.000
49250000	182.736	71.932	60.000	1010.000	170.000
49500000	241.481	177.852	80.000	1100.000	190.000
49750000	218.342	158.714	20.000	1500.000	190.000
50000000	254.783	190.228	140.000	1690.000	210.000
