iteration	mean	std_dev	min	max	median
250000	90.845	12.531	70.000	160.000	90.000
500000	218.025	181.229	70.000	1830.000	190.000
750000	216.778	20.148	150.000	260.000	210.000
1000000	244.472	18.529	200.000	270.000	250.000
1250000	254.149	17.005	210.000	270.000	260.000
1500000	255.056	14.926	210.000	310.000	260.000
1750000	235.028	25.113	160.000	270.000	240.000
2000000	234.115	36.449	140.000	290.000	240.000
2250000	242.118	28.598	180.000	290.000	250.000
2500000	257.952	17.373	190.000	290.000	260.000
2750000	251.031	93.318	150.000	970.000	250.000
3000000	244.722	136.131	130.000	1330.000	230.000
3250000	211.523	45.035	0.000	270.000	210.000
3500000	278.689	182.809	140.000	810.000	230.000
3750000	235.670	35.967	140.000	280.000	240.000
4000000	179.046	122.475	120.000	1020.000	150.000
4250000	147.260	32.266	90.000	260.000	150.000
4500000	115.226	28.748	40.000	190.000	110.000
4750000	171.762	30.792	100.000	250.000	170.000
5000000	222.898	28.085	160.000	280.000	230.000
5250000	236.393	175.289	140.000	960.000	190.000
5500000	182.909	30.729	130.000	270.000	180.000
5750000	228.609	228.044	140.000	3160.000	210.000
6000000	269.361	203.895	130.000	800.000	200.000
6250000	186.368	26.378	100.000	260.000	190.000
6500000	263.824	183.378	150.000	1670.000	230.000
6750000	219.219	19.847	160.000	260.000	220.000
7000000	330.178	234.822	190.000	1730.000	240.000
7250000	230.633	25.554	170.000	290.000	230.000
7500000	278.419	221.755	120.000	1190.000	210.000
7750000	284.061	156.464	90.000	890.000	260.000
8000000	243.642	116.338	160.000	1350.000	240.000
8250000	432.011	354.083	170.000	2090.000	240.000
8500000	486.939	303.034	120.000	1630.000	260.000
8750000	298.411	221.153	160.000	1240.000	230.000
9000000	263.260	114.394	150.000	850.000	240.000
9250000	270.730	148.865	80.000	1250.000	245.000
9500000	273.389	203.656	140.000	1740.000	230.000
9750000	365.297	295.167	120.000	1660.000	230.000
10000000	334.271	242.021	140.000	1430.000	250.000
10250000	214.495	30.978	70.000	270.000	220.000
10500000	449.143	269.492	140.000	1180.000	260.000
10750000	248.312	12.421	200.000	290.000	250.000
11000000	219.207	31.793	110.000	270.000	220.000
11250000	239.886	20.114	170.000	280.000	240.000
11500000	325.378	298.822	50.000	1680.000	200.000
11750000	256.530	20.714	150.000	300.000	260.000
12000000	233.821	65.026	140.000	840.000	230.000
12250000	241.923	20.343	170.000	290.000	250.000
12500000	238.586	21.061	170.000	290.000	240.000
12750000	510.918	501.326	200.000	2250.000	250.000
13000000	244.260	20.602	130.000	290.000	250.000
