iteration	mean	std_dev	min	max	median
250000	25.645	69.854	0.000	500.000	0.000
500000	11.782	35.793	0.000	200.000	0.000
750000	79.123	135.184	0.000	800.000	0.000
1000000	70.690	135.962	0.000	700.000	0.000
1250000	80.556	153.306	0.000	800.000	0.000
1500000	132.182	182.136	0.000	750.000	0.000
1750000	101.429	160.350	0.000	950.000	0.000
2000000	189.648	232.949	0.000	850.000	100.000
2250000	95.418	157.953	0.000	950.000	0.000
2500000	231.095	234.554	0.000	950.000	200.000
2750000	139.676	207.805	0.000	1250.000	0.000
3000000	208.043	251.237	0.000	1050.000	100.000
3250000	85.445	136.500	0.000	600.000	0.000
3500000	223.460	241.209	0.000	1050.000	250.000
3750000	160.823	201.380	0.000	850.000	100.000
4000000	270.142	253.384	0.000	950.000	250.000
4250000	115.036	172.577	0.000	850.000	0.000
4500000	168.462	193.066	0.000	850.000	100.000
4750000	161.154	192.580	0.000	850.000	100.000
5000000	73.400	125.946	0.000	1050.000	0.000
5250000	156.548	181.830	0.000	950.000	100.000
5500000	77.568	124.493	0.000	600.000	0.000
5750000	198.785	201.459	0.000	850.000	250.000
6000000	141.989	155.664	0.000	600.000	100.000
6250000	116.275	157.803	0.000	750.000	0.000
6500000	159.740	203.865	0.000	1000.000	100.000
6750000	144.424	161.645	0.000	600.000	100.000
7000000	174.706	207.453	0.000	850.000	100.000
7250000	255.366	203.315	0.000	750.000	250.000
7500000	147.143	194.107	0.000	900.000	100.000
7750000	203.153	206.513	0.000	850.000	250.000
8000000	161.165	177.760	0.000	700.000	100.000
8250000	32.405	86.211	0.000	600.000	0.000
8500000	66.284	120.873	0.000	600.000	0.000
8750000	136.213	145.020	0.000	750.000	100.000
9000000	39.560	89.109	0.000	500.000	0.000
9250000	117.286	159.251	0.000	850.000	0.000
9500000	86.885	161.677	0.000	700.000	0.000
9750000	97.669	143.004	0.000	600.000	0.000
10000000	163.605	164.085	0.000	950.000	200.000
10250000	200.630	205.158	0.000	850.000	150.000
10500000	219.714	199.850	0.000	700.000	250.000
10750000	167.373	186.218	0.000	850.000	100.000
11000000	213.761	203.679	0.000	750.000	200.000
11250000	144.015	193.357	0.000	1050.000	100.000
11500000	118.924	164.458	0.000	750.000	0.000
11750000	196.781	179.653	0.000	700.000	250.000
12000000	248.707	179.194	0.000	750.000	250.000
12250000	205.419	204.253	0.000	850.000	200.000
12500000	198.315	165.370	0.000	700.000	250.000
12750000	215.366	204.452	0.000	750.000	250.000
13000000	153.404	190.434	0.000	750.000	100.000
13250000	231.250	218.913	0.000	800.000	250.000
13500000	184.454	195.994	0.000	750.000	100.000
13750000	159.237	158.669	0.000	600.000	250.000
14000000	326.190	237.042	0.000	950.000	250.000
14250000	208.838	209.883	0.000	750.000	200.000
14500000	221.717	137.742	0.000	550.000	250.000
14750000	122.637	172.910	0.000	800.000	0.000
15000000	226.201	223.585	0.000	1050.000	250.000
15250000	126.812	152.475	0.000	800.000	0.000
15500000	273.980	196.036	0.000	850.000	250.000
15750000	333.121	240.591	0.000	950.000	350.000
16000000	307.273	256.314	0.000	1100.000	250.000
16250000	253.608	237.767	0.000	850.000	250.000
16500000	209.034	185.199	0.000	950.000	250.000
16750000	149.251	159.292	0.000	600.000	100.000
17000000	91.909	147.900	0.000	950.000	0.000
17250000	321.858	241.609	0.000	950.000	350.000
17500000	170.077	190.261	0.000	850.000	100.000
17750000	215.860	191.566	0.000	800.000	250.000
18000000	98.517	145.220	0.000	700.000	0.000
18250000	130.968	167.647	0.000	850.000	0.000
18500000	125.573	181.003	0.000	800.000	0.000
18750000	197.611	187.523	0.000	750.000	250.000
19000000	225.500	198.871	0.000	1050.000	250.000
