iteration	mean	std_dev	min	max	median
250000	-17.222	2.572	-24.000	-12.000	-17.000
500000	-12.811	3.740	-19.000	-3.000	-13.000
750000	-16.229	2.919	-22.000	-9.000	-16.000
1000000	-18.571	3.588	-26.000	-12.000	-18.000
1250000	-14.343	2.828	-20.000	-7.000	-15.000
1500000	-15.000	3.888	-26.000	-8.000	-14.500
1750000	-9.316	3.237	-16.000	-1.000	-9.000
2000000	-15.111	2.633	-20.000	-9.000	-15.000
2250000	-14.583	3.013	-23.000	-9.000	-15.000
2500000	-19.229	2.542	-27.000	-14.000	-19.000
2750000	-9.158	3.082	-14.000	-3.000	-9.000
3000000	-14.611	3.853	-22.000	-8.000	-15.000
3250000	-17.086	3.281	-24.000	-11.000	-16.000
3500000	-21.029	2.823	-28.000	-16.000	-21.000
3750000	-12.622	3.182	-20.000	-6.000	-12.000
4000000	-6.103	2.590	-11.000	0.000	-6.000
4250000	-7.289	2.595	-15.000	-3.000	-7.000
4500000	-8.692	2.662	-13.000	-3.000	-9.000
4750000	-9.487	2.479	-14.000	-4.000	-10.000
5000000	-10.000	3.103	-15.000	-3.000	-9.500
5250000	-8.000	3.112	-15.000	-3.000	-8.000
5500000	-11.865	2.979	-18.000	-5.000	-12.000
5750000	-5.053	2.724	-11.000	0.000	-5.000
6000000	-16.912	3.625	-25.000	-7.000	-17.000
6250000	-11.026	2.345	-15.000	-6.000	-11.000
6500000	-16.944	2.828	-23.000	-9.000	-17.500
6750000	-19.229	3.062	-25.000	-11.000	-20.000
7000000	-17.559	3.380	-25.000	-11.000	-17.000
7250000	-6.923	2.850	-13.000	-1.000	-7.000
7500000	-9.641	2.224	-16.000	-4.000	-9.000
7750000	-10.105	3.370	-16.000	-2.000	-11.000
8000000	-12.946	2.875	-18.000	-6.000	-14.000
8250000	-13.472	3.270	-23.000	-7.000	-13.000
8500000	-21.912	3.193	-28.000	-16.000	-22.000
8750000	-14.000	2.809	-19.000	-8.000	-14.000
9000000	-8.158	2.621	-14.000	-2.000	-9.000
9250000	-12.649	2.868	-20.000	-7.000	-13.000
9500000	-16.143	3.587	-25.000	-8.000	-16.000
9750000	-21.000	2.532	-26.000	-15.000	-20.500
10000000	-5.605	2.861	-11.000	2.000	-5.000
10250000	-11.081	3.166	-20.000	-5.000	-11.000
10500000	-8.595	2.583	-14.000	-4.000	-8.000
10750000	-11.389	2.880	-18.000	-5.000	-11.000
11000000	-17.086	3.459	-25.000	-10.000	-17.000
11250000	-15.611	3.442	-23.000	-8.000	-16.000
11500000	-13.111	3.557	-19.000	-3.000	-14.000
11750000	-18.500	3.424	-25.000	-10.000	-19.000
12000000	-13.389	3.773	-23.000	-4.000	-13.500
12250000	-9.917	2.881	-18.000	-5.000	-9.500
12500000	-10.921	3.098	-20.000	-5.000	-11.000
12750000	-15.686	3.470	-23.000	-10.000	-15.000
13000000	-9.447	3.084	-16.000	-4.000	-9.000
13250000	-9.486	2.332	-16.000	-5.000	-9.000
13500000	-10.750	3.049	-17.000	-2.000	-11.000
13750000	-23.059	2.700	-29.000	-17.000	-23.000
14000000	-14.758	2.786	-20.000	-8.000	-15.000
14250000	-9.838	3.583	-17.000	-3.000	-10.000
14500000	-19.118	2.529	-23.000	-14.000	-19.500
14750000	-10.054	2.578	-18.000	-6.000	-11.000
15000000	-13.135	3.172	-19.000	-5.000	-13.000
15250000	-15.833	3.158	-21.000	-10.000	-16.500
15500000	-12.056	3.231	-18.000	-5.000	-12.000
15750000	-16.314	4.214	-25.000	-8.000	-16.000
16000000	-10.429	3.596	-16.000	-3.000	-11.000
16250000	-14.000	3.196	-20.000	-9.000	-14.000
16500000	-19.086	2.568	-24.000	-13.000	-19.000
16750000	-20.853	3.889	-26.000	-9.000	-21.500
17000000	-13.472	3.105	-18.000	-5.000	-14.000
17250000	-8.225	2.902	-16.000	-2.000	-8.000
17500000	-22.118	3.496	-28.000	-13.000	-22.500
17750000	-14.000	3.627	-21.000	-6.000	-14.000
18000000	-18.176	2.875	-23.000	-14.000	-18.500
18250000	-21.588	3.255	-27.000	-14.000	-22.000
18500000	-12.162	3.724	-19.000	-5.000	-12.000
18750000	-10.211	2.697	-16.000	-5.000	-11.000
19000000	-16.611	3.030	-21.000	-11.000	-17.000
19250000	-15.833	3.227	-26.000	-10.000	-15.500
19500000	-22.879	3.591	-29.000	-16.000	-23.000
19750000	-18.206	3.437	-24.000	-7.000	-19.000
20000000	-15.750	2.852	-24.000	-11.000	-15.000
20250000	-14.800	3.808	-24.000	-5.000	-15.000
20500000	-9.385	2.294	-14.000	-4.000	-10.000
20750000	-10.028	2.630	-17.000	-5.000	-10.000
21000000	-16.857	3.314	-25.000	-11.000	-17.000
21250000	-6.833	3.428	-14.000	0.000	-7.000
21500000	-17.600	3.922	-23.000	-7.000	-18.000
21750000	-15.714	3.394	-23.000	-9.000	-15.000
22000000	-6.973	2.756	-12.000	0.000	-7.000
22250000	-18.765	3.532	-27.000	-10.000	-19.000
22500000	-16.543	2.921	-22.000	-12.000	-17.000
22750000	-15.250	2.976	-22.000	-10.000	-15.000
23000000	-11.000	2.928	-18.000	-6.000	-10.000
23250000	-20.941	2.859	-25.000	-11.000	-21.000
23500000	-12.694	2.558	-18.000	-8.000	-13.000
23750000	-13.778	2.878	-19.000	-8.000	-14.000
24000000	-10.324	3.968	-19.000	-3.000	-10.500
24250000	-17.857	3.322	-26.000	-9.000	-18.000
24500000	-15.714	3.309	-23.000	-10.000	-15.000
24750000	-9.028	2.901	-15.000	-3.000	-9.000
25000000	-12.743	3.675	-19.000	-3.000	-13.000
25250000	-8.429	2.686	-14.000	-3.000	-8.000
25500000	-15.941	4.080	-26.000	-7.000	-16.000
25750000	-9.235	2.567	-18.000	-3.000	-9.000
26000000	-13.514	4.031	-23.000	-5.000	-13.000
26250000	-14.676	3.636	-22.000	-7.000	-14.500
26500000	-16.914	3.237	-24.000	-12.000	-17.000
26750000	-9.639	3.392	-16.000	-3.000	-9.000
27000000	-9.946	3.271	-19.000	-4.000	-9.000
27250000	-7.361	2.668	-13.000	-2.000	-8.000
27500000	-8.081	3.123	-17.000	-2.000	-8.000
27750000	-7.026	2.651	-12.000	-2.000	-7.000
28000000	-8.556	2.920	-16.000	-4.000	-8.500
28250000	-4.289	2.655	-11.000	1.000	-4.000
28500000	-13.171	4.286	-22.000	-6.000	-13.000
28750000	-11.914	3.316	-20.000	-6.000	-12.000
29000000	-12.778	3.392	-19.000	-4.000	-13.000
29250000	-9.459	3.301	-19.000	-2.000	-10.000
29500000	-15.343	4.763	-25.000	-5.000	-16.000
29750000	-14.941	4.165	-24.000	-6.000	-15.000
30000000	-14.412	3.079	-20.000	-5.000	-15.000
30250000	-9.600	3.743	-17.000	-3.000	-10.000
30500000	-13.765	2.860	-20.000	-9.000	-13.000
30750000	-12.600	3.474	-19.000	-5.000	-13.000
31000000	-10.417	2.842	-16.000	-5.000	-10.000
31250000	-13.794	4.620	-21.000	0.000	-15.000
31500000	-10.086	4.031	-19.000	-1.000	-11.000
31750000	-10.000	4.137	-18.000	-2.000	-9.500
32000000	-13.222	3.207	-19.000	-7.000	-13.000
32250000	-8.421	2.060	-12.000	-2.000	-9.000
32500000	-11.297	2.837	-19.000	-7.000	-11.000
32750000	-11.472	3.500	-19.000	-3.000	-11.000
33000000	-14.629	3.618	-22.000	-6.000	-15.000
33250000	-15.606	3.524	-22.000	-10.000	-16.000
33500000	-13.914	3.392	-20.000	-6.000	-14.000
33750000	-10.167	3.069	-16.000	-4.000	-11.000
34000000	-11.429	3.524	-19.000	-4.000	-12.000
34250000	-10.194	3.357	-19.000	-4.000	-10.000
34500000	-15.600	3.288	-23.000	-9.000	-15.000
34750000	-13.676	4.549	-24.000	-5.000	-13.000
35000000	-10.829	3.342	-17.000	-3.000	-11.000
35250000	-15.143	3.457	-22.000	-9.000	-15.000
35500000	-10.400	3.044	-17.000	-2.000	-11.000
35750000	-17.853	3.282	-23.000	-12.000	-18.000
36000000	-6.947	3.568	-17.000	0.000	-7.000
36250000	-9.892	3.501	-19.000	-1.000	-10.000
36500000	-14.457	3.307	-23.000	-9.000	-13.000
36750000	-13.824	3.722	-20.000	-1.000	-14.000
37000000	-12.412	2.901	-18.000	-6.000	-12.500
37250000	-12.194	3.090	-18.000	-5.000	-12.000
37500000	-12.559	4.628	-22.000	-3.000	-12.500
37750000	-12.722	3.739	-22.000	-5.000	-12.000
38000000	-11.914	4.157	-19.000	2.000	-13.000
38250000	-10.889	3.478	-19.000	-3.000	-11.000
38500000	-7.306	2.827	-14.000	-1.000	-7.000
