iteration	mean	std_dev	min	max	median
250000	47.534	46.521	0.000	250.000	50.000
500000	80.277	58.011	0.000	250.000	75.000
750000	73.214	68.154	0.000	400.000	50.000
1000000	85.967	64.501	0.000	350.000	100.000
1250000	159.894	106.375	0.000	650.000	150.000
1500000	194.886	89.730	0.000	450.000	200.000
1750000	250.205	125.572	0.000	650.000	250.000
2000000	317.155	133.815	0.000	800.000	300.000
2250000	257.229	108.235	0.000	600.000	250.000
2500000	335.597	394.690	0.000	6150.000	300.000
2750000	308.000	105.717	50.000	750.000	300.000
3000000	368.908	487.124	100.000	5500.000	300.000
3250000	361.297	142.152	50.000	750.000	350.000
3500000	374.896	119.744	100.000	700.000	350.000
3750000	360.307	117.974	100.000	700.000	350.000
4000000	393.882	135.691	100.000	700.000	400.000
4250000	410.352	383.573	100.000	5700.000	400.000
4500000	358.368	137.038	100.000	700.000	350.000
4750000	422.707	499.419	50.000	5650.000	350.000
5000000	372.511	138.841	0.000	750.000	350.000
5250000	416.008	117.579	100.000	800.000	400.000
5500000	372.984	113.840	100.000	700.000	350.000
5750000	370.259	123.173	100.000	750.000	350.000
6000000	422.292	153.748	100.000	800.000	400.000
6250000	444.828	145.312	100.000	750.000	450.000
6500000	416.738	124.382	150.000	750.000	400.000
6750000	377.331	143.521	50.000	700.000	375.000
7000000	346.970	134.806	0.000	700.000	350.000
7250000	422.785	129.458	50.000	750.000	400.000
7500000	411.181	119.384	100.000	800.000	400.000
7750000	452.838	404.886	100.000	6300.000	450.000
8000000	400.837	392.742	100.000	6150.000	400.000
8250000	401.974	136.716	100.000	900.000	400.000
8500000	420.675	128.176	50.000	750.000	400.000
8750000	396.849	111.900	150.000	700.000	400.000
9000000	378.033	153.851	50.000	750.000	350.000
9250000	456.696	136.276	150.000	900.000	450.000
9500000	407.237	150.300	0.000	800.000	400.000
9750000	435.590	131.126	150.000	750.000	450.000
10000000	464.035	134.671	200.000	750.000	450.000
10250000	472.870	132.302	150.000	800.000	450.000
10500000	458.333	153.885	100.000	750.000	450.000
10750000	455.000	116.968	200.000	750.000	450.000
11000000	468.386	138.289	150.000	800.000	450.000
11250000	424.123	122.695	100.000	700.000	400.000
11500000	472.052	120.790	200.000	850.000	450.000
11750000	480.995	123.306	200.000	800.000	500.000
12000000	449.107	112.198	150.000	750.000	450.000
12250000	447.788	415.458	150.000	6350.000	400.000
12500000	498.690	123.444	150.000	750.000	500.000
12750000	444.978	122.238	150.000	900.000	400.000
13000000	452.727	149.672	150.000	1100.000	400.000
13250000	439.121	130.363	150.000	800.000	450.000
13500000	428.667	124.054	200.000	850.000	400.000
13750000	380.388	122.795	50.000	700.000	350.000
14000000	483.111	132.427	150.000	800.000	500.000
14250000	486.207	129.835	200.000	850.000	500.000
14500000	430.942	121.952	150.000	800.000	450.000
14750000	487.778	121.269	150.000	750.000	500.000
15000000	501.598	366.004	150.000	5600.000	450.000
15250000	433.184	124.282	150.000	750.000	450.000
15500000	445.000	131.935	50.000	750.000	450.000
15750000	468.222	133.505	150.000	750.000	450.000
16000000	436.585	129.661	150.000	800.000	450.000
16250000	450.211	134.266	150.000	750.000	450.000
16500000	425.877	151.633	100.000	800.000	400.000
16750000	428.903	153.022	50.000	750.000	450.000
17000000	512.217	381.335	150.000	5850.000	500.000
17250000	466.746	133.617	150.000	750.000	450.000
17500000	481.250	118.421	150.000	800.000	500.000
17750000	451.496	123.724	150.000	800.000	450.000
18000000	466.892	120.232	150.000	750.000	500.000
18250000	482.080	130.518	150.000	1000.000	500.000
18500000	479.095	127.579	200.000	900.000	500.000
18750000	463.453	121.457	150.000	800.000	450.000
19000000	504.185	123.523	250.000	800.000	500.000
19250000	500.448	119.977	150.000	800.000	500.000
19500000	506.054	124.009	150.000	800.000	500.000
19750000	487.832	123.894	200.000	800.000	500.000
20000000	504.167	132.833	200.000	850.000	500.000
20250000	483.036	129.483	150.000	750.000	500.000
20500000	517.621	114.278	250.000	850.000	500.000
20750000	455.150	355.060	50.000	5350.000	450.000
21000000	400.426	156.286	0.000	750.000	400.000
21250000	358.846	184.544	0.000	750.000	350.000
21500000	514.027	438.124	150.000	6750.000	500.000
21750000	538.551	528.794	200.000	6050.000	500.000
22000000	460.987	120.455	100.000	750.000	450.000
22250000	462.500	138.712	150.000	800.000	450.000
22500000	425.103	120.303	150.000	800.000	400.000
22750000	513.229	390.116	150.000	6050.000	500.000
23000000	423.541	145.424	100.000	750.000	400.000
23250000	496.047	126.199	200.000	800.000	500.000
23500000	487.500	135.900	200.000	850.000	500.000
23750000	487.089	118.915	250.000	750.000	500.000
24000000	486.343	111.018	200.000	750.000	500.000
24250000	521.429	115.361	300.000	800.000	500.000
24500000	467.763	130.713	150.000	1000.000	450.000
24750000	523.973	128.686	150.000	800.000	550.000
25000000	497.489	134.828	150.000	850.000	500.000
25250000	502.740	121.696	250.000	1000.000	500.000
25500000	478.947	126.508	200.000	800.000	500.000
25750000	468.584	132.821	200.000	1350.000	450.000
26000000	483.111	394.015	100.000	5950.000	450.000
26250000	484.562	135.612	150.000	800.000	500.000
26500000	497.566	121.589	250.000	800.000	500.000
26750000	428.372	137.620	150.000	800.000	400.000
27000000	501.339	378.670	150.000	5850.000	450.000
27250000	446.444	123.597	100.000	850.000	450.000
27500000	448.536	127.200	150.000	800.000	450.000
27750000	499.548	137.198	150.000	800.000	500.000
28000000	473.465	122.778	150.000	800.000	450.000
28250000	478.795	136.960	100.000	1150.000	500.000
28500000	484.152	133.902	200.000	1000.000	500.000
28750000	540.315	674.342	200.000	6900.000	450.000
29000000	471.702	147.017	50.000	800.000	500.000
29250000	502.620	123.953	200.000	850.000	500.000
29500000	472.000	138.220	100.000	800.000	450.000
29750000	453.942	121.262	200.000	800.000	450.000
30000000	509.735	389.710	250.000	6100.000	500.000
30250000	305.322	365.186	0.000	6150.000	200.000
30500000	279.237	381.992	0.000	5950.000	150.000
30750000	258.021	243.997	0.000	850.000	150.000
31000000	336.655	197.965	0.000	750.000	350.000
31250000	365.116	169.427	50.000	800.000	350.000
31500000	377.823	197.393	0.000	750.000	400.000
31750000	372.574	203.054	0.000	900.000	400.000
32000000	392.149	175.222	0.000	950.000	400.000
32250000	391.631	227.330	0.000	1000.000	450.000
32500000	397.234	155.956	50.000	800.000	400.000
32750000	401.709	160.984	50.000	900.000	400.000
33000000	380.519	202.552	0.000	800.000	400.000
33250000	297.112	195.275	0.000	750.000	300.000
33500000	383.333	209.698	0.000	750.000	450.000
33750000	416.731	157.501	100.000	800.000	400.000
34000000	350.179	173.954	0.000	800.000	350.000
34250000	355.575	153.258	100.000	750.000	350.000
34500000	352.055	181.166	50.000	950.000	300.000
34750000	286.119	239.434	0.000	1050.000	150.000
35000000	294.792	208.619	0.000	800.000	200.000
35250000	296.308	237.847	0.000	900.000	200.000
35500000	328.746	209.199	0.000	800.000	350.000
35750000	305.518	406.751	0.000	6300.000	200.000
36000000	377.734	207.318	0.000	950.000	400.000
36250000	376.038	144.658	50.000	800.000	350.000
36500000	348.289	188.568	0.000	900.000	350.000
36750000	405.063	169.062	50.000	950.000	400.000
37000000	448.884	133.166	150.000	850.000	450.000
37250000	471.186	143.858	100.000	850.000	500.000
37500000	443.261	159.306	100.000	750.000	450.000
37750000	464.350	141.644	100.000	850.000	450.000
38000000	396.352	140.651	50.000	700.000	400.000
38250000	486.900	127.380	150.000	850.000	500.000
38500000	467.265	124.400	150.000	750.000	450.000
38750000	486.184	125.026	150.000	800.000	475.000
39000000	475.688	135.730	150.000	850.000	475.000
39250000	507.339	126.133	100.000	800.000	500.000
39500000	461.422	138.919	50.000	750.000	450.000
39750000	494.344	136.213	200.000	1100.000	500.000
40000000	443.697	134.579	50.000	750.000	450.000
40250000	350.350	162.530	50.000	700.000	350.000
40500000	337.226	178.500	0.000	900.000	350.000
40750000	379.831	155.928	100.000	750.000	350.000
41000000	427.007	132.565	150.000	800.000	400.000
41250000	482.000	141.572	150.000	850.000	500.000
41500000	481.797	141.757	150.000	800.000	500.000
41750000	483.256	121.994	200.000	800.000	500.000
42000000	479.493	134.082	200.000	1000.000	450.000
42250000	515.333	374.223	150.000	5800.000	500.000
42500000	507.534	122.289	250.000	900.000	500.000
42750000	496.930	130.751	200.000	900.000	500.000
43000000	483.962	121.711	150.000	800.000	500.000
43250000	378.401	180.328	50.000	850.000	350.000
43500000	492.222	143.122	50.000	900.000	500.000
43750000	472.124	144.583	50.000	850.000	450.000
44000000	467.257	139.653	150.000	900.000	450.000
44250000	457.082	143.393	100.000	800.000	450.000
44500000	495.833	129.414	150.000	850.000	500.000
44750000	394.346	409.455	50.000	6350.000	350.000
45000000	298.265	210.764	0.000	950.000	250.000
45250000	301.682	228.555	0.000	1350.000	200.000
45500000	337.879	196.659	0.000	1200.000	300.000
45750000	281.040	229.534	0.000	1000.000	200.000
46000000	317.010	206.952	0.000	800.000	300.000
46250000	292.415	243.198	0.000	800.000	150.000
46500000	306.034	227.558	0.000	800.000	300.000
46750000	251.014	235.644	0.000	900.000	100.000
47000000	288.966	416.594	0.000	5950.000	300.000
47250000	304.804	240.262	0.000	850.000	250.000
47500000	298.746	241.650	0.000	800.000	300.000
47750000	336.381	254.319	0.000	850.000	400.000
48000000	311.419	265.439	0.000	1050.000	250.000
48250000	292.105	239.332	0.000	800.000	250.000
48500000	371.605	220.913	0.000	900.000	400.000
48750000	372.289	227.337	0.000	800.000	450.000
49000000	338.225	241.367	0.000	850.000	350.000
49250000	348.062	233.768	0.000	950.000	400.000
49500000	333.333	250.729	0.000	1150.000	400.000
49750000	426.786	431.615	0.000	5950.000	400.000
50000000	388.023	195.479	0.000	850.000	350.000
