iteration	mean	std_dev	min	max	median
250000	1964.583	726.054	370.000	3420.000	1915.000
500000	2248.889	1033.667	170.000	4260.000	2010.000
750000	1349.322	476.601	230.000	2430.000	1350.000
1000000	2586.750	885.617	330.000	4430.000	2650.000
1250000	6162.593	1050.565	4200.000	8220.000	6400.000
1500000	4828.333	1067.318	1450.000	6160.000	5080.000
1750000	5162.069	1164.878	2840.000	7370.000	5190.000
2000000	4021.714	1321.969	990.000	7210.000	4020.000
2250000	5432.188	1211.682	2170.000	8190.000	5460.000
2500000	1887.500	754.950	470.000	3820.000	1810.000
2750000	2244.510	797.853	420.000	4030.000	2130.000
3000000	5309.688	1450.057	1900.000	7970.000	5285.000
3250000	3055.349	1040.870	980.000	5310.000	2810.000
3500000	3623.095	1318.877	1050.000	6720.000	3585.000
3750000	3957.222	1530.950	1220.000	7170.000	3840.000
4000000	3141.860	1303.359	690.000	6200.000	3060.000
4250000	2783.590	876.638	1080.000	4440.000	2810.000
4500000	1277.121	562.900	330.000	3170.000	1215.000
4750000	2916.304	1246.870	670.000	6580.000	2660.000
5000000	1574.789	594.107	380.000	3120.000	1490.000
5250000	3652.250	1339.620	1190.000	6600.000	3735.000
5500000	1603.421	887.003	420.000	4610.000	1355.000
5750000	4666.111	1767.351	1160.000	9640.000	4850.000
6000000	4920.857	1318.675	2440.000	8240.000	4890.000
6250000	2873.023	1159.416	430.000	5760.000	2670.000
6500000	4773.684	1593.710	1080.000	8420.000	4555.000
6750000	4252.564	1311.771	1550.000	7110.000	4070.000
7000000	2520.417	1040.358	610.000	5230.000	2225.000
7250000	5708.333	1705.272	2280.000	8780.000	5770.000
7500000	3026.383	1375.202	800.000	6950.000	2730.000
7750000	3471.000	1121.169	1370.000	5650.000	3420.000
8000000	3105.116	1179.431	1120.000	6040.000	3230.000
8250000	2291.667	770.932	890.000	4560.000	2190.000
8500000	1301.622	658.986	240.000	2810.000	1250.000
8750000	3760.000	1145.426	1610.000	6360.000	3750.000
9000000	2972.128	980.315	780.000	5610.000	3000.000
9250000	1303.099	529.152	440.000	3280.000	1210.000
9500000	3885.897	1179.493	1180.000	6210.000	3910.000
9750000	770.000	364.550	260.000	2050.000	680.000
10000000	4194.000	1304.927	1300.000	6620.000	4320.000
10250000	3788.461	1322.892	1210.000	7230.000	3720.000
10500000	3805.406	1177.266	1630.000	7130.000	3820.000
10750000	4776.216	1833.727	1600.000	9540.000	4800.000
11000000	1796.418	982.400	340.000	5340.000	1650.000
11250000	4028.000	1593.256	1260.000	7460.000	4000.000
11500000	4188.250	1303.888	790.000	7350.000	4165.000
11750000	2110.847	937.107	600.000	4860.000	1930.000
12000000	3479.318	1524.901	720.000	7510.000	3040.000
12250000	4186.410	1768.393	1530.000	8140.000	3640.000
12500000	3679.778	1367.184	1290.000	6770.000	3630.000
12750000	2458.846	971.418	900.000	5560.000	2295.000
13000000	1238.630	660.932	440.000	3090.000	1030.000
13250000	4375.128	1313.560	1860.000	7650.000	4060.000
13500000	4441.579	1374.770	1490.000	7760.000	4510.000
13750000	5269.697	1490.433	2600.000	8750.000	5340.000
14000000	4790.588	1019.645	2100.000	7220.000	4650.000
14250000	5087.576	1483.724	610.000	8410.000	5160.000
14500000	3655.122	1490.045	1230.000	7650.000	3490.000
14750000	6314.483	1394.036	2530.000	9490.000	6140.000
15000000	4908.889	1372.331	900.000	7320.000	4965.000
15250000	6377.500	1253.793	4220.000	9340.000	6195.000
15500000	4263.158	1360.627	1540.000	6820.000	4110.000
15750000	3107.447	1248.694	910.000	5770.000	3010.000
16000000	5452.121	1377.545	2930.000	8970.000	5240.000
16250000	3925.500	1659.724	1030.000	7450.000	3830.000
16500000	3728.572	1295.210	1070.000	6400.000	3475.000
16750000	4727.143	1342.855	1490.000	7510.000	4610.000
17000000	3645.526	1329.558	1310.000	7180.000	3720.000
17250000	5586.364	1209.750	3300.000	8330.000	5490.000
17500000	4581.714	1302.691	1060.000	7540.000	4640.000
17750000	5307.188	1039.769	3360.000	7900.000	5225.000
18000000	5113.226	1154.082	2480.000	7210.000	5240.000
18250000	3384.130	1302.035	900.000	6630.000	3165.000
18500000	5096.944	1730.406	1710.000	9230.000	4930.000
18750000	1995.088	941.542	420.000	4610.000	1950.000
19000000	1618.784	770.794	590.000	3910.000	1480.000
19250000	4804.444	1286.797	1760.000	6650.000	4985.000
19500000	4846.000	1021.451	2860.000	7020.000	4930.000
19750000	5397.576	1159.399	2950.000	7470.000	5520.000
20000000	4167.567	1295.294	1620.000	7860.000	3920.000
20250000	4062.162	986.526	2080.000	6280.000	4040.000
20500000	3845.000	1127.870	1020.000	6070.000	3855.000
20750000	2685.283	1266.759	380.000	6330.000	2470.000
21000000	3493.488	1161.552	1340.000	5860.000	3380.000
21250000	5796.452	1158.039	3560.000	7780.000	5920.000
21500000	3152.500	885.161	600.000	4780.000	3160.000
21750000	3957.073	1519.260	840.000	7020.000	3840.000
22000000	5608.438	1256.270	2910.000	7810.000	5840.000
22250000	2745.556	999.377	1020.000	4920.000	2660.000
22500000	1036.543	429.381	320.000	2230.000	1000.000
22750000	2003.636	815.599	360.000	4060.000	1940.000
23000000	2396.491	991.100	470.000	4590.000	2370.000
23250000	3724.146	1032.862	1650.000	5950.000	3720.000
23500000	1588.750	714.549	260.000	4130.000	1415.000
23750000	4463.889	1414.617	1360.000	8270.000	4635.000
24000000	4442.000	1042.839	2180.000	6380.000	4530.000
24250000	5097.879	1143.150	2700.000	8070.000	5210.000
24500000	2991.800	905.058	1000.000	4970.000	2995.000
24750000	3560.476	1142.024	1210.000	5780.000	3555.000
25000000	2483.585	1220.319	460.000	5910.000	2400.000
25250000	5593.333	1325.312	3420.000	8680.000	5550.000
25500000	5407.273	1115.161	1940.000	7230.000	5610.000
25750000	6282.667	1238.079	4240.000	9430.000	6310.000
26000000	5350.000	1498.716	1790.000	8140.000	5395.000
26250000	3305.000	1407.615	510.000	6810.000	3100.000
26500000	4109.500	1652.400	1320.000	8310.000	4070.000
26750000	5069.706	1245.544	2140.000	7480.000	5130.000
27000000	4332.703	1127.429	2250.000	6390.000	4360.000
27250000	3962.308	1207.161	1880.000	7090.000	4080.000
27500000	5350.588	1588.777	2970.000	9680.000	5155.000
27750000	5041.714	961.260	3200.000	7120.000	4960.000
28000000	1764.849	725.988	580.000	3730.000	1690.000
28250000	5270.606	1509.258	1020.000	7970.000	5920.000
28500000	4021.000	1546.648	1520.000	8580.000	4015.000
28750000	5500.909	1346.257	2790.000	8540.000	5740.000
29000000	3271.250	1337.586	550.000	7270.000	2910.000
29250000	5481.291	1560.859	2690.000	10180.000	5540.000
29500000	4444.167	1070.427	1370.000	6270.000	4395.000
29750000	3764.146	1009.073	2050.000	5890.000	3710.000
30000000	5865.807	1380.376	3730.000	9780.000	5550.000
30250000	4173.590	1260.514	1130.000	7690.000	3950.000
30500000	3596.047	1008.568	1500.000	6630.000	3560.000
30750000	5077.353	1669.317	1060.000	7880.000	4885.000
31000000	5096.061	1425.737	2000.000	8010.000	5150.000
31250000	3879.750	1160.023	1170.000	5850.000	3830.000
31500000	4599.706	1020.909	2650.000	6460.000	4680.000
31750000	4051.707	961.964	1370.000	5910.000	4190.000
32000000	3901.860	1499.227	800.000	5960.000	4200.000
32250000	5523.333	1368.148	2650.000	8570.000	5500.000
32500000	5047.576	1180.526	2890.000	8630.000	4820.000
32750000	4725.429	1239.102	1500.000	7380.000	4630.000
33000000	5396.562	1042.124	2790.000	7510.000	5355.000
33250000	5105.758	1482.040	1620.000	7560.000	5110.000
33500000	4665.294	1195.768	2220.000	7340.000	4780.000
33750000	4862.286	1448.564	1220.000	8940.000	4970.000
34000000	3273.658	1330.450	830.000	6460.000	3310.000
34250000	5522.812	1445.435	2290.000	9030.000	5645.000
34500000	5024.706	1210.282	2510.000	7590.000	5210.000
34750000	5799.677	1078.785	3520.000	7860.000	5990.000
35000000	4513.611	1166.427	2350.000	7150.000	4540.000
35250000	5219.143	1508.137	2360.000	8060.000	5400.000
35500000	5243.429	1492.715	1710.000	7730.000	5490.000
35750000	5985.938	1125.347	2420.000	8740.000	6000.000
36000000	4712.286	1646.265	960.000	8610.000	4830.000
36250000	3697.907	1160.540	1310.000	6300.000	3720.000
36500000	5125.455	1897.929	2070.000	11980.000	5230.000
36750000	1800.645	769.468	480.000	4210.000	1740.000
37000000	4555.556	1291.424	2120.000	7530.000	4480.000
37250000	4854.054	1342.109	1550.000	7390.000	5210.000
37500000	5220.882	1718.771	1010.000	9210.000	5420.000
37750000	5160.303	1521.436	2510.000	8870.000	5070.000
38000000	5082.059	1021.046	1790.000	6680.000	5185.000
38250000	3599.286	1152.859	1300.000	5720.000	3650.000
38500000	3832.821	1037.247	1790.000	6170.000	3830.000
38750000	4629.143	1357.208	2270.000	7430.000	4750.000
39000000	3140.000	1053.429	1010.000	5390.000	3090.000
39250000	4391.539	1428.563	1710.000	7000.000	4440.000
39500000	5554.375	1494.005	3090.000	8430.000	5420.000
39750000	5801.936	1295.422	2670.000	8440.000	5610.000
