iteration	mean	std_dev	min	max	median
250000	1498.448	1039.835	0.000	5100.000	1300.000
500000	266.085	309.386	0.000	4000.000	200.000
750000	1816.618	1124.178	0.000	6800.000	1600.000
1000000	630.579	628.864	0.000	3900.000	400.000
1250000	919.652	951.844	0.000	7800.000	600.000
1500000	2480.634	2122.601	0.000	8900.000	1500.000
1750000	2888.161	1482.023	400.000	8200.000	2800.000
2000000	4263.659	3338.476	200.000	14300.000	3300.000
2250000	7956.803	2067.205	0.000	13100.000	8000.000
2500000	10108.148	3066.559	3200.000	19200.000	9900.000
2750000	9240.411	2798.069	2600.000	17200.000	9300.000
3000000	3811.916	4522.217	0.000	15700.000	0.000
3250000	8199.725	4322.722	600.000	19700.000	7800.000
3500000	7731.175	4197.371	300.000	19700.000	7700.000
3750000	4295.238	5531.385	0.000	22000.000	900.000
4000000	14889.216	3793.447	4100.000	26300.000	14500.000
4250000	14900.000	4560.245	100.000	23500.000	15800.000
4500000	17267.114	4911.669	2400.000	27500.000	17700.000
4750000	16620.505	5125.293	1500.000	28100.000	17700.000
5000000	11400.306	8632.906	0.000	26500.000	15200.000
5250000	17459.327	5695.250	600.000	32500.000	17400.000
5500000	19640.893	3578.930	5500.000	30700.000	19700.000
5750000	17404.969	6640.084	700.000	34100.000	18300.000
6000000	17596.296	6049.017	200.000	36400.000	18000.000
6250000	22161.356	4642.742	900.000	34200.000	22300.000
6500000	19931.183	6574.012	0.000	35900.000	20400.000
6750000	20449.051	4942.911	2500.000	35200.000	20150.000
7000000	23237.143	6541.407	1200.000	43900.000	23400.000
7250000	21504.276	5527.314	4100.000	35800.000	21600.000
7500000	15537.560	11084.040	200.000	48300.000	14900.000
7750000	12668.898	9951.747	0.000	42800.000	11700.000
8000000	25255.482	6165.164	4000.000	45500.000	25000.000
8250000	24641.667	6637.969	600.000	47000.000	24300.000
8500000	26319.205	6141.777	8500.000	44300.000	25900.000
8750000	25657.333	5937.562	9300.000	48100.000	25250.000
9000000	24299.390	7371.617	0.000	45800.000	24800.000
9250000	24634.076	5677.530	2800.000	44100.000	24100.000
9500000	25029.721	7326.777	3600.000	48600.000	24800.000
9750000	14257.322	11078.252	0.000	49600.000	10500.000
10000000	26849.697	7435.705	2200.000	47200.000	27250.000
10250000	19729.923	10756.103	0.000	47200.000	19900.000
10500000	23546.505	9762.109	3100.000	49300.000	24400.000
10750000	28615.357	7551.883	3800.000	49600.000	28700.000
11000000	27090.909	6593.272	4200.000	54500.000	26500.000
11250000	29520.667	7943.239	3700.000	54900.000	29600.000
11500000	26904.046	8634.558	1200.000	47500.000	27200.000
11750000	27099.401	8241.595	3300.000	49700.000	26400.000
12000000	28604.908	7518.095	2300.000	48100.000	28800.000
12250000	26762.696	8416.230	500.000	46500.000	26800.000
12500000	26123.099	7317.349	4600.000	53400.000	26000.000
12750000	27043.228	8947.766	2600.000	55700.000	27300.000
13000000	27557.827	6389.349	9500.000	49800.000	26700.000
13250000	26504.611	8972.284	2100.000	54000.000	27100.000
13500000	25468.320	10176.052	3000.000	53700.000	26800.000
13750000	29335.870	7954.457	3200.000	51900.000	29150.000
