iteration	mean	std_dev	min	max	median
250000	-22.308	5.862	-24.000	-2.000	-24.000
500000	-22.250	5.517	-24.000	-1.000	-24.000
750000	-22.545	4.293	-24.000	-9.000	-24.000
1000000	-23.828	0.378	-24.000	-23.000	-24.000
1250000	-18.250	9.391	-24.000	-2.000	-23.500
1500000	-23.286	1.790	-24.000	-17.000	-24.000
1750000	-20.250	7.310	-24.000	-1.000	-23.000
2000000	-22.500	2.179	-24.000	-17.000	-23.000
2250000	-22.143	6.151	-24.000	0.000	-24.000
2500000	-23.400	0.611	-24.000	-22.000	-23.000
2750000	-21.250	6.166	-24.000	-1.000	-23.000
3000000	-21.923	6.354	-24.000	0.000	-24.000
3250000	-21.571	4.777	-24.000	-10.000	-24.000
3500000	-22.000	2.000	-23.000	-18.000	-23.000
3750000	-18.333	7.318	-24.000	-8.000	-23.000
4000000	-21.727	6.254	-24.000	-2.000	-24.000
4250000	-22.571	1.990	-24.000	-18.000	-23.000
4500000	-18.667	6.848	-24.000	-9.000	-23.000
4750000	-18.250	9.391	-24.000	-2.000	-23.500
5000000	-23.684	0.465	-24.000	-23.000	-24.000
5250000	-16.000	7.000	-23.000	-9.000	-16.000
5500000	-18.000	8.485	-24.000	-6.000	-24.000
5750000	-20.833	6.644	-24.000	-6.000	-24.000
6000000	-9.000	0.000	-9.000	-9.000	-9.000
6250000	-19.333	6.600	-24.000	-10.000	-24.000
6500000	-8.000	0.000	-8.000	-8.000	-8.000
6750000	-17.667	8.260	-24.000	-6.000	-23.000
7000000	-8.000	0.000	-8.000	-8.000	-8.000
7250000	-1.000	0.000	-1.000	-1.000	-1.000
7500000	-13.000	10.000	-23.000	-3.000	-13.000
7750000	-8.000	0.000	-8.000	-8.000	-8.000
8000000	-8.000	0.000	-8.000	-8.000	-8.000
8250000	0.000	0.000	0.000	0.000	0.000
8500000	-2.000	0.000	-2.000	-2.000	-2.000
8750000	-1.000	0.000	-1.000	-1.000	-1.000
9000000	-1.000	0.000	-1.000	-1.000	-1.000
9250000	-1.000	0.000	-1.000	-1.000	-1.000
9500000	-1.000	0.000	-1.000	-1.000	-1.000
9750000	0.000	0.000	0.000	0.000	0.000
10000000	-12.500	10.500	-23.000	-2.000	-12.500
10250000	-1.000	0.000	-1.000	-1.000	-1.000
10500000	0.000	0.000	0.000	0.000	0.000
10750000	-15.500	8.500	-24.000	-7.000	-15.500
11000000	-23.500	0.500	-24.000	-23.000	-23.500
11250000	-8.000	0.000	-8.000	-8.000	-8.000
11500000	-22.909	0.949	-24.000	-21.000	-23.000
11750000	-2.000	0.000	-2.000	-2.000	-2.000
12000000	-15.000	7.000	-22.000	-8.000	-15.000
12250000	-22.647	1.412	-24.000	-19.000	-23.000
12500000	-8.000	0.000	-8.000	-8.000	-8.000
12750000	0.000	0.000	0.000	0.000	0.000
13000000	-16.000	8.000	-24.000	-8.000	-16.000
13250000	-15.500	7.500	-23.000	-8.000	-15.500
13500000	-23.350	0.853	-24.000	-22.000	-24.000
13750000	-23.387	0.704	-24.000	-22.000	-24.000
14000000	-9.000	0.000	-9.000	-9.000	-9.000
14250000	-23.083	0.954	-24.000	-21.000	-23.000
14500000	-9.000	0.000	-9.000	-9.000	-9.000
14750000	-9.000	0.000	-9.000	-9.000	-9.000
15000000	0.000	0.000	0.000	0.000	0.000
15250000	-20.429	5.525	-24.000	-7.000	-22.000
15500000	-24.000	0.000	-24.000	-24.000	-24.000
15750000	-22.500	1.118	-24.000	-20.000	-23.000
16000000	-18.000	0.000	-18.000	-18.000	-18.000
16250000	0.000	0.000	0.000	0.000	0.000
16500000	0.000	0.000	0.000	0.000	0.000
16750000	-16.000	8.000	-24.000	-8.000	-16.000
17000000	-22.321	1.338	-24.000	-20.000	-23.000
17250000	0.000	0.000	0.000	0.000	0.000
17500000	-23.000	0.000	-23.000	-23.000	-23.000
17750000	-11.000	0.000	-11.000	-11.000	-11.000
18000000	-20.200	5.115	-23.000	-10.000	-23.000
18250000	-22.769	1.527	-24.000	-20.000	-24.000
18500000	-21.143	2.799	-24.000	-15.000	-22.000
18750000	0.000	0.000	0.000	0.000	0.000
19000000	-22.000	1.382	-24.000	-20.000	-22.000
19250000	-23.500	0.500	-24.000	-23.000	-23.500
19500000	-3.000	0.000	-3.000	-3.000	-3.000
19750000	0.000	0.000	0.000	0.000	0.000
