iteration	mean	std_dev	min	max	median
250000	419.170	410.696	60.000	2140.000	230.000
500000	1637.308	1116.654	30.000	6480.000	1460.000
750000	1729.128	782.329	170.000	4800.000	1720.000
1000000	2621.045	991.799	670.000	5550.000	2520.000
1250000	2369.905	946.199	780.000	5260.000	2280.000
1500000	1340.172	610.124	410.000	3080.000	1190.000
1750000	855.622	824.654	30.000	4150.000	660.000
2000000	1695.705	1058.588	130.000	4860.000	1440.000
2250000	4178.750	1650.078	1480.000	10140.000	3990.000
2500000	1662.159	1299.449	70.000	6990.000	1340.000
2750000	4232.162	1870.010	820.000	9370.000	3790.000
3000000	5951.486	2768.398	1540.000	15150.000	5530.000
3250000	1224.723	757.897	50.000	3180.000	1200.000
3500000	2604.348	1305.868	370.000	7290.000	2470.000
3750000	6014.353	2346.559	1530.000	14580.000	5550.000
4000000	5929.333	2195.859	1300.000	12690.000	6020.000
4250000	6897.576	3094.383	1760.000	20930.000	6310.000
4500000	4134.605	1723.413	560.000	11790.000	3745.000
4750000	6906.081	2908.477	1320.000	17550.000	6435.000
5000000	4326.182	1938.955	1230.000	11190.000	3990.000
5250000	7301.111	2897.156	2890.000	15030.000	6770.000
5500000	3236.726	1783.486	280.000	10490.000	2820.000
5750000	6322.564	2352.493	2030.000	14810.000	6020.000
6000000	7115.224	2985.267	2420.000	19760.000	6660.000
6250000	6787.733	3123.472	1560.000	17810.000	6580.000
6500000	8609.278	4215.915	2710.000	27160.000	7660.000
6750000	10867.637	5362.186	2770.000	27670.000	8990.000
7000000	2808.556	1562.081	590.000	7330.000	2455.000
7250000	4477.326	2158.753	560.000	9520.000	4180.000
7500000	842.235	757.733	40.000	3620.000	680.000
7750000	4464.375	2758.068	600.000	14510.000	4275.000
8000000	6270.119	2896.600	1500.000	18510.000	6050.000
8250000	3214.307	2003.265	90.000	13940.000	2820.000
8500000	6346.522	2980.500	1470.000	16780.000	5925.000
8750000	3532.596	1999.700	580.000	9620.000	3185.000
9000000	4328.034	2257.496	530.000	11020.000	3880.000
9250000	1922.994	1333.844	190.000	7870.000	1550.000
9500000	2111.412	1289.338	60.000	6660.000	1815.000
9750000	3204.112	1558.588	640.000	8060.000	2980.000
10000000	4349.592	3177.381	470.000	15510.000	3390.000
10250000	8191.613	4738.918	1500.000	22870.000	7160.000
