iteration	mean	std_dev	min	max	median
250000	546.667	380.993	300.000	1300.000	400.000
500000	433.000	364.707	0.000	2100.000	400.000
750000	135.429	112.640	0.000	600.000	100.000
1000000	183.854	171.694	0.000	1400.000	100.000
1250000	1148.000	763.913	0.000	3700.000	1300.000
1500000	96.330	123.353	0.000	600.000	100.000
1750000	242.361	131.011	0.000	600.000	200.000
2000000	184.444	241.942	0.000	1700.000	100.000
2250000	369.892	294.313	0.000	1800.000	300.000
2500000	957.576	524.374	200.000	2000.000	800.000
2750000	536.585	481.743	100.000	2400.000	400.000
3000000	317.778	216.322	0.000	1500.000	300.000
3250000	1018.605	633.652	300.000	3500.000	800.000
3500000	688.462	432.933	100.000	1700.000	500.000
3750000	856.410	483.998	300.000	1800.000	600.000
4000000	1281.053	630.671	100.000	2800.000	1400.000
4250000	1397.674	638.125	400.000	3900.000	1500.000
4500000	1006.818	599.772	100.000	2600.000	1050.000
4750000	1242.857	449.943	400.000	2600.000	1300.000
5000000	1100.000	567.079	400.000	2800.000	1300.000
5250000	1216.949	408.865	100.000	1900.000	1300.000
5500000	1840.000	816.333	600.000	4300.000	1700.000
5750000	461.345	458.736	0.000	2600.000	400.000
6000000	1199.000	456.836	100.000	2700.000	1300.000
6250000	1077.381	457.829	100.000	2400.000	1050.000
6500000	1431.915	458.307	600.000	3300.000	1500.000
6750000	1085.294	452.314	100.000	2000.000	1300.000
7000000	1305.000	365.342	600.000	1800.000	1400.000
7250000	1570.370	743.273	200.000	3700.000	1500.000
7500000	946.988	648.137	200.000	3300.000	800.000
7750000	1110.000	595.735	100.000	2000.000	1300.000
8000000	1602.128	742.763	600.000	5500.000	1500.000
8250000	1416.667	192.209	800.000	1700.000	1450.000
8500000	1561.364	747.333	400.000	5100.000	1500.000
8750000	990.741	509.999	300.000	2500.000	800.000
9000000	1311.250	301.659	500.000	1800.000	1350.000
9250000	1695.082	642.339	600.000	4900.000	1600.000
9500000	1341.667	261.805	400.000	1700.000	1400.000
9750000	1576.271	570.263	600.000	3100.000	1500.000
10000000	1252.439	432.865	400.000	2500.000	1400.000
