iteration	mean	std_dev	min	max	median
250000	148.889	73.033	80.000	420.000	120.000
500000	660.317	115.277	380.000	820.000	680.000
750000	569.412	104.289	320.000	760.000	580.000
1000000	355.135	96.356	140.000	620.000	360.000
1250000	553.623	171.557	160.000	840.000	580.000
1500000	651.290	102.838	420.000	820.000	650.000
1750000	769.836	97.753	440.000	920.000	780.000
2000000	750.164	136.784	360.000	1100.000	760.000
2250000	1077.200	345.578	540.000	1880.000	1030.000
2500000	1702.917	444.953	880.000	2900.000	1620.000
2750000	1861.778	487.421	1080.000	3120.000	1800.000
3000000	2848.837	684.395	980.000	4140.000	3020.000
3250000	2951.765	975.308	1840.000	4420.000	2860.000
3500000	4207.778	578.221	2060.000	4740.000	4460.000
3750000	4500.556	532.572	2160.000	4960.000	4640.000
4000000	4464.375	387.193	3660.000	4880.000	4620.000
4250000	4423.448	572.763	2060.000	4860.000	4660.000
4500000	4090.286	929.447	1760.000	5000.000	4380.000
4750000	4478.235	597.846	2880.000	5100.000	4760.000
5000000	4453.000	628.594	3080.000	5400.000	4490.000
5250000	4134.595	841.410	1700.000	4880.000	4400.000
5500000	4373.143	796.176	2200.000	5180.000	4760.000
5750000	4371.892	689.025	2380.000	5080.000	4740.000
6000000	5003.030	369.114	4000.000	5780.000	5040.000
6250000	4455.000	951.609	1980.000	5840.000	4830.000
6500000	5248.148	975.329	2960.000	6660.000	5340.000
6750000	6751.250	2338.343	3180.000	13400.000	6530.000
7000000	5184.348	1461.256	1860.000	8320.000	5480.000
7250000	5662.400	784.313	4100.000	7280.000	5560.000
7500000	8398.462	3216.280	4960.000	16480.000	7840.000
7750000	7390.000	2742.699	3980.000	15800.000	7050.000
8000000	10171.111	4427.049	4640.000	18040.000	8560.000
8250000	11630.000	10401.900	4300.000	41380.000	8500.000
8500000	12188.889	5787.973	3000.000	18680.000	15860.000
8750000	10105.454	4236.938	5460.000	18980.000	9380.000
9000000	8038.182	4056.594	4640.000	18840.000	6380.000
9250000	11420.000	2520.000	8900.000	13940.000	11420.000
9500000	9316.363	5774.872	3800.000	23780.000	6360.000
9750000	15957.143	9183.311	5560.000	34620.000	13080.000
10000000	10087.500	6447.208	5100.000	26440.000	8140.000
10250000	53030.000	35350.000	17680.000	88380.000	53030.000
10500000	39113.332	38001.215	7840.000	92600.000	16900.000
10750000	17933.334	16833.453	6140.000	54420.000	11850.000
11000000	12982.223	8507.166	4060.000	26540.000	9760.000
11250000	27050.000	18942.971	7380.000	56740.000	22040.000
11500000	38066.668	22496.295	15860.000	68900.000	29440.000
11750000	94580.000	0.000	94580.000	94580.000	94580.000
12000000	52570.000	44030.000	8540.000	96600.000	52570.000
12250000	10430.000	3988.312	5180.000	17820.000	9160.000
12500000	15147.500	12718.239	4960.000	44580.000	8910.000
12750000	55720.000	42800.000	12920.000	98520.000	55720.000
13000000	11455.000	3786.908	6520.000	15680.000	11810.000
13250000	11796.000	3263.051	7780.000	18520.000	11180.000
13500000	29280.000	14010.660	15800.000	48840.000	26240.000
13750000	21190.000	15715.244	4380.000	46960.000	16710.000
14000000	13831.111	8707.637	6680.000	37240.000	11840.000
14250000	56010.000	42850.000	13160.000	98860.000	56010.000
14500000	18620.000	18394.586	6240.000	55100.000	11980.000
14750000	26090.000	8850.000	17240.000	34940.000	26090.000
15000000	12596.000	7072.057	4740.000	24920.000	9300.000
15250000	41460.000	32792.441	11780.000	87160.000	25440.000
15500000	9249.230	3906.631	4880.000	17360.000	8540.000
15750000	17171.428	9564.953	6060.000	35440.000	14360.000
16000000	55750.000	38850.000	16900.000	94600.000	55750.000
16250000	14977.777	9522.084	6620.000	35500.000	9320.000
16500000	14007.500	7421.381	5760.000	28440.000	11530.000
16750000	62500.000	38420.000	24080.000	100920.000	62500.000
17000000	18182.857	13736.023	6980.000	47720.000	12960.000
17250000	17742.857	9446.840	6700.000	34960.000	14680.000
17500000	14871.111	8315.251	7580.000	33960.000	13800.000
17750000	11918.000	5174.317	5540.000	23640.000	11010.000
18000000	40866.668	40693.945	7880.000	98200.000	16520.000
18250000	15675.000	9837.615	2200.000	28640.000	12140.000
18500000	13196.000	7083.597	3720.000	27260.000	12170.000
18750000	14162.223	7943.207	4160.000	24900.000	16460.000
19000000	23904.000	3705.075	18020.000	28180.000	24880.000
19250000	12424.000	7258.153	3420.000	25000.000	11400.000
19500000	17065.715	9392.920	7360.000	36060.000	17020.000
19750000	29225.000	18749.008	7920.000	55940.000	26520.000
20000000	15414.286	5427.904	8780.000	26160.000	13600.000
20250000	17694.285	7320.349	5200.000	27720.000	17760.000
20500000	14806.667	3650.193	8640.000	18880.000	15660.000
20750000	13967.500	7125.061	7360.000	28340.000	11310.000
21000000	21080.000	12427.330	9560.000	44800.000	16570.000
21250000	18093.334	7695.303	8880.000	34160.000	16280.000
21500000	11616.363	5234.277	3800.000	22060.000	11160.000
21750000	43800.000	4200.000	39600.000	48000.000	43800.000
22000000	17160.000	7533.749	9320.000	32240.000	14620.000
22250000	21826.666	16342.484	6140.000	52640.000	14540.000
22500000	15650.000	883.912	14940.000	17140.000	15260.000
22750000	16282.500	8339.175	6100.000	31200.000	15350.000
23000000	20160.000	11275.702	8640.000	42120.000	15240.000
23250000	18517.143	5709.815	9760.000	27180.000	16660.000
23500000	29730.000	18424.188	6400.000	53200.000	29660.000
23750000	32155.000	10886.913	15640.000	45160.000	33910.000
24000000	20320.000	7289.371	8120.000	28660.000	21850.000
24250000	12669.091	5035.896	7660.000	23820.000	11940.000
24500000	21920.000	8316.394	6480.000	33120.000	23620.000
24750000	7535.238	3159.469	1720.000	15040.000	6360.000
25000000	12658.000	6408.072	5940.000	23100.000	10580.000
25250000	15205.000	7483.140	4860.000	24540.000	12800.000
25500000	18445.715	17628.533	5440.000	58700.000	11680.000
25750000	8795.294	6049.029	4120.000	26840.000	6780.000
26000000	18086.666	15014.698	4520.000	46800.000	11870.000
26250000	17573.334	14236.051	5140.000	44320.000	11460.000
26500000	6593.684	3515.488	2280.000	15400.000	5880.000
26750000	11180.000	7060.156	4220.000	27940.000	8110.000
27000000	14540.000	4880.000	9660.000	19420.000	14540.000
27250000	21092.000	13574.350	8900.000	47600.000	16520.000
27500000	18825.715	11215.172	5440.000	39720.000	13280.000
27750000	21480.000	9883.690	9500.000	35040.000	18300.000
28000000	25896.000	20506.771	7560.000	64400.000	15800.000
28250000	12585.000	8241.995	5460.000	25780.000	9550.000
28500000	14848.889	6520.382	6140.000	27520.000	14500.000
28750000	25524.000	11965.560	9140.000	38600.000	27580.000
29000000	10020.000	6700.115	640.000	29360.000	8300.000
29250000	15747.500	15385.591	4360.000	54120.000	10440.000
29500000	14797.500	5659.297	7480.000	23900.000	15380.000
29750000	13862.000	7131.801	7340.000	32640.000	11450.000
30000000	11428.333	6479.719	3980.000	28180.000	9070.000
30250000	9253.333	3224.065	4580.000	17140.000	9080.000
30500000	20980.000	9689.665	7040.000	35040.000	18130.000
30750000	18134.285	10720.687	6120.000	34620.000	12500.000
31000000	17400.000	7745.421	8360.000	28940.000	16040.000
31250000	23524.000	11499.436	7240.000	36740.000	25540.000
31500000	19253.334	3850.085	14920.000	25580.000	18790.000
31750000	14295.556	8128.812	5240.000	33880.000	14920.000
32000000	14086.000	6709.957	5600.000	26760.000	15730.000
32250000	23076.000	6627.306	15380.000	33400.000	24260.000
32500000	12510.909	10625.210	3080.000	41740.000	8600.000
32750000	10947.692	5694.967	3820.000	22080.000	9520.000
33000000	9956.363	6117.491	2120.000	22300.000	6240.000
33250000	24636.000	14549.053	8920.000	48000.000	18760.000
33500000	11378.333	8254.051	4420.000	27720.000	7040.000
33750000	21170.000	11591.841	8100.000	43120.000	18330.000
34000000	13090.000	5860.503	4980.000	24180.000	13490.000
34250000	13557.777	9017.605	5320.000	36600.000	9920.000
34500000	30450.000	19169.191	9080.000	59520.000	26600.000
34750000	14942.223	6953.736	7460.000	26740.000	15660.000
35000000	12345.454	4597.312	6860.000	19880.000	11600.000
35250000	20952.000	12622.542	8620.000	43480.000	18580.000
35500000	20466.666	20647.637	6380.000	65600.000	12370.000
35750000	21486.666	7453.157	9900.000	29940.000	22420.000
36000000	18502.857	6449.660	6060.000	26660.000	17320.000
36250000	11243.333	7416.072	5120.000	26040.000	7090.000
36500000	16936.666	7154.872	6380.000	24680.000	18860.000
36750000	13128.000	5778.208	5800.000	25280.000	12090.000
37000000	13284.000	7521.722	6780.000	29260.000	11000.000
37250000	27980.000	12829.169	5800.000	36640.000	34740.000
37500000	19211.428	12163.556	6940.000	37940.000	14240.000
37750000	21170.000	11940.657	5560.000	39680.000	22890.000
