iteration	mean	std_dev	min	max	median
250000	375.490	175.962	100.000	850.000	350.000
500000	628.462	220.018	250.000	1250.000	650.000
750000	667.840	140.010	300.000	1100.000	650.000
1000000	1047.649	394.042	400.000	2400.000	1050.000
1250000	1294.758	355.562	400.000	2300.000	1300.000
1500000	2159.936	488.995	1050.000	3000.000	2300.000
1750000	2607.851	260.880	1550.000	3500.000	2600.000
2000000	2586.567	377.648	1050.000	3100.000	2600.000
2250000	2363.793	536.776	750.000	3100.000	2600.000
2500000	2687.607	425.768	600.000	3400.000	2700.000
2750000	2548.333	742.326	600.000	3600.000	2800.000
3000000	2556.463	685.944	450.000	3600.000	2700.000
3250000	2837.050	198.949	1650.000	3600.000	2800.000
3500000	3217.939	553.754	1850.000	5100.000	3100.000
3750000	3312.403	694.581	2000.000	5400.000	3100.000
4000000	3430.303	348.577	2500.000	4700.000	3500.000
4250000	3566.166	496.588	2900.000	5100.000	3500.000
4500000	3838.672	586.043	1850.000	5600.000	4000.000
4750000	5060.952	1211.256	2800.000	7400.000	5100.000
5000000	5257.692	1750.478	3000.000	8100.000	4600.000
5250000	5182.569	1755.717	3300.000	8100.000	4400.000
5500000	5500.961	1608.959	2600.000	8500.000	6200.000
5750000	5768.367	1414.762	3500.000	8300.000	5250.000
6000000	6866.667	1323.845	3100.000	8700.000	7500.000
6250000	6173.469	1263.826	3400.000	8900.000	5700.000
6500000	7137.222	1571.545	1050.000	8900.000	7700.000
6750000	7773.295	1121.888	2450.000	8700.000	7900.000
7000000	6826.064	1220.214	2250.000	8500.000	6500.000
7250000	7741.071	1367.374	1750.000	9300.000	7900.000
7500000	8343.373	565.727	6500.000	9900.000	8500.000
7750000	7916.854	752.410	3100.000	9900.000	7900.000
8000000	6887.234	1774.718	1200.000	9900.000	7150.000
8250000	8132.955	755.844	5400.000	9700.000	7900.000
8500000	8286.047	823.515	5700.000	12300.000	8500.000
8750000	8176.705	1591.186	2450.000	11700.000	8300.000
9000000	8766.265	1817.272	3700.000	12500.000	8700.000
9250000	6331.683	2581.328	1250.000	11900.000	7700.000
9500000	7408.696	1581.802	4700.000	11100.000	7700.000
9750000	8900.000	1890.541	5100.000	14700.000	9300.000
10000000	9448.148	2398.977	3100.000	14900.000	8700.000
10250000	10057.317	1687.113	6000.000	15300.000	9700.000
10500000	9344.048	2161.533	6000.000	17800.000	9100.000
10750000	12278.205	3879.289	2500.000	19300.000	14300.000
11000000	12140.541	3786.781	3700.000	28600.000	12300.000
11250000	14747.059	2849.896	6800.000	25300.000	14300.000
11500000	15140.299	6635.456	3500.000	34900.000	13100.000
