iteration	mean	std_dev	min	max	median
250000	147.556	89.277	50.000	400.000	150.000
500000	283.324	134.715	150.000	850.000	275.000
750000	342.482	147.978	225.000	875.000	275.000
1000000	421.517	129.005	200.000	925.000	425.000
1250000	549.863	100.555	325.000	750.000	525.000
1500000	618.455	192.927	275.000	850.000	725.000
1750000	800.604	186.945	400.000	1500.000	800.000
2000000	641.683	174.027	400.000	1250.000	700.000
2250000	864.944	285.612	525.000	1450.000	875.000
2500000	870.908	324.108	525.000	5625.000	850.000
2750000	960.513	350.078	500.000	4875.000	875.000
3000000	1773.656	1620.862	275.000	4825.000	875.000
3250000	1702.189	1456.836	325.000	4350.000	850.000
3500000	2323.860	1721.156	500.000	4775.000	1075.000
3750000	1721.165	1528.877	350.000	4700.000	1075.000
4000000	1219.725	1039.491	300.000	4175.000	925.000
4250000	3065.904	1517.097	550.000	4400.000	4100.000
4500000	3245.821	1466.045	575.000	4950.000	4200.000
4750000	3049.198	1632.909	575.000	5400.000	4300.000
5000000	2941.422	1790.295	550.000	5050.000	4375.000
5250000	3382.853	1616.376	575.000	7625.000	4325.000
5500000	3573.238	1599.349	1075.000	5000.000	4437.500
5750000	3203.049	1723.334	425.000	5150.000	4425.000
6000000	3306.058	1749.237	575.000	7850.000	4450.000
6250000	3608.472	1612.333	500.000	7625.000	4450.000
6500000	3388.056	2718.454	475.000	8025.000	4450.000
6750000	3606.181	3118.328	425.000	8425.000	4450.000
7000000	2849.112	1994.443	175.000	7625.000	4450.000
7250000	3873.077	2136.627	125.000	8025.000	4425.000
7500000	4528.591	2161.901	300.000	11750.000	4450.000
7750000	3403.305	2930.039	325.000	8525.000	4350.000
8000000	5788.574	2548.766	500.000	13375.000	4475.000
8250000	5563.533	2960.942	475.000	11825.000	4550.000
8500000	6229.178	2558.692	700.000	16200.000	4825.000
8750000	6304.032	3061.499	525.000	15825.000	5100.000
9000000	7460.066	3436.582	350.000	15725.000	8025.000
9250000	6465.261	3865.739	450.000	15975.000	4650.000
9500000	6791.468	4325.114	700.000	15625.000	4800.000
9750000	7471.066	2345.878	4450.000	11800.000	8050.000
10000000	9364.652	4638.762	4300.000	16450.000	8150.000
10250000	8087.415	3020.611	375.000	15300.000	8050.000
10500000	8779.636	3413.836	400.000	16175.000	8325.000
10750000	9812.687	4119.258	525.000	16025.000	11500.000
11000000	9189.822	5183.715	425.000	16525.000	8425.000
11250000	7856.825	5650.527	50.000	15675.000	4775.000
11500000	11427.936	3423.561	375.000	18950.000	11475.000
11750000	11312.971	4213.285	4200.000	16100.000	12175.000
12000000	12203.696	3732.218	4675.000	15825.000	15012.500
12250000	13880.882	2636.288	4525.000	16650.000	15075.000
12500000	10383.363	3080.226	550.000	15725.000	8425.000
12750000	13226.004	3100.523	500.000	16575.000	15200.000
13000000	13862.900	2217.229	700.000	18975.000	15000.000
13250000	12868.534	2475.417	850.000	15800.000	12825.000
13500000	13584.894	2486.025	4950.000	16275.000	14925.000
13750000	13179.515	2887.286	4575.000	16375.000	14975.000
14000000	12691.596	4036.995	250.000	16875.000	14950.000
14250000	15149.882	1311.778	4200.000	16025.000	15350.000
14500000	15205.071	637.179	8300.000	17575.000	15150.000
14750000	13967.986	2989.271	200.000	16550.000	15075.000
15000000	14826.728	1885.834	4575.000	15925.000	15200.000
15250000	14976.032	1411.601	600.000	16925.000	15137.500
15500000	15238.773	707.404	7775.000	16325.000	15200.000
15750000	15204.625	1468.354	525.000	16450.000	15237.500
16000000	13516.768	3123.874	350.000	16150.000	15075.000
16250000	15000.230	1308.718	4175.000	18350.000	15125.000
16500000	14985.090	1372.299	975.000	16600.000	15025.000
16750000	15045.628	1227.933	4050.000	15700.000	15075.000
17000000	15306.711	1052.246	4450.000	15975.000	15375.000
17250000	15225.758	328.727	14750.000	16125.000	15175.000
17500000	15133.095	360.332	11350.000	16300.000	15150.000
17750000	15717.298	1176.166	4450.000	18975.000	15650.000
18000000	15387.560	1115.126	550.000	16325.000	15175.000
18250000	14759.926	1796.089	800.000	16325.000	15100.000
18500000	15210.804	1092.532	4400.000	19325.000	15250.000
18750000	15223.460	1555.997	450.000	17125.000	15200.000
19000000	15567.754	1030.862	4450.000	16775.000	15200.000
19250000	15512.442	982.816	4125.000	16775.000	15300.000
19500000	15953.571	1728.430	575.000	20125.000	15700.000
19750000	14819.686	2488.305	375.000	16975.000	15575.000
20000000	15220.875	523.568	11550.000	17000.000	15200.000
20250000	15228.627	1504.957	275.000	16475.000	15325.000
20500000	15264.573	1616.126	100.000	16700.000	15225.000
20750000	15488.929	633.743	11500.000	17000.000	15500.000
21000000	15299.121	603.322	7825.000	16125.000	15200.000
21250000	15650.962	801.073	8200.000	16825.000	15675.000
21500000	15376.047	417.530	12300.000	16275.000	15250.000
21750000	15233.608	1052.398	4600.000	16525.000	15125.000
22000000	14715.141	1409.963	850.000	15500.000	15075.000
22250000	15433.763	1228.886	850.000	18700.000	15662.500
22500000	15481.995	582.653	11625.000	16825.000	15325.000
22750000	15593.182	920.360	7900.000	16900.000	15700.000
23000000	15368.510	948.401	8100.000	16975.000	15325.000
23250000	15387.688	543.213	12150.000	16450.000	15200.000
23500000	15517.279	456.145	14950.000	16875.000	15275.000
23750000	15478.141	493.979	14775.000	16825.000	15275.000
24000000	15610.945	828.514	8050.000	17125.000	15475.000
24250000	15237.911	1208.656	4450.000	16350.000	15200.000
24500000	15121.394	592.450	7600.000	15750.000	15200.000
24750000	15343.932	444.334	14600.000	16550.000	15200.000
25000000	15471.338	784.334	7525.000	16875.000	15250.000
25250000	15423.316	922.183	7725.000	16775.000	15250.000
25500000	15428.209	956.995	4125.000	16775.000	15300.000
25750000	15310.595	1403.522	225.000	16975.000	15250.000
26000000	15051.051	1115.799	825.000	16025.000	15200.000
26250000	15254.253	891.504	4150.000	16350.000	15275.000
26500000	15247.672	384.254	14650.000	18625.000	15275.000
26750000	15202.053	676.547	7850.000	16725.000	15200.000
27000000	14712.623	1639.215	4125.000	15825.000	15225.000
27250000	14596.395	2089.569	7825.000	16500.000	15150.000
27500000	15231.851	588.903	7825.000	16525.000	15275.000
27750000	15289.973	1144.603	25.000	15725.000	15325.000
28000000	15163.488	755.360	4400.000	15700.000	15200.000
28250000	15355.928	395.004	11650.000	16900.000	15425.000
28500000	14967.125	1164.545	7625.000	16250.000	15225.000
28750000	15510.135	1241.276	4450.000	19325.000	15700.000
29000000	15397.727	416.963	14750.000	18600.000	15325.000
29250000	15553.780	1672.212	4600.000	19500.000	15200.000
29500000	15118.662	1114.078	175.000	19425.000	15225.000
29750000	15241.878	678.367	7775.000	18925.000	15125.000
30000000	15404.704	327.884	14875.000	15925.000	15375.000
30250000	15501.166	224.059	14725.000	15900.000	15425.000
30500000	15483.508	351.339	14850.000	18350.000	15375.000
30750000	15665.404	1016.559	8175.000	17050.000	15250.000
31000000	15279.924	567.105	8450.000	18500.000	15325.000
31250000	16059.103	1258.610	14875.000	18925.000	15700.000
31500000	15696.134	1198.863	14725.000	19200.000	15250.000
31750000	15530.653	911.634	14975.000	19075.000	15200.000
32000000	15789.562	1096.338	15050.000	19025.000	15300.000
32250000	15438.832	305.339	14950.000	16100.000	15325.000
32500000	15871.196	1088.215	14750.000	19125.000	15650.000
32750000	15812.567	1102.684	11100.000	18950.000	15450.000
33000000	15480.270	1071.797	3900.000	18350.000	15325.000
33250000	15471.212	1035.270	7750.000	18850.000	15225.000
33500000	15856.701	1314.538	14650.000	19925.000	15325.000
33750000	15784.783	1501.211	475.000	18750.000	15625.000
34000000	15342.029	1534.374	725.000	19025.000	15250.000
34250000	16892.639	1885.142	7625.000	19525.000	15825.000
34500000	16661.250	1425.293	14925.000	18775.000	15775.000
34750000	15901.866	1395.727	7325.000	19475.000	15775.000
35000000	15518.462	1543.802	250.000	18550.000	15400.000
35250000	15695.270	1906.458	150.000	18900.000	15825.000
35500000	16820.902	1843.991	4075.000	19825.000	15750.000
35750000	17170.882	1870.846	14625.000	20625.000	15825.000
36000000	17163.529	1789.732	7825.000	19700.000	15875.000
36250000	16672.120	1639.473	7825.000	19325.000	15750.000
36500000	16918.819	1492.495	11250.000	19825.000	15800.000
36750000	15981.746	1330.495	7550.000	18825.000	15800.000
37000000	17102.514	1703.888	11250.000	19975.000	18325.000
37250000	16022.011	1288.628	14900.000	19500.000	15675.000
37500000	16983.286	1967.432	600.000	19375.000	15875.000
37750000	16416.576	1740.874	7800.000	19700.000	15800.000
38000000	16116.709	2090.402	11675.000	19875.000	15300.000
38250000	16901.397	2059.009	825.000	19800.000	15800.000
38500000	16465.764	2172.113	425.000	21125.000	15675.000
38750000	16535.497	1684.687	11675.000	22425.000	15800.000
39000000	16845.670	1781.980	11425.000	20075.000	15800.000
39250000	17103.017	1841.742	8025.000	19550.000	15800.000
39500000	16450.731	1850.127	4025.000	19750.000	15800.000
39750000	16121.038	1502.530	11225.000	23000.000	15800.000
40000000	17403.409	1902.477	8100.000	21525.000	18587.500
40250000	17167.614	2255.754	775.000	20700.000	18475.000
40500000	17826.875	1897.572	11900.000	23425.000	18625.000
40750000	16748.047	2016.590	575.000	19100.000	15787.500
41000000	17197.962	1859.676	4450.000	19600.000	18475.000
41250000	17017.222	2940.192	4150.000	19750.000	18625.000
41500000	16814.342	1923.029	8200.000	20375.000	15812.500
41750000	17532.865	1656.976	11575.000	19800.000	18575.000
42000000	17499.328	1982.971	14700.000	21350.000	18450.000
42250000	17539.246	1846.851	14825.000	20875.000	18475.000
42500000	17439.143	2094.937	4500.000	20575.000	18575.000
42750000	17544.337	1510.287	15175.000	19625.000	18375.000
43000000	16926.913	1784.460	14900.000	19425.000	15800.000
43250000	17000.644	1838.289	11575.000	20050.000	15775.000
43500000	17289.831	2008.740	350.000	19700.000	18425.000
43750000	17089.037	1762.437	11900.000	19650.000	15700.000
44000000	17302.880	1830.829	8125.000	19650.000	18550.000
44250000	17091.351	1928.141	4475.000	23350.000	16025.000
44500000	17019.079	1790.208	14950.000	22625.000	15700.000
44750000	17090.714	1640.436	11600.000	19725.000	15975.000
45000000	17381.936	1761.123	14850.000	19675.000	18525.000
45250000	17680.882	1581.246	11825.000	19400.000	18500.000
45500000	17515.139	1711.060	11375.000	19825.000	18475.000
45750000	17523.684	1558.556	11375.000	18975.000	18550.000
46000000	17623.204	1664.738	14975.000	19975.000	18500.000
46250000	17552.429	1718.973	11375.000	20450.000	18525.000
46500000	17022.270	1760.887	7800.000	19475.000	15875.000
46750000	17155.946	2186.257	450.000	19850.000	15825.000
47000000	17633.683	1992.982	15225.000	22500.000	18400.000
47250000	17660.972	1683.693	15050.000	19850.000	18750.000
47500000	17394.134	1638.318	14925.000	19350.000	18550.000
47750000	17726.488	1560.505	15050.000	22275.000	18650.000
48000000	17444.633	2059.940	4150.000	19550.000	18525.000
48250000	16998.243	3155.091	4500.000	20425.000	18550.000
48500000	16344.643	1672.459	11700.000	22375.000	15450.000
48750000	17137.766	2259.205	7675.000	22325.000	18400.000
49000000	17809.649	2100.998	4425.000	22250.000	18850.000
49250000	18401.944	3170.309	7650.000	23000.000	18750.000
49500000	17673.077	2007.223	11725.000	22250.000	18425.000
49750000	17415.659	1869.033	12225.000	22350.000	18625.000
50000000	18069.910	2815.207	8050.000	23100.000	18975.000
