iteration	mean	std_dev	min	max	median
250000	143.797	128.672	50.000	375.000	75.000
500000	376.818	157.166	225.000	725.000	300.000
750000	253.750	43.668	225.000	875.000	250.000
1000000	493.954	139.298	225.000	650.000	600.000
1250000	670.875	64.845	550.000	750.000	625.000
1500000	535.921	140.426	375.000	750.000	525.000
1750000	815.580	53.433	400.000	950.000	800.000
2000000	673.571	126.412	450.000	1250.000	725.000
2250000	1176.772	224.160	775.000	1325.000	1300.000
2500000	873.723	489.677	550.000	5625.000	825.000
2750000	957.500	227.990	775.000	1375.000	825.000
3000000	2047.674	1729.468	275.000	4825.000	1325.000
3250000	1638.636	1457.887	650.000	4075.000	775.000
3500000	675.000	117.006	550.000	1175.000	675.000
3750000	791.007	45.677	650.000	900.000	800.000
4000000	792.757	72.667	475.000	1225.000	775.000
4250000	4177.757	59.846	4025.000	4275.000	4162.500
4500000	4154.456	369.379	575.000	4875.000	4150.000
4750000	3261.328	1676.855	775.000	4500.000	4350.000
5000000	4799.648	298.367	3900.000	5050.000	4950.000
5250000	4567.208	241.588	4325.000	5800.000	4550.000
5500000	4617.241	329.649	4100.000	4950.000	4900.000
5750000	4467.619	75.587	4350.000	5025.000	4450.000
6000000	4618.125	155.572	4425.000	4925.000	4550.000
6250000	4690.769	191.380	4375.000	5075.000	4675.000
6500000	4573.591	179.145	4425.000	4950.000	4550.000
6750000	4447.024	30.228	4175.000	4475.000	4450.000
7000000	4508.929	58.929	4450.000	4825.000	4550.000
7250000	4598.454	473.088	700.000	4950.000	4425.000
7500000	4375.490	542.281	300.000	4550.000	4450.000
7750000	4455.319	439.897	325.000	5050.000	4475.000
8000000	4474.629	4.287	4425.000	4475.000	4475.000
8250000	4510.795	309.542	4475.000	7800.000	4475.000
8500000	5094.737	1330.622	700.000	7600.000	4475.000
8750000	6209.677	1799.826	850.000	8325.000	7737.500
9000000	7035.938	1604.450	4150.000	8150.000	8025.000
9250000	4236.905	2438.906	775.000	8375.000	4450.000
9500000	3617.137	1762.368	700.000	8525.000	4450.000
9750000	7961.634	718.450	4450.000	8625.000	8050.000
10000000	9339.541	4170.292	4350.000	15425.000	8150.000
10250000	8517.188	1414.577	4175.000	11350.000	8050.000
10500000	6507.759	2864.430	400.000	11700.000	4925.000
10750000	11816.025	1439.751	4475.000	15900.000	11825.000
11000000	9824.719	5139.485	425.000	15200.000	11700.000
11250000	12404.214	2892.620	8175.000	15550.000	11600.000
11500000	12521.471	2859.875	8075.000	16150.000	12125.000
11750000	11937.941	5037.391	4350.000	16100.000	15050.000
12000000	13366.781	3187.656	8050.000	15825.000	15225.000
12250000	15762.013	797.812	11725.000	16650.000	15400.000
12500000	8807.143	2075.156	4100.000	15675.000	7750.000
12750000	10484.227	3140.108	500.000	15950.000	11775.000
13000000	14294.512	1457.163	11725.000	15400.000	15000.000
13250000	12288.202	2805.097	4475.000	15800.000	12825.000
13500000	13641.667	2029.972	4950.000	16275.000	14925.000
13750000	14946.429	1198.028	4575.000	15750.000	15025.000
14000000	15029.870	1237.463	4525.000	16875.000	15100.000
14250000	14902.848	1448.259	4200.000	15675.000	15025.000
14500000	15063.415	80.319	14875.000	15525.000	15050.000
14750000	15062.180	1608.719	1300.000	16550.000	15025.000
15000000	14873.077	1617.353	4575.000	15675.000	15200.000
15250000	14914.000	898.538	8200.000	15600.000	15000.000
15500000	15085.616	1131.113	7775.000	16325.000	15025.000
15750000	15231.884	2450.772	525.000	16450.000	15675.000
16000000	15000.000	308.721	12300.000	15350.000	15000.000
16250000	15006.250	1506.795	4525.000	15775.000	15250.000
16500000	15050.987	105.478	15000.000	15575.000	15025.000
16750000	14954.938	1441.356	4425.000	15650.000	14975.000
17000000	15229.546	1345.186	4450.000	15625.000	15350.000
17250000	15282.143	219.990	15050.000	15725.000	15175.000
17500000	15164.333	97.739	14925.000	15650.000	15150.000
17750000	15481.786	1329.419	4450.000	15675.000	15650.000
18000000	15138.961	66.875	14750.000	15500.000	15150.000
18250000	15026.736	784.179	8450.000	15725.000	15100.000
18500000	15252.692	65.210	14975.000	15475.000	15275.000
18750000	15205.479	1785.545	650.000	15800.000	15400.000
19000000	15335.417	286.918	15000.000	15950.000	15200.000
19250000	15329.226	221.669	14950.000	15750.000	15225.000
19500000	15675.746	171.145	14850.000	15850.000	15700.000
19750000	15473.529	1816.610	700.000	16975.000	15700.000
20000000	15226.712	231.187	14875.000	17000.000	15200.000
20250000	15001.352	2160.283	275.000	15750.000	15225.000
20500000	15326.645	1407.845	3950.000	15700.000	15700.000
20750000	15260.577	306.357	13275.000	15700.000	15175.000
21000000	15347.945	235.713	15150.000	16050.000	15200.000
21250000	15486.688	334.722	14875.000	15700.000	15675.000
21500000	15241.554	114.068	15175.000	15700.000	15250.000
21750000	15115.385	363.636	12100.000	15675.000	15175.000
22000000	14861.904	1718.126	850.000	15175.000	15125.000
22250000	15407.836	1801.726	850.000	15700.000	15700.000
22500000	15661.154	125.578	15100.000	16200.000	15675.000
22750000	15576.471	923.109	8075.000	16200.000	15700.000
23000000	15430.281	1244.678	8100.000	15975.000	15650.000
23250000	15170.770	388.552	12150.000	15775.000	15200.000
23500000	15734.286	75.258	15200.000	16000.000	15750.000
23750000	15378.521	283.132	14775.000	15950.000	15200.000
24000000	15538.307	961.923	8050.000	15700.000	15675.000
24250000	15065.789	1228.773	4450.000	15700.000	15200.000
24500000	15182.565	409.449	11775.000	15750.000	15200.000
24750000	15220.357	102.146	15125.000	15700.000	15200.000
25000000	15204.546	84.601	15025.000	15675.000	15200.000
25250000	15250.000	928.905	8075.000	15950.000	15200.000
25500000	15663.136	154.272	15150.000	16000.000	15700.000
25750000	15207.395	1300.314	4475.000	15700.000	15250.000
26000000	15211.956	98.596	15200.000	16025.000	15200.000
26250000	15612.903	503.411	11775.000	15725.000	15700.000
26500000	15507.353	221.378	15175.000	15725.000	15650.000
26750000	15229.729	108.559	15200.000	15700.000	15200.000
27000000	15702.239	147.285	15100.000	15825.000	15700.000
27250000	15559.191	227.151	15125.000	15725.000	15700.000
27500000	15503.261	231.329	15125.000	15750.000	15650.000
27750000	15180.770	1910.124	25.000	15725.000	15250.000
28000000	15229.221	109.337	15100.000	15700.000	15200.000
28250000	15586.194	211.484	15050.000	15725.000	15700.000
28500000	14494.863	1346.151	12150.000	15975.000	15200.000
28750000	15274.590	1721.159	4450.000	15825.000	15700.000
29000000	15698.077	134.972	14975.000	15775.000	15725.000
29250000	15136.562	824.346	7925.000	15775.000	15200.000
29500000	15257.372	122.808	15200.000	15750.000	15225.000
29750000	15170.608	153.471	15100.000	15775.000	15125.000
30000000	15743.033	91.563	15250.000	15925.000	15750.000
30250000	15513.637	244.840	15100.000	15750.000	15700.000
30500000	15777.777	128.183	15075.000	15825.000	15825.000
30750000	15228.082	109.868	15200.000	15800.000	15200.000
31000000	15225.000	842.026	8450.000	16100.000	15325.000
31250000	15704.436	183.521	14875.000	15825.000	15700.000
31500000	15281.908	215.806	15075.000	15825.000	15175.000
31750000	15224.367	102.034	15200.000	15775.000	15200.000
32000000	15455.000	304.357	15050.000	16425.000	15300.000
32250000	15380.714	231.616	15025.000	15850.000	15250.000
32500000	15727.734	77.449	15175.000	15750.000	15750.000
32750000	15651.894	260.837	15150.000	15825.000	15825.000
33000000	15373.288	230.036	15125.000	15800.000	15275.000
33250000	15592.578	272.312	15150.000	15850.000	15775.000
33500000	15589.926	242.232	15025.000	15775.000	15775.000
33750000	15536.742	1876.516	475.000	15825.000	15825.000
34000000	15094.521	2314.458	725.000	15800.000	15700.000
34250000	15800.385	109.148	15200.000	15825.000	15825.000
34500000	15748.016	122.903	15150.000	15800.000	15775.000
34750000	15774.219	6.201	15725.000	15775.000	15775.000
35000000	15802.017	98.097	15250.000	15825.000	15825.000
35250000	15814.230	54.591	15475.000	15825.000	15825.000
35500000	15750.410	91.492	15075.000	15850.000	15750.000
35750000	15719.263	110.178	15200.000	15825.000	15700.000
36000000	15825.877	14.021	15800.000	15925.000	15825.000
36250000	15750.000	74.874	15225.000	16000.000	15750.000
36500000	15790.218	63.733	15275.000	15800.000	15800.000
36750000	15753.750	148.522	15200.000	15800.000	15800.000
37000000	15603.571	619.473	11250.000	16525.000	15800.000
37250000	15661.017	229.141	15100.000	15925.000	15800.000
37500000	15771.667	121.747	15200.000	15875.000	15800.000
37750000	15667.500	1011.273	7900.000	15825.000	15800.000
38000000	15385.074	265.176	15150.000	15800.000	15200.000
38250000	15779.583	101.396	15200.000	15800.000	15800.000
38500000	15650.987	104.853	15125.000	15750.000	15675.000
38750000	15669.697	241.190	15225.000	15825.000	15800.000
39000000	15468.951	292.779	15150.000	15800.000	15237.500
39250000	15730.737	181.207	15150.000	15825.000	15800.000
39500000	15589.167	1507.290	4025.000	15800.000	15800.000
39750000	15768.442	126.661	15100.000	15800.000	15800.000
40000000	15282.353	919.929	8100.000	15900.000	15200.000
40250000	15142.029	1977.846	775.000	15800.000	15150.000
40500000	15658.189	504.215	11900.000	15800.000	15700.000
40750000	15756.154	117.345	15225.000	15800.000	15775.000
41000000	15613.971	1367.885	4450.000	15850.000	15800.000
41250000	15769.853	178.101	14925.000	15825.000	15825.000
41500000	15591.071	1024.103	8200.000	16125.000	15775.000
41750000	15699.621	507.304	11775.000	15825.000	15800.000
42000000	15373.958	248.727	15200.000	15800.000	15225.000
42250000	15569.444	241.829	15125.000	15800.000	15700.000
42500000	15784.859	85.629	15275.000	15825.000	15800.000
42750000	15665.441	253.977	15200.000	15850.000	15825.000
43000000	15400.704	240.450	15200.000	16250.000	15275.000
43250000	15295.000	123.491	15175.000	15925.000	15275.000
43500000	15466.936	1937.651	350.000	16000.000	15700.000
43750000	15629.436	484.592	11900.000	15825.000	15700.000
44000000	15740.218	109.032	15200.000	15800.000	15750.000
44250000	15669.552	126.443	15125.000	15800.000	15700.000
44500000	15571.382	210.447	15250.000	15800.000	15700.000
44750000	15687.705	551.853	11600.000	15825.000	15800.000
45000000	15800.410	81.670	15200.000	15950.000	15800.000
45250000	15731.779	513.026	11825.000	15800.000	15800.000
45500000	15643.479	178.999	15350.000	15825.000	15750.000
45750000	15721.875	148.718	15175.000	15800.000	15750.000
46000000	15730.385	140.637	15200.000	15875.000	15750.000
46250000	15791.250	87.776	15200.000	16100.000	15800.000
46500000	15650.000	1021.179	7800.000	16100.000	15800.000
46750000	15770.564	113.550	15275.000	15825.000	15825.000
47000000	15419.672	239.626	15225.000	16025.000	15275.000
47250000	15649.643	250.160	15100.000	15850.000	15825.000
47500000	15687.705	169.233	15125.000	15825.000	15800.000
47750000	15752.049	149.952	15250.000	15825.000	15800.000
48000000	15271.269	1390.166	4150.000	15800.000	15275.000
