iteration	mean	std_dev	min	max	median
250000	628.200	129.448	200.000	840.000	640.000
500000	712.500	111.269	260.000	880.000	740.000
750000	777.045	91.056	440.000	880.000	820.000
1000000	794.286	83.024	540.000	900.000	820.000
1250000	821.988	69.708	560.000	900.000	860.000
1500000	862.651	41.102	660.000	900.000	880.000
1750000	853.810	55.889	580.000	900.000	880.000
2000000	869.036	39.366	660.000	940.000	880.000
2250000	857.870	47.818	640.000	920.000	880.000
2500000	880.351	62.144	600.000	1100.000	880.000
2750000	941.935	201.842	580.000	1560.000	880.000
3000000	1021.788	277.001	380.000	1980.000	880.000
3250000	1060.682	339.156	600.000	1720.000	880.000
3500000	1107.816	339.809	600.000	2040.000	920.000
3750000	1021.100	423.331	340.000	1740.000	880.000
4000000	1294.659	356.869	600.000	1760.000	1340.000
4250000	1379.412	373.659	700.000	1760.000	1590.000
4500000	1357.225	391.318	700.000	2720.000	1500.000
4750000	1405.833	395.495	680.000	1760.000	1680.000
5000000	1380.000	422.723	400.000	1780.000	1680.000
5250000	1401.420	403.192	680.000	1780.000	1680.000
5500000	1435.060	403.248	760.000	1800.000	1720.000
5750000	1432.500	409.836	640.000	1800.000	1720.000
6000000	1425.595	407.220	780.000	1820.000	1710.000
6250000	1458.916	409.067	800.000	1820.000	1740.000
6500000	1452.289	405.752	740.000	1820.000	1740.000
6750000	1440.240	420.704	660.000	1820.000	1740.000
7000000	1456.145	410.694	720.000	1800.000	1760.000
7250000	1438.929	432.089	520.000	1800.000	1760.000
7500000	1462.530	416.203	700.000	1800.000	1760.000
7750000	1451.905	417.768	680.000	1820.000	1760.000
8000000	1469.036	414.343	700.000	1820.000	1760.000
8250000	1475.422	421.561	600.000	1820.000	1760.000
8500000	1465.150	432.251	640.000	1840.000	1760.000
8750000	1474.491	429.893	580.000	1840.000	1760.000
9000000	1464.524	443.507	520.000	1840.000	1780.000
9250000	1492.530	418.796	660.000	1840.000	1780.000
9500000	1496.970	408.365	740.000	1840.000	1780.000
9750000	1501.939	415.554	760.000	1840.000	1780.000
10000000	1495.542	422.850	760.000	1840.000	1780.000
