iteration	mean	std_dev	min	max	median
250000	317.458	109.242	150.000	750.000	350.000
500000	302.941	100.365	150.000	950.000	250.000
750000	684.801	210.695	300.000	1300.000	700.000
1000000	1325.490	495.482	450.000	2700.000	1150.000
1250000	2288.603	435.171	1200.000	4300.000	2300.000
1500000	2593.651	293.919	1650.000	3100.000	2600.000
1750000	2660.084	250.762	1600.000	3400.000	2600.000
2000000	2754.032	265.609	2100.000	3500.000	2700.000
2250000	2771.774	201.431	2500.000	3400.000	2700.000
2500000	2513.158	670.397	800.000	3400.000	2800.000
2750000	2943.478	335.800	2350.000	3900.000	2900.000
3000000	2546.428	501.734	1200.000	3500.000	2650.000
3250000	2654.511	172.167	2300.000	3300.000	2600.000
3500000	2936.842	318.787	1500.000	3700.000	2900.000
3750000	3610.000	766.886	2300.000	6700.000	3600.000
4000000	3630.000	606.712	2700.000	5400.000	3600.000
4250000	4115.686	1041.656	2500.000	7500.000	4100.000
4500000	5602.127	1101.351	2600.000	8900.000	5200.000
4750000	5677.083	1596.055	3400.000	7900.000	5600.000
5000000	7080.952	858.775	3800.000	8700.000	7400.000
5250000	7908.000	1040.482	5000.000	11900.000	7900.000
5500000	6740.000	1483.731	3400.000	8300.000	7500.000
5750000	6488.235	2245.501	1550.000	8900.000	7500.000
6000000	7957.143	780.847	4700.000	8900.000	8100.000
6250000	7425.275	1558.782	3100.000	9100.000	7900.000
6500000	7830.121	1363.176	1700.000	11500.000	7500.000
6750000	5374.762	2716.371	500.000	10700.000	6600.000
7000000	7342.045	1310.163	4800.000	9500.000	7700.000
7250000	7475.000	1634.296	3300.000	9700.000	7700.000
7500000	8509.211	855.043	7000.000	12700.000	8700.000
7750000	8497.368	1427.454	2600.000	13700.000	8700.000
8000000	7186.957	2731.896	2050.000	11900.000	8600.000
8250000	9728.289	1952.265	1650.000	14100.000	8900.000
8500000	12141.270	2658.119	7900.000	15900.000	13100.000
8750000	9027.711	3251.554	2200.000	13700.000	9700.000
9000000	8858.975	3430.311	1900.000	17300.000	8100.000
9250000	9024.419	4233.722	2400.000	15900.000	11100.000
9500000	13112.879	5077.552	1850.000	21700.000	13500.000
9750000	13841.538	3501.028	6600.000	21100.000	14500.000
10000000	14616.418	5943.932	4400.000	27100.000	13900.000
10250000	11303.473	6602.653	1950.000	34500.000	12900.000
10500000	15021.212	9109.195	3000.000	35700.000	14300.000
10750000	23003.637	9456.887	1600.000	35700.000	21700.000
11000000	17760.938	11633.782	6500.000	36500.000	8700.000
11250000	23934.545	9580.724	9700.000	37700.000	21400.000
