iteration	mean	std_dev	min	max	median
250000	484.819	121.975	140.000	720.000	460.000
500000	441.915	226.745	120.000	840.000	430.000
750000	477.662	187.561	160.000	760.000	440.000
1000000	328.846	120.155	140.000	720.000	320.000
1250000	442.353	168.772	200.000	880.000	400.000
1500000	517.721	144.747	180.000	920.000	480.000
1750000	826.792	283.374	320.000	1500.000	800.000
2000000	898.462	228.030	300.000	1440.000	910.000
2250000	2147.826	634.494	1180.000	3140.000	2200.000
2500000	1623.077	356.681	1080.000	2920.000	1590.000
2750000	2809.778	549.709	1620.000	3860.000	2740.000
3000000	3326.250	678.020	1840.000	4320.000	3520.000
3250000	4460.000	258.178	4080.000	4880.000	4580.000
3500000	3100.667	1038.441	1380.000	4380.000	3600.000
3750000	3553.333	740.805	1780.000	4640.000	3720.000
4000000	4312.571	489.643	3100.000	4840.000	4480.000
4250000	4170.286	786.607	2800.000	6300.000	3920.000
4500000	4996.364	769.123	3960.000	6900.000	4930.000
4750000	3652.432	713.050	2180.000	5540.000	3800.000
5000000	7016.667	887.299	5040.000	8760.000	7210.000
5250000	4470.556	941.978	2740.000	5860.000	4580.000
5500000	4432.973	1389.647	1820.000	7640.000	4340.000
5750000	5639.375	1023.725	3680.000	8100.000	5570.000
6000000	6875.200	1042.616	4680.000	8700.000	7020.000
6250000	11149.091	8405.035	4440.000	27980.000	6680.000
6500000	6840.000	1921.724	4360.000	12780.000	6340.000
6750000	8781.000	2303.462	5760.000	15280.000	8450.000
7000000	4813.913	1609.034	1860.000	8480.000	4440.000
7250000	10653.846	7008.111	6220.000	29780.000	7600.000
7500000	6858.889	4998.695	2020.000	25680.000	6070.000
7750000	17145.715	11190.591	6760.000	38620.000	13480.000
8000000	14911.111	18902.811	6040.000	68100.000	8620.000
8250000	11506.154	2616.297	7920.000	15560.000	12340.000
8500000	15148.889	5215.797	6260.000	23960.000	15100.000
8750000	12210.770	4781.745	7100.000	23800.000	9740.000
9000000	5045.833	2213.214	2440.000	10340.000	4340.000
9250000	18920.000	5101.541	12300.000	26720.000	18440.000
9500000	12638.182	3324.558	8220.000	18320.000	13280.000
9750000	25336.000	16733.451	14700.000	58660.000	17940.000
10000000	17220.000	8194.767	8520.000	34260.000	14430.000
10250000	19000.000	9704.237	6000.000	36080.000	18200.000
10500000	14480.000	5020.000	9460.000	19500.000	14480.000
10750000	58800.000	46520.000	12280.000	105320.000	58800.000
11000000	13320.000	5576.128	8080.000	24720.000	12350.000
11250000	22893.334	10684.148	7020.000	35800.000	22680.000
11500000	16470.000	7691.347	5500.000	29060.000	17730.000
11750000	19671.428	9226.948	9360.000	37320.000	16180.000
12000000	19327.500	10186.147	9400.000	44800.000	16980.000
12250000	19822.857	4085.870	16280.000	28720.000	17740.000
12500000	16582.500	11855.705	5060.000	45700.000	14300.000
12750000	45373.332	30999.486	19820.000	89000.000	27300.000
13000000	23186.666	3766.849	19200.000	28240.000	22120.000
13250000	22753.334	17378.049	6120.000	58460.000	17730.000
13500000	10641.538	3864.206	4380.000	18360.000	9500.000
13750000	8796.250	5433.987	2840.000	25340.000	6940.000
14000000	15400.000	4057.043	8260.000	24300.000	15490.000
14250000	26832.000	16266.149	9760.000	57040.000	19620.000
14500000	16126.667	8560.155	6080.000	33480.000	16040.000
14750000	15081.818	3052.349	7760.000	19480.000	14640.000
