iteration	mean	std_dev	min	max	median
5000	675.830	361.913	44.991	1245.953	709.990
10000	2115.978	1444.271	188.913	4212.158	1564.058
15000	1626.312	691.253	440.631	2747.886	1600.362
20000	1048.237	778.567	85.799	2857.086	844.598
25000	1726.166	1044.780	421.417	3863.520	1612.278
30000	2068.433	763.056	1208.142	3447.726	1786.477
35000	1264.749	974.379	476.860	4023.518	1037.367
40000	1711.166	1299.703	88.623	3974.534	1479.005
45000	2276.195	1249.972	659.503	4138.420	2433.688
50000	2598.350	1292.454	563.327	4067.670	2642.286
55000	2554.084	1673.454	-875.671	4122.964	3339.067
60000	2549.782	1350.159	199.151	4199.729	2740.913
65000	1598.197	903.302	301.026	2822.606	1605.556
70000	2603.324	1257.047	337.603	4108.943	2825.507
75000	2001.118	1518.783	19.478	3934.767	1488.458
80000	2255.918	1449.845	154.610	4137.406	2850.163
85000	2111.193	1228.508	304.324	4025.432	1986.625
90000	2551.802	1355.613	231.306	4133.763	2790.281
95000	2314.786	1145.459	166.048	3988.309	2383.629
100000	2269.234	1229.261	479.747	4170.783	2206.454
105000	1525.372	1480.842	67.221	4161.061	1166.490
110000	2903.484	1137.995	1044.623	4044.287	3272.146
115000	1827.838	1305.040	325.269	3984.974	1472.857
120000	2260.032	1260.371	255.643	4180.619	2152.083
125000	1692.999	1101.994	316.331	4011.918	1529.995
130000	2271.390	1697.247	-397.004	4169.800	2408.926
135000	2917.922	1213.891	958.871	4217.199	3087.230
140000	2539.057	1022.499	861.426	4143.829	2500.120
145000	2808.945	1585.757	45.916	4334.139	3770.789
150000	2188.207	1492.517	326.203	4169.201	1625.408
155000	2027.791	1549.642	167.273	4246.918	1519.916
160000	1914.191	1702.875	70.513	4239.185	849.888
165000	2733.280	1420.962	224.571	4281.649	3192.726
170000	3140.296	1367.302	0.571	4200.167	3865.357
175000	1949.480	1383.601	25.074	4238.384	2065.235
180000	3054.317	1376.945	367.574	4331.676	3872.485
185000	2148.939	1249.231	520.755	4168.729	2210.471
190000	3002.589	1133.027	623.046	4347.417	3352.223
195000	1707.769	1312.142	603.938	4163.523	1027.244
200000	2448.708	1448.856	427.861	4202.473	2550.386
205000	3395.958	985.022	1126.818	4249.408	3916.263
210000	2624.922	1620.571	21.069	4328.946	3223.134
215000	2405.880	1215.498	335.686	4215.248	2235.772
220000	3321.332	1418.481	588.246	4472.775	4032.517
225000	2330.367	1513.827	596.110	4273.211	1815.590
230000	3173.190	1021.055	1464.091	4204.387	3633.251
235000	2307.375	1480.052	235.644	4213.044	2393.981
240000	2091.071	1248.525	590.635	3789.828	1941.475
245000	3013.061	1284.852	815.642	4201.331	3773.532
250000	1873.609	1521.988	90.478	4208.280	1191.155
255000	2941.410	1650.211	106.413	4263.793	4106.799
260000	2458.094	1703.232	29.340	4149.060	3222.158
265000	2435.601	1608.789	159.297	4424.797	2291.680
270000	2611.116	1219.434	651.995	4107.083	2892.972
275000	3073.159	1320.452	616.616	4347.699	3943.710
280000	2866.306	1417.766	715.329	4224.299	3684.509
285000	3668.987	841.495	1383.724	4324.101	4043.828
290000	3234.245	1432.952	688.211	4332.412	4125.812
295000	2490.699	1304.068	96.009	4093.452	2945.541
300000	2436.718	1154.394	862.468	4199.222	2231.219
305000	2448.129	985.579	688.802	3947.689	2695.111
310000	2173.122	1376.788	91.121	4297.858	1913.777
315000	2265.460	1578.679	-194.832	4232.792	2305.029
320000	2180.419	991.427	798.516	4120.631	1901.121
325000	3025.923	1426.156	156.959	4312.121	3974.833
330000	2439.713	1629.698	321.260	4304.558	2504.210
335000	4065.807	143.216	3798.528	4308.370	4104.316
340000	2676.937	1388.239	222.527	4133.688	3103.493
345000	2369.781	1285.387	341.445	4231.837	2373.882
350000	2614.422	1357.559	916.573	4079.857	3086.521
355000	1941.287	1257.574	232.835	3999.297	1882.862
360000	2428.569	1466.320	632.192	4256.524	2603.448
365000	3454.683	812.792	2017.585	4258.502	3739.400
370000	2728.765	1607.360	218.327	4337.397	3138.444
375000	2706.575	1399.180	312.982	4033.027	3570.782
380000	2818.298	1691.541	-162.047	4340.241	3897.092
385000	2398.854	1405.589	253.501	3860.559	3093.978
390000	2843.563	1579.944	73.164	4251.909	3954.633
395000	2365.352	1567.119	29.344	4310.654	2063.280
400000	3015.093	1467.448	660.275	4363.025	4028.231
405000	3306.459	1400.428	345.752	4370.149	4069.931
410000	2138.705	1174.130	972.732	4190.794	1469.122
415000	2978.274	1398.252	573.527	4105.823	3925.589
420000	2527.904	1299.209	212.518	4235.237	2784.944
425000	2956.942	1256.488	886.378	4250.399	3475.073
430000	2443.925	1428.195	731.683	4344.919	1974.509
435000	3617.597	1059.338	520.566	4180.176	4013.180
440000	2968.995	1425.210	870.067	4307.245	3956.479
445000	2559.781	1526.456	303.645	4296.224	2876.225
450000	3425.411	850.666	1740.793	4132.359	3971.477
455000	3044.812	1372.189	981.905	4431.737	3941.159
460000	2969.780	1602.825	40.126	4276.176	3967.327
465000	2603.259	1537.276	243.535	4276.984	3107.769
470000	2927.741	1401.566	477.292	4264.935	3800.507
475000	3267.588	1245.964	458.647	4160.603	3950.203
480000	2770.585	1430.295	76.707	4173.479	3287.797
485000	2676.977	1469.216	186.076	4202.636	3206.193
490000	3472.031	1172.424	220.745	4294.484	4042.214
495000	3115.985	1526.158	151.094	4462.357	4153.833
500000	2300.389	1586.311	86.753	4156.512	2208.840
505000	2200.514	1610.294	51.390	4214.171	2072.670
510000	3380.076	1129.097	827.366	4331.615	3966.086
515000	2742.958	1059.195	808.920	4135.476	3016.526
520000	3355.913	1119.214	591.880	4209.924	4011.047
525000	2268.160	1468.814	584.074	4275.219	1803.357
530000	3456.861	1393.162	577.729	4427.482	4109.835
535000	3626.605	827.772	2204.153	4293.140	4081.146
540000	3456.824	1029.856	1378.215	4262.339	4072.839
545000	2964.312	1198.490	812.394	4345.477	3347.958
550000	3017.891	1372.154	333.007	4247.160	3878.610
555000	2016.896	1449.689	167.413	4099.994	1694.370
560000	3951.251	329.353	3130.689	4252.604	4074.644
