iteration	mean	std_dev	min	max	median
5000	1252.474	874.128	6.664	2789.259	1235.997
10000	2271.250	1321.654	449.578	4242.026	1816.692
15000	2079.176	1498.289	135.549	4295.482	1892.545
20000	1949.575	1418.699	46.693	3918.425	1546.406
25000	2306.313	1669.896	94.190	4222.117	2176.746
30000	2336.500	1676.153	229.544	4070.054	2666.652
35000	2565.688	1642.421	340.603	4306.827	2971.851
40000	2588.208	1294.026	710.970	4078.214	2568.343
45000	3067.137	1117.322	1312.987	4257.605	3261.900
50000	3199.429	1268.779	924.174	4360.114	4066.039
55000	2969.915	1305.249	113.027	4170.022	3592.986
60000	2303.059	1346.123	677.396	4200.759	1752.726
65000	2706.241	1388.583	145.625	4293.482	2782.767
70000	2605.945	1410.234	76.672	4036.183	3083.446
75000	2943.838	1407.966	613.973	4174.904	3804.365
80000	3279.254	1204.727	1252.186	4281.309	3990.007
85000	2549.868	1495.392	217.902	4350.306	3059.208
90000	3839.675	760.893	1998.283	4307.387	4172.227
95000	2148.800	1392.684	39.510	4065.572	2209.422
100000	2903.138	1244.005	777.162	4240.737	3066.434
105000	2446.934	1353.583	180.421	4295.938	2604.416
110000	2911.071	1447.257	39.909	4531.505	3223.850
115000	2780.568	1391.868	641.620	4286.094	3402.655
120000	3513.565	1066.405	1541.674	4429.598	4157.141
125000	2337.773	1553.187	7.564	4145.562	2275.875
130000	2952.206	1221.850	789.917	4104.081	3586.663
135000	3032.249	1508.881	340.671	4334.206	4097.860
140000	2259.198	1108.795	334.379	4149.480	2242.709
145000	3463.717	1052.333	1248.450	4160.341	4015.334
150000	3164.736	887.656	1772.511	4149.370	3363.319
155000	3398.107	1202.364	873.363	4348.784	4205.704
160000	2774.810	1373.057	357.721	4263.303	2830.698
165000	2629.199	1772.443	239.893	4562.028	2931.019
170000	3027.092	1426.487	172.619	4124.887	3761.518
175000	2987.837	1491.995	375.035	4334.313	3766.276
180000	3113.466	1243.713	1007.841	4379.865	3639.699
185000	3200.988	1260.484	543.027	4192.419	4011.760
190000	4100.562	337.816	3347.167	4516.253	4177.837
195000	2582.785	1501.299	75.367	4264.019	2476.068
200000	3138.288	1683.715	448.780	4440.615	4293.114
205000	3050.103	1127.606	1288.761	4327.859	3164.817
210000	3315.786	1253.386	246.266	4193.204	3985.434
215000	3307.838	1205.768	1049.230	4446.530	3980.119
220000	2832.988	1483.431	374.568	4224.603	3563.923
225000	3665.484	824.554	1665.779	4285.395	4071.598
230000	2572.866	1386.709	820.672	4265.430	2202.493
235000	2743.899	1622.306	179.781	4296.815	3457.142
240000	1851.111	1701.668	144.507	4490.229	1239.562
245000	3113.918	1299.969	534.792	4128.976	3702.509
250000	3540.159	1305.651	538.522	4346.931	4146.749
255000	4010.533	432.845	2766.366	4364.217	4161.390
260000	3108.142	1326.684	41.155	4317.740	3558.139
265000	2997.290	1430.373	610.521	4351.231	3906.979
270000	3236.249	1468.157	281.213	4322.341	4043.788
275000	3080.262	1390.022	757.297	4394.735	4044.996
280000	3247.425	1483.901	49.103	4415.938	4208.555
285000	3161.672	1245.064	745.108	4180.954	3682.010
290000	3394.645	1125.041	786.644	4273.461	4157.192
295000	2855.137	1445.091	226.291	4093.880	3587.139
300000	2935.473	1294.319	567.465	4121.435	3732.765
305000	3373.926	1122.308	374.815	4159.391	3922.910
310000	2146.570	1474.670	296.105	4242.293	1985.578
315000	2726.005	1655.213	196.973	4377.068	3365.297
320000	3746.766	1041.195	1113.588	4498.027	4181.327
325000	3454.134	1183.751	1171.422	4247.634	4183.126
330000	3057.850	1474.906	468.656	4472.197	3807.707
335000	2564.694	1786.875	60.530	4339.805	3296.541
340000	2799.527	1365.975	774.478	4195.634	3132.785
345000	2105.637	1266.275	734.759	4206.848	1847.767
350000	2768.745	1379.714	1219.218	4276.623	2829.946
355000	2472.849	1579.202	69.253	4352.022	2261.190
360000	3762.785	1114.167	518.527	4363.614	4166.463
365000	2920.543	1527.228	449.017	4167.047	4034.381
370000	3961.988	501.453	2586.952	4476.396	4056.020
375000	2912.657	1358.846	1012.963	4350.753	3094.754
380000	3613.533	956.525	1380.750	4404.476	4119.201
385000	2030.737	1809.797	36.472	4230.000	1309.178
390000	3497.344	1259.542	889.566	4384.130	4110.578
395000	3742.255	1270.592	51.918	4453.743	4232.919
400000	3884.817	690.684	1845.951	4276.940	4132.537
405000	3273.423	1175.197	443.631	4295.281	3763.205
410000	2744.958	1572.442	113.681	4386.254	3351.571
415000	3854.019	780.844	2194.410	4401.837	4231.733
420000	2791.014	1519.482	470.423	4286.965	3199.493
425000	3677.477	1013.177	740.976	4293.883	4060.102
430000	2236.009	1600.384	214.202	4127.051	2422.851
435000	2973.084	1163.699	592.126	4096.582	3223.879
440000	2394.804	1540.867	27.827	4265.016	2525.737
445000	3089.841	1128.158	1430.810	4503.401	3157.599
450000	2892.403	1149.624	1041.226	4286.201	2921.579
455000	3398.720	1457.597	551.554	4462.859	4233.580
460000	3517.322	1500.518	374.661	4437.859	4362.945
465000	2706.691	1552.537	409.882	4294.636	3309.140
470000	3526.090	1039.111	1045.033	4413.583	4152.717
475000	2931.782	1337.152	87.224	4397.993	3137.749
480000	3215.899	1439.952	340.240	4289.106	4086.509
485000	3199.115	1280.727	1107.692	4329.564	3907.541
490000	2671.710	1521.362	68.382	4344.186	3043.786
495000	2676.112	1193.087	901.037	4221.239	2743.399
500000	2608.295	1443.407	482.619	4267.688	2804.899
505000	1806.789	1510.868	61.744	4384.999	1373.719
510000	3239.261	1251.590	273.974	4327.990	3613.183
515000	2788.308	1226.394	540.375	4435.705	2579.215
520000	2730.587	1286.029	1341.086	4360.925	2394.721
525000	2851.316	1236.361	874.758	4232.802	3215.549
530000	3441.805	1238.049	661.507	4321.455	4136.271
535000	3022.621	1262.941	572.880	4150.711	3719.949
