iteration	mean	std_dev	min	max	median
5000	-1.817	0.936	-3.716	-0.074	-1.651
10000	-1.558	1.094	-4.524	0.443	-1.501
15000	-353.160	296.147	-731.813	432.312	-443.085
20000	1014.777	725.592	-549.595	2159.497	1023.323
25000	1558.232	838.663	-80.205	2789.020	1429.756
30000	1271.233	1115.197	-513.853	2873.047	1028.853
35000	1675.398	1168.731	-510.373	3079.739	1811.041
40000	2920.058	732.036	-453.083	3627.553	3093.740
45000	3062.606	852.433	614.547	4020.627	3381.713
50000	2711.527	1424.381	-608.281	4221.109	3377.793
55000	3675.041	1077.640	72.305	4716.646	4027.350
60000	4009.109	846.019	-254.106	4910.581	4090.832
65000	4018.025	1051.620	443.915	5202.802	4356.314
70000	4039.421	1155.818	-241.686	5164.618	4444.069
75000	4384.268	701.112	1387.378	5106.402	4543.729
80000	4800.942	568.197	2199.042	5353.104	4883.130
85000	4777.061	698.989	2813.807	5910.984	4858.209
90000	5150.825	240.992	4607.261	5662.905	5197.807
95000	4680.084	1446.814	-102.555	6374.097	5092.340
100000	5110.460	960.204	1627.002	6046.061	5437.674
105000	5306.469	793.924	3426.424	6453.695	5489.995
110000	5084.457	1325.776	-511.663	6717.981	5375.397
115000	5297.677	1319.007	1551.806	6769.671	5506.280
120000	5580.401	1051.359	1761.114	6720.773	5900.275
125000	5598.599	1446.027	395.415	7349.225	5842.623
130000	5995.479	1338.588	-541.134	6978.307	6371.022
135000	6161.388	1109.904	2103.275	7627.979	6537.445
140000	6302.628	752.368	4496.115	7166.397	6589.713
145000	6612.636	527.335	5842.324	7383.935	6768.153
150000	6205.097	1042.534	2049.954	7506.764	6276.526
155000	6826.542	896.602	3253.015	7915.420	7193.695
160000	6740.526	859.665	3717.270	7791.106	7094.974
165000	6940.335	686.170	5258.095	7998.384	7182.998
170000	6248.381	1893.656	-547.746	8230.832	6544.220
175000	6740.195	1073.607	3243.262	7984.484	7173.441
180000	6817.089	1532.330	1034.166	8342.329	7479.755
185000	6509.008	1982.856	342.135	8297.262	7175.720
190000	6806.996	1524.475	1386.380	8312.953	7257.185
195000	7155.243	851.002	5070.197	8252.350	7339.671
200000	6109.084	2170.227	88.588	8488.089	6263.358
205000	6865.881	911.882	4650.187	8078.411	6953.101
210000	7090.306	1547.280	971.638	8706.461	7694.632
215000	7042.169	1286.029	2353.314	8472.259	7458.879
220000	7314.306	1753.002	1286.587	8725.357	8203.350
225000	7133.638	1367.286	1425.401	8689.061	7383.299
230000	7217.329	1924.591	692.460	9124.418	7667.653
235000	7503.719	1624.406	2666.206	9386.481	8071.730
240000	7684.809	1346.170	2970.991	8999.004	8259.019
245000	7596.491	1205.223	5297.160	9412.119	7482.538
250000	7958.037	1562.707	2888.548	9530.523	8629.231
255000	7842.601	1406.725	3225.090	9511.291	8324.518
260000	7999.477	1334.208	4771.277	9582.410	8392.951
265000	8157.936	1111.367	5934.339	9535.842	8378.935
270000	7847.998	1523.007	2379.906	9633.160	8286.157
275000	7938.122	935.346	6529.179	9529.224	7993.417
280000	8203.311	1111.055	6582.977	9622.395	8831.883
285000	7980.319	1133.054	6277.796	9583.438	8059.833
290000	7690.641	1531.094	3814.971	9664.029	7704.251
295000	7848.984	1374.360	2656.309	9325.129	7815.891
300000	8218.083	1121.255	5964.251	9440.811	8839.653
305000	7889.932	1782.626	2682.217	10054.578	7842.876
310000	8389.490	1298.337	5667.754	10095.920	8840.426
315000	8550.998	1128.206	6987.185	10182.757	8612.789
320000	8163.608	1004.558	6024.746	9715.984	8584.682
325000	8311.084	1116.197	6473.258	9709.789	8721.031
330000	7833.753	2095.814	2084.146	9949.906	8937.562
335000	8427.340	1081.057	6754.654	10021.808	8577.421
340000	8446.998	1208.426	6953.072	10352.461	8126.145
345000	8475.624	1318.176	6047.826	10473.615	8790.873
350000	8480.536	1032.346	6618.835	9693.583	8960.483
355000	7987.738	1734.889	1228.840	9695.429	8676.963
360000	8389.093	1973.720	114.946	10492.186	8369.776
365000	8707.125	1549.225	4333.872	10655.098	9358.303
370000	8643.295	1008.818	6822.781	10100.350	9056.275
375000	8380.400	1718.876	2246.730	10383.241	8999.660
380000	8839.482	1153.115	7066.184	10425.015	9037.546
385000	8170.358	1815.412	1484.171	9916.258	8712.233
390000	8092.123	1772.799	2801.011	10412.078	8352.501
395000	8100.951	2327.625	1594.867	10482.239	8628.223
400000	8239.067	2065.995	1609.357	10520.351	9075.698
405000	9122.726	1296.439	5180.791	10744.734	9506.439
410000	8482.216	1655.603	2447.196	10442.823	8284.607
415000	8907.287	1370.707	5188.558	11059.375	9212.065
420000	8575.422	1415.140	3593.239	10136.658	8849.333
425000	8645.750	1853.645	2265.452	10695.963	8957.229
430000	8606.536	1844.055	2876.788	10408.506	9459.782
435000	9091.177	1189.324	6874.646	10738.857	9367.395
440000	8791.779	1943.643	1549.568	10795.953	9387.315
445000	8987.867	1240.945	6407.401	10412.008	9662.909
450000	9038.092	1466.098	4653.889	10909.020	9468.186
455000	8505.890	2514.910	436.580	10934.430	9302.883
460000	8821.331	1817.478	1054.616	10315.371	9778.728
465000	8548.888	1354.067	5340.946	10520.080	8348.498
470000	9011.680	1716.792	2771.121	10849.440	9703.666
475000	9011.187	1457.104	5165.101	10641.421	9276.532
