iteration	mean	std_dev	min	max	median
5000	121.484	85.197	2.668	202.459	162.522
10000	163.121	50.874	70.412	223.255	174.947
15000	289.274	127.929	164.493	619.050	231.437
20000	214.982	44.885	157.410	274.986	212.923
25000	571.272	309.237	240.773	1009.794	379.784
30000	343.915	189.668	155.067	980.259	241.740
35000	601.780	224.782	375.327	1025.255	511.128
40000	639.300	381.651	333.560	1856.256	505.091
45000	604.519	403.641	243.511	1549.668	434.350
50000	338.347	101.368	94.036	507.794	324.501
55000	551.649	430.352	270.677	2188.637	335.299
60000	434.414	226.202	275.414	1057.980	336.472
65000	619.757	324.179	152.887	992.118	564.906
70000	644.819	377.568	136.778	1648.510	492.736
75000	650.785	450.457	30.934	1145.927	887.687
80000	755.104	370.473	250.077	1758.557	857.652
85000	652.341	289.758	284.985	1025.226	574.413
90000	1085.031	1002.142	295.886	3141.331	533.345
95000	1151.194	1098.072	308.968	2893.404	427.403
100000	914.312	494.084	153.026	2437.092	986.545
105000	701.970	284.615	143.856	1215.724	626.690
110000	762.546	313.655	285.939	1856.455	684.043
115000	508.490	194.763	267.931	1058.739	426.029
120000	1013.138	404.982	464.789	2420.653	1061.745
125000	339.381	222.660	30.357	613.564	370.714
130000	909.257	792.404	172.500	2503.829	443.518
135000	1480.897	965.112	118.953	2694.663	1830.314
140000	551.153	296.176	281.739	1412.714	422.320
145000	1233.100	704.155	429.215	2656.441	1030.911
150000	1205.208	934.991	69.280	2680.460	532.665
155000	1279.883	664.473	646.578	2841.279	985.177
160000	611.272	371.446	184.790	1366.289	426.564
165000	1141.849	501.545	295.686	2348.627	1280.663
170000	1265.876	501.735	304.345	2577.891	1279.470
175000	1816.732	1066.964	254.693	3280.555	1311.595
180000	1959.612	901.284	606.559	2900.307	2556.347
185000	1622.400	725.581	500.247	3013.450	1390.930
190000	1107.959	918.284	77.414	2877.265	1002.529
195000	1300.605	956.791	237.891	2880.747	1024.009
200000	1288.628	866.874	47.117	3112.683	1151.253
205000	1001.099	808.382	168.411	2914.878	663.128
210000	1178.286	955.906	263.208	2936.784	886.286
215000	633.780	739.920	191.340	3083.847	302.951
220000	893.628	444.913	159.073	1674.440	923.478
225000	1668.238	986.840	217.003	3155.861	1383.287
230000	1499.538	888.630	35.137	3279.188	1215.875
235000	1653.574	961.094	236.272	3131.364	1175.443
240000	2144.245	819.465	460.443	3186.057	2674.043
245000	947.920	1127.870	65.584	3102.569	393.434
250000	1245.459	800.051	43.397	2976.961	1207.751
255000	1744.333	686.124	951.880	3208.899	1468.212
260000	1003.881	664.881	306.750	3160.537	957.081
265000	820.346	592.599	21.747	2896.952	1057.423
270000	1564.701	643.148	781.971	3352.762	1454.119
275000	1032.118	632.637	254.251	2479.959	1122.266
280000	1681.039	1182.454	28.711	3486.466	1483.740
285000	1441.184	970.402	48.758	3437.865	1132.607
290000	1327.712	1019.818	206.638	3269.251	951.357
295000	615.079	606.924	182.582	2912.629	355.153
300000	507.992	705.679	53.942	3086.133	342.474
305000	397.838	405.440	14.951	1476.398	314.105
310000	1356.820	672.164	511.854	3197.737	1091.650
315000	1411.032	946.304	208.453	3046.605	1633.358
320000	1618.630	1077.102	39.683	3274.461	1458.432
325000	669.847	837.957	92.406	3399.088	337.866
330000	1598.575	1030.010	188.678	3043.641	1694.591
335000	860.528	868.359	50.236	2820.353	654.621
340000	1162.601	854.983	59.283	3070.391	1134.456
345000	1662.513	1081.584	222.713	3352.195	1304.359
350000	2236.348	889.589	122.388	3325.357	2210.724
355000	1668.247	1053.898	196.955	3467.564	1535.653
360000	1133.277	1017.115	47.929	3247.167	634.458
365000	1004.071	533.933	453.985	2260.777	809.666
370000	784.316	395.375	248.826	1483.438	854.202
375000	1066.498	452.979	215.579	1851.565	1098.528
380000	1631.277	1023.972	195.330	3106.007	1266.666
385000	2237.771	854.665	645.852	3317.963	2648.195
390000	2421.069	891.958	88.181	3375.357	2652.388
395000	1732.329	897.339	441.605	3400.593	1613.094
400000	1723.199	646.893	944.860	3137.711	1411.255
405000	2039.551	771.742	783.968	3327.706	2043.227
410000	1420.170	858.211	637.125	3153.100	1028.970
415000	1813.609	874.498	546.523	3441.067	1329.999
420000	1680.414	843.640	636.888	3598.005	1398.659
425000	1520.284	1261.391	135.838	3170.550	1149.251
430000	2045.933	1208.374	286.093	3691.977	1613.453
435000	1153.637	858.353	44.049	3155.148	977.652
440000	2190.630	1150.297	47.336	3405.300	2494.481
445000	1847.631	784.155	965.206	3294.332	1454.486
450000	1614.728	915.128	40.260	3095.121	1110.216
455000	2478.516	987.853	698.758	3489.502	3108.378
460000	2020.407	996.077	290.451	3400.109	1829.316
465000	1435.169	562.330	538.885	2984.397	1331.330
470000	1723.731	984.785	227.565	3385.397	1247.096
475000	1795.306	1369.929	169.387	3565.997	1451.353
480000	2313.823	1161.798	417.901	3238.288	3069.348
485000	1967.389	1138.564	95.860	3444.120	1532.909
490000	1300.744	397.409	911.274	2783.452	1202.861
495000	1828.532	991.033	742.885	3556.674	1660.541
500000	1517.566	1006.583	252.643	3324.290	1334.909
505000	1494.758	862.626	298.042	2873.692	1139.008
510000	1573.828	959.029	287.836	3445.860	1285.171
